start	end	text
0.845	3.287	好,弟兄姊妹平安。
3.287	3.867	感謝主喔。
3.867	5.788	如果你沒有聖經的話,請你舉個手。
5.788	13.094	我們請福祉的同工把聖經發給您。
13.094	16.296	若是你有聖經的話,跟我一起翻開到使徒行傳的第二章。
38.200	74.339	我們今天要繼續之前在我們過年的時候在分享的一個主題叫做復興的教會復興的教會我們一起來看使徒行傳的第二章我們來看第37節一直到第47節使徒行傳的第二章第37節一直到第47節然後找到的我們一起大聲來念神的話語好吧我們從第二章第37節一起來我們大聲來開口37節眾人聽見這話覺得扎心 就對彼得和其餘的使徒說,弟兄們,我們當怎樣行?
74.339	93.984	彼得說,你們個人要悔改,奉耶穌基督的名受洗,叫你們的罪得赦,就必領受所賜的聖靈,因為這應許是給你們,就是主我們神所召來的。
94.718	106.188	彼得還用許多話做見證,勸勉他們說,你們當救自己脫離這彎曲的世代,於是領受他話的人就受了洗。
106.188	115.636	那一天門徒約天了三千人,都橫行遵守使徒的教訓,彼此交接剝柄祈禱。
115.636	130.669	眾人都懼怕許多歧視神蹟,信的人都在一處, 照個人所需用的分給個人。
130.669	143.558	他們天天同心合意,恆切地在店裡且在家中剝餅,存著歡喜誠實的心用飯,讚美神得眾民的喜愛。
143.558	147.360	主將得救的人天天加給他們。
147.360	148.441	我們一起低頭禱告。
148.441	154.185	阿們的父神,我們來乘著一個敬畏的心,站在祢的面前來敬拜祢。
154.855	156.876	主啊,你是我們的主,你是我們的神。
156.876	163.238	主啊,早上當我們來到你的面前的時候,主,我們再一次地仰望主親愛的聖靈來運行在我們當中。
163.238	167.620	主啊,那真理的靈可以引導我們眾人進入一切的真理。
167.620	170.041	主啊,你知道我們是需要你的。
170.041	171.882	主啊,你知道我們這個人是渴慕你。
171.882	175.323	我們需要主你的話語深深地紮在我們裡面。
175.708	180.513	對我們每一個人來說話,一句兩句的話,進到我們的靈裡面。
180.513	191.985	主,我們同心合一也在這個地方,要奉主耶穌基督的聖名和聖靈的大能,來命令那一切攬主人來聽見你話語的,都要離開這個地方。
192.415	199.460	主啊,祢釋放祢的百姓﹐懇求使祢的百姓得著自由﹐可以自由的聽見主祢的聲音。
199.460	212.069	主啊,祢對我們說話﹐藉著真理的聖靈光照我們每一個人﹐讓我們裡面的眼睛得以看見﹐耳朵可以聽見﹐心裡可以明白過來﹐以至於我們全人都來歸向祢。
212.069	216.952	謝謝主與我們同在﹐祢是那恩典的主﹐祢也是那慈愛的主。
216.952	220.433	主啊,祢使這個教會﹐ 成為一個復興的教會。
220.433	223.274	因為主祢是親自建造教會的。
223.274	225.535	這個教會也是屬於祢的。
225.535	227.435	一切榮耀單單歸給祢。
227.435	228.916	主我們這樣禱告。
228.916	230.776	奉主耶穌基督的聖名。
230.776	232.317	阿們。
232.317	241.779	姊妹在使徒行傳第二章這邊記載的就是在初代教會的時候就是當主耶穌說當祂去的時候神的靈要澆灌下來。
242.244	244.626	神的靈要充滿在他們當中。
244.626	247.969	所以當五旬節到來的時候,神的靈充滿他們。
247.969	251.912	所以教會就從那個時候有一個正式的一個開始。
251.912	260.579	所以這邊一記載說在第十四三節說,眾人都懼怕使徒又行了許多奇事神蹟。
260.579	266.484	當教會開始的時候,有各式各樣神蹟奇事發生在他們當中。
266.834	305.262	親愛的弟兄姊妹我想跟各位分享就是說當年的時候教會一開始的時候神有許多奇妙的作為在教會裡面但是我相信就是兩千年之後在我們當中這裡丹江教會是神的教會神的手仍舊在我們當中施行許多奇妙的一個工作所以在我分享今天的信息之前呢我想跟各位分享一個見證分享一個見證這個見證不是在別的地方的見證就是在我們丹江教會裡面的一個見證 我們先一起來看這一段的VCR,我想跟各位分享這個故事。
305.262	313.048	肝臟有切掉,肺部,然後右邊肺片拿了一個掉,還有子宮也拿掉,還有職場也拿掉。
324.104	334.226	因為當初我們在那個刀廠,那個刀廠給我們的觀念說,啊,這種是業障病,因果病,然後你去看醫生也不會好。
334.226	351.651	就變成那時候已經會失禁,大便會失禁,尿排不出來,困難,全身腫了,緊腫到臉跟手跟腳,然後才不得去臺大掛那個急診。
351.651	358.920	我看著他, 嗯,生病很重,然後常常會拉血。
358.920	364.062	就是我看他我都覺得他真的已經快不行了。
364.062	370.766	然後,那是我第一次做,就是年夜飯給大家吃。
370.766	379.070	就是那一次,就是我弄完這一餐的時候,我心裡就是很擔心說,這可能是我們最後一次過年。
384.940	400.036	這樣就是說,後來淑芳好像是在前年吧,她就寫了一封信給我們,就說她去投入那個什麼天賦的懷抱啊,然後我也有感覺說淑芳也有改變。
400.036	408.217	以前跟她在一起,覺得她會給人家一種無形的壓力很大,然後就是, 不像女人,很像男人。
408.217	413.661	然後後來發覺他去新教以後,有覺得他比較像小女人那種感覺。
413.661	428.711	因為我看到這些孩子他們是弱勢家庭,我覺得他們需要一些安慰跟愛給他們。
428.711	432.073	然後你要有耐心,真的要有耐心,然後想辦法去幫助他們。
433.029	437.773	然後我們就給他們﹐我們能給的﹐就是多關心他一點,幫助他科業上。
437.773	439.214	他說不懂,我們就問。
439.214	447.020	剛好把裁判那邊教學可以帶來這邊,但是對那孩子的方式就真的不一樣,因為他們是需要幫助的孩子。
447.020	453.364	然後也感覺自己至少我是一個有用的人。
453.364	469.120	就是他讓我覺得好像我又重新有一個家的感覺,然後他變成是一個像媽媽的樣子,然後我也能夠 再度成為一個像女兒的樣子的時候,我突然,我覺得她這些改變,讓我覺得非常的非常的幸福。
469.120	483.184	我每天,我說你掌權,我把這些,禱告的時候,我把我的腫瘤啊,腫瘤指數啊,我的疾病,我的疼痛啊,我把它交給你,你掌權。
483.184	505.630	你看你看,我52歲以前,53歲以前,我的解碼是短又直的,然後酥酥的, 現在53歲,真的是在園園,我有一天是很照鏡,奇怪我的眼皮上面怎麼有睫毛,特別長,是翹的又有點長,而且現在還在長,有些還在長,特別要長,所以這是耶穌給的,我跟他們寫了這個。
520.828	545.959	親愛的同學姊妹這是在我們當中所發生真實的故事 阿們。
563.063	567.947	我那天遇到淑芳,我就問她說,你要不要出來做個見證?
567.947	570.149	她說,不要,你講就好了。
570.149	576.995	各位,你可能不認識淑芳,可是她就是在我們當中聚會的一個姊妹。
576.995	581.418	她在我們當中,她有心力到神,神做奇妙的工作。
581.418	588.064	她不是只是說,神的神蹟,其實不是說我現在得癌症了,所以我現在病得醫治了。
588.064	589.485	感謝主,這是神蹟。
589.485	590.326	是的,這是神蹟。
590.896	605.597	但是當一個人他走到生命的這個這麼重大的事情的時候他仍舊可以來信靠這位主 這個淑芳是在幾年前,在見證裡面講到說,她轉到我們的主的面前,她投入了天父的懷抱。
605.597	613.264	她生命開始經歷了轉變,好像一切已經沒有盼望了,但是她生命開始經歷一個不一樣的改變。
613.264	617.368	甚至說,我們常常認為說,我這麼樣有需要,應該你來幫助我。
617.368	621.913	不,她開始有一個不一樣的感覺說,我應該去幫助那比我更有需要的人。
622.193	629.294	而當他去這樣做的時候﹐他自己生命改變﹐他也造就了別人﹐而且他自己裡面﹐非常的喜樂。
629.294	654.718	剛才淑芳在這個VCR講說﹐她的睫毛都長出來﹐昨天呢﹐昨天這個我遇到她﹐在電梯口遇到她﹐我就說﹐今天要放你的這個憲政﹐你要不要出來講幾句﹐她說不要你講就好﹐但是我要告訴你一件事情﹐她非常的興奮告訴我﹐她昨天去3月23號﹐去門診看報告﹐發現說呢﹐這個醫生找不到他的腫瘤﹐ 醫生做這個斷層掃描,找不到他的腫瘤。
654.718	657.320	我聽了心裡非常的感動,怎麼會這樣的事情。
657.320	661.944	而且他說他整個癌指數已經到2.07。
661.944	665.447	正常的指數是在5以下,就是正常的。
665.447	667.049	他是2.07。
667.049	671.392	然後重點是,這其實都不是他的重點,他重點是跟我講說,他的頭髮長出來了。
671.392	676.117	就像他注意的,他是他的睫毛長出來,他現在是頭髮長出來的。
676.117	677.918	果然是一個愛漂亮的姊妹。
677.918	678.799	來,十方站起來。
681.596	690.140	給他一個熱烈的掌聲。
690.140	692.882	下次自己來講,我講個半天。
692.882	703.547	弟兄姊妹,我要告訴各位一件事情,就是說,神在我們當中,而且在許多的弟兄姊妹裡面,分享了許多,做了許多奇妙的一個工作。
703.547	718.116	昨天我也被邀請到一些弟兄姊妹,到一個弟兄他的家裡面,他們請了許多的弟兄姊妹聚集在那個地方, 因為我們有三個弟兄在這個月 這個進入五十歲,感謝主啊,進入五十歲了。
718.116	722.119	所以他們聚集的時候,大家一起來分享,一起來慶生。
722.119	726.742	然後也對這個五十歲的這三個弟兄,大家有一些的分享。
726.742	729.645	我就坐在他們當中,來聽他們的一個分享。
729.645	748.043	當他們在彼此在說,那個弟兄在他生命當中,帶來什麼樣的一個祝福的時候,當他們在說一些感恩的話的時候,大家就急著舉手說,我可不可以再講一下,我可不可以再講一下這個弟兄多麼好, 當他們在分享的時候﹐我親自的感受﹐我真的是感覺到說﹐神的同在就在那個地方。
748.439	749.880	神好奇妙。
749.880	751.501	神好愛這個教會。
751.501	755.044	神在這個教會裡面﹐在很多的家庭裡面﹐做許多奇妙的工作。
755.044	757.845	只是我們不一定知道而已。
757.845	762.269	親愛的弟兄姊妹﹐使徒行傳記載了﹐許多神所做的工作。
762.269	766.191	神如今也在我們當中﹐做許多奇妙的工作。
766.191	767.772	使徒行傳到現在都還沒有結束。
767.772	774.517	使徒行傳就是教會的行傳﹐是神透過祂的聖靈﹐藉著聖徒繼續的工作。
774.517	775.878	如今仍就在我們當中。
776.220	814.812	親愛的弟兄姊妹在我們當中我真的要鼓勵你神在你生命當中有做許多奇妙的見證很多的時候我們沒有把它講出來因為我們覺得不好意思我們覺得說做人要謙卑一點要低調一點親愛的弟兄姊妹什麼事都可以謙卑什麼事都可以低調但是如果神工作在你裡面千萬不要低調你要大聲的把它講出來神在我生命當中做了何等樣奇妙的工作阿們 所以當教會去問你說有沒有見證的時候,甚至我們巴不得把每一個弟兄姊妹你生命的故事拍一段的VCR,也讓你可以拿這個故事去跟更多的人分享。
814.812	820.098	所以當我們找到你的時候,請你不要拒絕,你說我應當為主來做見證好不好?
820.098	820.258	阿們。
821.510	823.390	而且我們也希望它變成一個文字。
823.390	834.433	所以以後你去跟人家傳福音,你再不需要去拿別人的見證,你就說,這個是我的見證,這個是我的DVD,這個是我的文字,好不好?
834.433	836.133	你拿回去看一下。
836.133	840.094	我想要跟你分享,神在我生命當中所做的奇妙的工作。
840.094	840.374	阿們。
840.374	849.496	親愛的弟兄姊妹,我們那時候一開始的時候,在今年初的時候就跟各位分享,什麼是一個復興的教會呢?
849.496	850.676	復興的教會是什麼呢?
851.408	855.051	一個復興的教會它有五個要素,第一個要素是什麼呢?
855.051	857.032	它有活力的敬拜。
857.032	861.276	第二個要素是,這個教會應該是一個積極傳福音的教會。
861.276	863.878	第三個要素是,它有真實的團契。
863.878	867.901	第四呢,就是我們當中有深入的教導。
867.901	869.142	第五呢,是什麼呢?
869.142	876.127	我們關懷我們的社區,我們愛我們的靈社,我們關懷這個社會,不是只是在乎自己的一個需要。
876.127	887.748	親愛的弟兄姊妹,一個復興的教會並不是說因為這個教會有某某牧師在那個地方, 也不是因為這個教會是屬於哪一個宗派,或者是因為它的會堂特別的漂亮,都不是。
887.748	903.787	一個復興的教會一定要有五個元素,要有活力的敬拜, 當我講活力的敬拜並不是說哪一種敬拜的模式,你現在用敬拜讚美的方式,或者是你用老師哥的方式,我不是說活潑的敬拜,而是說一個活力的敬拜。
903.787	915.832	我之前在這邊分享過,活力的敬拜意思說你真的認識這位神,你真實的來敬拜祂,你用你的全能來敬拜祂,而且願意把你生命當中的偶像拆下來。
916.288	918.589	除了他以外,再也沒有別的神。
918.589	922.189	你願意把那個偶像拆下來,單單的來敬拜他。
922.189	923.810	第二件事情是什麼?
923.810	926.310	是一個積極傳福音的一個教會。
926.310	929.891	之後我們有時間要回過頭來看這個主題。
929.891	931.132	什麼叫做積極傳福音?
931.132	935.613	積極傳福音不是跟人家講說你來信耶穌得永生而已。
935.613	937.053	人們要看見的是一個實體。
937.790	941.852	人們不是要聽見福音而已,人們要看見福音到底是什麼。
941.852	948.455	當我們看到像俗方的一個見證,這樣子的活生生的活在我們眼前的時候,這個就是福音。
948.455	948.615	阿們。
948.615	952.717	這個比一個傳道人他多會講都還要厲害。
