start	end	text
0.350	4.952	感謝主,好不好,我們再次把榮耀跟感謝都歸給我們的主。
4.952	9.013	Hallelujah!
9.013	12.034	好,我要請沒有聖經的人揮揮手,好嗎?
12.034	16.776	今天的早上,我們一起來讀神的話,每個人都需要有聖經,好嗎?
16.776	20.978	來,揮揮手,我們請同工現在把聖經帶在他們手上。
20.978	26.960	我們請有聖經的人翻開舊約聖經,撒摩爾記上。
26.960	29.541	撒摩爾記上,舊約,撒摩爾記上。
51.749	57.934	好,我們翻開《舊約》薩摩爾記上第一章。
57.934	60.496	我們來讀第一節到第八節。
60.496	64.038	今天的時間比較緊湊,所以我們一起抓緊速度。
64.038	68.582	薩摩爾記上第一章的第一節到第八節。
68.582	69.622	都翻到了嗎?
69.622	70.503	翻到了嗎?
70.503	72.084	翻到了,看我一下。
72.084	73.645	感謝主,哇,你們都還在。
73.645	78.829	好,第一章的第一節到第八節,我們翻到一起來讀,預備,來。
78.829	85.553	以法連山地的拉瑪索菲, 有一個以法蓮人,名叫伊利加拿。
85.553	92.876	是殊佛的玄孫,托父的曾孫,伊利夫的孫子,耶路罕的兒子。
92.876	97.278	他有兩個妻子,一個叫做,另外一個叫皮尼拿。
97.278	99.338	皮尼拿有兒女。
99.338	101.119	哈拿呢?
101.119	108.162	這個人每一年,敬拜祭祀萬君子耶和華。
108.162	145.985	在那裡有, 當耶和華的祭司伊利加拿每逢獻祭的日子將祭肉分給他的妻子皮尼拿和皮尼拿所生的兒女給哈拿的卻是雙份的因為他愛哈拿無奈皮尼拿見耶和華不使哈拿生育就做他的對頭大大激他要使他生氣 每年上到耶和華店的時候,一粒迦拿都以雙份的給哈拿。
145.985	153.088	人士激動他,以致他哭泣,不吃飯。
153.088	162.432	哈拿!
162.432	164.993	好,我們讀到這裡。
164.993	171.845	有一個故事是這樣子,有一隻蠍子, 祂想要到河的對岸。
171.845	173.925	蠍子會不會游泳?
173.925	174.585	不會游泳。
174.585	175.886	你有看過蠍子游泳,跟我講。
175.886	178.367	我一定把牠抓回來給我兒子養。
178.367	182.007	牠們對這些奇怪的生物特別有興趣。
182.007	184.528	蠍子想過河,卻過不了河。
184.528	188.129	牠看到有一隻烏龜在河邊游泳。
188.129	188.889	哇,烏龜可不可以游泳?
188.889	191.290	烏龜可不可以過河?
191.290	191.870	可以。
191.870	194.831	牠想說,哎呀,我要過河,所以我請烏龜怎麼樣?
194.831	195.031	載我。
195.031	198.572	牠說,烏龜啊,烏龜啊,請你也載我過河好嗎?
199.241	204.243	烏龜說,我雖然也是一隻龜,但是我的頭銬沒有判了。
204.243	207.704	你是一隻蠍子,你的尾巴怎麼樣?
207.704	208.664	有毒啊。
208.664	210.144	你如果怎麼樣?
210.144	213.626	我站你這道椅板,你想不開,忽然刺我一刀怎麼樣?
213.626	216.126	捅我一針,那我會怎麼樣?
216.126	217.667	我會死啊。
217.667	220.928	蠍子說,烏龜啊,你的智商真的是不太好。
220.928	227.850	如果我在這個渡河這道椅板的時候,我用針刺你,你死了,你沉下去了。
228.251	230.292	難道我能夠飛上天嗎?
230.292	232.412	你死掉了,我也會怎麼樣?
232.412	233.112	我也會淹死。
233.112	235.613	烏龜想想,對齁,還是蠍子比較聰明。
235.613	238.134	好吧,客人,上車吧。
238.134	238.914	所以呢,烏龜怎麼樣?
238.914	244.776	就帶著蠍子,就跳進河裡面,就開始游泳游泳游泳。
244.776	258.040	到了河中間的時候,到了最關鍵的時刻,忽然烏龜覺得牠的脖子,還是牠的屁股,不知道齁,就狠狠地被刺了一針,哎呀,好痛啊。
258.951	260.852	他想說,什麼東西刺我呢?
260.852	261.693	哎呀,原來是什麼?
261.693	263.213	誰刺他?
263.213	264.194	蠍子刺他。
264.194	267.716	烏龜說,蠍子啊,你瘋了嗎?
267.716	269.477	你為什麼要刺我呢?
269.477	273.879	你如果刺我的話,我死了,你也活不了啊。
273.879	278.502	為什麼在這個最關鍵的時刻,你會這樣子做呢?
278.502	284.846	蠍子流著眼淚,大聲地哭說,沒有辦法,誰叫我是一隻蠍子?
284.846	287.047	蠍子天生怎麼樣,就是一定要怎麼樣?
287.671	290.132	要刺人,用毒針刺人。
290.132	295.176	我也沒有辦法控制我自己,在這個最關鍵的時刻怎麼樣,就刺下去了。
295.176	304.821	然後蠍子一直說,啊,我不好,我是一個壞蠍子,烏龜我對不起你,我不應該這樣做的,我怎麼這麼軟弱啊,哎呀,我真討厭我自己。
304.821	308.764	結果後來怎麼樣,烏龜跟蠍子怎麼樣,都死了。
308.764	313.567	剛剛這個故事,不知道對你有什麼樣的感受。
313.567	320.977	我覺得現實人生裡面,有時候人還滿像這隻蠍子的, 剛剛我們讀這個哈娜的故事。
320.977	323.378	她告訴我們一個消息。
323.378	324.538	什麼消息?
324.538	327.519	有一個很愛她的丈夫叫以利加納。
327.519	330.739	這個丈夫非常愛她,也很疼她。
330.739	334.060	可是這個丈夫,就算再愛她,再也疼她。
334.060	336.640	這個丈夫也是一個非常有名望的人。
336.640	337.900	今天時間關係我就不多說。
337.900	339.581	他是一個非常有名望的人。
339.581	342.281	他在當地,是當地的領袖。
342.281	344.501	然後呢,他家也非常的富有。
344.501	347.122	他也非常愛他的妻子哈娜。
347.122	358.304	可是呢, 面對一個這麼好的丈夫,這個丈夫每一年都會帶他們全家去敬拜祭祀萬君之耶和華。
358.304	360.026	可是無奈怎麼樣?
360.026	372.795	這個丈夫再有能力,這個丈夫再愛他,也沒有辦法幫助哈拿解決他人生最關鍵的一個問題,就是他沒有辦法生孩子。
373.507	382.571	她沒有辦法生孩子,她沒有辦法為她的丈夫生個孩子,因為她的丈夫是一個豪門,是一個非常有名望的一個家族。
382.571	386.132	但是如果她沒有辦法為她的丈夫生孩子,她就怎麼樣?
386.132	390.414	覺得這是她一個非常致命的軟弱,是一個她最大的問題。
390.414	400.918	所以她覺得說,就算我丈夫再厲害,再有錢,再有名望,但是他也不能解決我生命中最關鍵的軟弱。
401.408	406.210	親愛的弟兄姊妹，你有生命中關鍵的軟弱嗎?
406.210	414.894	我記得有一次我們分享過一個例子在臺中有一個教會要建堂大概需要一兩億的經費但這個教會怎麼樣?
414.894	433.577	非常的窮他想說大概很困難吧想不到有一天有人打電話給他他說可不可以請你們教會辦一個跳蚤市場的義賣請你來我家載一些 買來卻從來沒有穿過的衣服。
433.577	435.998	教會的牧師很高興說,哇,太好了。
435.998	436.518	怎麼樣?
436.518	437.739	拋磚怎麼樣?
437.739	438.619	隱喻。
438.619	439.900	我們隱喻在不在?
439.900	441.221	拋磚就隱喻。
441.221	443.522	所以隱喻的哥哥叫什麼?
443.522	446.023	不要亂講。
446.023	448.084	叫隱喻哥。
448.084	449.925	哎呀,這個牧師很開心啊。
449.925	450.285	就怎麼樣?
450.285	451.926	就開著一臺小發財啊。
451.926	455.728	其實沒有,開著一個教會的鄉行車,就到這個人的家裡。
455.728	458.950	結果呢,一去,他說衣服在哪裡?
458.950	464.063	他說衣服, 一到五樓,通通是衣服。
464.063	467.805	天啊,那臺小發財總共載了一百次。
467.805	476.671	才把第一樓到第五樓,所有的全部是新買的,連拆封都還沒有拆封的衣服,通通帶回去義賣。
476.671	479.673	一年十塊,二十啦。
479.673	481.455	我跟你講那次義賣怎麼樣?
481.455	483.756	總共一百萬。
483.756	487.018	一百萬的義賣,這麼便宜跳到市場。
487.018	488.139	他說怎麼這麼多衣服呢?
488.139	494.830	他說因為我媽媽剛過世, 我的媽媽她的最大的興趣就是去買衣服。
494.830	498.951	她到一個店裡面去買衣服的時候,她會說:「老闆,這一件。
498.951	500.812	」老闆說:「只要這一件嗎?
500.812	505.374	」她說:「不,除了這一件以外,其他全部包起來。
505.374	509.395	」她媽媽買衣服從來沒有穿過,然後再去買。
509.395	513.937	她媽媽沒有辦法停止自己的這個問題。
513.937	522.516	她的母親知道她這樣子很奇怪,可是她沒有辦法阻止自己在這個關鍵的軟弱上, 他是無能為力的。
522.516	526.577	親愛的弟兄姊妹,人生是真實的。
