start	end	text
1.903	4.265	大家都好嗎?
4.265	9.809	期待今天神繼續用祂的恩典來澆灌我們每一個人嗎?
9.809	13.472	我們先給我們的偉南牧師掌聲,他剛從雪梨回來。
13.472	15.933	我們謝謝神,平安把他帶回來。
17.159	22.003	他看起來一點也沒有碎眼心鬆,因為其實時差是有的。
22.003	27.068	我們感謝神,讓神的仆人在各地有不同的訓練跟學習。
27.068	31.092	那今天呢,我們非常的榮幸,能夠邀請到一個很特別的團隊。
31.092	42.442	其實弟兄姊妹,我在燈上教會常常站在最後面,看著整場的聚會的時候,我常常就會驚訝神把不同的團隊,不同的人帶到我們當中,一起來經歷神的恩典。
42.722	45.623	那這個團隊呢,我就是覺得很特別。
45.623	54.307	那特別到一個程度呢,有一次我就跟莊牧師在後面分享的時候,我就跟他說,牧師可能你要注意一下有一個團隊,神很祝福他們喔。
54.307	59.070	因為呢,他們每一次出現,就是他們表示他們又贏了。
59.070	61.010	他們又凱旋了,他們又得勝了。
61.010	66.753	然後他們不斷的出現在我們當中,是因為他們知道,他們要來敬畏神。
66.753	70.535	在他們各樣的比賽前,要尊主為大。
71.015	76.017	這就是為什麼好像上帝就不斷的﹐把恩典賞賜下來。
76.017	87.702	那今天在我們當中﹐弟兄姊妹﹐淡江人很熱情的﹐是嗎﹐是嗎﹐是嗎﹐來﹐來﹐東西快點放好﹐手機快點關掉﹐不然你會﹐沒有參與那個熱情的行列。
87.702	104.130	來﹐我們給勇人女男的石教練﹐石師母﹐以及所有的團隊﹐一個最熱情的歡迎﹐掌聲﹐邀請你們站起來﹐耶﹐ 從臺南來的,淡水人的熱情。
104.130	107.772	請坐。
107.772	114.837	等一下我們會請石教練來分享,神怎麼樣在他們當中做成了美好的事工。
114.837	121.601	那因為他們從臺南來,所以我們要來認識一下這個府城,神如何的恩待這個團隊。
121.601	122.361	我們先敬一個VCR。
141.476	191.302	繁體中文， 我們給她們一個熱情的掌聲。
191.302	197.406	這是一個簡介,但接下來呢,弟兄姊妹是女籃,對不對?
197.406	199.428	女籃就是跟什麼有關係?
199.428	200.589	籃球有關係,對不對?
200.589	204.192	籃球不是只有在球場上看得到她們的表演跟所有的比賽。
204.192	207.714	她們今天下午其實是要跟北藝女一起打一個很重要的比賽。
207.714	211.597	可是她們今天早上來這裡跟我們分享什麼呢?
211.597	216.001	我們給所有的女籃一個熱情的掌聲,她們的表演跟分享。
235.725	247.814	大家一起來拍照。
247.814	255.884	繁體中文， 打開神經看你話語的奧秘。
255.884	257.324	否認故事裡發現了虛無比。
257.324	261.025	令我真知道你是我的神秘。
261.025	263.285	不要以為這個動作很簡單。
263.285	265.706	結束可以來試試看。
265.706	265.886	耶 掌聲。
265.886	266.606	心在你的床頭。
266.606	268.667	胸在你的容貌。
268.667	271.988	花好草 雨很涼。
271.988	275.808	全都是你手手操。
275.808	281.730	我要讚美你作為喜調。
282.449	299.288	在第一排確定他們到現在所有的動作都沒有失誤。
299.288	301.691	給他們掌聲。
310.213	318.285	現在是兩個球一起。
318.285	324.655	地要震動了,地要震動了。
325.299	339.725	哇,太厲害了,太厲害了。
339.725	345.187	這是故意的,謝謝。
362.858	369.065	運球自如啊。
369.065	375.573	我們都很羨慕啊。
384.360	391.349	繁體中文，臺灣國語。
391.349	396.395	繁體中文，臺灣國語。
396.395	401.502	繁體中文，臺灣國語。
407.978	414.803	有什麼困難嗎?
414.803	421.007	有什麼困難嗎?
421.007	423.508	沒有困難的。
437.978	442.982	給他們熱情的掌聲。
445.572	446.193	都看到嗎?
446.193	448.134	後面的。
448.134	451.157	我們再給永仁女郎最熱情的掌聲。
451.157	455.962	相信上帝恩待這個團隊,要加倍的繼續的祝福。
455.962	461.227	他們能夠這樣子的有活力有紀律,知道嗎?
