start	end	text
0.009	26.99	我們今天要講的題目是繼續職場服事第十七講我把它定義題目叫做絕處逢生我們在困境我們在難處甚至在絕境的時候上帝怎麼跟我們開路今天我會從兩個方向一個是我們碰到這樣難處的時候我們應該有怎麼樣的態度第二的話就是有沒有什麼方法神可以帶領我們讓我們走出這條路
27.09	56.358	我就在這旁邊來,因為我喜歡用PowerPoint的話,這樣可能比較不擋你們。很快我們複習一下我們過去特別在關於領袖特質的這塊,今天是第十七講了。領袖特質從第十三講開始,講到我們每一位領導,再一次的我強調一下,只要我們每一位在我們職場,我們有我們的那一塊的話,我就是那一塊的負責人。
56.698	83.804	我就是天國負責那一塊的大使所以我們每個人都要有被培養出我們領導的一些特質我們領導的素質所以在領導風格那一講我那時候主要是要鼓勵弟兄姊妹的話我們要能夠知道怎麼樣子在我們自己身上我們能夠找出一個方向性然後帶領團隊培養人才求神給我們聰明給我們才智讓我們
84.104	85.004	繁體中文，
101.749	122.726	來見證神的榮耀,然後讓我們能夠培養出一些屬靈的眼光,屬靈的高度,能夠把神給我們的託付這塊做好,這是品德修養。僕人領導簡單一句話講,上次我講的最大重點就是我們先做僕人,
123.746	150.101	我們再來做領導。這個是一個很重要的原則,其實不太容易做得到的。求神給我們這樣一個態度。然後上一次講到的是成先啟後,就是神給我們這一份在整個的神國裡頭是拼圖的。所以我們那一塊的話呢,我們不會永遠不老,我們不會長生不死的。所以黑頭髮總有一天會變成
151.561	170.207	白頭髮到一定程度上帝說你玩完了可以上來了。所以我們那一塊拼圖我們有責任除了我們自己在經營的那段時間容神益人很重要的就是要能夠留下來讓別的人可以接下去。
170.367	196.818	這是很重要的一個信息,我希望我在跟大家分享的時候能夠講清楚。那麼今天這一塊絕處逢生的話,我主要是要用哥倫多後書第四章的一些經節,特別是第七節到第十節,我們一起來讀一下,然後我們用這些經節加上其他經節我做的整理,希望對弟兄姊妹能夠有幫助。那我們哥倫多後書第四章的
197.978	225.072	第七節到第十節,我們一起來讀第七節,開始。我們有這寶貝放在瓦器裡,要顯明這莫大的能力是出於神,不是出於我們。我們四面受敵,卻不被困住。心裡作難,卻不致失望。第九節,遭逼迫,卻不被丟棄。打倒了,卻不致死亡。身上強帶著耶穌的死,
225.452	244.546	使耶穌的聲也顯明在我們身上。我們一起禱告。主耶穌,我們來到禰的面前,我們歡歡喜喜地要來領受禰的話語。主,謝謝禰帶領弟兄姊妹平安來到禰的殿裡。當我們在這邊,我們用禰的話語,我們彼此要來鼓勵,要來勉勵的時候,求聖靈光照我們。
