start	end	text
1.067	13.245	我們一起來打開聖經,今天的經文在新約聖經約翰福音最後一章,約翰福音第二十一章。我們請有需要聖經的弟兄姊妹可以把手舉一下。同工趕快把聖經交給他。
30.896	57.935	好 新約聖經約翰福音第21章我們請PPT也來幫助我們好 都翻到了嗎可以喔 感謝主齒膀實在是太厲害了代表這個復活的生命
59.48	74.917	好,二十一章,然後因為經文有點長,所以我想說我們不要全部念。但是我先交代一下背景。《約翰福音》的最後一章,最後一章的時候呢,在這邊講到就是
74.957	89.934	有天彼得呢,就說我要去打魚。結果呢,他的那些兄弟們,那些耶穌的其他的門徒們也說,那我們都跟你去打魚。結果呢,今天打魚怎麼樣?又是非常的不順利,又是這個沒有打到什麼魚。
89.974	118.609	忽然在岸邊就聽到有一個聲音,就是耶穌。耶穌就對他們說,小子們,你們有吃的沒有?他們回答說,怎麼樣?沒有,沒有抓到半條魚。第六節,耶穌就說,那你們把網撒在船的右邊,就一定可以捕到魚。他們怎麼樣?就立刻下網打魚。結果怎麼樣?魚多到怎麼樣?拉不上來。這個時候,
118.729	148.088	這個第七節呢,就有耶穌所愛的門徒,很多人想說這應該就是約翰,就對著這個老大哥誰?彼得說,誰來了?主來了,復活的主來了。然後呢,這個時候呢,這個彼得呢,本來是怎麼樣?打魚怎麼樣?很熱,所以怎麼樣?都是偷光衣服在那邊打魚。聽到主來,怎麼樣?立刻怎麼樣?立刻穿上一件這個衣服,然後就跳到那個水裡面,
148.148	163.959	以前我聽過有人說,因為彼得三次不認主,現在復活的耶穌來,他怎麼樣,太羞愧,立刻跳海自殺。我想跳海自殺不用再穿一個衣服,我想是後來告訴我們怎麼樣,他就先跳下去游泳。
164.019	192.979	遊了怎麼樣?遊了這個兩百軸,軸就是軸軸,就是差不多45公分,所以兩百軸大概是90公尺,哇,原來彼得是游泳健將,遊了90公尺,怎麼樣?第一個衝到岸上去怎麼樣?去見這個復活的耶穌,祂所愛的主。然後呢,後來耶穌怎麼樣?就說,來,把魚拿過來,我這個煮早餐給你們吃。所以耶穌怎麼樣?就在岸邊烤了這些魚,烤了一些餅,
193.985	203.992	他們吃完了早飯,
253.268	278.635	我實實在在的告訴你,你年少的時候,自己樹上帶著,隨意往來。但年老的時候,你要伸出手來,別人要把你樹上,帶你到不願意去的地方。耶穌說這話是指什麼呢?指的彼得要怎樣死,榮耀神。說了這話,就對他說,
280.913	302.626	彼得就轉過來,看見耶穌所愛的那門徒跟著,就是在晚飯的時候,靠著耶穌的胸膛說,主啊,賣你的是誰的那門徒?彼得看見他,就問耶穌說,主啊,這人將來如何?耶穌對他說,
309.735	333.2	於是這話傳在弟兄中間說那門徒不死其實我們經文先讀到這裡我們今天是紀念什麼節日復活節我今天想要在復活節講一個比較
334.667	363.14	不那麼傳統的信息因為我們通常在復活節的時候基本上還是在紀念耶穌替我們死還是在紀念三天前所發生的受難所以通常在復活節的時候我們會比較多的省思怎麼樣從耶穌基督替我們受難耶穌基督替我們受苦耶穌基督在十字架上替我們受刑罰然後來省思
363.2	383.003	我們得著的這個新的人生,怎麼樣離開罪惡,怎麼樣離開患難,怎麼樣離開生命中所遭逢的巨變,從耶穌的苦難裡面,去面對我們生命中的苦難。大部分的時候我們在復活節,我們會側重這一面,
383.729	406.843	但是我今天想從另外一個角度,也是我們比較少談的角度來談復活節。弟兄姊妹,你覺得當耶穌基督死後,三天之後復活,當祂復活之後,祂的門徒們在那個時候,面對耶穌的復活,他們的心情是怎麼樣?我想當他們面對這位耶穌從死裡復活之後,
