start	end	text
0.009	16.967	我真的覺得這個淡江教會是一個反過來的教會就是年紀越大越大聲年紀越小越小聲理論上應該是年紀越小越大聲昨天晚上問各位弟兄姊妹平安
21.271	48.237	我最近帶他們讀聖經讀那個所以你們要去他們是這樣子感謝主我們真的是這個越來越回春的教會好我們今天要一起來看聖經你手上如果沒有聖經趕快舉手會有同工發給你我們要一起來看聖經看神的話語我們要一起翻開聖經路加福音
51.118	75.136	《路加福音》第九章雖然我們的同工非常的體貼總會把經文打在上面可是希望你自己手上有聖經能夠來看好嗎《路加福音》第九章我們要從第十八節一直看到第二十三節翻到了你們看我來念給你們聽
76.442	104.131	耶穌自己禱告的時候,門徒也同他在那裡。耶穌問他們說,眾人說我是誰?他們說,有人說是施洗的約翰,有人說是以利亞,還有人說是古時的一個先知又活了。耶穌說,你們說我是誰?彼得回答說,是神所立的基督。耶穌切切地囑咐他們,不可將這事告訴人。
105.077	134.089	又說,人子必須受許多的苦,被長老、祭司長和文士棄絕,並且被殺,第三日復活。耶穌又對眾人說,若有人要跟從我,就當捨己天天背起他的十字架來跟從我。我們一起禱告。主願禰的話語貫穿我們的心,
135.845	164.535	讓我們不只聽道,並且行道。讓我們不只認識禰的心意,並且活出禰的心意。謝謝主,讓奉主耶穌的名禱告。好,先做田野調查。在座的有聽過吳寶春這個名字的請舉手。不錯,他很有名,請放下。你吃過吳寶春做的麵包的請舉手。
166.305	194.57	你們教會真的財力蠻雄厚的請把錢拿去做建堂奉獻你沒吃過五寶村做的麵包但是你覺得五寶村的麵包應該會很好吃所以下次想要試試看的請舉手好請放下大家都看到了剛吃過的記得買麵包給他們吃不過那個麵包先不要買等建堂建完再買
198.029	227.667	剛剛最後舉手的這些人,他們是沒有吃過,可是覺得吳寶春的麵包應該會很好吃。這群人呢,叫做信徒。你們是吳寶春的信徒,因為呢,你們相信他的麵包會好吃。實際上吃過的人也不是每個人都說讚。但是你們是信徒,OK?這樣你們知道什麼是信徒了嗎?
228.814	255.11	知道,可是還沒吃過。那在座有沒有人自己做麵包的?因為食安問題,所以決定自己做麵包的。好,請放下。有沒有做麵包的人是照著五寶村的食譜做麵包的?沒有,因為你們都用麵包機做麵包,對不對?我也會啊。
257.244	285.909	我們一家人都很愛吃麵包。我曾經在講完這個例子以後,聚會結束有一個姊妹跑來找我說,弄死了,少吃一點麵包。她大概看我長得太像麵包了。我們一家人都很喜歡吃麵包。然後呢,有一天食安問題這麼嚴重,所以我們就決定我們開始自己做麵包。我們從麵包機開始。然後呢,發現麵包機做出來的麵包不能滿足我們的麵包嘴。
287.619	316.42	所以我就決定開始買食譜各樣的食譜開始自己做麵包最後我買到一份食譜叫做吳寶春的麵包食譜我就開始研究他的食譜真的跟別人的不太一樣我不是要推銷他的食譜可是他食譜真的跟別人的不太一樣他裡面寫得非常細連麵團揉完要幾度都有寫而且他還教你
317.381	341.221	你在麵粉的狀態裡面呢,你要加幾度的水,揉多少分鐘之後,麵團就會變成幾度。連公式都寫給你,所以我就很聰明,我就寫了一個Excel,把那個公式寫進Excel裡面,因為我算數很爛。所以呢,我就把它寫進去,然後我就算我麵團要幾度,我就要加多少水,多少溫度,揉幾分鐘。
342.995	372.132	最後呢,真的做出來,我拿那個溫度計插進去量,真的是那個溫度,好神啊。OK,我就照著他所講的,發酵多久我就發酵多久,要怎麼揉我就怎麼揉,我完全照他的書做。所以,我是五寶村的門徒,雖然我沒見過他。OK?因為他怎麼說,我怎麼做。所以我是門徒。
373.814	400.929	讓你知道信徒和門徒的差別其實剛剛吃過五寶村麵包的大概也是信徒可是你知道要做五寶村的門徒很難很辛苦因為他單單發酵的時間就要兩個小時單單只是發酵就要兩個小時以上那我每天回家大概都七點
403.336	428.184	七點再休息一下,然後開始要做麵包,從揉麵開始,我不是從發酵開始,從揉麵開始加水,雖然是機器幫我揉的,可是我每一次做完整個麵包的流程,到把廚房清理乾淨,總不能留一堆後遺症給我老婆,讓她來收拾,不然家庭會不和諧。
