start	end	text
0.009	12.097	我今天已經被三個人嚴嚴囑咐時間,一定要準時,哈利路亞。所以我今天一定要讓他不準時,感謝主哈利路亞。好,我跟你旁邊講說宣教真好,
13.882	41.574	我剛看到那個影片中,Best Generation他們到尼泊爾,其中我只認識一位,就是採芝,其他人我都不認識,表示這個教會正在增長,讚美神。採芝以前這麼小,現在都已經可以好像成為這個宣教隊主要的領袖。感謝神,這個教會是一個傳福音的教會,是一個對神的福音有熱情的教會。我們一起來禱告,主耶穌謝謝禰,讓我們在這個美好的教會裡面一起成長,
41.954	70.745	謝謝禰讓我們在這樣美好的教會裡面,我們彼此學習,我們有增長,我們有更深的認識。主我們也不只是認識彼此,我們也認識上帝。主在今天這個特別的日子,主啊在禰復活的日子,主我們邀請聖靈禰再一次的在我們的心中對我們說話。聖靈禰再次奇妙的工作在我們的裡面。主我們向禰完全的敞開,謝謝禰。主我們在這裡聚會,最重要的一個目的就是遇見禰。
71.425	97.397	主讓我們今天早晨在這裡遇見禰,讓我們遇見禰,以至於我們可以越來越像禰,我們可以越來越像神的兒子耶穌基督,讚美禰與我們同在。我們也奉耶穌的名,我們抵擋所有世界的攻擊,我們抵擋所有魔鬼的攻擊,我們也抵擋所有老我在我們裡面隱隱作祟的這樣犯罪的念頭。主讓我們今天浸泡在禰的愛跟真理,
97.637	120.38	跟聖靈的同在裡面。謝謝主奉耶穌的名。阿們。感謝神給我下頁PPT。我們今天要來分享關於聖靈在我們裡面的工作。我們一起來讀這個經文,使徒行傳的第三章一起來讀。摩西曾說,祖你們的上帝,要從你們弟兄中給你們興起一位先知像我。
120.981	140.212	凡他向你們所說的一切,你們都要聽從,凡不聽從那先知的,必將從民中滅絕。這邊我們都知道,在這裡所提到的那先知是誰呢?感謝神,哈利路亞。不確定那先知是誰?
142.824	160.611	耶穌,跟你們講,就是耶穌。因為在舊約裡面,摩西他其實他角色很特別,他不只是領袖,其實他也被算在先知的行列裡面。在舊約裡面你看見,摩西呢,當時呢,就神請他呢,召集了七十個他的領袖們,
161.271	180.905	就神的靈感動了,感動摩西那個靈也在那70個靈修裡面,就使他們裡面被靈充滿,以至於就發出預言,說出神的話來。其中還有人忘記來到那個聚會的現場,因為他們可能忘記或者是時間搞錯了,結果他們在他們的帳篷裡面也被聖靈充滿。
181.425	208.403	所以在舊約裡面﹐摩西有一個很特別的角色﹐我們雖然都知道﹐摩西是頒布律法的那個人﹐但在舊約裡面﹐摩西也被神稱為是先知﹐而且神呢﹐特別告訴我們說﹐他在末後日子﹐要興起一個弟兄像摩西那樣﹐摩西這個先知很特別﹐他是帶領人脫離罪惡﹐脫離捆索進到神旨意﹐就是迦南美地的那個先知﹐
208.763	225.983	所以摩西所代表是真理而且祂也代表救恩因為摩西祂就是那真正領我們出了那個埃及的那一位救主所預表的就是耶穌所以在這個經文裡面我們看見說神祂要興起一個先知那個先知是誰
227.193	243.524	就是耶穌所以耶穌是最偉大的先知這個我們都沒有意見對不對如果你有意見的話那我們其實基本上沒有辦法再溝通下去因為我們可能沒有一樣的想法因為聖經裡面向我們啟示的我相信聖經向我啟示的
244.224	259.929	其實我滿討厭跟人家辯論的我知道我們當中有一些比較理性的弟兄你會找到很多的資訊想要跟人家辯論你不要找我辯論因為莊牧師脾氣不好我可能會揍你你去找莊牧師辯論我只相信這件事情我相信聖經
260.589	285.187	你可以有很多的反對聖經,或者你有很多的疑問,你有很多的想法,我都尊重你,那是你的事,我尊重你,我的工作是,我要傳講神的福音,我可以尊重你,你有很多的看法,其實Google上面有任何的資訊,我都看過了,只是有些我覺得很有趣的一些說法。我要講的是什麼呢?我相信神的話,神的話是基督徒至高無上的權柄,
286.408	315.312	神的話是我們唯一的標準所以我不會在神的話以外的事情太多的琢磨但是你不要誤會說那我是傳講一個反制的信仰就是說你不要去用理性思考不是的 我們的神是一個理性的神我可以把這個東西拿掉嗎因為我已經很久沒有在講臺後面講到好 謝謝因為我們教會沒有辦法沒有錢做講臺所以我們教會一直沒有講臺我們唯一的講臺就是這個就是這個普架
316.561	342.338	我們的神祂不是一個沒有理性的神,因為我們的神祂賜理性給我們,也賜什麼?感性給我們。我們的問題是,我們常常選擇一個我們喜歡的,我們習慣的,我們認為最適合我們的方式,然後從那個角度來認識神,這個沒有問題的。我們的問題是,我們從這個角度認識神之後,我們就拒絕從另外一個角度來認識神。
342.978	364.892	如果你是這樣的人的話,我建議你,等一下可以去掛個號,把你左右腦的其中一個腦拿掉,因為我們一個腦是理性,一個腦是怎麼樣?感性的。若神祂不同意理性跟感性並存的話,祂幹嘛給你左右腦?祂為什麼要吃你理性跟感性?因為這一些都是神祂本體的屬性,瞭解嗎?
365.452	394.507	所以我們要從今天從一個角度來認識,我們要講一些有關靈界的事情,因為我們的教會,特別是當代的教會,特別是當代華人的教會,我們是一個崇洋媚外的教會,我們所有的資訊,我們所有的基礎,幾乎都是從西方白人世界累積出來的,我們感謝他們,因為他們給我們很棒的條理式的,很棒的歸納,很多的系統化,這些都很棒,但是在那個過程中,我們常常把神奧秘的那部分都忽略掉了,
394.787	423.329	以至於現在的教會常常是沒有能力的教會我們可以高談我們的學術我們可以高談我們對神的理解我們理性上面如何解釋上帝但是你無法對這些渴慕神的人或者在困境裡面的人施行一點點奧秘的事因為你根本不懂什麼是奧秘因為你沒有辦法從另外一個角度來認識這個奧秘的神在這個經文裡面告訴我們我們的耶穌就是那唯一的救主祂是什麼那先知
424.07	438.042	那先知先知的工作就是在奧秘裡面與神交通在奧秘裡面把那些奧秘的事領受然後布打出來把奧秘的事成為實際我們讀下一頁
439.258	441.3	格林多前書第二章第十節一起讀
469.872	472.674	跟你旁邊的弟兄姊妹講你擁有靈性的知覺
486.698	501.689	一個被神恢復一個被福音得著的一個基督徒最基礎的一個事情會恢復在我們裡面的是我們對靈性開始產生知覺有感受我們可以領受為什麼呢因為
503.592	529.82	耶穌是那先知那最偉大的先知那個與神最靠近或者我們直接說祂本身就是那道與神同在祂就是神祂本身就是那奧秘的本體祂願意向我們啟示自己啟示是什麼意思你知道嗎啟示不是一些很奇怪的圖案看那個圖像感受到一個電流你要圖案的話多喝一點就會有圖案了
532.773	542.101	在這方面我是專家。我可以告訴你怎麼樣可以看到圖案。多了幾杯就有圖案。你要電流,把手放在那個110電下去你就有電流了。
542.875	565.494	啟示不是那些,啟示是什麼呢?啟示是有一個本來在奧秘裡面的神,願意向我們敞開祂自己。啟示這個字 revelation,它是揭開的意思。就是如果我今天拿了一個盒子來,你根本不知道裡面是什麼對不對?今天我把它打開,這個叫啟示。而誰有那個能力把這個盒子打開?上帝自己。
566.459	595.74	你沒有能力的所以那先知祂把屬靈的奧秘的事打開或者是說祂本身就是那奧秘而那先知現在在哪裡我問一下那先知現在在哪裡你們紀要真理有上過對不對在哪裡在我們裡面祂還在寶座上也在我們的聚會裡面也充滿在教會裡面因為那充滿萬有者要充滿在教會裡面也在你的裡面阿們所以奉主的名祝福你跟旁邊講你也是那先知
597.637	626.423	對不起 我要準確一點你不會成為那先知你也是先知的後裔啊我變異端了 我們都是基督了哈利路亞 感謝主但這樣教會我們是訓練基督的我們不是訓練門徒的哈利路亞異端啊我們都是先知的後裔阿們所以如果我們有先知的後裔我們是先知的後裔我們裡面有先知的血脈那先知的靈也在我們裡面你就擁有參透萬事的能力
627.739	648.818	不要誤會說 喔 這樣我瞭解了兄弟 有個號碼給我不是這個意思不是這個意思 那算命的是你對神原本祂的奧秘你是完全沒有能力可以明白沒有能力可以觸及或者說你就算在那奧秘裡面你也是三郎無啦
649.991	677.806	你在英文的世界裡面你的ABCD的解讀的能力你都沒有的意思而我們擁有那先知的靈你就開始有能力解讀屬靈的ABCD以至於你可以開始掌握屬靈奧秘的事以至於你可以慢慢的而且可以說更熟練的執行神的旨意因為你們都擁有什麼基督的心 聖經講的在跟你旁邊講說你擁有基督的心
679.753	703.223	非常的重要 非常的重要如果我們沒有這樣的一個真理的啟示建立在我們裡面我們的信仰往往建立在我們個人的經驗或者我們個人的理性上面你不是用基督的心去明白基督本體你不是用基督的心去明白基督所要領我們進去的奧秘一切都會變成機真的心
705.93	733.687	你所有所累積的你的信仰生活不過是空談不過是沒有能力的今天我要分享的是充滿聖靈動力的一個基督徒生活每一個基督徒應該是充滿聖靈的動力你也不要誤會說宋牧師在教你們當一個很嗨的基督徒不是你要當一個很嗨的基督徒我有另外一個方法每個人去買一些毒品吃吃就很嗨了不是要很嗨而是你裡面充滿了動力我們會不會遇見困難
734.872	764.325	有沒有比較軟弱的時候有啊莊牧師還住院了我在傳講聖靈動力的生活去住院住五天這是要說什麼但是我相信這是真理我也在經歷我有陣子很少生病接教會就常常生病所以你要害一個人你要讓他生病就讓他去教會工作你知道嗎所以你看莊牧師每次看到他我就覺得主啊感謝你
766.271	781.498	真的是,你運行萬事充滿了奧秘。要為牧師禱告好不好。教廷教會好累喔,你看我們教會才三百人,我就被搞得這樣稀哩呼嚕了。這個教會一千人耶,已經不知道稀哩什麼嚕了,喔真的是。
782.398	809.72	求主祝福我們 求主祝福我們雖然我們有時候遇見一些軟弱 低沉 無力感但是神要賜我們充滿動力的生活這件事情是千真萬確的我們要活得像耶穌一樣你看到在聖經裡面在四福音裡面所記錄的耶穌充滿了動力祂工作常常工作到很晚服事服事到很晚很早起來 靈修
810.401	822.303	祂是一個充滿動力的上帝。我們裡面有這個上帝的性情,我們必須充滿動力,阿們。我們必須在靈裡面明白奧秘,以至於我們被開啟,又下一頁,
823.456	845.209	有一個重點來整理一下我們一起來讀耶穌就是那個先知而重生得救就擁有耶穌的生命基督徒擁有先知性的靈性智覺我想這個是我們大家都可以理解的就算你可能從來沒有一些比較在靈界裡面的經驗你從聖經的歸納你也可以得到這個事情我們每一個人的靈性被恢復了
845.589	860.674	我們裡面有一個兒子的靈。我們可以呼叫阿爸父。聖靈在我們裡面引導我們。我們裡面那個靈性得以恢復。我們可以慢慢的明白這個奧秘裡面的事情。下一頁。我們一起來讀這節。
861.527	878.602	不要愛世界和世界上的事若有人愛世界愛父的心就不在他裡面。雅各書4章4節一起讀大聖讀神的話你們這些淫亂的人請不知道與世俗為友就是與上帝為敵嗎所以凡想要與世俗為友的
881.271	899.645	我們雖然已經得救,我們雖然可能有些聖靈充滿的經驗,但是我們還是有可能在這個世界的系統裡面,被魔鬼來攻擊。魔鬼祂主要的工作是什麼?就是轉移我們原本注意神的焦點,
900.145	921.301	進到祂所要我們引導的焦點裡面。魔鬼沒有放棄要來怎麼樣?攻擊我們。有些基督徒有一些很天真的想法,他們認為在新約的時代,在兩千年前,耶穌已經把所有魔鬼都已經綁一綁放在倉庫裡面了,所以這個世代沒有魔鬼了。
922.142	950.026	特別在西方的白人的世界所建構的這樣的一個基督教系統裡面你會發現在白人在過去的教會史裡面特別在近代教會史裡面他們基本上有一些理論是反對靈界的事情的他們認為根本沒有鬼的他們把鬼透過神學的系統把它淡化掉了他們把魔鬼把它淡化成一種你心裡面的雜念你心裡面的一些邪惡的想法
950.486	961.964	如果只是這樣的話我相信你可以把這門聖經都燒掉了魔鬼是的的確確存在的當然在我們東方世界裡面我們常常可以看到鬼的
962.671	983.729	我們在趕鬼裡面,你看到有人彰顯,求主幫助我們,我們不是在專門做醫治趕鬼這個事情,這只是其中一個很小很小的一個拼圖,整個聖靈充滿,整個五旬節降臨,它有一個很大很大的意義,就是要讓我們這個人脫離罪,然後可以持續的準確的完成神的旨意。
984.787	1001.974	而魔鬼在這個過程中就是不斷的要轉移你不要去注意神啦不要去注意神啦來 注意這個世界所以在這裡 約翰遺書告訴我們不要愛世界還有世上的東西如果你有讀過約翰遺書你就知道世上的東西其實就三種東西組合在一起第一個是什麼
1002.654	1021.829	肉體的情慾,第二個是什麼?眼目的情慾,第三個是什麼?精神的驕傲。所有世上的事情,就是這三位一體合在一起的。魔鬼就是那幾招,肉體的情慾,眼目的情慾,精神的驕傲。換句話,我們比較容易直白的聽得懂的,就是 sex, power and money,性,
1024.497	1048.464	權力 金錢其實我們每一個人都籠罩在這樣的一個世界邪惡的文化裡面你不要跟我講你多高尚我告訴你 我不相信我也不相信哪一個牧師多高尚弄騙笑沒有一個牧師沒有這樣的一個誘惑過信 權力 還有什麼
1049.394	1061.276	包括在我們所謂的神聖的殿堂裡面常常性權利跟金錢是最邪惡被隱藏在神聖的這樣一個表皮底下在運作的
1062.073	1086.488	求主幫助我們我們要從這樣的三元素裡面脫離出來魔鬼不斷用這個三元素在攻擊我們引誘我們你想想看在你的職場裡面在你的家庭裡面在你個人的生活裡面有多少次性權利跟這個錢財或者是馬門不斷的在吸引你誘惑你我們當中有買過樂透的人你就知道為什麼要買樂透
1088.148	1114.111	我們還發下好語,噁心至極。主啊,為了禰的國,為了淡江教會莊牧師的身體健康,還有建堂,我決定背起我的十字架,走向那賣這個叫做那個大樂透,或者是什麼透的這個店舖裡面,將我的錢放進去,神啟示我幾個數字就好了。
1115.145	1115.165	噁心，
1131.493	1154.185	很多時候我們在做一些我們所謂的神的旨意,其實你是想要完成你心裡面肉體情慾、眼目情慾,或者今生驕傲,然後你把上帝拉下來叫祂幫你買單。奉主的名告訴你,你真,我差點罵髒話,你真噁心啊。不好意思,我們教會的講臺有時候會有髒話。
