start	end	text
0.009	6.774	我們來讀一下神的話,給我下一頁。
6.774	7.774	我們一起來讀。
7.774	11.517	五旬節那日到了,他們全都聚集在一起。
11.517	19.763	忽然,有聲響從天上下來,好像一陣大風吹過,充滿了他們所坐的整座屋子。
20.043	20.523	下一頁。
32.244	37.528	那時有從天下各國來的虔誠的猶太人,住在耶路撒冷。
37.528	40.851	這聲音一響,許多人都來聚集。
40.851	45.976	個人因為聽見門徒用他們自己的香檀說話,就聖納門。
45.976	51.620	十二節,眾人就都驚奇困惑,彼此說,這是什麼意思呢?
51.620	56.144	還有人蹊蹺說,他們是灌滿了新酒吧。
56.144	56.685	我們來禱告。
57.125	61.006	主謝謝祢,讓我們今天被新酒再次灌滿。
61.006	66.727	主啊,願祢的聖靈在我們當中,自由的運行,讓我們被祢的聖靈澆灌充滿。
66.727	72.188	讓我們今天再次渴慕主,祢坐在五旬節的那一天的事,要發生在我們身上。
72.188	73.808	主,讚美祢,我們向祢敞開。
73.808	77.329	奉主的名,命令所有下神死亡的靈離開我們。
77.329	82.990	我們歡迎聖靈,祢向一陣大風吹向我們,吹向我們,從敬拜的時候就吹向我們。
83.865	87.148	謝謝主,我們一起來一段時間來默想神的話。
87.148	88.730	默想神的話。
88.730	91.452	神樂意充滿在我們的身上。
91.452	94.335	神樂意充滿在你的裡面。
94.335	95.116	你渴慕祂嗎?
95.116	103.584	聖靈,我們在你面前謙卑我們自己。
103.584	108.228	主,願祢這個時候更深的澆灌在我們裡面。
108.228	108.949	澆灌在我們裡面。
110.060	142.748	這段經文我們都很熟悉,就是聖靈澆灌的那一日, 有聖靈充滿在每個人身上﹐就有舌頭如火焰﹐就一個長得像舌頭的火焰﹐在每個人的頭上。
142.748	147.610	然後呢﹐個人就說起各地的這個相談﹐就是方言。
147.610	206.728	整個經文﹐ 讓我們明白當時有很多的住在國外的相信猶太教的人可能是歸入猶太教的外邦人或者是猶太人到耶路撒冷城以外的城市去工作去做生意或者他們在其他地方討生活猶太人猶太教每年都要回去過三大節慶而他們就回去要過三大節慶的過程在那個五旬節澆灌下來的時候 每一個人每一個人就說起了那個各地的方言就從世界各地來的這些的歸陸猶太教的人就聽到這個怎麼在講我們西班牙話這群人怎麼會講我們這個拉丁美洲的話這個怎麼會講我們當地那邊的方言然後呢整個的整個的行為可能有點失序 可能不像我們平常聚會的那樣子﹐這麼有次序。
206.728	213.213	甚至可能有一些﹐狀態讓人家覺得﹐這群人根本就是喝醉了。
213.213	223.140	所以你會發現說﹐他在第13節的時候﹐有人就在說﹐這個是什麼意思﹐有人就在取笑他們﹐啊﹐這群人喝太多醉了﹐這些人喝酒醉了。
223.140	235.595	所以當聖靈充滿澆灌的時候﹐常常會有一些﹐ 比較不是你期待的一些的方式,或者是可能有的人會開始搖搖晃晃,你有喝酒醉過嗎?
235.595	239.060	有喝酒醉的請舉手。
239.060	243.506	這個喝酒醉我覺得你們跟可能我們的定義不大一樣。
245.486	277.362	真正喝酒醉真的到一種狀態喝酒很好玩大概喝到三分的時候是一種一種很舒服的狀態有沒有然後那時候你好像什麼都可以講然後你聽什麼都覺得非常的舒服而且你會常常講真話三分大概已經開了就開始最近有些抱怨跟你講我最近跟莊牧師吵架你知道嗎然後那個狀況裡面就會掏心掏肺五分講更多了 密心我跟你講 那個莊牧師怎麼樣開始亂講了啦。
277.362	279.963	七分,你大概已經快控制不了自己了。
279.963	287.188	八分,講話都講不太清楚。
287.188	293.332	沒事,我跟你講,有這樣狀況過嗎?
293.332	294.873	八分之後就會斷片。
296.527	299.850	第二天起來,我怎麼不記得我那天發生什麼事情。
299.850	302.071	很多人被檢視,都是在那段時間。
302.071	304.413	所以,記得一件事情。
304.413	307.876	一定要成為酒的主人,不要當酒的奴隸。
307.876	313.060	這邊有一群人,一定有一些狀態,已經讓人家有點覺得很誇張了。
313.060	317.743	被聖靈澆灌在那邊,有人在地上滾。
317.743	320.505	他應該是有一點點小小的混亂。
320.505	323.208	所以那些人看到這些人說,這些人喝酒醉了。
323.848	325.189	這些人喝酒醉。
325.189	328.071	要不然你怎麼會形容一個人喝酒醉呢?
328.071	332.135	你今天看到一群教會人在那邊講方言,你會覺得他們喝酒醉嗎?
332.135	332.955	不會啊。
332.955	340.542	你今天看到教會人在那邊敬拜讚美神,跳讚美操,有人要靠車,有人靠馬,你會覺得他們喝酒醉嗎?
341.886	345.269	你今天看到招會的弟兄姊妹在那邊呼喊主耶穌。
345.269	345.269	噢!
345.269	345.769	主耶穌!
345.769	345.769	噢!
345.769	346.049	主耶穌!
346.049	348.871	你會覺得他們喝酒醉嗎?
348.871	349.572	不會嘛!
349.572	351.253	你今天看見學生在那邊查經。
351.253	351.253	噢!
351.253	352.654	他們喝酒醉,所以在那邊看書。
352.654	353.475	會嗎?
353.475	354.515	不會嘛!
354.515	359.399	一定是有一些的行為行徑,讓人家覺得這個有點誇張了吧?
359.399	361.661	這是奇怪,而且亂講話。
361.661	365.764	這些人本來不是我們講我們這個語言的人,就亂講一通。
366.084	375.921	可是講的好像都是讚美神的,也可能當中旁邊有兩個在那邊搖搖晃晃,有人在那邊滾來滾去,不知道是什麼,所以人家說這些人喝酒醉。
375.921	414.363	感謝主, 我們從聖靈充滿在第一次的聖靈充滿裡面,我覺得神不只是像我在上一堂講的,神要把我們收斂成一個教會一個身體,神要打開我們這群人對我們的宗教性,我們有太多的宗教性,宗教性就是很多的規則,很多的框架,很多我們自以為是的上帝一定要如此, 我們很多人的信仰的旅程,有不同的宗教的宗派影響你。
414.363	428.472	所以有人認為,教會一定要有長椅子,教會要一個很厲害的講臺,最好是木頭做原木,教會一定要有十字架,教會一定要做什麼,教會要有什麼,這些對我來講是宗教性。
429.531	431.012	都是宗教。
431.012	437.774	如果你覺得教會一定要有那些東西,你覺得一定要有什麼什麼,神才會同在。
437.774	446.838	你就是限制把這個創造宇宙萬物的這個上帝,限制在你的小小的宗教性的框架裡面。
446.838	448.999	生靈充滿就是要打破這個宗教性。
450.043	455.425	這群人去看到他們在那邊講方言,取消他們說被聖靈充滿的人。
455.425	463.427	他們就是要去滿足,去完成他們猶太教宗教性的行為。
463.427	464.587	所以他們要幹嘛?
464.587	471.029	要去獻祭,他們要去贖罪,他們要去耶路撒冷聖城朝見上帝。
471.029	473.010	這一些都是宗教性。
474.991	503.064	聖靈充滿澆灌就是要擊碎打破這些宗教性甚至會超出你的所求所想甚至會超出你喜歡的方法所以跟你旁邊講聖靈充滿沒有一定的方法 包括看一下我這裡,包括現在我們在過往的一百年的靈恩運動所累積出來的行為都可能成為宗教性。
