start	end	text
2.722	20.842	我們有需要聖經的朋友們也可以把手揮一揮。招待把聖經可以給他。感謝主,目前血壓還可以。反正我的醫生在下面。
26.015	50.704	好,所以你們待會讀聖經的時候要振奮一點。我就可以休息一下。我們來讀路加福音第十九章的第一節到第九節。只有九節的經文,所以我們怎麼樣?要好好來讀神的話語。路加福音第十九章的第一節到第九節。預備,來。耶穌進了。
112.858	127.9	第十節我們一起來,預備,來。人子來,為要尋找拯救世上的人。第十節再一次,預備,來。人子來,為要尋找拯救世上的人。我們一起低頭禱告。
128.541	145.917	是的,耶穌基督你從天上榮耀聖潔的寶座,你甘願降世為人,甘願降生在又髒又臭的馬槽,甘願在地上過著那辛苦傳福音的生活,甚至最後,主啊,
146.578	173.779	被羞辱,衣服被扒光,被釘在十字架上,承擔世人所有的罪孽,悔恨,失敗與汙穢,救贖我們的生命,用你的命換我們的命,好叫我們的人生有一個全新的開始,好叫我們從一個在世界上無依無靠的人,可以變成天賦的兒女,
174.019	195.32	主啊,禰來就是要尋找拯救失喪的人。把每一個人都帶回到天父的懷裡。主啊,我們何等的感謝。願今天早晨禰繼續的與我們同在。讓我們明白禰救恩的奇妙與偉大。奉主耶穌的名禱告。阿們。
199.65	226.655	好,原本不是要講這段經文,但今天早上起來的時候,在禱告的時候,神給我一個感動,要我換這段經文。這個題目,我只有剩下短短的20分鐘。今天的主題叫做,第一個職場使者,第一位職場使者。職場使者呢,就什麼意思呢?就是基本上呢,神並沒有要每一個人都來當牧師。所以呢,基本上呢,
226.715	241.756	大部分神的兒女們,神會安排你們在祂的榮耀的計畫裡,安排你的角色,安排你的崗位,那就是你的職場,懂意思嗎?
242.056	260.145	有人說沒有,我已經退休了,我哪有什麼職場。對不起,你有沒有住在某一個社區?有。你有沒有認識一些相關的人?有。你每天出門的時候有沒有經過一些地方跟一些人打招呼?有沒有?有。那這個網絡,這個角色,這個關係,就是你的什麼?職場。
261.169	279.39	職場,第一個,當然這是聖經裡面有很多,還有耶穌做很多事,其實不一定都有記在聖經裡面。所以牧師今天只是打個比方,說這是一個第一位職場使者,是誰?撒蓋,撒蓋。
