start	end	text
0.009	9.839	我們先來看詩篇第84篇第5節到第7節詩篇84篇第5節
11.084	38.258	那第七節,我們翻到了嗎?好,一起來讀,預備,來。靠你有力量,心中嚮往喜安大道的,這人便為有福。他們經過流淚谷,叫這谷便為泉源之地,並有秋雨之福蓋滿了泉谷。他們行走,力上加力,個人到喜安朝見神。
39.548	53.439	好,我們讀到這裡,麻煩PPT同工幫我們,謝謝。今天牧師想跟各位分享一個主題, 叫做恩上,怎麼樣?加恩。利上呢?你們怎麼會相信恩上還要加恩呢?
54.445	78.376	有這麼好運嗎?你會相信恩典會一直一直一直的臨到你的生命裡嗎?你會相信從神而來的力量會不斷不斷不斷的使你力上還要加力嗎?這邊經文告訴我們在詩篇84篇,這是一個朝聖的詩篇。他們經過許多的困難,經過許多的艱辛之後,他們要去這個聖地朝見神。
78.916	102.95	經文第五節講到說我們都是靠著神才有力量走上這個榮耀的這個天路之旅。他說靠主有力量能夠走完這個天路歷程是怎麼樣?是怎麼樣?有福的。那他們怎麼樣有福呢?我的監聽再大一點點,謝謝。他們因為曾經經過什麼谷?流淚谷。
104.514	125.767	很不容易,要去朝見神路很長,然後旁邊可能還有土匪,什麼一大堆有的沒有的。眼看了怎麼樣,就快要走到,結果中間怎麼樣,經過什麼谷,流淚谷。其實原文不是流淚谷,希伯來原文是什麼,是乾旱谷,乾燥谷,就是沒水,前陣子家裡有停水的人請舉手,
126.596	137.715	我們新明街最會停水,因為上坡你們都有水了,我還要去我媽家洗澡,感謝主,我記得這個,我不要亂講,我每次亂講回去我太太都罵我,
139.804	166.782	要去朝聖,中間應該神要供應,怎麼會走道走一走,變成乾燥谷,缺水,是在叫我渴死嗎?是在叫我熱死嗎?可是在這個時候,你就要經歷怎麼樣?雖然經過這個乾旱谷,可是神要行奇妙的事,神第一個要讓這個谷,本來是乾旱谷,變成什麼之谷?變成泉源之地,這個谷本來不是沒有水的,神要讓它怎麼樣?
167.022	194.04	要讓祂變成有湧泉、有水泉自己冒出來的。這是給的第一個力量。但是我們的神是力上怎麼樣?還要加力的神。因此神還給第二個力量,就是要從天上也要降下什麼?秋雨之福。從地裡面有水湧出,從天上有雨降下來。秋雨是大概每年的十月到十一月,他們秋收之後準備要
194.77	213.077	撥明年的種,所以要等秋天的雨下過,他們才可以撥種,不然土地很堅硬,明年就沒有辦法收成。所以他們叫秋雨,叫什麼雨?叫吉時雨。弟兄姊妹,神就是這樣,當你雖然走這個天路歷程,
214.07	241.118	走這個與神同行的路程,走這個人生路啊。走一走,竟然走到了乾旱谷。你不要以為人生怎麼樣,就此怎麼樣,就掰掰了,你就毀了,就完了。因為耶穌基督在十字架上,最後祂大聲的說什麼,一,毀了,二,糟了,三,完了,第四什麼,成了。拜託,耶穌基督講的都是成了,可是我們都講什麼樣,毀了,死了,糟了,壞了,完了。
242.108	262.59	我們用的語言跟耶穌基督用的語言常常是不一樣。因此神常常鼓勵我們,雖然經過肛、汗、骨,要相信你的神對待你的方式是什麼?是恩上還怎麼樣?加恩。利上呢?還要加利。我們以前有沒有被恩過?有啊!可是我們常常到肛、汗、骨怎麼樣?就把恩忘了一干二淨。
262.91	290.633	神啊,不愛我。神啊,拋棄我。神啊,禰只愛他,不愛我。禰比較疼他,比較不疼我。神說不要這樣。神說誰告訴你,我不再對你恩上還要加恩。神說誰告訴你說,我對你不再利上還要加利。阿們。神對我們是恩上加恩,利上加利的神。第二個我們看看,那恩上加恩的經文在哪裡?我們看一下約翰福音第一章。新約聖經約翰福音第一章16節。
294.224	318.801	約翰福音第一章16節。我們看看恩上加恩在哪裡。好,預備,來。從祂豐滿的恩典禮,我們都領受了,而且恩上加恩。從基督祂什麼的恩典禮?什麼叫豐滿?豐滿不是說很胖,豐滿什麼意思?多得不得了,多得要滿出來了。
320.435	343.226	我們總是把我們的神的恩典想得怎麼樣?啊,主啊,沒關係,啊,禰的恩典夠我用就好了。啊,人生就是這樣吃苦,悲情。啊,禰的恩典夠我用就好了。啊,人生就是一層苦,人生不如一十之八九。啊,就這樣就好,沒關係,神啊,禰這不要讓我死就好了。啊,阿伯拉罕說,主啊,禰要給我以撒,不用了,以死馬利活著就好了啊。
344.565	374.351	我們常說怎麼樣?主啊,恩典有啦,是感謝主,但恩典都夠我用就可以了。什麼恩典還要豐滿出來,還要滿意出來。弟兄姊妹,常常我們面對神的時候,我們都不太相信,祂是要給我們恩上還要怎麼樣?加恩。你真的相信神對你會恩上加恩嗎?你為什麼會相信?經歷過。那你有沒有經歷過,你覺得神恩上不再加恩的時候,有沒有?有嘛。那你有經歷過好像,
374.667	400.072	說神不再恩待你,你不再恩上加恩。後來發生了什麼事,讓你變成你相信神是恩上加恩?因為神真的有給你恩上加恩,你懂意思嗎?感謝主嘛,對齁。所以我們今天就來看一些我們在聖經裡面久仰大名的一些人物,他曾經也認為怎麼樣?神過去有很大的恩,可是現在應該沒有了。所以怎麼樣?可以去試啊。
400.964	429.692	聖經裡面有一個人怎麼樣?他是怎麼樣?他每天喊,最有名他一直喊要去死是誰?以利亞。我們看看這個傢伙到底是怎樣?他為什麼一直喊著說我不活了,我毀了,我以前有很大恩,現在恩庭了,我可以拜拜了。我們來看《列王記》上。我們看《列王記》上第19章。《列王記》上第19章。
