start	end	text
0.009	41.700	OK 我們今天要來一起看約束亞記第二三章約束亞記這二三章大家知道在哪裡嗎上次我們讀完生命記現在進入約束亞記不 現在進入使徒行傳了在我們還沒開始讀這段經文之前我們一起來做一個禱告 天父感謝祢愛教會,耶穌為教會捨命。
41.700	56.573	主啊,試著讓我們教會成為主啊,在祢的真理裡面,成為被祢塑造,豐盛改變,在祢的真道上更加完全。
56.573	64.881	主啊,謝謝祢早晨,再一次用祢的話語, 來餵養我們,使我們靈魂體都得到健壯。
64.881	68.383	感謝主,祝福,禱告,奉耶穌基督的聖名。
68.383	70.024	阿們。
70.024	78.750	我們要看約書雅記第二十三章,我們要把第二十三章全部讀完。
78.750	85.974	講翻道的話,約書雅記第二十三章,是不是有些人沒有聖經,沒有聖經麻煩舉手。
88.285	95.169	那PowerPoint,假如電腦可以幫助我們的話也可以。
95.169	99.412	耶穌法記第二十三章,我們一起來唸,預備,來。
99.412	106.536	耶和華使以色列人安靜,不與世為的一切仇敵征戰,已經多日。
107.056	129.912	耶穌亞年紀老邁,就把以色列眾人的長老、主長、審判官並官長都招了來,對他們說:「我年紀已經老邁,耶華你們的神因你們的緣故,向那些國所行的一切事,你們親眼看見了。
129.912	147.101	因那為你們征戰的,是耶華你們的神, 我所剪除和所剩下的各國,從約旦河起到日落之處的大海,我已經年舊分給你們各支派為業。
147.101	163.249	耶華你們的神必將他們從你們面前趕出去,使他們離開你們,你們就必得他們的地為業,正如耶華你們的神所應許的。
163.729	166.117	所以你們要大大壯膽。
169.497	219.685	律法上的一切話﹐不可偏離左右﹐不可與你們中間﹐所剩下的這些國民參雜﹐他們的神﹐你們不可提他的名﹐也不可指責他起誓﹐也不可侍奉叩拜﹐只要照著你們今日所行的﹐專靠耶華你們的神﹐ 因為耶華已經把又大又強的國民從你們面前趕出直到今日沒有一人在你們面前站立得住你們一人必追趕千人因耶華你們的神照祂所應許的 為你們征戰。
219.685	224.567	你們要分外謹慎,愛耶華你們的神。
224.567	235.611	你們若稍微轉去,與你們中間所剩下的這些國民聯絡,彼此結親,互相往來。
235.611	243.535	你們要確實知道,耶華你們的神,必不再將他們從你們眼前趕出。
244.155	258.740	他們卻要成為你們的網絡機械,樂上的邊,眼中的刺,直到你們在耶華,你們神所賜的這美地上滅亡。
259.360	263.262	我現在要走是人必走的路。
263.262	266.484	你們是一心一意的知道。
266.484	271.746	耶和華你們神所應許賜福於你們的話。
271.746	276.309	沒有一句落空都應驗在你們身上了。
276.749	283.757	耶華,你們神所應許的一切福氣,怎樣臨到你們身上。
283.757	295.411	耶華也必照樣使各樣禍患臨到你們身上,直到把你們從耶華你們所賜的這美麗上除滅。
296.032	305.423	你們若違背耶華,你們神吩咐你們所守的約,去侍奉別神,叩拜祂。
305.423	313.853	耶華的怒氣必向你們發作,使你們在所次的地上數數滅亡。
316.288	317.789	我們在禱告。
317.789	318.530	阿利路亞。
318.530	324.275	謝謝主,把我們糧在這個地方,在淡水為耶穌基督做光、做鹽。
324.275	327.298	我們也相信這是美好的時刻。
327.298	330.421	主耶穌,我們是重新再出發的時刻。
330.421	336.887	主啊,你要帶領我們走一條又新又活的道路,讓我們能夠主啊,得地為業。
336.887	342.012	讓你的祝福主啊,透過我們領導萬民、萬國、萬邦。
342.312	347.795	主耶穌,我們感謝祢,謝謝祢藉著這段話再一次鼓勵、激勵我們的心。
347.795	355.780	謝謝祢讓我們滿得祢的恩典和豐富,奉耶穌的名祷告。
355.780	356.181	阿們。
356.181	376.884	今天分享這段經文是因為我覺得十四週年慶對我的感想, 十四週年慶對我的感想,我其實對過週年慶沒什麼興趣,但是我覺得這次的週年慶對我來講是有特別意義。
376.884	378.244	為什麼呢?
378.244	381.206	因為今天我們是十四週年,十四週年是什麼?
381.206	383.947	在身上是等於兩個七,對不對?
383.947	385.088	一個七就是完全。
385.088	391.451	我覺得,我以前沒注意到,中國人都不喜歡四,對不對?
391.451	393.872	但是我發現這不是四,這是兩個七。
394.650	412.655	所以我就覺得好像有一個不一樣的,我覺得神在我們當中或在我身上有一個不一樣的一個發展,一個新的開始要在我身上發生。
412.655	414.235	看第一張投影片,下一張。
423.046	465.686	這裡兩個七,我覺得神告訴我,其實, 我來淡江的時候我跟牧師講說我呢就是來這邊好好的陪伴弟兄姊妹我也沒有什麼我就不會特別我沒想要做什麼大事業牧師那我就是我不敢說用退休者的心態來工作但是我真的我的心裡想法就是說 僅僅我還有,想預定我五十歲退休,我還有二十五年我開服事處。
465.686	470.209	我就用這二十五年來陪伴弟兄姊妹。
470.209	473.890	所以我沒有想太多。
473.890	479.393	我真的沒有想要做什麼特別的事情。
480.759	514.909	但是在十四周年慶的時候,我覺得神告訴我說,我現在不能夠,神要給我,神要提升我,神要讓我不只是停滯在這個地方,神不希望我好像只是,以前我就是, 上帝,我沒有要做什麼事,但上帝你要用我,我願意被你用。
514.909	533.104	這時候,神告訴我說,祂不只希望我是這個樣子,祂希望我是跟 祂要用我,祂要在生命,在這一段時間,在淡江有一個新的不一樣的恩典,讓我們一起來跟上。
533.104	542.669	所以在這一次十四周年慶的時候,我發現上帝告訴我,上帝要開始一個新,重啟我生命的新星。
544.292	557.925	神要帶領我在這地方更多的慰祖,要經歷神在淡江更多的恩典。
557.925	561.167	我們時事是什麼?
561.167	563.189	大家看一下是什麼?
563.189	564.951	時所取義什麼?
564.951	566.072	臨風破浪。
568.729	584.053	靈風破浪是因為有一個靈風,有一個聖靈的風在我們當中吹,是帶著我們,我感覺有一個特別的聖靈的風浪。
584.053	603.341	我好像掃到尾巴,好像最後一點點聖靈的風浪要在 這個地方要在我的人生或在我們丹香可以掃過我們,讓我可以來服侍祂,讓我們可以乘風破浪。
603.341	614.325	華里克說,我們不能造浪,聖靈的浪不是我們造的,是神造的,但是我們可以乘風破浪。
615.828	623.250	所以這一部分是我不能的。
623.250	628.151	神我靠我自己不能做什麼。
628.151	633.992	但是聖靈的風浪來的時候,我們就可以。
633.992	640.274	聖靈告訴我,這個時候聖靈的波浪要來,我們可以乘風波浪。
640.274	654.733	所以, 這是一個,我不知道大家覺得怎麼樣,但我覺得這是一個新的不一樣的世界。
654.733	662.575	上帝借一本書提醒我。
662.575	705.899	這次在一本小冊子,《蒲公英》上面有一個故事,我覺得 很好他記載一個人叫卡爾瓦達倫這個人呢他是一個走鋼索的探險家他過去在很多地方都會冒險走鋼索但是他在1972年波多黎戈那一次他摔下來他說了一句話 大家不要覺得他摔下來就覺得很可憐。
705.899	708.241	覺得走這個鋼索很危險,對不對?
708.241	710.403	就摔下來。
710.403	713.565	人都很擔心萬一摔下來怎麼辦?
713.565	717.649	但人總是會摔下來,只是他摔的地方不一樣。
717.649	721.011	他是摔在鋼索山谷底下。
721.011	725.035	但是你人生假如沒有摔就不可能成長。
725.035	732.661	他說了一句話,人生最重要的事是站在鋼索上,其他的一切只是等待。
734.770	740.851	這句話提醒我。
740.851	748.273	他說人生最重要的事情是站在鋼索上。
748.273	751.354	我們都不太喜歡冒險。
751.354	758.276	站在鋼索上的人,大家會覺得是很危險的事情。
