start	end	text
0.009	17.06	來,我們來讀幾處經文。約束亞記第五章十三十五節。PowerPoint同工請幫助我們讀經的經文。約束亞記第五章十三十五節。可以嗎?找到嗎?好,請。約束亞,靠近。我要聽到你們的聲音,請。
17.5	35.597	耶穌亞靠近耶利哥的時候舉目觀看,不料有一個人手裡有拔出來的刀對面站立。耶穌亞到他那裡問他說,你是幫助我們敵人呢?他說,不是的,我是來
37.517	51.637	萬鈞元帥,約束亞就怎麼樣?撫撫在地下拜說,我主有什麼話吩咐僕人。耶和華軍隊的元帥對約束亞說,把你腳上的脫下來,因為
54.172	76.683	約束亞就照著行了。這位年輕的領袖,他在神面前被神再次的認命,因為神要他做一件偉大的事。我們看下去約束亞中間,接下來他被神確認以後,神開始要他做一些攻除敵人的工作。到了第六章發生什麼事?非常有名的耶利哥城倒塌的
77.483	83.25	故事,大家記得嗎?好,我們再讀一下好不好,1到16節第6章,約瑞雅記第6章,1到16節,請
93.814	122.005	看哪﹐我已經把耶利哥和耶利哥的王﹐並大能的勇士都交在你手中﹐你的一切兵丁都要圍繞這城﹐一日繞一次﹐六日都要這樣行﹐七個祭司要拿七個羊角走在約會前﹐到第七日你們要繞城七次﹐祭司也要吹腳﹐他們吹的腳聲拖長﹐你們聽見腳聲﹐眾百姓就要怎麼樣﹐
122.585	138.43	大聲呼喊,然後呢?個人要往前直上。嫩的兒子約瑟雅照了祭司來,吩咐他們說,你們要怎樣?抬起約櫃,要有幾個人?七個祭司,拿七個。
139.548	167.593	走在耶和華的約櫃前,又對百姓說,你們前去繞城,帶兵器的要走在耶和華的約櫃前。繼續來,加油。約書亞對百姓說完了話,七個祭司拿七個羊角走在耶和華面前吹腳,約和華的約櫃在他後面跟隨,帶兵器的走在吹腳的祭司前面,後對隨著約櫃行。祭司,約書亞就說,
168.78	198.244	不要講話不要出聲連一句話也怎麼樣不可以出來後來等到我吩咐你們呼喊的日子才可以怎麼樣呼喊這樣他使耶和華的約櫃繞城把城繞了一次眾人回到營裡就在營裡住宿約須亞清早起來祭司又抬起耶和華的約櫃七個祭司拿七個羊角在耶和華的約櫃前帶兵的
200.64	206.977	後退的。後來,計時怎麼樣?一面走,一面吹。第二日。
210.077	237.844	這樣連續怎麼樣?六日都是這樣行。到第七天不一樣了。第七天的清早,黎明起來的時候,他們怎麼樣呢?照樣繞城七次。唯獨這日,把城繞了七次。到了第七次,祭司吹腳的時候,約瑞亞,吩咐百姓說什麼?呼喊吧!因為耶和華已經把城交給你們了。上帝有時候做的事情很難理解,
238.524	264.897	不該說話的時候不能說話,要說話的時候要很大聲。我們繼續看下去,到了後半段,就是約束亞老了,他即將要過世以前,又發生了什麼事呢?第18章1到3節,請。以色列的全會眾都聚集在士羅,把帳幕設立在那裡,那地已經被他們制服了。
265.077	290.471	以色列人中其餘的七個支派還沒有分地給他們為地頁。約書亞對以色列人說:「耶和華,你們列祖的神所賜給你們的地,你們單言不去得,要到幾時呢?」好,大家讀完經文有沒有醒了?好的,請大家先把這三處經文不要合起來,我們要一起來重新來思考約書亞記。
291.852	315.378	在以前我在信耶穌的教派是宣道會,大家聽過宣道會的可以舉手一下嗎?很好,謝謝。現在臺灣大概只有26間、27間左右的堂會,而且每一間堂會都是比較小,差不多有50到100人。它是一個非常保守,但是也非常合乎聖經教導的福音派的教會。
315.998	326.827	我在宣道會信耶穌。我在宣道會受洗。我在宣道會讀神學院。讀大學的四年制的神學院。我在宣道會所開拓的教會服事。
