start	end	text
0.009	15.398	找兒子。所以呢,我就要穿成國王的樣子。所以我們精魂讀完我就可以把它脫掉,對齁?非常的熱,對齁?好,我們一起來讀希伯來書第二章的第五節到第十八節,預備,來。
16.22	35.351	我們所說將來的世界神原沒有交給天使管轄,但有人在經上某處證明說,人算什麼,你竟顧念他,四人算什麼,你竟眷顧他,你叫他比天使微小一鐵。
35.691	54.874	賜祂榮耀尊貴為冠冕﹐並將禰手所造的都派祂管理﹐叫萬物都伏在祂的腳下﹐既叫萬物都伏祂﹐就沒有剩下一樣不伏祂的﹐只是如今我們還不見萬物都伏祂﹐
55.555	73.798	唯獨見那成為比天使小一點的耶穌,因為受死的苦,就得了尊貴榮耀為冠冕,叫祂因著神的恩,為人人藏了死位。原來那為萬物所屬,為萬物所本的,
74.138	93.443	要領許多的兒子進榮耀裡去,使舊他們的元帥因受苦難得以完全本世合一的,因那使人成聖的和那些得以成聖的,都是出於一。所以他稱他們為弟兄,
93.763	121.343	也為此說﹐我要將禰的名傳於我的弟兄﹐在會中我要頌揚禰﹐又說﹐我要依賴他﹐又說﹐看啊﹐我與神所給我的兒女﹐兒女既同有血肉之體﹐她也照樣親自成了血肉之體﹐特要藉著死敗壞那掌死權的就是魔鬼﹐
121.783	150.146	並要釋放那些一生因怕死而為奴僕的人。他並不救拔天使,乃是救拔亞伯拉罕的後裔。所以他凡事該與他的弟兄相同,為要在神的世上成為慈悲中心的大祭司,為百姓的罪獻上挽回祭。他自己既然被試探而受苦,就能搭救被試探的人。
156.561	181.894	今天的題目叫做國王找兒子,或是國王找王子。其實我們剛讀過剛剛的經文就知道為什麼我要選這個題目,因為從第五節開始,聖經告訴我們一個天大的好消息,原來這個世界,將來的世界,神沒有要交給天使來管理,是交給誰管理,要交給他的兒女們來管理,就是國王要交給他的兒子們來管理。
182.534	211.132	所以有人在第六節說有人在經上就寫的說詩篇在詩篇裡面詩篇他說人算什麼上帝你竟然顧念他世人算什麼上帝你竟然眷顧他上帝你叫人比天使微小一點或是說你叫人暫時比天使小但是你要賜給人的是榮耀尊貴為什麼
211.971	226.181	為官免,而且還要將上帝手所造的都派給人來管理,叫萬物都服在人的腳下,或是萬物都服在神的兒子們的腳下。
226.869	254.682	這是原本上帝創造我們人類的時候,父神要給祂的兒子們所擔任的使命,所經營的天父上帝所創造的這個世界。但是後來人卻失去了這個冠冕,人卻沒有辦法代表他的父親來管理這個世界。原因是什麼呢?因為人都犯了罪。我們繼續來經文往下讀。
255.896	276.052	既叫萬物都服祂,就沒有剩下一樣不服祂的,只是如今我們還不見萬物都服祂。弟兄姊妹,萬物都服你嗎?你連一隻蚊子都命令不了,更何況要命令你家的太太,這是我們很大的感觸。
277.073	295.766	所以呢,不是啦。對,太太說,老公還沒有扶在我腳下。那第九節,其實他講說,其實人當人犯罪了之後,失去了榮耀的冠冕,也失去了神兒女的身分的時候,其實不是我們管理萬物,是萬物都在管理我們。
296.186	311.449	萬物都在挾制我們。所以天父上帝做了一件事情,就是第九節。第九節我們要一起來讀,預備,來。唯獨見那成為比天使小一點的耶穌,
312.09	339.942	因此天父上帝這位國王就拆派他自己的獨生愛子降世為人來到這個世界上要為人類奪回這尊貴榮耀的冠冕那人之前為什麼會
340.742	366.759	丟掉了尊貴榮耀的冠冕,因為人不順服神,偏行己路。叫他不要這樣,偏偏不這樣,叫他不要這樣,就是講不聽。我記得這個例子,我講很多次,小時候我最怕我兒子,每次我在這個臺上被探照燈照的時候我都會記得,小時候我兒子很小,我跟他說,兒啊,爸爸愛你,你看那個燈泡,看起來亮亮的,
