start	end	text
0.009	28.31	一夫所書第四章如果是你沒有聖經你可以揮一下手我們的同工會把聖經遞到你手上感謝主我們今天的招待同工有兩位小弟兄一夫所書第四章我們翻到我們一起讀十一節到十三節
30.418	35.74	好,翻到我們請一起讀。好,十六節,我們念十六節。
60.35	81.847	全身都靠祂聯絡得合適,百結各按各職,照著各體的功用彼此相助,便叫身體漸漸增長,在愛中建立自己。大家認為幾個人以上才是一個團隊?
86.186	107.572	兩個人,至少要兩個對不對。一個人就是孤身一人。至少要兩個人。兩個人就稱之為團隊。耶穌在差派門徒的時候,也是兩個兩個一起出去。為什麼要兩個呢?我記得我們團隊到診所去服事的時候,那時候有八個人。
108.882	132.563	四組。因為診所並不大,所以感覺我們陣仗很大。我感覺到有的人心裡面會害怕。就是你陣仗,你一群這麼多人出去的時候,生事就來了。所以在小地方服事的時候,我覺得大概兩組人,四個人是最合宜的。
134.565	161.68	那兩個人就叫一個團隊了。所以你跟你先生就是一個團隊,你跟你兒子就是一個團隊。就是你跟你的弟兄姊妹在一起服事的時候,就是一個團隊。那我們來看傳道書第四章十二節,這邊又講到一個,傳道書第四章十二節有句話,有人公聖孤身一人,若有惡人便能抵擋他,三股合成的繩子不容易折斷。
162.5	177.703	這邊講到說如果有一個人就是很容易被勝過可是有兩個人呢兩個人便能抵擋兩個人就變得抵擋有三股他就舉了一個三股合成的繩子
178.524	197.65	如果三條繩子合在一起的時候,那個力量是很大的。假設一條繩子它能夠承載的重量是15公斤,兩條是30公斤,可是三條合在一起的時候,它會超乎這個雙倍,它可能會到了70、80公斤的承載量。
198.49	220.765	以前我們常常會團結力量大,大家都會舉一個很簡單的例子,對不對?華人最愛舉一個例子,就是我們每天在吃飯的工具,筷子。筷子一根的時候,大家知道吧,有試過吧?這個我真的有試過。一根折是很容易折斷的,對不對?兩根呢?
222.09	243.053	兩根就有一點難了,對不對?三根呢?就要更大力氣,對不對?一把呢?一把,其實你這個是你平常就在練的,練身體的人,很大力氣的,你才能夠折斷它。這個告訴我們說,其實當我們一個人的時候,其實我們力量是非常有限的。
243.353	266.676	在教會裡面也是一樣在公司裡面在團隊裡面也是一樣在你的公司或者是你的侍奉裡面也是一樣一個人都是非常有限的那團隊侍奉的目的到底是什麼這邊以弗所書4章12節講到說為了要怎樣成全聖徒各盡其職要建立基督的身體
267.637	274.994	教會就是基督的身體。所以你看啊,你看一下你今天來聚會的時候,有多少人在服侍?
276.869	298.091	除了我們的招待﹐我們的影音﹐還有我們的在上面的這個樂器手﹐敬拜團的人﹐講道的人﹐跳舞的人﹐等一下還有要出來一致侍奉的弟兄姊妹。其實我們第三堂的同工算起來有六、七十個。
299.753	323.38	所以你知道你每一次來這一場,你只是睡醒了,然後就來享受一下,對不對?很多人他很早就起來預備了,是吧?很多人都是付上代價的,然後呢,這個場地,對不對?其實我們能夠在這邊好好坐在這邊聽一場到,真的很多人在背後為我們付出。
324.48	349.972	這就是團隊的力量。我一個人絕對沒辦法,我現在講到又跑到後面去搞音控,對不對。不可能。我再會多項樂器,我會好多項樂器,我也不可能在那邊一個人自彈自唱,對不對。團隊帶來的力量是大的。今天在敬拜的時候,我感覺到神,這個醫治的恩膏就已經下來了。今天一定非常有奇妙的事情,醫治要發生在我們當中。
350.452	368.083	最近常常有人跟我說我們禱告的時候很多人病得醫治很多人病就得醫治了我希望我們真的是勇敢的來經歷神對神有一個很大的期盼期盼神做心事在我們當中在我們的教會裡面
369.189	397.398	我們來看,服侍的目的,第一個就是說,團隊服侍的目的,第一個就是要成全聖徒。使每一個人都在他的服侍裡面,能夠找到合適他的一個位置,合適他的侍奉的一個形態。聖經裡面其實最典型的,真的有走團隊服侍路線。我們來看這個,
399.087	412.437	《出埃及記》摩西的時候。《出埃及記》我們看十八章。我先念第五節。
414.053	441.477	《出埃及記》十八章,第五節。摩西的岳父葉特羅,帶著摩西的妻子和兩個兒子,來到神的山,就是摩西在曠野安營的地方。這個時候的背景是摩西帶領以色列出了埃及的,他們在曠野,他們在曠野裡面安營的。那我們從第十八章的十三節開始讀,讀到二十六節。預備,起。
442.398	466.339	第二天,摩西作者審判百姓。百姓從早到晚都站在摩西的左右。摩西的岳父看見他向百姓所做的一切事,就說:「你向百姓做的是什麼事呢?你為什麼獨自作者,眾百姓從早到晚都站在你的左右呢?」
466.92	490.511	摩西對岳父說,這是因百姓到我這裡來求問神,他們有事的時候就到我這裡來,我便在兩造之間施行審判,我又叫他們知道神的律例和法度。摩西的岳父說,你這做得不好,你和這些百姓必都疲憊。
491.391	507.301	因為這是太重,你獨自一人辦理不了。現在,你要聽我的話,我為你出個主意。願神與你同在,你要替百姓到神面前將案件奏告神。
507.841	524.841	又將律例和法度教訓他們,只是他們當行的道,當做的事,並要從百姓中揀選有才能的人,就是敬畏神,誠實無妄,恨不義之才的人。
525.282	540.102	派他們做千夫長﹑百夫長﹑五十夫長﹑十夫長﹑管理百姓,叫他們隨時審判百姓,大事都要存到你這裡,小事他們自己可以審判,
540.503	555.575	這樣你就清神些﹐他們也可以同當齒任﹐你若這樣行﹐神也這樣吩咐你﹐你就能受得住﹐這百姓也都平平安安歸回他們的住處。
556.015	582.797	於是,摩西聽從他岳父的話,按著他所說的去行。摩西從以色列人中撿選了有才能的人,立他們為百姓的首領,做千夫長、百夫長、五十夫長、十夫長。他們隨時審判百姓,有難斷的案件就呈到摩西那裡,但各樣小事他們自己審判。
584.206	602.771	這裡記載說在摩西在曠野安穎的時候其實那時候有兩百萬大軍跟摩西一起出來那個時候摩西一個人要來承擔管理治理他們的事情那個責任是很重大的
603.131	628.334	他的岳父葉特羅看到摩西一個人累得要死,很疲憊。百姓在那邊也累得要死,所以雙方都有虧損。葉特羅就跟他獻一個計策,說你就把這個人開始分成十、五十、一百、一千來管理。
628.814	644.085	所以小事呢 這個芝麻綠豆小事他們可以處理的 就讓他們處理不用每一件事都要來到你這裡就是有大的案件 他們神斷不了的再上報到你這裡 你再來處理就行了
645.026	658.857	其實這個跟我們現在目前教會目前在做的牧羊體系是相合的教會的小組大概就是以十個人為單位
660.879	684.871	人多的時候就會怎麼樣?分出去。這個為了什麼呢?為了要讓每一個弟兄姊妹更能夠在小組裡面被關懷,被照顧到。可是對於牧師要來管理治理教會,他就需要有很多的十夫長、五十夫長、千夫長。
685.811	698.822	為什麼呢?這邊呢,因為其實,如果只有牧師一個人做呢,其實真的做不來。真的做不來,一個人,神很公平,你再有能力,你也一天才24個小時。
700.418	716.007	我以前都恨不得說我一天有可以多人家一倍的時間可以做很多事情可是事實就是你就是隻有24小時不管你能力再好你一樣的時間給每一個人都是一樣的
716.988	732.895	所以你必須要去學習一件事情,你需要跟別人一起同工,跟別人一起同工,可以成全別人,能夠起來找他生命裡面,他的使命,他神給他的護照是什麼。
733.695	759.448	我覺得當你給別人機會的時候其實你也是給自己機會其實神可能祂覺得你在這件事工裡面你已經是可以了神要你去做別的事情所以當那個時候你就不要站著那個位置你就是順從神的話因為神有更美好的心意我剛剛講說其實我也不知道神
760.469	784.807	這個要我去做新的事情是什麼只是我慢慢的有在體認一些可能透過這個易走這個服事的方向可能會有一個其實包括我們先知信侍奉團隊剛開始的時候是一個禱告團隊可是神很奇妙的在去年四月的時候我又成立了另外一個禱告團隊
785.367	809.058	所以這次我們在役走這個行動裡面,禮拜五的這個禮拜五的這個禮拜五的這個禮拜五的這個禮拜五的這個禮拜五的這個禮拜五的這個禮拜五的這個禮拜五的這個禮拜五的這個禮拜五的這個禮拜五的這個禮拜五的這個禮拜五的這個禮拜五的這個禮拜五的這個禮拜五的這個禮拜五的這個禮拜五的這個禮拜五的這個禮拜五的這個禮拜五的這個禮拜五的這個禮拜五的這個禮拜五的這個禮拜五的這個禮拜五的這個禮拜五的這個禮拜五的這個禮拜五的這個禮拜五的這個禮拜五的這個禮拜五的這個禮拜五的這個禮拜五的這個�
809.411	835.301	我真的覺得神也在這個禱告當中不斷的在回應我們。剛開始我們在跟從北到南要聯繫的教會,我們原本是希望說,走到了每一個點的教會,以火車站周邊為主的教會,為什麼要在火車站呢?
836.101	864.042	其實如果莊木是一個人走,他走省道,他可以省下很多,就是他一個人走,他從北走到南是可以省掉很多的路程的。可是因為我們要讓弟兄姊妹能夠坐車,方便到火車站跟大家一起集合,再往下走,所以就會繞遠路走到這個火車站去。所以其實你要跟別人團隊的時候,也勢必你要有一些的犧牲跟取捨。
864.923	893.207	你要顧慮到其他團隊人的需要。我們的禱告團隊開始禱告。原本我們的方向都是希望說,很多教會可以跟我們來結合。有一些教會有很友善的回應,有一些教會就有很冷漠的回應。
893.507	917.743	那剛開始的時候你會覺得說,這個好像是其他教會,如果它是宗派教會,它可能也不太會理你這樣子。所以我們在禱告當中,神就給我們開出別的路線。就是說,除了跟教會之外,如果周邊有一些,比如說安養院、孤兒院、恩友之中心,
918.524	948.384	這些都是我們可以去服務的對象,甚至彰化基督教醫院,我們也可以進去,他們有一個禱告團隊,我們可以跟他們一起進去做一些服事。那我就發現,原來其實神是百花齊放,連跟我們要合作,要進入的每一個城鎮的機構或者是教會也好,神都要我們做多元的這個連結,多元的連結。
948.524	968.127	所以,今天有一張路程表,那一張上面就有很多,我們會去服事,我們會用不同的型態,我們會用特會的型態,或者是禱告會,或者是在那邊有參與醫院的服事,或是步道的服事,就會變得非常的多元,非常的多元。
968.387	992.523	那我真的覺得神,神真是太寬廣了。我們原本可能只打這一條線,可是其實神的心意是很美好的,祂預備了還更多更加的豐富。在這邊呢,這個摩西呢,那時候他遇到了這個,他自己在治理管理百姓的上面呢,他就接受了這個葉特羅的這個計策,這個想法。
993.183	1021.983	我們來看一下,就是單打獨鬥的時候,它的缺點是什麼?就是你跟別人都很累。你跟別人都很累,領袖跟會眾都很疲累。如果我們用團隊來服事,摩西在這裡選團隊的成員,其實是有限制的。有什麼限制呢?他要選一個有才能的人。
1022.483	1050.862	什麼叫有才能的人?其實每一個人他信主的時候,神都給我們有屬靈的恩賜。所以其實每一個人都可以有所獻上給神的。就像我剛剛講的,第三堂團隊的裡面,有些人擅長音控,有些人擅長音樂,有些人擅長招待別人。所以我覺得神的恩賜是非常多元的。
1052.483	1068.398	我們在團隊裡面,我們要去問,你的長處是什麼?你可以問自己,我的長處是什麼?那大概就是你的屬靈恩賜。你可以在這個團隊裡面分享什麼?
1068.558	1093.158	我們每一個人都有啊,每一個人都有。有人可能真的很會剪頭髮,對不對?你不要小看了,易剪。這個到這個部落,或者是宣教的地方,特別需要,是不是?你在這邊覺得可能,啊,這哪是什麼恩賜?可是到真的,真的一些需要被易剪的地方,剪頭髮是一件非常不得了的事情啊。
1093.558	1116.646	所以每一個人,你不要小看你的,神給你的這些恩賜,都是派得上用得上的。我記得那個萬鈞團隊,就是專門在回教地區宣教的這個團隊,常常跟我們要人說,你們那邊有沒有人會煮菜的,會烹飪的,很需要,為什麼?
1117.466	1140.793	因為他們需要訓練宣教師在那個地方活下去啊。第一個要先活得下來,所以要開餐館。所以呢,如果會煮菜,麻煩推薦一下,可不可以來個一年半年的。當廚師給我們訓練一下,讓我們怎樣,菜色可以變好,這個口味變美,讓我們餐廳可以經營得下去。有沒有會義警,會按摩的。
1141.613	1160.905	你想像很多的,你以為那是一件很平常的事情,不稀奇。可是你知道嗎,它要被神用的時候,它可以發揮很大的果效。馬街在那邊拔了兩萬多個鴨齒,一直拔牙一直拔牙。
1162.346	1181.518	我是沒錢,不管我也想給他拔一下。對,他就是拔牙,然後他就怎樣建立了60幾間的教會。所以不要小看神給我們的這個恩賜。還有,我們也要想在團隊的裡面,我的短處,就我的弱點是什麼。
1182.278	1208.524	為什麼呢?當我們一個人,我們能夠面對我們的弱點的時候,其實這個對我們團隊的成員是一種邀約,也是一種安慰,你看師母這樣子,她也是有她的弱點,對不對?就是每一個人,她還是有她的弱項,她也是她的弱點。那這樣子更能夠顯明說,其實別人她是被需要的,別人是被需要的。
1209.224	1228.137	所以他可以分擔我的弱點,我的弱點剛好就是他的強項,是不是就互補起來了,我覺得很好。有人這個天生女帝音,要四部的時候他永遠唱不出高音,所以一定要有一個高音來跟他配一下。
1229.258	1245.039	所以就是,你要被放在一個對的地方,作為一個神,已經給你有這樣子恩典,你就把它用出來就好了,就把它用出來。還有呢,你要想,你需要什麼?你需要什麼?
1246.186	1271.06	當我們去分享我們自己弱點的時候,其實是含蓄的在跟大家講說,我不是萬能的。我不是萬能的。只有我們同心才能眾志成城。所以其實沒有一個人是時全時美的,樣樣都行的。我們大概在看那個什麼打籃球有沒有,籃球員啊,
