start	end	text
0.009	20.897	兄姊妹平安，感謝主,就是有新的造型,要剪頭髮。還有那個明陵傳道剪了頭髮,還有一個人,就是莊牧師啊,就是神幫他挑染變白髮。他自己還跟我分享說,我真的是老了,走路完以後很多白髮冒出來。
22.688	47.403	我們有新的意象,我們有新的生命,這是新的一年。新的一年到現在已經四月了,其實我們已經快過完三分之一了,很快喔,是,感謝主。今天我們要來聆聽上帝的話,好不好,可以拿你的聖經出來,如果你沒有聖經的,可以稍微揮揮手,讓我們的招待同工可以把聖經交到你的手中,讓我們可以一起來讀神的話。
48.063	76.858	在發聖經之前,我來講個笑話。今天早上出門的時候,我開車,因為我們全家四個小孩,然後叫我跟我太太,我的大兒子坐我的旁邊,駕駛座的旁邊。我就說,不要開車窗,免得蚊子飛進來。三秒鐘以後,他就把車窗搖下來。然後我就說,我不是講了嗎?不要開車窗。為什麼不要開車窗?我不是講了嗎?蚊子會飛進來。
78.063	105.984	結果今天早上,我的老三,因為我們老四要獻嬰,我就老三就坐在這邊第一排,然後我就在最後面。我就記得,他就講,爸爸,就穿過所有的聲音就到我那裡,然後耳朵就打開來說,我兒子在叫我了,過來。我真的是有一個感受,這是超不公平的,這是爸爸對兒子講話怎麼都就在旁邊,
106.92	136.266	這麼大的聲音都聽不到。但是,兒子那個些微細小的聲音﹐可以穿過一切人生﹐那個沸騰的聲音就穿到那個耳裡。我們在想,求主赦免我們﹐讓我們可以長大成熟。今天我們真是要聆聽上帝的話。我們不只是一天到晚期待阿爸天父要聽到我們的聲音。阿爸天父真是會聽到我們的聲音。但是神的聲音在我們的耳邊﹐如雷鳴一樣,我們聽不到就是聽不到。
137.261	159.419	求神保守我們的心,讓我們一起來讀上帝的話。今天神的話是我們要一起來讀《雲翰一書》。《雲翰一書》二章第三節。
165.879	174.225	雲海一書二章第三節。如果你身旁有人沒有翻到,請協助他一下。
177.312	201.171	如果你已經是很久的基督徒了,我說約翰一書的時候,你正在從啟示錄開始翻的話,那就求上帝幫助你。就是你要熟讀上帝的話,約翰一書是在後面,新約的後面。我們一起來讀約翰一書二章第三到第十一節。翻到了我們就一起來讀,請。我們若遵守他的誡命,就曉得是認識他。
201.852	220.105	人若說我認他﹐卻不遵守他的誡命﹐便是說謊話的﹐真理也不在他心裡了﹐凡遵守主道的﹐愛神的心在他裡面實在是完全的﹐從此我們知道我們是在主裡面﹐
220.725	245.809	人若說他住在主裡面﹐就該自己照主所行的去行。親愛的弟兄啊﹐我寫給你們的不是一條新命令﹐乃是你們從起初所受的救命令﹐這救命令就是你們所聽見的道。再者,我寫給你們的是一條新命令﹐在主是真的﹐
246.049	260.763	在你們也是真的,因為黑暗漸漸過去,真光已經照耀。人若說自己在光明中,卻恨他的弟兄,他到如今還是在黑暗裡。
261.203	279.534	愛弟兄的就是住在光明中,在他並沒有半點的緣由。唯獨恨弟兄的是在黑暗裡,且在黑暗裡行,也不知道往哪裡去,因為黑暗叫他眼睛瞎了。我們一起來禱告。
280.759	302.643	主耶穌今天求主禰的聖靈來引領我們,主要讓我們或說或聽,主要讓我們都同得那真理的道理,主要因為你說真理可以叫我們得到真自由,求主禰親自來彰顯禰的話,親自來對每一個兒女們說話,主要讓我們打開我們的耳,有一個受教的心來到禰的面前,
303.063	328.473	讓我們願意敞開我們的心思意念,讓我們的心都被你的真光來照耀。主耶穌是的,你已經得勝了。願你帶領我們在你的真理裡面,在我們的生活裡面,靠著你得勝再得勝。謝謝你與我們同在,禱告奉耶穌基督得勝的名。阿們。今天我們要更多來思想神的話。思想神的話之前我是要問大家,你覺得你來教會,
329.667	351.546	目的是什麼?為什麼我們要常常聚會在教會的裡面,常常無論是主日的聚集或是小組的聚集,其中一個很重要的目的是什麼呢?你可以思想一下,不用太多的分享。其中一個最主要的目的,我想大家都同意的,那就是認識神。認識神,愛神,這是我們聚集最主要的目的。
354.224	379.205	我在受洗的時候,我真是想要認識神。那個時候,受洗的時候,我就真是知道我是一個罪人。在我結完婚以後,我就真的感受到我是罪人中的罪魁。為什麼這樣說呢?我們才剛之前走完那個一走的行程。這次的一走的行程,我去了三次。
380.077	405.028	第一次呢,感謝讚美主,我去到那裡呢,就有其中的一位姊妹就告訴我說,關群牧師,你真是跳得好,今天是最難走的一天。我一聽,我就腳就軟了,因為我不知道我什麼時候去,那一段行程是什麼,我知道這個時間大概可以,我就去了。我就去了,然後我去了才發現原來是苗栗端,苗栗端都在爬山。
406.084	432.987	哇,我走完,哇,真的是,從那個勇咖,就變爸咖,就變掰咖,回到第二天,第二天那個腳就脫不動了,就是完全走不動了,很痛。第二次呢,感謝在美組,我就打算說要自己去了,我就覺得再不去大概就,就是隻能最後一天才去了,所以我就趕快再要出發,要,我就跟太太講說,我那一天禮拜六,我應該要去,然後,
434.428	453.202	太太也說,師父也說,OK,沒有問題,那你就去吧,放心的去吧。在我要去的前兩天,他說,冠群啊,我們要不要全家一起去啊。我說,哇,這個,這個,全家一起去。我咬著牙說,好啊。
455.555	474.98	因為全家一起出動,我們家還有包含baby一起去。因為我們老四的baby現在才剛滿六個月。然後就全家一起出動,第一個就,勞民又傷財民是誰?我啊。就是我要開車帶大家一起去。就在那一天出發了。晚上我們想說,
476.084	502.85	有嬰兒要行程,而且要去那邊會合。我們就想說前一天先開車下去。太太一講說要去的時候,我就開始計劃行程。然後中間聯絡了少宣傳道,我就住他家,先去竹南,住他家跟他一起禱告,交通一下他在那邊要執堂的事情,就是開始一個教會的事情,然後就要跟他一起禱告。我們正出發晚餐,
504.07	521.713	就到那個路上就吃了那個肯德基炸雞。晚上七點鐘,快八點了。吃完出來上車準備要往竹南方向前進的時候,孩子就吐了。我的老三吐了一車都是。
523.166	533.74	就在那個,大家知道那個地方,如果你不知道,我再說明一下,那個剛好是在一個加油站旁邊。吐了一車都是,所有的可樂,不要形容了,非常的噁心。
535.93	558.282	那整個味道都是,然後我們就開始洗車,就看到,如果你那天有看到我,不要懷疑那就是我。我就把我的車墊拖出來,跟他借水開始沖。然後想辦法擦,盡量地擦。然後弄完,很努力地弄完,至少那個味道少一點以後,我們就開始出發。到那邊已經很晚了,十點了。然後孩子們就趕快想辦法讓他們睡覺了。
559.206	583.616	然後我繼續插車,因為有些細節什麼,因為留一點點味道,那個第二天,太陽曬,就不得了。我就很努力弄完,已經十二點了。然後開始跟少軒傳道,就開始徹夜禱告。就終於有機會可以稍微分享一下。第二天,就帶著全家就去了。第三次,我出發去參加易走,就是最後一天。
584.889	595.012	本來那一天第二次, 太太就去走啊,太太就去走啊,因為那個baby不可能走,我就開著車帶著全家,然後另外三個小孩都走。
596.698	625.382	第三次呢,我們要去最後一天,本來那個太太就說,冠群你就自己去吧,這個走完一天也是很累。那你就又要去高雄,高雄是六個小時去,大概五個多小時去,再五個多小時回來,參加那中間的短短的幾個小時,兩三個小時的時段。她說冠群你就自己去好了。我就想說感謝主,那我就自己去吧。然後過了,又在要去的前兩天,太太又說,冠群我們要不要全家去啊?
628.319	635.05	好啊。你覺得這個全家劇怎麼樣,這個idea,這個點子好不好?
636.698	658.952	我的感受是,好累啊。我說,好棒啊,感謝讚美主。那就全家一起去吧。一樣,又開始規劃我的行程。就是要想辦法,全家就下去了。然後就那天全家,就是參與完整個的行程,非常的感恩。然後我們也想辦法做了一些安排,讓我不至於太累。等等,然後我們就回來了。
660.674	688.251	我覺得在婚姻的裡面常常是這樣,我真是在婚姻裡面認識我自己,其實我不是一個喜歡很付代價的人。神說愛人不能只是在言語跟舌頭上。我愛我的太太,我常常應該要把她帶到神的使命裡面,但是我常常覺得,你把後面顧好,我去打仗就好。所有的孩子你看著,我就去吧。
689.292	718.184	真的,我真的想去的時候,我真的是熄火。我就覺得,感謝讚美組,好不容易也是活動,我不是種招。我去當個參與者。當太太跟我講說,我們要不要全家一起去的時候,忽然又要啟動,而且只能打一檔,又要開始爬坡。就帶領著全家一起去做一件事情,是非常的需要付代價的。但是其實我的心裡面是,不一定是這麼願意的。甚至我剛開始就不會往這方面去想。我常常在想,
719.428	746.038	我們常常在工作﹐在服事裡面﹐我們要得到一個東西﹐在考試的裡面﹐我們期待得到好的成績﹐我們是付上極大的代價﹐我們希望能得到第一名﹐我們希望能夠勝出﹐我們希望能夠得到最好的﹐但是我們在我們的身旁﹐在身旁的人﹐我們最愛的人裡面﹐我們不一定願意給他最好的。我真的是覺得﹐我不只是個罪人﹐而且是個罪魁。
