start	end	text
0.009	1.231	使徒行傳第7章22到37節。
21.596	42.74	好,都翻到了嗎?前面也有PowerPoint。我們一起來看神的話語。我們一起輪流來讀。我讀雙數節,請弟兄姊妹一起一起來讀單數節。《使徒行傳》第七章二十二節。摩西學了埃及人一切的學問,說話行事都有才能。請。
50.247	73.506	到了那裡,見他們一個人受冤屈,就撫平他,為那受欺壓的人報仇,打死了那埃及人。第二天,遇見兩個以色列人爭鬥,就勸他們和睦說,你們二位是弟兄,為什麼彼此欺負呢?
81.34	99.106	難道你要殺我,向昨天殺那埃及人嗎?過了四十年,在西乃山的曠野有一個天使,從荊棘火焰中向摩西顯現。
107.176	136.333	我是你列祖的神,就是亞伯拉罕的神,以薩的神,雅各的神。摩西戰戰兢兢,不敢觀看。我的百姓在埃及所受的困苦,我實在看見了。他們悲嘆的聲音,我也聽見了。我下來要救他們。你來,我要差你往埃及去。
152.551	178.349	這人靈百姓出來在埃及,在紅海,在曠野,40年間行了神蹟,騎士神蹟。一起來,最後一節。那曾對以色列人說,上帝要從你們弟兄中間,給你們興起一位先知像我的,就是這位摩西。摩西的故事,有一些新朋友可能您是第一次聽到,對不對?
178.609	202.295	歡迎今天所有的新朋友在我們當中。但是對於我們當中大部分的基督徒來說,真的是非常熟悉的經文跟故事。那我們知道摩西一生一共120歲,活了120年。聖經形容他死掉的時候,他的身體真的是也沒什麼大問題,是非常滿足的兒子。
204.104	232.845	那我要說的是﹐其實在摩西的生命當中﹐我們今天要一起來看﹐也是一個母親的孩子。她生了他之後﹐因為大時代的變遷﹐她必須讓孩子放在一個菩草箱裡面﹐隨著尼羅河的水把他漂走。生怕孩子就被水淹沒了﹐一路上叫他的姊姊跟隨著幫助他﹐看看有沒有誰可以把他﹐
233.626	253.82	帶起來收他做義子。沒想到神就是真的在他的簡選跟奇妙當中透過了法老的女兒把他養了。所以這一個我們很熟悉的摩西成為一個很重要的領袖在以色列人的歷史當中他扮演了非常重要的角色。
254.48	274.691	但是他雖然是一個在埃及皇宮長大的以色列人,他的姊姊,他的媽媽都是非常的合理的,被法老的女兒請過來,如養他。所以摩西從小有兩個媽媽,一個在他旁邊就是他的姊姊照顧他的親生的媽媽,
274.991	297.061	另外一個就是埃及的法老的女兒,因為他養了她嘛,所以她是他的媽媽。理論上我想他在當時的狀況只會叫法老的女兒是什麼?媽,對。我想當初他在這個私底下慢慢的,我想米利安跟他的母親,都是慢慢的讓摩西知道他真正的身份,真正的情況。
298.029	318.173	一百二十年當中,我們可以看見摩西的故事可以分成三個階段。三個四十年,三個四十年的生命體會,造就了一個一生被神使用,眼目沒有昏花,精神沒有衰敗的形容說,摩西死的時候是一個這樣的人。
318.473	338.852	甚至在舊約聖經在形容摩西的時候,形容他是一個怎麼樣的人。耶穌被比喻的時候,摩西是被拿出來說,你們有知道一個人嗎?你們知道耶穌基督,你們要想耶穌是誰的時候,他就提了一個人叫做摩西。
339.787	363.357	這個摩西是在神的全家境中的是我的僕人,我喜歡的,我用的一個領袖。但是在120年的故事當中,我們看到的都是在這麼高峰嗎?他到底是一個怎麼樣的生命?他是怎麼樣一個被神培育的生命?好像兩個媽媽夠不夠啊?兩個媽媽可以培育一個這麼偉大的領袖嗎?不一定喔。
363.677	391.017	今天我要來從摩西的這120年的生命體會當中,我們一起來思想,怎麼樣能夠被神真正的打掉蟲鏈。你知道打掉蟲鏈這四個字,有年輕人覺得不夠厲害,叫做砍掉蟲鏈。打掉蟲鏈的意思是說,全部重新來過。你知道摩西的120年當中有幾次被上帝打掉蟲鏈嗎?
392.227	420.272	你知道上帝多麼殘忍的,毫不留情的,手下不留情的做這樣的事,以至於我剛剛形容的,120歲死的時候,他是如此的被神稱讚,在生命冊上紀念這個人的時候,是如此的叫人讚嘆,連耶穌被提起來的時候,都還要把摩西拿出來比較。這是一個怎麼樣的故事,怎麼樣的生命,我們一起來看。
421.732	444.637	我們來看一下剛剛讀的經文,就是在《使徒行傳》這邊,就是當神的第一代的使徒開始向別人介紹耶穌是誰的時候,他就先把以色列整個的救恩歷史再講一次。所以他是一個非常簡要的把摩西的故事講一次的。所以我們看到第一個上帝,
445.265	459.986	在摩西身上的工作是第一個40年,也就是他在埃及皇宮40年的日子裡面。聖經形容他,我們剛剛看的經文,他是在摩西的皇宮學了一切的學問。
461.237	485.741	你覺得他是不是一個有才幹、有知識、有能力的人?是吧?所有的知識跟能力都是在皇宮裡面,有僕人,有所有的你所看到的王,應該有的風範,他都在他的第一線看見,看得清清楚楚的,而且是非常好的教育,最好的教育。
486.766	514.268	就在這40年的時候,他從小,我剛剛說了,米利安跟他的媽媽是被領養之後,慢慢的教育摩西,讓他知道他不是埃及人,他是以色列人,對不對?所以在這個過程裡面,他慢慢的懂了,原來我的血液流著不是埃及人的血液,是以色列人的血液。所以我雖然住在埃及的皇宮裡面,但我其實道道地地是一個什麼人啊?以色列人。
