start	end	text
0.009	1.850	我還活著,感謝耶穌。
1.850	4.591	我還活著,感謝耶穌。
4.591	5.311	我還活著,感謝耶穌。
5.311	6.332	我還活著,感謝耶穌。
6.332	9.013	我還活著,感謝耶穌。
9.013	9.833	我還活著,感謝耶穌。
9.833	10.814	我還活著,感謝耶穌。
10.814	12.694	我還活著,感謝耶穌。
12.694	14.135	我還活著,感謝耶穌。
14.135	15.316	我還活著,感謝耶穌。
15.316	17.316	我還活著,感謝耶穌。
17.316	18.657	我還活著,感謝耶穌。
18.657	19.878	我還活著,感謝耶穌。
19.878	21.218	我還活著,感謝耶穌。
21.218	22.679	我還活著,感謝耶穌。
24.616	56.449	好的我們一起來看神的話需要聖經的麻煩舉個手我們同工協助您如果您有聖經好不好或有APP你就打開歷代之下舊約聖經歷代之下二十章十四到二十二節舊約聖經歷代之下第二十章十四到二十二節需要的請舉手同工協助您PPT也幫助我們 弟兄姊妹,您還在教會的讀經進度裡面嗎?
56.449	58.270	你知道有多猛的一件事嗎?
58.270	60.070	我最近才發現的。
60.070	71.213	因為我參加一個小組,我們當中有一個姊妹,她帶領了一群還沒有信耶穌的媽媽們,因為她們非常尊重她的教學的緣故,她們是一群品格媽媽們。
71.493	79.101	那他們呢﹐就直接讀聖經﹐讀教會的讀經進度﹐還填表格﹐哪個王是好王﹐哪個王不好的王。
79.101	85.727	都還沒信耶穌﹐他們對獵王誌﹐獵王誌﹐歷代誌﹐非常的熟悉。
85.727	88.750	弟兄姊妹﹐我們不可以輸他們﹐好不好。
89.411	99.400	真的是神的話語,雖然歷代製《獵王記》不太好讀,可是這就是我們現在正在讀的,當中有很多上帝的心意。
99.400	112.192	那我們就一起來看看今天,透過《歷代之下》,我們繼續讀下去,看到上帝在這一段時間,祂興起了好的王,祂也讓不好的王在他們當中治理一段時間。
112.432	182.747	那從這當中﹐到底﹐淡江教會的我們﹐我沒有什麼好學的﹐跟我到底有什麼關係﹐我們來想一想好不好﹐我們來進度超前一下﹐我們就來讀今天﹐圖經進度快一點點﹐我們來讀歷代之下﹐二十章十四到二十二節﹐我讀雙數節﹐請弟兄姊妹跟我起音的方式來讀﹐我先讀﹐你們後讀﹐ 14節那時耶和華的靈在會中臨到利未人雅撒的後裔馬嘆雅的玄孫耶利的曾孫比拿雅的孫子撒加利亞的兒子雅哈西這就是獵王祭會發生的事來 接下來 明日你們要下去迎敵,他們是從喜斯坡上來,你們必在耶魯伊勒曠野前的谷口遇見他們。
201.323	210.090	約沙法就面伏於地,猶大眾人和耶路撒冷的居民也伏在耶和華面前叩拜耶和華。
219.582	223.606	四日清早,眾人起來往提哥雅的曠野去。
