start	end	text
0.009	29.257	這些弟兄姊妹他們受洗。我們在觀禮的時候,有沒有讓已經受洗歸入主名的弟兄姊妹回想到您當初怎麼認識耶穌,當初是怎麼決定要受洗歸入主名的呢?還記得嗎?有些人可能才上個月而已,有些人可能是去年,有些人可能已經是好幾十年前了。
30.128	54.563	二十幾年了,雲震。快四十年了,雲震傳道說快四十年了。所以呢,要記憶蠻好的,不然,或者是常常回想,不然容不容易忘記?非常容易忘記,因為我們人,我們人類從古至今,聖經也不斷的在提醒我們,我們人容不容易健忘?
55.384	61.423	很容易,對不對?所以呢,神實在太瞭解我們了,以至於
62.432	90.542	他在聖經裡面呢﹐從他對以色列人﹐他們在講話的時候呢﹐就不斷的提醒他們﹐要常常紀念神的話語﹐與神力的約﹐要常常紀念﹐甚至要求以色列人﹐這神分別為聖的民族要怎樣﹐要在額頭上﹐要放上經文夾﹐對不對﹐然後呢﹐在門框上﹐就是很多的地方﹐
90.862	104.537	都要放上神的話語,以至於呢,你要忘記也難。為什麼?就是你要被迫常常看到,對不對?那是神用來提醒我們不要忘記的方法。
106.374	130.94	因為今天是有壽喜的典禮。所以呢,今天呢,我有感動,我想要跟大家分享一下我自己的信主的整個過程喔。然後呢,我們也再次的來思想,為什麼我們要壽喜歸入主名。為什麼我們要來領受這
132.295	159.086	救恩之光。好,那各位弟兄姊妹,我們請同工幫我們放,請幫我放下一頁。不好意思,我要拿一下我的PPT。剛剛我已經特別的找出來了,放好了,但是呢,結果呢,現在我已經忘記我把它放哪裡了。你看我的記憶有多短。唉,真是,好,謝謝。
165.794	176.87	在我信主以前,我的家是一個非常傳統的宗教環境。
177.534	200.368	我的媽媽呢,就是長輩說要拜什麼,什麼時候要拜,要預備什麼,她就預備什麼,她就拜什麼。她拜什麼,她自己知道嗎?為什麼要拜這個呢?她可能跟我們很多人一樣,不知道為什麼要拜,但是怎樣,有拜有波比對不對,所以就拜了。那我是我們家唯一的一個女兒,
201.271	230.366	所以呢每次媽媽在預備這些拜拜的東西的時候呢我都是那一個要幫忙她預備的那一個孩子那所以呢我父母的宗教我媽媽的宗教很自然就傳到我這裡來了那所以從小呢就是是我一出生沒有多久因為那時候生病身體很軟弱很不好所以呢媽媽就把我過濟去給媽祖
230.964	255.947	小時候長輩會拉著我去路中間,跪在那裡讓我叫過去。所以這些親水祖師爺他們在遶境,對我來講是非常熟悉的。小時候對廟的印象是怎樣?很害怕,對這些神是害怕的。
256.442	280.388	你一進廟呢,光是左邊右邊那個什麼順風耳千里眼,就讓我覺得不要靠太近。我有來拜你,你就是保佑我就好了。即使在那個教下面呢,跪在那裡在等著教過去的時候呢,我也是心存著害怕的。好像這個宗教呢,這些神呢,就是
281.118	294.967	你要拜祂,祂才會保佑你,你才會比較平安,你才會比較順遂。但是呢,要不要靠太近,千萬不要,實在是太可怕了。那後來呢,
297.312	326.742	我那時候因著小時候父母就幫我預備了一個反正你就是學琴學琴之後呢你就像你的電子琴鋼琴老師一樣就穿得漂漂亮亮的住在家裡學生就來了教完就數錢然後就可以買名牌包穿名牌的然後呢吃下午茶然後就生活就這樣你看多好對不對父母就幫我設立了這樣一個的願景一個夢想後來呢我國中的時候呢
327.602	352.635	我國小國中就果真就是朝這個方向走。很不幸的呢﹖我雖然在數科﹖在音樂上呢﹖是還算不錯﹖每次考試都還是有過﹖雖然我每次我覺得﹖我在臺下預備了十分﹖在臺上呢﹖手腳總是冰冷﹖總是彈七、八分已經算不錯了。但是呢﹖至少都還可以過分﹖檢定也都還可以過。但是呢﹖一直到
