start	end	text
0.913	26.586	感謝神,我們今天在主日一起聚在一起,一起敬拜我們的神。我們一起見證了神在許多人的生命裡面,美好的作為。阿們。所以各位弟兄姊妹,我想要做個小小的調查。你從今天進到這個會堂,進到教會,到現在,
28.78	58.016	在剛剛從你進到教會到現在這段時間你覺得你剛剛已經心生命已經有跟神你已經有遇見神你已經有被神安慰或被神勸勉或被神就是有一些話語領受的請舉手從剛剛到進來看一下你的隔壁左右的各位弟兄姊妹看一下隔壁左右的謝謝請放下各位弟兄姊妹
59.974	84.599	來教會主日崇拜並不是講道才是敬拜的這段時間才是所謂的主日崇拜我不知道你有沒有聽過有些人說還好我沒有遲到因為講道才剛開始還好我沒有遲到因為我在那個就是講道前道
86.288	90.843	各位弟兄姊妹我們今天要來透過敬拜我們要來思想
92.483	119.952	你我是怎麼看敬拜你我是怎麼看我們每天每個禮拜天主日我們花時間來到教會我們排除一切的其他事情我們就是把這間時間分別為聖的來到神的面前來到神的殿中我們在這裡做什麼呢我們要來思想這件事情我們今天要來看的經文呢是約翰福音第四章
121.459	145.21	約翰福音第4章我們要來看約翰福音第4章第19節一直到第26節約翰福音第4章第19節到第26節約翰福音第4章這裡從一開始的時候耶穌祂
149.275	175.898	跟門徒,帶了一群門徒,然後呢,經過撒瑪利亞這個地方。撒瑪利亞的一個城,叫做敘迦。那稍微小講一下這個背景。當時候的猶太人對撒瑪利亞人呢,對他們來講,猶太人對撒瑪利亞人的態度是鄙視的,是看輕他們的,看不起他們的。為什麼?
177.244	205.283	因為他們不是純種的猶太人。在那個時候,只有純種的猶太人才是神所揀選的百姓,才是神的子民。其他的人呢,都是所謂的外邦人。撒馬利亞人呢,雖然他們也是跟猶太人一樣敬拜那一位神,可是因為撒馬利亞人的血統混到其他族群的人的血統。
206.305	235.215	那撒馬利亞人呢,他們呢,就是有,沒有像猶太人這樣子,敬拜,都是到了什麼,耶路撒冷的聖殿。所以呢,他們呢,也在他們自己的撒馬利亞地區呢,也有一個聖殿在那裡敬拜。可是猶太人就覺得怎麼樣,你們這是假的,你們這是仿冒品,我們才是真的。所以呢,在那個時候,猶太人看到撒馬利亞人呢,
237.637	259.157	他不只不想跟他們說話有任何的接觸,他們甚至走路呢,如果我從這裡走到那個新市鎮,如果這當中呢,會經過撒馬利亞人住的地區呢,那時候的猶太人會寧可繞路,不要經過,不要進入撒馬利亞人的地區。
259.497	284.285	他們寧可多走一些路,多花一些時間來繞過撒瑪利亞人的地區,免得他們怎麼樣?他們覺得被這一群不是猶太人沾染,會不乾淨、不潔淨。所以那時候撒瑪利亞人跟猶太人的相處的光景是如此。更何況是在那個年代,女人的角色是什麼?是男人的產業,對不對?
285.145	313.446	所以呢女人呢那時候的男人呢更不太可能會單獨跟女人說話或更不太可能就是如果有一群都是男人在討論神國的事在討論什麼聖經什麼通常那個年代呢只有男人可以讀聖經只有男人可以討論有關神的事女人呢聽就好了然後邊邊
313.746	328.803	所以其實現在您到那個中東地區的教堂不管是就是猶太教的或者是也是那個我們等於是我們這個
329.684	344.781	支派以死馬利的,一樣也是弟兄,只是他們現在信的是阿拉。一樣是亞伯拉罕的兒子,可是他不是神所認可的兒子。
349.206	365.82	而是,亞伯拉罕他們透過人的方式,在神還沒有賜給他們硬血兒子之前,他們自己透過妾又搞了一個兒子,叫以什瑪利。現在中東很多的國家,很多的阿拉伯人其實就是以什瑪利的後代。
366.22	395.726	那這些伊斯馬利人呢﹐他們很多的傳統﹐跟猶太人是很類似的。到現在都還是。你現在如果去他們的會堂﹐你會很常看到的是﹐他們都是一群男人在會堂中間﹐敬拜。女人只能在偏堂﹐帶著小孩在偏堂。所以在那個年﹐然後女人要怎樣﹐蒙頭。到現在其實在中東國家﹐你都還是可以看得到。現在是21世紀了﹐更何況是﹐
397.125	424.741	兩千多年前的,耶穌的那個時代,男女之間的不平等,以及猶太人跟其他外邦人的關係,是非常非常的不友善的。我們今天要看的這段經文的背景就是,耶穌跟門徒在走路的時候,他們就經過了敘迦,敘迦是一個撒瑪利亞人住的一個地方,
425.401	445.647	那耶穌跟他的門徒,他沒有帶著他的門徒繞路。耶穌是直接走進了這一個城鎮裡面。然後呢,結果門徒去買東西吃,然後耶穌就在一個井邊,然後就對在井邊的一個撒瑪利亞婦人,跟她對話。
446.937	459.022	然後呢,開始對話,就是有講到說什麼,耶穌,大家可能在聖經上很熟悉的是怎樣,耶穌跟這撒瑪利亞人說,就是,如果你知道我是誰,
461.476	486.385	你就會知道我要賜給你的水是永生的水是永活的水你喝了就不會再渴所以這位婦人想說你就跟我要水喝了叫我幫你打水給你喝了你竟然跟我說你竟然跟我說如果我跟你要水喝你給我喝的水我就永遠不會再渴這是怎麼回事
487.005	515.352	所以呢,耶穌就開始跟他對話,對他生命的問題來對話。但是呢,當耶穌開始對他生命的問題來對話的時候呢,這個婦人呢,馬上很自然的那種反應是怎樣?不願意去面對生命的問題。馬上就轉了一個彎,然後跟耶穌,就耶穌跟他說A,他馬上跟他說B。那我們今天要看的經文就是,這婦人呢,
516.152	530.461	馬上用B 用另外一個耶穌不是跟他對話的方式馬上又回問了耶穌一個問題19節 約翰福音第4章19節到26節我們一起來讀19節 請
531.442	558.719	夫人說:「先生,我看出你是先知。我們的祖宗在這山上禮拜。你們道說應當禮拜的地方是在耶路撒冷。耶穌說:「夫人,你當信我。時候將到,你們拜父也不在這山上,也不在耶路撒冷。你們所拜的你們不知道,我們所拜的我們知道,因為救恩是從猶太人出來的。
559.019	584.848	時候將到,如今就是。那真正拜父的,要用心靈和誠實拜祂。神是個靈,所以拜祂的必須用心靈和誠實拜祂。夫人說,我知道彌賽亞要來了。祂來了,必將一切的事都告訴我們。耶穌說,這和你說話的就是祂。
586.442	598.923	各位弟兄姊妹,這裡呢,婦人呢,當耶穌在要對祂的生命來說話的時候呢,她反問耶穌另外一個問題,想要把耶穌的焦點岔開了。
599.445	622.092	夫人對耶穌說,我看出你是先知,是因為在十九節之前,夫人沒有跟耶穌講說他有多少個男人,耶穌都把他講出來了。然後他就開始把他插出說,我們的祖宗在這山上禮拜,你們道說應當禮拜的地方是在耶路撒冷。
