start	end	text
0.708	9.011	我們一起來打開聖經。我們今天要來按照教會的讀進進度。我們現在讀什麼經文?1.
9.011	9.671	馬太福音2.
9.671	11.732	馬可福音3.
11.732	12.853	約翰福音4.
12.853	29.619	什麼?完蛋了,完蛋了。我們現在在讀哪裡?菲利比書,菲利比書。弟兄姊妹,我聽了好難過。真是怎麼辦呢,真是。好,我們來打開菲利比書。
38.456	63.72	菲律比書第一章。菲律比書第一章。我們一起來讀第一章的第三節到第六節。菲律比書第一章第三節到第六節。好,我們翻到了,我們一起來讀,預備。
64.855	90.343	來。我每逢想念你們,就感謝我的神。每逢為你們眾人祈求的時候,常是歡歡喜喜的祈求。因為從頭一天直到如今,你們是同心合一的興旺福音。我深信那在你們心裡動了善功的,必成全這功,直到耶穌基督的日子。
94.582	103.438	今天牧師要來講菲利比書。迴音太大。第五節我們再來讀一次。
104.616	132.039	第五節預備來因為從頭一天直到如今你們是同心合一的興旺福音今天牧師來跟各位分享就是同心合一興旺福音這應該是一個教會最基本的一件事情對不對就是我們在一起一個家庭如果不能同心合一那就大家都很痛苦那就會開始探討離婚分居或是誰要搬出去什麼之類的
132.619	159.967	一群基督徒在一起建立教會,如果無法同心合一的來興旺福音,那基本上我們教會的生活也會非常的痛苦。那既然是一個最基本的應該有的共識,為什麼常常我們聚在一起的時候,教會聚在一起的時候,反而成為一個非常困難的事情呢?到底原因是什麼?保羅透過菲利比書就是要跟大家來探討這件事情。
160.247	164.392	繁體中文，臺灣國語。繁體中文，臺灣國語。
179.633	203.932	弟兄們﹐我願意你們知道﹐我所遭遇的事﹐更是叫福音興旺﹐以致我受的捆鎖﹐在御營全軍﹐和其餘的人中﹐已經顯明是為基督的緣故﹐並且那在主裡的弟兄﹐多半因我受的捆鎖﹐就賭性不宜﹐越發放膽傳神的道﹐無所懼怕。
204.753	233.623	有的傳基督是出於嫉妒紛爭﹐也有的是出於好意﹐這一等是出於愛心﹐知道我是為變名福音設立的﹐那一等傳基督是出於結黨﹐並不誠實﹐意思要加徵我捆鎖的苦楚﹐這有何妨呢﹐或是假意﹐或是真心﹐無論怎樣﹐基督究竟被傳開了﹐為此我就歡喜﹐並且還要歡喜。
234.343	258.618	保羅寫信給菲律比這個城市的基督徒,就是菲律比教會的弟兄姊妹。保羅在什麼地方寫信給菲律比教會呢?在哪裡?義大利的羅馬的皇宮裡嗎?五星級飯店裡面嗎?沒有,在哪裡?監獄裡面。保羅這時候因為福音的緣故,被關在羅馬的監獄裡面。因此保羅在這邊就講到了,他說,
259.258	266.497	因為我被關在福音裡面,所以就激發了,更加的激發了兩種人,
267.398	295.04	大大的來傳揚福音第一種是愛我的人他知道我今天會被關在監獄裡面是因為要傳福音的緣故所以當他們聽見我被關在羅馬監獄的時候呢包含那個看守我的這個御靈君還有很多的人都因為這樣就認識了福音聽見了福音所以這樣就激勵了很多相信
295.64	323.953	我是神所猜派來要傳福音的這些弟兄姊妹們就激發他們也更勇敢的也去傳福音。這個好不好?蠻好的。但是另外有一批人就是一直跟我作對的人。他們一直在跟我競爭。他們今天發現就是我保羅已經被抓去關了。他們就認為這是一個怎麼樣?大好的機會。感謝主,隔壁的教會倒了。所以這是我們大好的機會。
