start	end	text
0.009	2.710	叫做皇家使命。
2.710	5.470	很久沒有回來,很開心看到各位。
5.470	7.631	然後也看到教會一直在增長。
7.631	10.652	我相信淡江教會是一個非常有影響力的教會。
10.652	10.652	Amen!
10.652	13.113	淡江教會是屬神的教會。
13.113	13.113	Amen!
13.113	15.913	淡江教會是一個神同在的教會。
15.913	21.655	好不好,請你跟你旁邊講說,你在一個非常偉大的教會。
21.655	23.255	因為我在這裡。
23.255	24.456	你跟他講,因為我在這裡。
24.456	29.097	然後你再跟他講說,不只我在這裡,還有耶穌也與我同在。
30.947	32.168	感謝主。
32.168	35.329	因為你們在這裡,這裡就成為一個偉大的教會。
35.329	37.050	因為你們是有使命的人。
37.050	41.092	我今天要分享這個主題叫做皇家使命。
41.092	44.053	副標是為愛而犧牲的成全者。
44.053	46.174	這是我今天要講的那個主題。
46.174	50.376	那每一個教會,每一個組織都會有一個他自己的一個目標。
51.476	76.540	這個是不是有問題目標會使團體產生交集其實我們不會講目標是世上人在講的我們教會在講什麼 意向意向產生一個強大的使命 因著有人領受意向﹐就產生使命﹐使命就產生任務﹐就產生工作﹐就產生我們往前進的動力。
76.540	89.844	所以每一個主持﹐每一個教會﹐或者是您所在的公司﹐都有一個強烈的﹐或者清楚的目標﹐這個目標是團體的﹐可以產生交集﹐然後它會有紀律﹐ 而且在紀律當中有人會犧牲。
89.844	103.234	我想這邊很多的同工﹐我們要給所有在教會的同工﹐無論是全職或者代職﹐因為我今天早上比較早來﹐我就看到很多在外面在服事﹐然後就在那邊甚至在發單張。
103.234	108.898	這些同工都在犧牲他的時間﹐犧牲他的才華來服事教會。
108.898	110.019	我們給他們一個掌聲好嗎?
111.578	149.604	你今天在這邊聚會﹖你可以享受這一切﹖都是有人在一個目標底下﹖或者我用教會的詞﹖就是在一個意向底下﹖有一群人有紀律的﹖委身的﹖犧牲的﹖成全了這個聚會﹖所以我們可以在這裡享受神的同在﹖享受敬拜﹖享受彼此的愛﹖所以整個教會﹖或者是﹖無論你在公司也好﹖或者你在一個組織也好﹖它就必須有一個清楚的使命﹖而且因此有使命﹖就可以完成目標﹖ 我們是因著愛神﹐照著神給大家交流的目標往前進﹐而不是在恐懼裡面往前行。
149.604	153.247	所以請你祝福你旁邊的人說﹐我們永遠不在恐懼裡面前進。
155.572	193.007	我不知道你來教會是什麼樣﹖ 有人會覺得來教會壓力很大﹖看到莊牧師就充滿了戰警恐懼﹖因為莊牧師就 哎呀 弟兄啊﹖最近很久沒有來有沒有﹖或者 弟兄姊妹啊﹖你最近有沒有服侍﹖我們有時候來教會變成那種壓力﹖我要祝福你們不要在恐懼裡面跟隨神﹖你要在愛裡面跟隨神﹖我相信淡江教會是一個充滿愛的教會﹖你可以在這裡跟隨上帝﹖然後被祂的愛所更新﹖我們做個簡單的禱告﹖ 主耶穌謝謝祢,願祢的愛現在在我們當中更新我們,讓我們的心裡面的恐懼,因此的愛,它完滿了,就被驅逐了。
193.007	206.437	主,讓我們在敬拜的時候遇見祢,讓我們在讀經的時候遇見祢,讓我們在跟弟兄姊妹交通的時候遇見祢, 主讓我們今天早晨不浪費時間﹐在這個短短的一個小時之內﹐主要讓我專注的可以聆聽祢的話。
206.437	217.205	不是松牧師講什麼﹐是祢透過臺上的信息﹐在我心中對我說話﹐以至於我今天就不一樣﹐以至於我這個禮拜不一樣﹐以至於我一生不一樣﹐ 阿們。
