start	end	text
0.009	2.450	姊妹姊妹平安。
2.450	3.091	感謝主。
3.091	8.454	剛才惠美牧師、鄭牧師的分享裡面有兩個字就跳出來了。
8.454	9.894	年輕的傳道夫。
9.894	10.735	哎呀。
10.735	15.357	很難聽到。
15.357	19.439	感謝讚美主。
19.439	23.942	感謝主我們可以一起來學習可以明白上帝的話語。
23.942	26.283	我想請各位把聖經可以拿出來。
26.283	27.544	我們一起來看一段經文。
28.899	35.145	在提摩太后書。
35.145	42.473	四章。
42.473	49.880	如果你沒有聖經的,你可以揮手,讓我們的同工,我們的招待可以把聖經拿給你。
53.268	58.291	第四章,我們一起來讀六到八節。
58.291	64.574	六到八節。
64.574	68.336	都翻到了,你就可以看我,那我就會知道你翻到了。
68.336	69.897	有一些還沒有,我們再等一下。
76.408	81.333	好,我們一起來讀提摩太后書四章六到八節。
81.333	82.834	我們一起來,請。
82.834	84.836	我現在被焦點。
84.836	87.118	我離世的時候到了。
87.118	89.901	那美好的仗我已經打過了。
89.901	92.103	當跑的路我已經跑盡了。
92.363	94.284	我們一起來禱告。
94.284	95.826	對耶穌謝謝你。
115.230	118.474	主啊,謝謝你,帶領我們走這一生的道路。
118.474	119.875	主啊,求主你幫助我們。
119.875	122.518	主啊,讓我們領受到你的大愛。
122.518	125.081	我們也知道,如何在你的愛中顯為完全。
125.081	127.824	主啊,求主你給我們一個心志。
127.824	131.588	主啊,讓我們這一生真是像我們剛才所唱的詩歌一樣。
131.588	133.170	主啊,我們一生為你而活。
133.490	135.491	主啊求主祢調整我們。
135.491	136.752	主啊求主祢更新我們。
136.752	142.214	主啊因為我們知道主啊我們每一天每一天我們都要更深的來認識祢。
142.214	143.555	更深更深的來經歷祢。
143.555	146.216	主啊因為祢比我們所認識的都要大。
146.216	152.039	主耶穌幫助我們更多的經歷明白祢的大能大力。
152.039	156.761	讓我們就信靠祢仰賴祢也將榮耀都歸給祢。
156.761	157.822	謝謝主祢與我們同在。
157.822	159.682	帶領我們進到祢的話語當中。
159.682	161.803	禱告奉耶穌基督得勝的名。
161.803	177.080	Amen 在分享這段訊息之前,我先來講個就是我們最近社親有一位弟兄,他碰到了一個情況,就是他出了一個車禍。
177.080	183.544	這個弟兄呢,其實他是原義,就是我們開玩笑,就是說都是撵花惹草。
184.224	216.179	繁體中文，臺灣國語 這個新姿呢,她大概每個月也是屬於月光族,也沒有太多的儲蓄,因為不只是她要養活她自己,還有母親跟她同住,所以還要奉養她的母親。
216.179	221.643	所以大概一個月,每個月所得的都付出去了。
223.524	235.192	前段時間發生一件事,就是他出了一個車禍,那個車禍其實蠻大的,大不是在他的身上,是對方過馬路的時候被撞了。
235.192	245.038	這個當中,可能速度,可能紅綠燈,或者是在滑手機等等,我不是說他,我是說走在路上被撞的那一位。
245.038	254.145	無論如何,這個事情,當然警察 等等都還在處理當中,都還在了解當中。
254.145	256.827	但是,對方受到的傷是很重的。
256.827	261.250	他就是,其實他也蠻重的,就門牙都掉了,等等。
261.250	269.977	然後,那對方是整個爐內出血,所以一得到消息是,我們就趕快緊急發帶導思想,請大家為這件事來禱告。
269.977	282.071	然後,就進了加護病房,立刻動了手術,出來,然後,醫院也在觀察,後來也發現,就是剛開始,整個恢復的過程,其實, 不是我們所想像的,哇!
282.071	287.045	這是神蹟似的,完全沒有任何的狀況,就這樣好過來,沒有。
288.251	295.898	對,因為我們在禱告的裡面,就是希望神能夠,讓祂的性命能夠存留下來。
295.898	302.064	第二個就是希望祂可以康復,可以完全的沒有後遺症,但是祂正在康復的過程裡面。
302.064	311.533	所以那個,當時的家屬啊等等,因為那個人已經,他已經昏了嘛,然後所以,其實都各樣都是家屬在打理。
312.073	316.995	這位弟兄當然碰到這樣的情況,整個都慌掉了,他其實也不知道該怎麼辦。
316.995	326.560	我們的弟兄姊妹就去陪伴他,另外一方面可以跟家屬有建立一些關係,知道教會在關心這件事情。
326.560	330.502	我們就有機會接觸這整個家庭。
332.398	344.962	在這個過程裡面,我就發現,這位弟兄其實平常的時候也是認識神的,願意渴慕神,因為他其實剛來到教會,時間不久的,就是這一兩年的時間而已。
344.962	352.004	這一兩年的時間,我想他也是渴慕的,幾乎小組的時間,他都是願意分別時間穩定的,幾乎的都是有來參與。
352.824	358.051	但是就在這個車禍的事件裡面,他分外的要精力神。
358.051	362.877	在他慌了的時候,他不知道該怎麼辦的時候,因為他有什麼能力呢?
362.877	366.042	他其實不是願意做一個不負責任的人。
366.042	370.508	所以他去看他,那他唯一能夠為他所做的就是買兩個蘋果去。
371.749	372.790	繁體中文，臺灣國語。
372.790	374.251	繁體中文，臺灣國語。
388.422	395.267	那個家庭也是很辛苦的,也是很辛苦的,就是因為,也是有侵寒證明的。
395.267	402.492	現在有侵寒證明的不一定侵寒,但是它真的是蠻辛苦的,家裡也有臥病的老人,都需要照顧的。
402.492	410.218	哇,那其實這個,這個大家能力都不足的情況之下,那個壓力就分外的大,那該如何的來行呢?
410.218	411.459	那該如何的來做呢?
