start	end	text
0.009	19.821	兄姊妹感謝主四月二號歡迎大家來謝謝大家我今天要分享的題目在聖經的經文在約翰福音第十一章 有聖經,你可以看聖經。
19.821	28.007	我們PowerPoint的PET還有經文的,幫我們看一下。
28.007	32.030	打開,我要看約翰福音第十一章。
32.030	37.694	也是我們這一週,我們教會讀經的進度。
37.694	41.998	在一起念經文之前,我們一起來禱告。
45.691	77.428	這時候求主,因為祢與我們同在,主啊,祢是聖潔的、至聖、至尊、至榮的,祢是那位復活的主,祢是不容,主啊,我們,主啊,看起來是,主啊,這樣渺小,而在祢面前,好像是一個,真的,我們常偽膩祢的,但是主, 你也是至高的。
77.428	94.843	主啊,讓我更多,讓我們在這裡可以經驗你,認識你,瞭解你的恩典,瞭解你的生命,瞭解你的真理,你的真道進到我們的裡面,讓我們真正得到你的祝福。
96.067	101.109	我們這樣禱告,也求主祝福下面的世界,奉靠耶穌基督寶貴的聖名。
101.109	102.870	阿們。
102.870	110.894	OK,我想帶大家來看約翰福音第11章的1到44節,因為經文非常多。
111.254	117.982	它是一個整段的故事,所以它必須從頭到尾來看。
117.982	122.247	我可以來讀,你們可以來看。
122.247	124.650	聽我多讀一下。
124.650	127.614	這是大家很熟悉的一段經文。
128.575	133.718	記載在耶穌使拉撒路從死裡復活這件事情。
133.718	136.580	聖經第11章是這樣記載的。
136.580	146.707	有一個患病的人,名叫拉撒路,住在伯大尼,就是瑪利亞和他姊姊馬大的村莊。
146.707	152.631	這瑪利亞就是那用香膏模組又用頭髮擦她腳的。
152.631	163.265	患病的拉撒路是他的兄弟, 他姊妹倆就打發人去見耶穌,說:「主啊,你所愛的人病了。
163.265	174.734	」第四節,耶穌聽見就說:「這病不至於死,乃是為神的榮耀,叫神的兒子,因此得榮耀。
174.734	180.984	」耶穌素來愛馬大和他妹子拉撒路, 並拉薩路。
180.984	186.152	聽見拉薩路病了,就在所居之地仍住了兩天。
186.152	189.918	然後對門徒說,我們再往猶太去吧。
190.828	198.493	18節,門徒說:「拉比,猶太人進來要拿石頭打你,你還往那裡去嗎?
198.493	202.236	」耶穌回答說:「白日不是有十二小時嗎?
202.236	208.421	人在白日行走路,就不致跌倒,因為看見這世上的光。
