start	end	text
0.009	28.32	Hallelujah!親愛的弟兄姊妹,平安。今天要跟弟兄姊妹分享一個題目,忠心服侍這個世代。我們剛剛看完那個,還沒看完,剛剛看到那個《獵王記下》,到了一個相當的段落,結束了一個很重要的人物,就是以利沙。那我今天是想說,從以利沙的身上,有一些他的侍奉的榜樣,
28.78	53.553	給我們一些的學習,對這位先知做一個總結。其實我們講看,我們接下來的話就幾個重要的人物,先知的出列,約拿,然後甚至我們前兩天看的,都還看到以賽亞的痕跡在裡面。因為以色列王利遜跟亞蘭文來攻擊猶大的時候,
54.974	71.635	上帝曾經藉著以賽亞去鼓勵那時候的猶大王,約阿斯不要因為這兩個冒煙的頭,你膽怯害怕,神與他們同在。其實我們看這一切的時候,我們都發現,
73.234	87.746	無論是當時候的以色列王,或是當時候的猶大王,其實的狀況、光景都非常的不好。講聖經上描述的他們是什麼樣呢?他們是沒有效法他主,
89.002	117.756	大衛所行的,反正效法行惡的那些以色列國。所以他們這些就是一些不願意照著神旨意,聖經上描述他們是一個惡的王,不照著神。在這個裡面,我想從非常不好的世代裡面,但是先知出來在這個世代裡面,成為這個世代很大的一些不一樣的祝福。對我來講,我覺得
118.336	145.077	他也是幫助我、引導我、給我教導,讓我知道我如何在這個世代裡面,同樣的跟先知一樣的,能夠成為這個世代的祝福。我也相信這也是我們所有弟兄姊妹,神讓我們在這個世代的一個帶領跟呼召。我們一起來看我今天要讀的經文,在《獵王記下》第13章。
148.319	161.087	獵王記下第十三章,我要看十四節到二十一節。十四節到二十一節,麻煩弟兄姊妹,假如沒有聖經的可以舉手,我們同工幫你拿聖經給你。
163.183	192.524	講翻道的話,我們一起來念。《列王記》下第十三章第十四節,一直唸到第二十一節。翻道我們一起來,預備,來。以利沙得了必死的病。以色列王約阿詩下來看他,扶在他臉上哭泣,說:「我父啊,我父啊,以色列的戰車馬兵啊,
192.944	220.945	以利沙對他說:「你取弓箭來。」王就取了弓箭來,又對以色列王說:「你用手拿弓。」王就用手拿弓。以利沙按手在王的手上,說:「你開朝東的窗戶。」他就開了。以利沙說:「射箭吧。」他就射箭。以利沙說:「這是耶華的得勝箭,就是戰勝雅蘭人的箭。」
221.766	249.599	因為你必在雅弗攻打雅蘭人,直到滅盡他們。以利沙有說,舉幾支劍來,他就取了來。以利沙說,打地吧。他打了三次,便止住了。神人向他發怒,說,應當擊打五六次,就能攻打雅蘭人,直到滅盡。現在只能打敗雅蘭人三次。
250.299	254.38	OK 這就是我們今天要讀的聖經
277.466	297.652	假如要描述以利沙﹐這位先師﹐我認為他一生﹐他是一個什麼樣的人物?今天我們看經文﹐他快要死的時候﹐他還要做一些的事情。他一生是三樣﹐
299.087	311.779	我覺得祂是一位守望者,祂是一位拯救者,祂也是一位幫助者。假如有家一樣,祂也是一位傳承者。為什麼說呢?
313.046	338.828	守望者他一直看起來沒有做什麼,但是他一直默默的影響為這個國家守望。我們知道以利沙那時候碰到最大的敵人在以色列國就是雅蘭國。有好幾次最主要讓以色列人痛苦、受苦的都是雅蘭國的攻擊。
340.469	366.025	聖經上描述說,以利沙呢,就在他的先知的學校裡面,他在那邊服事。但是呢,他常常會怎麼樣,會告訴以色列王,說呢,雅蘭國怎麼樣要來半徑,你可以守在那個地方,你不要被他影響,你知道要怎麼防範他。結果呢,哎呀,
367.193	392.416	那個以色列國王就聽了那個以利沙的勸戒,就一看果然雅蘭國的國是這樣子要來攻打他。一次、兩次都不成,就發現為什麼我們的計謀都被識破,都被以色列國識破。他們說,王啊,
392.756	409.705	這不是別的,就是以色列有一個先師,以利沙。他都知道,暗地裡都知道,王啊,你在做什麼事。哎呀,真的,外面在打仗,他裡面都知道,天下在運作的狀況。
412.705	434.504	所以還有一段聖經也描述以利沙的一個狀況。有一次又是亞蘭國犯禁。亞蘭國犯禁的時候,以利沙那時候整個國家非常的困苦,甚至他們的孩子要彼此對吃。
435.145	464.318	那時候國王就非常非常的生氣怎麼國家怎麼繞到這個地步那時候他要去找以利沙聖經上說以利沙就坐在家裡跟幾個長老坐在一起坐在那裡以利沙就說一個很兇暴的一個人要來了以利沙那時候就預言說
466.357	481.985	整個以色列國會得拯救。他們那時候,整個大家沒得吃,東西賣得非常的貴。但是呢,以利沙就預言說,他們必要從神那裡得拯救。
484.445	507.074	從很多的方面來看,這位以利莎她都知道她成為這個國家的一個幫助者、守望者。她知道整個國家的狀況,她也在那邊默默的為這個國家守望。她知道在怎麼樣的情況下可以解救這個國家。親愛的弟兄姊妹,
510.162	532.631	以利沙在那個時代裡面,其實是一個不太好的時代,但是這位守望幫助的國家的這位先知,卻真正的成為這個國家,真正愛這個國家的守望者。聖經上怎麼對以利沙的評價,到時候我們今天看的這段聖經,就是,
534.377	560.22	王約阿斯來看以利沙,因為知道他快要病死了,就扶在他的臉上哭,說:「我父啊,我父啊,以色列的戰車和馬兵。」這時候他對以色列國王來講,真正贏得這個國家,真正影響國家的是這位
561.544	565.33	以色列的戰車跟馬兵。
570.981	596.64	這位神的僕人是真正影響那個國家的key point,是最重要的一個關鍵的人。他看起來沒有什麼樣,他看起來很平凡,但是他卻默默地在那個世代裡面帶下屬靈的影響力,影響那個國家,而且所有的關鍵都在他的手中。
598.677	618.943	他的那個屬靈看不見的影響力,卻帶給這個國家得到很大的幫助和祝福。這位先知,他為什麼會有這樣的一個心,在這樣的一個非常不好的世代裡面,他願意來服侍。
621.903	649.702	我們講講看以利沙的侍奉的年代。以利沙他經歷了幾個都是不好的王,大概服侍當先知差不多快六十年的時間。他歷經約蘭王十二年,當然他在約蘭王的時候起來服侍,還有耶戶二十八年,約哈斯十七年,還有現在的王約阿斯。這些王都是不太好的王,
650.282	677.002	那結果就造成什麼樣?整個國家外敵的侵擾,乾旱及荒,民不聊生,社會違法亂紀,道德及信仰墮落。是這樣的一個光景。假如你是那位先知,
678.865	707.999	你要怎麼來服侍這個世代。但是我覺得從以利沙的生命裡面,可以給我很多的學習,讓我知道我成為一個基督徒,在這個世代裡面,我應該怎麼樣來服侍,而不是落入義氣、血氣之爭。讓我能夠影響這個世代,而且是一個無形的影響力。
708.814	736.284	那個無形的影響力是什麼?第一個,祂禱告,並且領受神的氣勢。弟兄姊妹,不要以為,我們做的,做的好像,或者說,我們沒辦法做什麼,或者是說,我們還能夠多做什麼。親愛的弟兄姊妹,
