start	end	text
0.029	27.417	該翻開馬可福音第16章,我們今天要從第一節來讀到第七節。馬可福音第16章第一節到第七節,講到主耶穌復活的大好信息。我們翻開一起來讀,預備,來。過了安息日,馬大拉的瑪利亞和雅各的母親瑪利亞,並撒羅米買了香膏要去膏耶穌的身體。
28.029	56.327	七日的第一日清早,出太陽的時候,他們來到墳墓那裡,彼此說,那石頭原來很大。他們抬頭一看,卻見石頭已經滾開了。他們進了墳墓,就看見一個少年人坐在右邊,穿著白袍就甚驚恐。那少年人對他們說,
56.954	81.533	不要驚恐。你們尋找那定十字架的拿撒勒人耶穌。祂已經復活了。不在這裡。請看安放祂的地方。你們可以去告訴祂的門徒和彼得說。祂在你們以先往加利利去。在那裡你們要見祂。
82.295	110.474	正如祂從前告訴你們的十五節繼續來讀祂又對他們說你們往普天下去傳福音給萬民來十五節重來耶穌復活不見對不對跑去哪裡跑去一個地方要找祂的門徒集合集合之後祂就說十五節預備來祂又對他們說你們往普天下去傳福音給萬民信而受洗的必然得救
110.964	139.78	不信的必被定罪,信的人必有神蹟隨著他們。就是奉我的名趕鬼,說心方言,手能拿蛇,若喝了什麼毒物,也必不受害。手按病人,病人就好了。主耶穌和他們說完的話,後來被接到天上,坐在神的右邊,門徒出去做什麼?到處宣傳福音,然後呢?
140.23	166.803	這是一段非常美好的經文。一開始講到說在七日的第一日清早,所謂的七日第一日是什麼時候啊?就是主日,就是我們現在的禮拜天。所以主耶穌是在主日的清晨,祂的幾個心愛的門徒去尋找祂的時候,發現
167.927	196.911	耶穌怎麼不在墳墓裡面。弟兄姊妹沒有人可以在空墳墓裡面找到耶穌。沒有人可以在空墳墓裡面找到耶穌。因為耶穌不在墳墓裡面。因為耶穌不在空墳墓裡面。耶穌已經復活了。因此第六節有一個天使在那邊就對他說。你們要找那個耶穌啊。你們要找那個被釘十字架的耶穌。祂已經不在這裡了。為什麼?因為祂已經復活了。
197.619	223.751	弟兄姊妹,經文後來告訴我們,從第九節開始,很多人因為耶穌被釘十字架死了。很多人都在悲哀、哭泣、害怕。他們聽到耶穌已經復活的消息,他們心裡面不願意相信。他們就繼續的悲哀、哭泣、害怕跟絕望。親愛的弟兄姊妹們,
224.735	235.651	只相信耶穌為我們死在十字架上,卻不知道祂已經復活的人,他就算信了耶穌,他這一輩子仍然是悲哀、哭泣、害怕。
236.305	239.346	親愛的弟兄姊妹﹗主耶穌已經復活了。
262.329	289.001	這就是今天下午我們在捷運站溜冰場那邊,要告訴萬民的事情。耶穌復活之後,祂就不待在空墳墓裡面了。祂去哪裡?祂到一個地方去,是事先跟祂門徒就約好了。耶穌什麼事情這麼著急?祂一從死裡復活,祂就離開空墳墓,祂一定要去那裡,祂一定要告訴祂的門徒是什麼事情呢?祂就是鼎鼎有名的怎麼樣?大使命。
289.616	314.874	我們再一次把十五節一直到後面,我們再讀一次好嗎?這是非常重要的經文。耶穌從死裡復活之後,祂最在乎的就是這一件事情。十五節以後我們一起來讀,預備,來。祂又對他們說,你們往普天下去,傳福音給萬民聽。信而受洗的必然得救,不信的必被定罪。
315.367	344.561	信的人必有神蹟隨著他們,就是奉我的名趕鬼,說新方言,手能拿蛇,也必不受害,手按病人,主耶穌和他們說完了這話,後來被接到天上去,坐在神的右邊,門徒呢?到處做什麼?主就和他們用神蹟隨著,
344.94	371.709	正時所傳的道。阿們。主耶穌復活之後,祂再也沒有要待在空墳墓裡面。主耶穌復活之後,祂再也沒有要在一個地方被人膜拜與讚揚。主耶穌復活之後,祂迫不及待要做的一件事情,就是召聚那些凡信祂的,凡成為祂門徒的,凡是被祂所愛的這些兒女們,把他們召聚起來,告訴他們,我已經復活了。我已經復活了。
372.159	397.083	我復活的能力要彰顯在每一個相信我的人生命裡面,使他們離開悲哀、恐懼與哭泣。你們來,你們來去把我復活的好消息傳揚出去,往普天下去,告訴萬民。當你們去的時候,不是隻有你們自己去,我必與你們一起去。聖經說,主祂必與我們同工。
397.978	427.645	當我們做這件事情的時候,不是我在做,乃是主抓著我的事情在做。主抓著我的手,主使用我的口,主用我的腳在做這樣的事情,這叫做主與我們同工。弟兄姊妹,當主與我們同工的時候,祂在做什麼?祂說主就要讓神跡其事,隨著我們這個人,好來證實說,我說的是真的,我所傳的道是真的。弟兄姊妹,今天開始我們就要做這樣的事情,因為耶穌已經復活了,
428.183	456.922	祂沒有留在空墳墓裡面。祂沒有留在十字架上面,讓我們去膜拜。祂是復活的神。請跟隔壁講說,主耶穌已經復活了。主耶穌復活要做什麼呢?祂要做王。祂要做王。主耶穌復活,祂做王。在十五章不斷地告訴我們,耶穌要做王的事情。我們來看十五章。十五章第二節,巡撫彼得奧多問他說,
