start	end	text
0.009	25.625	感謝歸給我們的神其實分享耶穌真的並不難有時候我們覺得祂太難了以至於我們這一生都沒有去做那真的就是非常虧負了上帝把這個傳福音的吩咐給我們的這個使命 最近很有趣,就是很多人去發面紙,我就走倒,就發生一些趣聞。
25.625	56.151	我們辦公室有兩位同工,有一天他們去菜市場發面紙,然後可能是早餐沒有吃很飽,就是邊發,邊覺得肚子很餓,然後後來發到一攤面紙的時候,是賣那個炒米粉之類的,然後他就發面紙,結果老闆娘一看這個面紙,誒,淡江教會,誒, 你們有時候吃的那個愛宴,就是我賣的這樣子。
56.151	58.093	他們很高興,然後就怎麼樣?
58.093	64.238	當場就包了好幾個食物,就給我們那兩位姊妹吃。
64.238	66.540	從來沒有看過我們這兩位姊妹服侍這麼快樂。
68.780	79.827	還有一位姊妹,她有一天不知道去什麼地方消費,然後她不小心打翻了一個東西,然後身上就弄得黏黏濕濕的。
79.827	90.074	那個老闆娘怎麼樣,一看到怎麼樣,沒關係沒關係,我有面子,然後就拿出一個面子,然後打開就幫她擦,一看怎麼樣,淡江教會的面子。
90.074	92.116	我想真的是非常的感恩,非常感恩。
92.756	143.107	我們其實就是不一定就是想說一百包我發不完五包十包都沒有關係師母現在每一天那個包包裡面就放了很多這個面紙走到哪裡她都要去發面紙我想說這個我們可以其實隨手都可以做這樣的事情跟隔壁講說我要來發面紙感謝神我們一起打開今天的經文但依禮書第九章 《幼約》但以理書第九章 很多我們生命中所做的一些灑腫的小事很可能成為陌生人生命中一件大事。
143.107	160.525	我記得我國中一年級的時候有一天在校門口放學的時候有一群叔叔伯伯阿姨 在校門口發一本很小的書,然後我就拿回去,我也沒有看,我就把它放在我的書架上。
160.525	167.412	那是一本聖經,那是積電會,他們會固定在學校的門口,發聖經給學生。
168.353	172.195	我後來慢慢有時候就會拿出來看。
172.195	176.738	然後從國中一年級開始,到後來大學才真的去教會。
176.738	186.443	可是在那個過程當中,我總覺得因為我書架上有一本聖經,在那時候還沒有信主,我總覺得我跟耶穌好像很有緣。
187.261	244.208	所以有時候我聽到別人講什麼聖經什麼之類的我就會記得我也有一本聖經有時候回去也會翻來看一看我覺得有時候別人在我們生命中所做的一件小事在我們最需要的時候就成為一件大事阿們 我們很感謝主,我想淡水真的不大,淡水的核心的範圍其實很小,非常足夠讓我們淡江教會弟兄姊妹,把淡水當作是我們的墓區,好好來傳福音,好好來縱橫左遍這地, 接下來等這個暑假,其實暑假已經結束了,教會會進一步的帶領大家更多的,包含我們要認領淡水的早餐店,在那邊可以有很多的福音的行動在裡面,包含會帶大家去大專院校的門口裡面來發聖經, 也包含怎麼樣?
244.208	246.389	淡水是神給我們的淡水。
246.389	249.611	三不五時,我們就一起來去淨灘。
249.611	252.532	一起來去做對淡水有益的事情,可以嗎?
252.532	253.713	可以,感謝主。
253.713	256.114	我們一起來讀但以理書第9章。
256.114	260.436	我們今天要來讀第1節,一直到第6節。
260.436	263.838	但以理書第9章,第1節到第6節。
263.838	265.639	好,預備了嗎?
265.639	268.941	但以理書第9章,第1節到第6節。
268.941	271.102	我們翻到的一起來讀,預備,來。
271.817	300.660	馬代族雅哈水魯的兒子﹐大流利維加勒底國的王﹐元年,就是他在位第一年﹐我但以理從書上得知耶和華的話﹐臨到先知耶利米﹐論耶路撒冷荒涼的年數﹐七十年為滿﹐我便近時披麻蒙灰﹐定意向神祈禱懇求。
