start	end	text
3.575	28.677	平安，很高興今天和大家一起敬拜我家住真理大學旁邊而已但現在住在臺灣神學院很高興在過去有機會和玉民牧師一起在神學裡頭有對話有成長那我們在今天呢很高興來到弟兄姊妹當中和大家分享上帝的話 玉民牧師邀請我,是因為我即將要離開神學院,然後要去臺中牧會。
28.677	31.259	上帝在我的生命當中有一個新的代理。
31.259	38.102	我相信上帝在今天我們的敬拜裡頭,從開始到現在,上帝已經做成許多感動的工作。
38.102	47.786	接下來,我們要看的這段經文,雖然我們很熟悉,但我仍然邀請你,我們再一次的來翻開聖經上帝的話,約翰福音第十一章。
49.804	82.540	約翰福音11章我相信我們在座的弟兄姊妹你可能都參加過追思禮拜告別式參加這些聚會的時候我想我們的心情是沉重的就在今天我們要來看耶穌所參加一個非常非常特別的告別式一個非常非常特別的追思禮拜這是拉撒路生命的故事約翰福音11章 聖經告訴我們有一個患病的人,名叫拉撒路,住在伯大尼,就是瑪利亞和他姊姊瑪大的村莊。
82.540	87.304	瑪利亞就是用香膏抹主,又用頭髮擦她腳的。
87.304	94.390	患病的拉撒路是他的兄弟,他姊妹兩個就打發人去見耶穌,說:「主啊,你所愛的人病了。
94.390	98.534	」 然後對門徒說:「我們再往猶太去吧。
98.534	104.120	」門徒說:「拉比,猶太人進來要拿石頭打你,你還往那裡去嗎?
104.120	121.395	」 耶穌回答說:「白日不是有十二個小時嗎?
121.395	126.017	人在白日走路就不致跌倒,因為看見這世上的光。
126.017	130.159	若在黑夜走路,就必跌倒,因為他沒有光。
130.159	136.241	」耶穌說了這話,隨後對他們說:「我的朋友拉撒路睡了,我去叫醒他。
136.241	138.061	」 我們一起來做一個禱告。
167.381	176.048	主這是一個開始,耶穌和祂的門徒預備心要前往一個沉重的家庭。
176.048	182.434	主這是一個開始,是一個他們要經歷你新的釋放工作的開始。
182.434	187.879	但非常多的人不明白,他們同行,心卻蒙蔽。
189.172	208.540	準備要向祢禱告,就在今天我們紀念聖靈降臨的日子,我們懇求那真理的靈,就是使我們生命得以釋放的靈,在我們當中做成新的工作,使我們真明白祢是復活,祢是生命,祢是使我們的生命再一次出死入生的主。
208.540	214.202	我們要將今天的聚會,信息的聆聽,交託仰望,願祢的名得著一切的榮耀。
214.202	217.564	我們將同心禱告奉耶穌基督的名。
217.564	217.724	阿們。
219.565	252.938	在20年前左右,英國有一個很有名的社會學家,Antony Giddens,到現在還是很有名,Giddens他跟英國政府拿了一個案子,因為那個時候英國政府呢,一直發現他們有一個非常頭痛的國家的社會福利支出,就是有非常非常多有煙癮、酒癮、毒癮的人,他們本來戒煙、戒酒、戒毒成功了, 但是呢,他們回到自己一般的社會生活之後,沒多久,他們又犯了煙癮、毒癮、酒癮。
252.938	262.026	於是呢,他們就弄了一個以臺灣的話叫做國科會計畫,那就請這些專家學者找一些研究辦法,到底發生什麼事。
262.026	266.010	其中,一年Antony Giddens就拿了這個案子做了一個研究。
266.010	283.008	他發現呢,情況是這樣,這些人, 原來,其實他的結果也不太特別,他說每一個人的生命,並不像你想像的,人和人之間都可以自由的按照你想要怎麼樣跟他做朋友的方式,你就能夠做朋友。
283.008	293.475	怎麼說,家世你是A, 你小學同學是B1,高中同學是C1,大學同學是B2,社會的朋友是C2。
293.475	307.647	你在遇到不同朋友的時候,你會有不同的反應,即便你現在可能已經四五十歲,可是當你遇到當兵的那一掛朋友的時候,你會很快地打回原形,像當兵跟他講話的樣子,就哈拉了起來。
307.647	316.068	他說人跟人之間有一種被制約的習慣, 如果我們以教會的語言來說,可能你遇到A弟兄,你會說,啊,禱告的時候要找他。
316.068	323.289	如果你要去好樂迪唱歌的時候,你可能要找B弟兄,因為B弟兄平常講話起來就不太正經,找他唱歌比較對。
323.289	326.170	禱告的時候要找那個比較嚴肅一點的A弟兄。
326.170	332.511	像你發現人跟人的互動,都會受著過去的一些經驗和記憶所影響。
332.511	339.892	而這件事情呢,在一個人生命的改變上,也扮演著一個非常重要攔阻的角色。
339.892	340.512	為什麼這樣說?
341.561	344.483	Antony Giddens說,在我們的生命裡面有兩個我。
344.483	350.547	這兩個我呢,一個是真實的我,一個是會隨著環境變化的我。
350.547	355.550	就是你跟誰在一起,你就會像誰,近朱者赤,近墨者黑。
355.550	367.678	這兩個真實的我,一個真實的我,一個容易改變的我,放在酗酒者的研究裡面他發現,就是每一個酗酒者都有他生活的家庭脈絡,工作的脈絡,朋友的脈絡。
367.978	371.281	這些脈絡稱之為緣出關係結構。
371.281	380.571	當這個酗酒者去到了戒毒團體或戒酒團體的時候,他發現這些人能夠真實的成為他自己。
380.571	381.832	為什麼?
381.832	383.094	理由很簡單。
383.094	391.679	因為這些人當他到戒酒團體的時候,他會毫不猶疑的告訴別人說, 對不起,我這個禮拜又喝了。
391.679	395.262	大家不會說,你這個人真是爛,我們剛剛勵志。
395.262	396.443	大家就會問,你這個禮拜幾喝?
396.443	397.544	他說,我禮拜三就破戒。
397.544	399.566	他說,沒關係,我禮拜二就破戒。
399.566	427.368	每一個人就這樣紛紛把自己做錯的事情,又喝酒了,又抽菸了,把軟弱都說出來,他就發現, 這一群喝酒的人,抽菸的人,戒毒的人,生命有各種addiction,那個飲頭的人,當他們各自把自己生命的難處說出來之後,那個真實的我被開展出來之後,他們的生命,真正破口的地方,竟然可以改變。
428.626	465.098	當他可以有勇氣﹐在一群人的面前承認﹐我喝了﹐或者是﹐我又抽菸了﹐或者是﹐我又吸毒了﹐然後他發現﹐別人也是這樣接納他﹐可是這個接納不代表說﹐我們現在一起喝吧﹐不是﹐那個接納是說﹐沒關係﹐我們願意再一次﹐當大家說﹐我們願意再一次的時候﹐別人不會說﹐你不要介啊﹐不會﹐因為大家其實都是很想借﹐大家才來這裡﹐只是借不掉﹐ 可是他在那個很想戒又戒不掉的地方,他不會害怕說我很想改變,他不會害怕。
465.098	478.526	可是Antony Gibson發現,這些不害怕在別人的面前說出我很想改變的人,當他真正改變之後,他還是得回到他原來生活的團體。
479.070	487.412	當他回到他原來生活團體的時候﹐他發現一個非常嚴重的問題是﹐這些朋友﹐還是用舊的眼光在看待他。
487.412	493.774	這些朋友還是用舊的眼光在看待他的結果﹐就會帶來﹐把他慢慢的就打回原形了。
493.774	501.836	大家想啊﹐我看你這次能夠撐多久﹐我看你有沒有撐一個禮拜﹐我看你撐三天啦﹐心裡面就想﹐反正你們都期待我抽嘛﹐那我就抽給你看。
501.836	507.037	他發現原來﹐一個人生命的改變﹐跟團體大有關係。
507.978	510.679	生命的改變不是自己的事。
510.679	518.262	生命的改變是跟一個信仰的團體,用我們的語言,或者是跟你一般的生活的脈絡有關係的。
518.262	533.389	我們生命的改變永遠不可能是我自己來到上帝的面前,我就能夠有真正的改變,因為真正的改變會需要一個團體,不然一個沒有改變的團體,他常常會用舊的眼光來看待你。
533.389	540.933	我不知道對你來說,什麼樣的團體是最 難啟齒,你告訴他,你想改變。
540.933	545.116	就像每一個人可能都有不同的困難。
545.116	549.620	這很困難的,對一些人來說是家庭。
549.620	555.324	因為你的太太或你的先生,看著你,已經什麼樣子沒看過。
555.324	560.208	你又一把眼淚一把鼻涕,參加完培靈會,禮拜天聚完會之後,說主啊,我要改變。
560.208	562.650	太太在旁邊想,我看這次能夠撐多久。
563.507	594.108	兒子哭哭哭哭哭哭哭哭哭哭哭哭哭哭哭哭哭哭哭哭哭哭哭哭哭哭哭哭哭哭哭哭哭哭哭哭哭哭哭哭哭哭哭哭哭哭哭哭哭哭哭哭哭哭哭哭哭哭哭哭哭哭哭哭哭哭哭哭哭哭哭哭哭哭哭哭哭哭哭哭哭哭哭哭哭哭哭哭哭哭哭哭哭哭哭哭哭哭哭哭哭哭哭哭哭哭哭哭哭哭哭 怎麼樣經歷耶穌基督新的工作。
594.108	600.473	我想所有的改變,所有的改變都不比耶穌今天所要做的改變更困難。
600.473	603.676	耶穌基督今天所要做的改變是什麼改變?
603.676	607.359	是死人復活的改變。
607.359	613.184	耶穌基督所要做的改變是一個讓我們覺得一翻兩瞪眼再不可能的事情。
614.241	617.824	我在國中的時候曾經參加一個追思禮拜。
617.824	625.570	這是我一生以來到現在再不可能參加比那一次印象更深刻的追思禮拜。
625.570	629.653	過世的是一個高二的我們教會團企的弟兄。
629.653	632.535	他是我補習的小老師。
632.535	635.778	是我教會一個長老的第二個孩子。
635.778	640.422	有一天晚上他騎機車沒有戴安全帽發生車禍。
640.422	640.582	過世。
641.834	654.887	那一天追思禮拜在臺中殯儀館的時候,你知道去參加追思禮拜,弟兄姊妹聖歌隊就要穿那個聖歌隊袍,要唱歌,然後大家就要有一個程序,入殮,然後要等等。
654.887	664.759	結果發現那一天參加追思禮拜分成兩組人,一組人, 按著這個過世弟兄的身體,拼命禱告,求主讓他復活。
664.759	667.680	然後另外一群人要去參加追思禮拜,就愣在那邊。
667.680	671.861	我們現在是要進行程序,要唱歌,還是不要唱歌?
671.861	674.082	這一群人有信心在那裡,拼命禱告。
674.082	682.264	然後這群人,那個拼命要他復活的人,就看著這一群已經預備好要參加追思禮拜的人,覺得,你們怎麼那麼沒有信心?
682.944	685.145	他要復活,你們要有信心。
685.145	690.167	那天僵了很久,最後還是按照程序繼續走下去。
690.167	702.631	走走走,走到後面的時候,這一群弟兄姊妹開始覺得很難過,覺得這個弟兄之所以沒有復活,就是因為有另外一群人沒有信心,不相信他會復活。
703.131	712.235	然後呢,這些人又開始想,就是因為你們覺得祂不會復活,所以才把祂放到冰櫃的裡面,如果祂不放到冰櫃的裡面,祂就會復活。
712.235	716.557	就開始有很多新的理論出來,祂不會復活就是這個,不會復活就是這個。
716.557	723.781	我國中第一次參加這麼讓我 confuse 的追思禮拜,主啊,到底是不是因為我們沒有信心,結果祂不會活起來。
723.781	728.343	我一輩子參加追思禮拜到現在,都沒有遇到過那個死人復活的。
728.343	731.765	可是那是我第一次參加,會希望有死人復活的追思禮拜。
732.739	734.860	就帶著這種疑惑。
734.860	739.143	弟兄姊妹，耶穌基督從死裡復活,這是你相信的。
739.143	749.770	可是你的經驗告訴你,你參加的追思禮拜沒有一次是,人會按著已經死掉的人,奉主的名宣告復活復活復活,然後最後還是沒有復活。
749.770	752.212	這是一個非常特別深刻的衝擊。
753.097	763.580	在那天,耶穌參加的這個追思禮拜,跟剛剛我們翻開聖經所讀的這一個經文,是一個也讓我們不知道該如何面對的經文。
763.580	766.941	拉撒路從死到活。
766.941	770.403	拉撒路從死到活。
770.403	771.823	真的嗎?
771.823	774.404	耶穌基督真的會使死人復活嗎?
775.418	778.840	耶穌基督在那一天真的做成了這一件事情嗎?
778.840	783.903	這麼困難的事,怎麼可能耶穌基督會做得成呢?
783.903	790.306	就在今天,我們要看,我們的主到底要讓我們從這個神蹟裡頭學什麼功課?
790.306	797.250	難道祂要我們從這個神蹟裡頭學一個功課是凡參加追思禮拜的時候都能夠叫祂復活嗎?
797.250	804.214	如果不是這個樣子,到底這一段的經文在我們的信仰團體裡頭,耶穌基督要我們思想什麼?
808.217	815.800	聖經告訴我們,耶穌到了十七節,就知道拉撒路在墳墓裡已經幾天?
815.800	816.821	四天。
816.821	825.704	在四天墳墓裡頭,那是一個非常讓人無法接受,也不可能逆轉改變的事實。
825.704	834.108	這個事實讓所有圍繞在拉撒路家庭的親戚朋友們知道,那是一個安慰的時刻。
834.548	845.617	那是一個必須把一切的安慰帶到這個家庭的時刻,因為家裡的獨子拉撒路已經死了,只剩下他兩個姊姊,馬大和瑪利亞。
845.617	849.761	就在拉撒路死了四天的那一天,耶穌出現了。
849.761	861.211	我們要來看經文,馬大對耶穌說的一段話,馬大遇到主之後,他對主說,主啊,祢若早在這裡,我兄弟必定不死。
862.824	866.527	這個馬大他向主說了這段重要的話。
866.527	872.210	開頭的第一句表示出他長期以來是耶穌的粉絲。
