start	end	text
0.009	27.808	哈加利亞的兒子尼西米的言語如下。雅達薛西王二十年幾十六月,我在蘇珊城的宮中,那時有我一個弟兄哈拿尼同著幾個人從猶大來,
28.268	43.718	我問他們那些被擄歸回聖下逃脫的猶大人和耶路撒冷的光景。他們對我說,那些被擄歸回聖下的人在猶大省遭大難,
44.138	70.841	受凌辱，且耶路撒冷的城牆拆毀，城門被火焚燒，我聽見這話，就坐下哭泣，悲哀幾日，在天上的神面前，近時祈禱說，耶和華天上的神，大而可畏的神啊，你相愛，守你解命的人，守約師慈愛，
71.442	88.795	願禰睜眼看、側耳聽。禰僕人晝夜在禰面前。為禰眾僕人以色列民祈禱。承認我們以色列人向禰所犯的罪。我與我父家都有罪了。
89.275	110.322	我們向你所行的盛世邪惡，沒有遵守你藉著僕人摩西所吩咐的誡命，履歷典章，求你紀念所吩咐你僕人的話說，你們若犯罪，我們就把你分散在萬民中。
110.862	132.632	但你們若歸向我﹐謹守遵行我的誡命﹐你們被趕散的人衰在天涯﹐我也必從那裡將他們召聚回來﹐帶到我所選擇立為我民的居所。這都是你的僕人﹐你的百姓﹐
133.012	155.266	就是禰用大力和大能的手所救贖的。主啊,求禰側耳聽禰僕人的祈禱,和喜愛敬畏禰名眾僕人的祈禱,使禰僕人現今恆通,在王面前蒙恩。我是作王久正的。
155.862	176.654	好,感謝主。我們每次讀舊約的時候都會知道每一卷書卷的作者,他的名字通常就是跟這卷書的主要的精神有關。再來就是他的年代。弟兄姊妹讀這個舊約最頭痛的就是年代。但常常這個舊約的作者,他特別要把年代記下來。
176.834	199.441	就一定代表怎麼樣?一定有他這個當時候的讀者一讀就能夠體會的特殊的用意。例如這個每一年羅牧師跟羅師母,他們在過這個結婚紀念日的時候,他們就紀念他們結婚那一天有一個人兩歲生日,就是臺上這個人。感謝主。所以你看,真是蒙福。
200.401	209.028	我們來看尼西米記哈加利亞的兒子尼西米的言語如下哈加利亞這個尼西米的爸爸叫哈加利亞他的名字是意思是耶和華隱藏
225.981	240.49	而尼西米的意思是耶和華安慰。代表什麼?代表是說這個尼西米的父親那一代,好像耶和華隱藏,好像神沒有彰顯祂的榮耀,
241.271	255.63	而到了尼西米這個世代的時候,就是神要來彰顯祂的安慰,是這個機會來了,是神所創造的一個契機來到。弟兄姊妹,《尼西米記》第一章的這個年代,
256.391	261.894	耶路撒冷被毀壞,聖殿被整個毀滅,是在主前586年。
278.302	304.84	而經過70年之後在祖前516年在索羅巴伯的帶領之下第二聖殿第一個聖殿是索羅門王蓋的第二個聖殿就是索羅巴伯他們被魯歸回到耶路撒冷之後在這個70年之後重新蓋的而從祖前516年到尼西米記第一章的祖前446年的年底又是另外一個70年
306.049	322.189	也就是說從聖殿被毀經過七十年聖殿重新被建立起來但是聖殿被毀之後下一步就是包圍祂的這個聖城的城牆也需要被建立起來但是又是一等又是等七十年
322.449	339.791	在這個等待的世代裡面,好像伊荷華隱藏。我們如果來看尼西米記﹐跟他前面一章的以色拉記﹐你就會發現,那是一個非常艱苦的年代。其實在舊約的時代,以色拉記跟尼西米記﹐他們是合在一起的。
340.572	364.44	是到了新約以後,基督教以及猶太教才把尼西米記跟以色拉記分開。所以我們有時候要看尼西米記,就要參照以色拉記來看。特別是在尼西米,我們的男主角,他回到耶路撒冷,帶領百姓,70年過後把城牆建造起來,
364.94	382.362	這是尼西米他主要的工作。在尼西米回耶路撒冷之前,是以斯拉比他早13年回到耶路撒冷去。那時候他是奉波斯國王的命令,回去教導以色列百姓律法,讓他們敬畏上帝。那你說波斯國王怎麼這麼好心?
