start	end	text
0.009	20.496	在《尼西米記》這本書裡面,尼西米的意思是耶和華上帝的撫慰,上帝的安慰。所以這麼好的一個信息在尼西米的心裡面,它到底是簡單還是不簡單?到底尼西米被上帝記住的是好還是不好?
20.896	41.293	這整個以色列的國家,南國,在那個時候,耶路撒冷城的百姓,那裡的外邦人,或者是那裡的人,上帝給他記條條的是什麼?是好的還是不好的?我發現,當我在研究尼希米記的時候,因為它有很多豐富的歷史,以及它的整個神學背景,
41.613	60.105	我一直在想說我怎麼樣在母親節跟大家分享這個訊息的時候這一句話因為它出現非常多次在尼西米記裡面所以我就把它拿出來想被上帝安慰的尼西米上帝說我用你來安慰百姓的尼西米他說你紀念我
60.145	81.281	上帝請禰紀念我。祂而且不是一次紀念,很多次紀念,而且不是小事紀念。祂做了一件事,講了一些話之後,做完一些的功之後,上帝禰把我狠狠的記住可以嗎?這件事可以把我記起來嗎?我做了這件事,好像是禰姊妹在邀功。你不相信,我們來看下去。
81.681	95.938	祂是這樣子求上帝紀唸的。祂說,神啊,求禰因為這是紀念我,不要塗抹我為耶路撒冷的這個神的墊,與其中的禮節所行的善。做完事就跟上帝說,
97.039	116.651	記得喔,這件事喔,記住喔,我有做這件事,你有看到對不對,上帝記住這件事喔。第二件事,祂就說,我吩咐你為人,竭盡自己,守城門啊,吩咐安息日為聖啊,然後這件事,上帝啊,你要給我好好的記住喔,紀念我,紀念我,記住我。
119.36	144.08	但同時,祂也把祂的仇敵做了壞事,跟上帝說,你眼睛有看到對不對,這些人使你的百姓受苦,你也要把祂記住。就是這些人啊,他們啊,叫我害怕,我的敵人讓我很恐懼,上帝啊,你不可以不記住喔,這件事要請你把我記住。然後呢,他們違揹你的約,所以你要紀念他們的罪。
144.701	173.358	哇,尼西米很會禱告。那他禱告的事情就是又好又不好。然後看的時候,你如果不瞭解上下文或者是背景,你單單看這樣就覺得說,這個人寫的東西,他講的東西,我真的值得去看他嗎?好像又邀功,又不放棄人家的罪。這樣子的上帝的福位,在尼西米裡面到底是什麼意思呢?我在想到上帝,上一次莊牧師在主日的時候有講到尼西米。
174.275	199.017	他講到不能再忍耐,對不對?尼西米的心就是不能再忍,因為整個的狀況他再也不能忍。以我的背景跟我的成長裡面,我就想到什麼叫做不能再忍。他看見、聽見、感受到,他雖然在國外,他已經被擄整個國家是王國的情況裡面,他被擄在外邦,可是有聽見弟兄說,尤大神啊,
199.497	220.732	耶路撒冷的光景,他說那些被辱的人在猶大省遭難受凌辱,而且城牆被拆毀,城門被火焚燒,他再也不能忍。於是他就跟他的國王,他服侍的王說,我可不可以回去一下,我要去看一看我的國家,我的百姓,我的子民,我的兄弟姊妹所發生的事情。
221.152	226.236	繁體中文，臺灣國語。繁體中文，臺灣國語。繁體中文，臺灣國語。
238.285	265.416	他有一個女朋友叫奧利維,Olive。然後呢,她就是Papyrus Salomon,就是那個水手,大力水手。當他的女朋友跟他的情敵不如潑,他們兩個在搶那個Olive的時候,他常常都被另外一個大力水手欺負。所以當他看到奧利維被奪走,或者是被欺負,或者是他受不了的時候,我再也不能忍耐的時候,他會做什麼?
267.09	280.468	你們果然都是看過的。他就說我要加強我的體力。我要練核心肌群。我要加最有意思就是菠菜很營養的意思。吃下去非常的有體力。結果他就會怎樣?
282.688	297.491	這個是拍拍我在我心裡面自然會想起這個畫面就是很有趣的就是當一個人他在乎的人在乎的是受到一些的攔阻的時候他就是我再也不能忍耐了於是他會採取一些行動
298.49	317.171	姊妹她不能忍,為什麼?她看見,她聽見,她會哭,她會禱告,她甚至是禁食禱告。她跟上帝禱告的事情就是至大而可畏的神啊,至高的神啊,你怎麼可以容忍繼續看見這樣的事情繼續壞下去?
317.892	344.993	你知道當尼西米做這個禱告以前經過哪一些事已經不好、爛、荒涼、沒有人管、被擄、狀況不好有多久的時間你就會發現尼西米說上帝安慰祂的百姓上帝的撫慰是如此的真實以及祂的不能夠再忍祂真的採取行動有事多麼了不起的事情我們來看一下以色列南國的歷史
346.271	374.36	你看到我們這個圖裡面,如果你們對這些圖有興趣,你可以去聖經裡面,網路上有一個叫聖經簡報站,裡面全部都有。這個經文當中告訴我們說,你們都記得以色列歡歡喜喜出埃及的時候,大概有多少人呢?約兩百萬人。可是到了,你看他們從貝魯回到巴比倫的時候,已經是剩下,歸回出巴比倫的時候剩多少人呢?
375.06	382.465	大概是五萬人。這裡是五萬人。所以在587年的時候,聖殿被毀。
383.37	409.825	以色列人成為巴比倫的俘虜,這樣瞭解嗎?後來他們從巴比倫開始,又有另外一個歸回,貝魯歸回的事情。我們現在從這裡開始看,以色列人他們上帝說,雖然你們被分散到各處去,可是因為我跟你的亞伯拉罕所立的約,我絕對不會放棄,雖然你們的狀況超級超級的不好。所以我們看到接下來,
411.817	425.111	他第一個從巴比倫歸回的人是誰呢?第一批歸回,一共有三次的歸回,你跟你旁邊的人三次歸回,跟你旁邊的人說有三次的歸回。這是第一次的歸回,他的名字是誰?
426.34	449.547	索羅巴伯他在536年的時候,他開始帶領以色列人歸回,然後他就看見以色列的百姓就看見說,哇,好開心喔,因為有好多以前看過這個聖殿根基的人,他們就大聲的歡呼讚美,因為已經有好久的時間,在這是536年,所以他們很開心,終於可以歸回了。
450.742	478.975	然後再看下去,這個歷史繼續在演。我們看見我們的先知哈蓋,他就說這殿後來的榮耀必大過先前的榮耀,因為他們整個城牆是被毀,整個聖殿是被毀的,被燒的,他們是被擄到外邦去的,而且不同的國王,因為那時候的局勢非常的混亂,又是巴比倫,又是亞素,又是埃及,所以他是非常混亂的狀況裡面,
479.155	502.71	可是上帝一直透過不同的先知,透過不同的祭司、立位人來幫助以色列人相信,雖然你們現在的狀況超級荒涼,可是我要應許這個殿,末後的榮耀,要大過先前的榮耀。直到我們看下去,後來他們經過了一些日子之後,就是聖殿終於重新蓋好的。
503.37	518.243	是在516年。516年的時候,聖殿終於重新蓋起來了。到了第三次,我們來看第二次的歸回。就是以色拉,就是文士,他終於重新把以色列的律法,
520.657	542.202	律法教導百姓,他們在以色列的聖殿的裡面,重新的把律法書拿出來,重新在那裡讀神的律法,所以他們很多人很感動,因為我們已經很久沒有敬拜了禮儀,我們已經很久沒有聖殿,我們已經很久沒有祭司帶領我們一起來敬拜。我們剛剛說一共有幾次的歸回,
543.473	560.099	所以這是第二次。剛剛講到的是以色拉是第二次。接下來我們要看到的是第三次,就是耶利米。我們回去一下。尼西米,好的。尼西米,這個有一點慢。尼西米他重建聖城。
561.459	589.676	在這裡的時候,我們看見尼西米做了什麼呢?他說我們起來建造吧,因為我們要重新來建造神的城。因為以色拉把聖殿蓋好,第二次的時候他把它蓋好了。但是尼西米他看見的不只是城牆好了而已,他發現聖殿好了,可是城牆是怎麼樣?有很多地方是毀掉的。我剛剛說整個大局勢是很混亂的。
590.52	612.539	所以沒有逞強也就是沒有保護的意思。所以以色拉把聖殿蓋好了,可是尼西米說不可以,讓聖殿再次的被毀掉。於是他就興起說,我們要請求那一個至大而可畏的神來幫助我們。從以色拉到尼西米一共有13年的時間,又是空著的。
613.2	630.768	十三年的時間沒有人幫助以色列人,有十三年的時間荒涼的情況仍舊是荒涼,因為城牆還沒有蓋起來。那裡有哪一些的敵人使他們備受各樣的凌辱呢?在東邊有一種人叫雅門人,
631.288	654.654	雅門人他的名字在整個的尼西米記當中最有名叫做多比亞。北邊有一種人叫荷倫人。他最有名叫桑巴拉。在東南邊有一種人叫阿拉伯人叫做基善。在這三個名字是在尼西米記當中不斷出現的三個很重要很可怕的敵人。而如果你看一下聖經裡面你就會發現
655.333	678.349	這三個敵人,這三個強敵在聖經裡面是,他們連進聖殿都是不允許的,他們不可以進神的殿,不可以入耶和華神的會的,因為他們是被神很清楚的曾經寫下來過的。而妮西米來到他們當中,告訴他們說,你們已經很習慣在混亂當中過生活,
678.609	708.469	裡面很習慣,好像不需要有人來幫助你們,沒有祭司,沒有立位人的生活,很久了。我們看到的就是,尼西米他不僅自己站起來,他不僅看見需要,而且他就是幫助整個以色列被整對起來,成為一個大軍,把整個城牆蓋起來。城牆後來蓋起來之後,我們看到整個南部的耶路撒冷城的整個聖殿,聖殿在這裡。
708.609	730.55	他整個的思維的城牆就是這樣在尼西米的整個的努力當中把整個城牆重新蓋好。這是整個的一個大概的一個情況。所以在我們當中看見一件事情就是大祭司有一個人叫做大祭司叫以利亞什。
731.886	752.962	他們就被上帝跟透過尼西米把他們重新整肅之後,他們對著自己的房子來建造,使外面的城牆跟整個毀壞的地方用52天把它整個蓋起來。好,我整個有點亂的把整個的背景稍微解釋一下,大家可以理解了嗎?
753.643	778.183	這個外面的城牆用52天整頓了大祭司、立位人以及各個平民百姓對著自己的房子建造,各種人都起來。每一個人可能修一小段,一小段,一小段,這樣子。但是在整個聖經的《尼西米記》當中告訴我們的就是每一個在當時住在那裡的人
778.763	798.199	貝尼西米呼召起來的人,他們都負責一小段,可是他們就一起在52天拿著刀拿著槍,一起來防禦這些東西南北的外敵,但是他們真的把整個城牆重新圍起來。這樣OK?整個背景夠清楚。好,我們看下去。
803.046	810.568	我們要看一下被上帝紀唸的尼西米有三件事我想今天要從他的身上我們來一起學習。
811.681	840.08	當外面的城牆都蓋好了,他再次回去,看到以色列的族群,看到猶太人他們的狀況的時候,其實他的心真的很難過。為什麼呢?他可以花52天,把大家整頓起來,把外在的城牆蓋起來,他發現有另外一個很可怕的事情還沒有做,就是內部的城牆,就是以色列整個社群團體,整個的百姓內在的狀況。
840.981	869.542	所以他發現,他不能只有把外在的牆蓋起來,他發現他需要呼籲他們,內在生命的狀態。我們來看一下,在尼西米基第五章這邊,他說我自從奉派做猶太,請你們跟我一起來讀好不好,預備。自從我奉派做猶大帝的神掌,就是從雅達薛西王二十年,直到三十二年,共十二年之久,我與我弟兄都沒有吃神掌的俸祿。
870.503	896.798	在我以前的神掌﹐加重百姓的贈賜﹐每日所要糧食和酒﹐並銀子適時設克勒﹐就是他們的僕人也挾持百姓﹐但我應敬畏神﹐不這樣行。他們發現了一件事情,尼西米他雖然是被派回去的,他的角色是猶大帝的神掌,
897.551	924.387	但是呢,他有一個很棒的品格。不僅是有很棒的品格,是因為他看見一個很大的需要。看見一個很大的需要,他把自己放下來。就是,他不僅沒有領薪,而且他每天,他不僅沒有領薪,看下去喔,這是上半度,他有12年之久都沒有拿錢,沒有拿官方的薪水。還有,一起來,預備,來。
930.759	958.308	我的僕人也都聚集在那裡做工,除了從四維外邦中來的猶太人以外,猶大平民和官長一百五十人在我席上吃飯,每日預備一隻公牛,六隻肥羊,又預備些飛禽,每十日一次,多預備各樣的酒。你看有多少人跟他一起吃飯?一天而已還是每天?
959.462	976.531	每天喔!他第一個沒有領薪水。第二個,他自己是一個給的人。館長一百五十人,十天一輪,把所有的東西吃光光。而且所有的事情都是他自掏腰包。這樣瞭解我的意思嗎?好,看下去。
976.971	1005.878	雖然如此,我並不要神掌的俸祿,因為百姓福益深重。我的神啊,求禰紀念我為這百姓所行的一切事,施恩於我。我們不是說為善不為仁之嗎?可是他不僅是要上帝知,還要百姓知,還要求上帝記下來,狠狠地把上帝的,上帝你有看到嗎?要給我記住喔。所以我在想,到底這個尼西米,怎麼了?
1006.988	1023.239	他為什麼在他整個尼西米記當中有這麼多次跟上帝說你可不可以把我記住我做的這一件事情。所以我看到第一件事情是他是一個非常跟著上帝的意向走的人。
1023.899	1043.636	因為我剛剛說了,從聖殿被毀,到以色列人重建聖城,重建聖殿,已經經過了,如果第一次他們有律法書,到後來他們重新看律法書,已經經過了一百二十九年。那麼久的時間,他們其實習慣荒涼啊。
1045.486	1055.195	旁邊,你如果是一個很正直的人,你希望有敬畏上帝的聲音,你希望有敬拜上帝的禱告,可是大部分人都已經習慣沒有。
1056.186	1059.668	繁體中文，臺灣國語。繁體中文，臺灣國語。繁體中文，臺灣國語。
