start	end	text
4.036	11.460	弟兄姊妹平安，感謝主今天我們又一起來敬拜我們的神。
11.460	15.963	接下來我們來跟大家分享的是與你有約。
15.963	26.668	我們今天是繼上一週主日羅牧師跟羅師母為我們分享的 《尼西米記》第八章,我今天要分享第九章。
26.668	47.612	因為《尼西米記》第八章,非常的歡樂,可是到了第九章實在是非常的哀愁,實在是真的是一個反差很大的對比,所以其實我自己也非常的憂愁,因為其實真的一開始真的不知道要分享什麼。
47.612	50.573	好像這個氣氛不太對,因為我們今天是看第九章。
51.032	60.776	OK,好,那麼,那我們就開始我們今天的分享,那我們一起來做一個禱告。
60.776	109.739	親愛的主,我們感謝你,主啊,真的求你釋放我們每一個人的心,主啊,我們每一個人有不同的生命的光景,但是主,我們知道你都看顧,我們知道你都了解,主啊,求你就幫助我們,今天仍然的 好 那我們今天就那個 開始!
109.739	121.628	尼西米紀的處境其實是一個很艱難的一個狀態,因為其實是在貝魯歸回的光景。
121.628	137.785	上一週的第八章裡面提到了七月初一, 文士兼祭司以斯拉,他就將律法書帶到了眾百姓的面前,唸給大家聽。
137.785	140.988	而且在這個時候,大家聽了都哭了。
141.749	151.454	在貝魯的時期裡面,他們就是把農曆的七月初一當作新年的開始。
151.454	161.979	其實是跟原來的正月,就是逾越節是不一樣的,因為在貝魯之後,他們就一個新的紀念,就是七月初一。
162.739	202.262	因此我們可以看到在我們第八章裡面講到了在城牆都建好了那省長尼西米加上祭司就是文斯以斯拉他們就起來歡慶告訴這些百姓 不要悲哀哭泣甚至可以去吃那些肥美的去喝那些甘甜的一點都不需要憂愁因為在第8章第10節那裡我們都知道那裡告訴我們 因靠耶和華的喜樂而得的喜樂是我們的力量。
202.262	221.374	這是第八章在那裡大大的激勵眾人於是眾人就大大的喜樂在那裡歡慶祝彭節 然而我們今天要到了第九章,但是我們先來看看這個以色列人他們的農曆的七月份的這個節期。
221.374	240.166	原來祝彭節之前,祝彭節是七月十五號大概到二十二號左右,但是按照律法來講,按照摩西的律法來講,其實在祝彭節也就是七月份的七月初,就是在七月十號其實是贖罪日。
240.947	252.198	我們來看一下,這裡是立位記,就是律法書裡面的十六章的二十九到三十一節,我們一起來讀這一段經文。
252.198	263.570	每逢七月初十日,你們要刻苦己心,無論是本地人,是寄居在你們中間的外人,什麼工都不可做。
264.070	272.394	這要做你們永遠的定力,因在這日要為你們贖罪,使你們潔淨。
272.394	278.876	你們要在耶和華面前得以潔淨,脫盡一切的罪欠。
278.876	283.899	這日你們要守為聖安息日,要刻苦己心。
284.599	338.312	因此我們從這個立位記來看,這個七月初十,就是在祝彭節之前, 要刻苦己心而且祭司這時候要行贖罪之禮而且還要做很多的捷徑而且那一天還是安息的聖日但是這裡也提到了寄居在百姓中間的這些的外人就是非猶太人非被歸入以色列民的這個族群以外的這些外人同樣都要一起來 過這樣子的一個贖罪日。
338.312	347.015	因此其實是要先有贖罪日的預備,然後才來過祝彭節享受神所賜的福分。
347.015	352.858	因此我們看到,今天我們即將要看的是第九章。
