start	end	text
0.009	24.973	就約聖經,哪一卷書啊?以賽亞書第六章。我們請需要有聖經的也可以揮揮手,招待把聖經拿給你。感謝神有沒有進入以賽亞書,要有心理預備。以賽亞書很長,有多長?66章,比雪山隧道還要長,感謝主。
26.015	51.486	以賽亞,我們都知道我們已經讀聖經讀久的一個習慣,每一卷書,特別是先知書,它這卷書主要要講什麼?通常跟作者的名字有關,對不對?那以賽亞書的這個主要要講的內容當然跟以賽亞這個名字有關。以賽亞什麼意思?你有個經驗,舊約裡面你看到什麼雅?那個雅就是雅未,就是耶和華。
52.073	81.068	的簡稱﹑雅﹑例如說玉名﹑雅﹑沒有亂講﹑以利﹑雅﹑以賽﹑雅﹑約書﹑雅﹑玉名﹑莊﹑以賽﹑雅﹑的意思就是﹑耶和華拯救﹑我怎麼記得新約裡面好像有一個人他的名字的意思也是﹑耶和華拯救﹑要將他的百姓從罪惡中拯救出來﹑誰?
82.073	110.499	耶穌,他的這個字翻譯成希伯來文就叫什麼?亞。約蘇亞。意思也是耶和華拯救。好,我們整理一下。以賽亞、約蘇亞、河西阿、耶蘇。這些名字意思都是什麼?耶和華拯救。所以基本上有人給這個以賽亞書取一個綽號叫小聖經。因為剛好他有幾章。
111.323	128.893	66章。聖經剛好有幾卷?66卷。然後呢,舊約聖經前面有39卷,後面有27卷。而以賽亞書前面的39章,它的信息比較偏重什麼?審判跟責備。而後面27章信息比較偏重什麼?
130.026	157.223	安慰和拯救。剛好怎麼樣?好像跟舊約39卷新約27卷的主題很相像所以以賽亞書又有小聖經的意思以賽亞書很重要先知書總共有大先知書5卷小先知書多少?12卷加起來多少?17卷其中最重要的就是以賽亞書為什麼?他的這個神學的內容最完整最豐富
157.688	183.861	大部分的先知書都會集訓在探討特定的主題,但是以賽亞書它幾乎是全包了。再來以賽亞書,它是新約聖經的作者最喜歡引用的一個舊約的書信,一卷書。它總共被新約聖經引用了62次。而所有有關於彌賽亞預言,大部分的出處幾乎都是在以賽亞書裡面。所以它重不重要?
184.394	212.869	很重要。其實我們常常讀舊約的目的是怎麼樣?就要了解這個新約的耶穌基督在舊約怎麼被預言、被應許,一定會來。那以賽亞書呢,它的文采非常的豐富。我們其實都知道就是說,給大家增加一點聖經,小百科。聖經裡面這個章節,最多章的是哪一卷書?欸,好聰明喔,對齁。為什麼?因為你們有聽那個每日演進示意。
214.497	234.987	10篇有幾篇?150篇。第二多是誰?以賽亞66章。第三多呢?耶利米52章。但是如果針對那個字數有幾個字,誰第一名?耶利米第一名。耶利米一直哭嘛,一直哭一直哭,一直講一直講,所以講得篇幅最長。
235.555	265.204	那第二多的篇幅字數最多是誰?十篇。第三是什麼?以賽亞。但是呢,如果說一卷書裡面,我用了幾個不同的希伯來單字,我們說英文好不好,就看說你一篇英文的文章用的英文的單字夠多還是不夠多,就知道你英文單字懂得多不多,英文能力好不好。那使用最多的希伯來單字的是誰?以賽亞書。總共用了2186個希伯來單字。
265.64	290.385	所以其實我們可以期待從以賽亞書這個寶庫裡面,認識很多的這些上帝寶貴的應許。以賽亞書第六章,是很多華人各大神學院畢業的時候,我不知道易佐你畢業的時候有沒有用這一章。因為他的這個第八節裡面,有一句很有名的話說,我在這裡,請差遣我。
291.118	315.54	這幾乎是每一個神學生畢業的時候怎麼樣,那時候被熱火焚燒,都會說,主啊,我在這裡,請拆遣我。我們希望這個火可以燒久一點,感謝主,因為事奉的環境,很多的艱難。那我們就來看一下最有名的這個以色亞書第六章,它講到以色亞當初在什麼情形之下,上帝呼召他來做先知,然後上帝呼召他來做先知之後,給他的使命跟任務又是什麼?
315.862	341.665	所以瞭解這一章,就可以瞭解以賽亞書很重要的方向。我們一起來讀第六章的第一節,一直來讀到第十節,好不好?預備,來。當烏西瓦王崩的那年,我見主坐在高高的寶座上,祂的衣裳垂下,遮滿聖殿。其上有薩拉福勢力,各有六個翅膀,
342.005	363.127	用兩個翅膀遮臉,兩個翅膀遮腳,兩個翅膀飛翔,彼此呼喊說:「聖哉!聖哉!聖哉!」萬君知耶和華,祂的榮光充滿全地,因呼喚者的聲音,門檻的根基震動,
