start	end	text
1.118	28.428	我們教會講《尼西米記》已經講了一段時間。《尼西米記》一共十三章。今天到十二章,下一個禮拜就結束了。所以,如果在這個中間你還沒有機會把《尼西米記》讀一遍的話,我會鼓勵你回家把《尼西米記》讀一遍。十三章不是這麼長,但是因為十三章中間有五段的名單,所以我們就會覺得很難越過這個名單把它讀完。
28.968	46.105	我會鼓勵諸位在沒有看十二章之前我想為了我們中間第一次來的或者之前沒有機會聽的或者像我那種聽了就忘的我簡單介紹一下這個背景這個背景是什麼呢?
46.766	67.887	就是當神創造人的時候﹐他選擇了猶太族﹐這一個族﹐跟他們立約﹐然後要經過他們﹐彰顯他的救恩﹐經過猶太人﹐把這個救恩﹐能夠遍及世界各地所有的人。但是猶太族人﹐他們一直持續地悖逆﹐
68.968	88.864	所以神就允許他們亡國。他們從自己的巴勒斯坦的地方被擄到北邊的地方在那裡做俘虜有70年之久。那70年時候到了的時候神忽然就感動當地的
90.23	104.927	古獵王,這個人也不認識這個神,但是他忽然覺得說,好,我讓你們回到耶路撒冷,去重建這個城牆,重建這個聖殿,恢復你們在耶路撒冷的生活。
105.247	127.5	這麼奇妙的一件事就發生了。這是在猶太人被擄了七十年之後。於是呢,就有人從那邊,聖經裡面講,凡是心裡被神急動的人,就是心裡有感動的人,就一起回到這個地方來建造。而尼西米是第三批迴到這裡的人。
128.08	145.436	尼西米記所講的,就是他在這裡把這個破碎的城牆,帶著百姓把它建造起來。我們看尼西米記十二章,我們先打開來一起來讀。讀第一節。
147.585	164.035	找到了,大家都找到了。來,我們一起來。第一節前半就好了。童著撒拉鐵的兒子索羅巴伯和耶穌亞回來的祭司與立位人記在下面。我們先停在這裡。
164.735	190.993	尼西米十二章是講這個城牆已經建造好了,所以在這個中間大家歡樂,大家歸榮耀給神,大家把手所做的功,重新奉獻給神。但是智慧有今天,他在第十二章前面第一節講到,最初的時候是撒拉鐵的兒子索羅巴伯跟耶穌亞,耶穌亞是當時的祭司,祭司回來。
191.834	213.704	這個就是我們剛剛說的。古列王坐在宮殿裡面,忽然說我要讓以色列人回去重建他們的聖殿。那個時候以色列已經亡國七十年了。請問諸位,你們小時候兩三歲四五歲上小學的事情,你還記得很清楚嗎?還是像昨天嗎?
214.787	237.476	其實是很遙遠了,對不對?你還沒到七十歲。那七十年可以讓人忘記許多的事情。同時七十年在這裡,他們不能獻祭,他們沒有辦法過他們的信仰的生活。他們跟神的關係可以十分疏遠。請問諸位,如果你兩三個禮拜沒有來聚會,你跟神的關係是怎樣?
239.548	240.809	繁體中文，臺灣國語。
256.8	277.477	他只會說別國的話。那這裡的人也是這樣啊。他們孩子只會說別國的話。對於信仰其實不是那麼清楚。但是他們當然跟我們不一樣。我所要講的就是在這裡索羅巴伯跟約蘇亞回來的時候我們看見一件事。他們來的時候是帶著一個單純的信心。
