start	end	text
0.794	23.167	弟兄姊妹早,感謝主。是不是很久沒看到我站在這裡,對我有點陌生的感覺。我今天要帶大家看的聖經信息是在以色亞書32章。我今天要講一個非常偉大的題目叫公義的君王。
26.442	50.385	很偉大。本來我取的名字叫公益的國度,也是可以。你有想過嗎?在你的人生當中你會想到一個公益的國度,這樣一件事情嗎?我想大概你有一個公益的家庭就不錯了。那想到的大概就是你周遭
51.152	68.753	的一點點,你的生活圈。但是今天我要跟大家講一個公益的國度,是我覺得我看,這在聖經裡面非常,覺得想要跟弟兄姊妹分享的。好,麻煩我們打開聖經,以賽亞書第32章。
70.418	94.471	我原來上面寫一到八節,還是十五到十八節。但是我想說沒關係,我們就可以把全章把它唸完。我站在旁邊,我們一起來唸。預備,來,看哪。必有一王秉公義行政,必有首領借公平掌權,必有一人向避封所和
97.142	125.42	又像河流在乾旱之地。像大磐石的影子在疲乏之地。那能看的人眼不再昏迷。能聽的人耳必得聽聞。貌似人的心必明白之事。結巴人的舌必說話通快。語言人不再稱為高明。吝嗇人不再稱為大方。
125.998	143.995	因為愚蠻人必說愚蠻話,心裡想做罪孽,慣行褻瀆的事,說錯謬的話攻擊耶和華,使飢餓的人無食可吃,使口渴的人無水可喝,
144.667	165.396	令色人所用的法子是惡的,他圖謀惡計,用謊言毀滅謙卑人。窮乏人講公理的時候,他也是這樣行,高明人卻謀高明事,在高明事上也必永存。
166.8	190.524	好,我們先念念這裡好了。我就想說不要念太多,讓大家喘一口氣。這一段聖經是講到一件事情,一個公義的一個國度,上帝所要應許的要呈現。公義的國度將來會呈現很多的現象,很多的現象包括帶來
191.442	214.401	人心的改變,包括帶來人生命的一個國家、一個狀態的一個改變。一個欺壓,一個好像對人的傷害,一個不公不義的事情,會做了轉變。期待一個
215.589	243.283	這位君王,我們後來就說是彌賽亞,他來,他來,不是讓大家歡歡喜喜快快樂樂,主耶穌我感謝你來了,我們歡喜快樂與主同在。是不是這樣子?是。但是呢,也不只是這個樣子。我以前讀聖經,我讀到這裡我就覺得,啊,有天跟主同在,喜樂和
243.968	273.499	溫暖的溪,在主的愛的安歇水邊,哇,太好,沒有眼淚,沒有痛苦,是美好的。但是呢,我現在發現,可能不只是這個樣子。這邊說到這位必有一個王,他要秉公義行政,必有首領界公平掌權,
274.206	303.642	這個義王憑公義行政,行政就是治理統治的意思。所以他不是一個,只是看得到一個好像一個疏漠的環境,他是乃是有一個統治權,是一個管理,是一個治理。那個治理呢,他說這是什麼?憑公義治理。那就是什麼?公義是對著不義來說的,對不對?對著這個社會,對著種種這個不公的現象來說的。
305.043	312.165	然後呢他要打擊他要改變打擊這些不公不義的事情
312.824	341.267	第二,必有首領藉公平掌權。這首領其實是複數,所以這位君王底下的很多的首領,要按著公平來掌權。其實我是最不喜歡講公平公義的,因為你看我就不太像很公平很公義,不是說我這個人很糟糕。公平公義是蠻嚴肅的事情,對不對?
342.978	368.94	公平公義是對著那些犯罪者、不公者的一個審判。哎呀,這對我來講我是覺得我是不太喜歡做這種事情。但是呢,他好像說到將來的國度是一個掌權者,他是一個公義的掌權者。而且呢,他的掌權是帶來一個公平的現象。
