start	end	text
1.067	4.409	很高興我們再次來到神仁殿中,一起聚集,一起來敬拜神。
4.409	11.293	今天我想分享的信息叫做,不再偽裝的勇氣。
11.293	15.955	這個水桶呢,這是一個木桶,用許多木片、木板拼做起來的。
15.955	20.518	你可能在日本的節目,特別是那個浴室啊,你會看到這類似的木桶。
20.518	22.159	Maybe你家裡可能也有一個。
22.159	28.062	我也在學生的聚會當中,學生木區聚會當中,分享這件事,分享這個圖片。
28.422	32.843	只不過當我在分享這個圖片是在做團隊的建造。
32.843	46.766	我讓每個年輕人知道,我們這一整個團企,一整個小組,每個人可能來自成長環境不一樣,所以可能是長長短短,或寬或窄的木片。
46.766	57.308	可是呢,決定這個小組,決定這個團企,最後承載的那個水量,你們覺得是決定在長的那根還是短的那根?
59.053	121.705	我的神很幽默，我的神也充滿智慧， 當我在教導孩子的時候,同樣他也教導我,這個圖片繼續地一直掛在我腦海裡,然後神對我的生命這樣說,我對這個人的生命,各位弟兄姊妹,你個人的生命,在不同的領域,在不同的生命週期,可能有一些創傷,可能有一些傷害,你生命可能也呈現一種不完整的狀態,或長或短,或寬或窄, 可是你知道,你不願意面對你生命當中那個軟弱的時候,你這個容器,承載那個祝福的那個量,會決定在短的還是長的?
121.705	127.069	短的。
127.069	130.772	是常常漏水的那個水桶呢?
130.772	137.377	還是像那個右邊那個完全破掉,然後你從來不願意正式的去面對?
138.592	143.573	今天要分享的信息叫做,不再偽裝的勇氣。
143.573	150.975	每次上台分享的時候,我覺得神對付傳道人就是這樣,不斷地像洋蔥一樣,一層一層扒開。
150.975	160.297	好像非常裸肉、坦落地在弟兄的面前,可是越是這樣誇耀神在我的軟弱上剛強,我卻顯得更多的盼望跟力量。
160.297	160.898	我們一起來禱告。
162.824	172.967	慈愛的天父,我們需要祢的大憐憫,充足豐富的恩典,現在就澆灌在祢僕人身上,在聆聽的祢的兒女身上。
172.967	187.391	我們承認我們既是又軟弱,又悖逆又頑硬,主要常常睜一隻眼,閉一隻眼面對自己生命的短處,軟弱,不願意帶到祢的寶座前,不願意帶到祢面前來。
187.671	194.076	主,今天早晨,祢透過祢自己的話語,主啊,祢聖靈的工作在我們當中運行。
194.076	197.038	主啊,一一的觸摸,一一的一致。
197.038	199.881	禱告是奉靠耶穌基督的名。
199.881	200.961	阿們。
200.961	208.147	我們今天要一起來讀的信息的經文是在馬可福音二章一到十二節。
208.147	208.948	我們一起來念。
208.948	210.169	過了一些日子,預備,來。
210.828	236.749	過了些日子﹐耶穌又進了加拜農﹐人聽見他在房子裡﹐就有許多人聚集﹐甚至連門前都沒有空地﹐耶穌就對他們講道﹐有人帶著一個攤子來見耶穌﹐是用四個人抬來的﹐ 因為人多,不得進錢,就把耶穌所在的房子拆了房頂。
236.749	242.934	既拆通了,就攤子連所躺的褥子都墜下來。
242.934	248.079	耶穌見他們的信心,就對攤子說,小子,你的罪赦了。
248.797	255.521	有幾個文士坐在那裡,心裡議論說,這個人為什麼這樣說呢?
255.521	260.564	他說健忘的話了,除了神以外,誰能赦罪呢?
260.564	268.449	耶穌心中知道他們心裡怎樣議論,就說,你們心裡為什麼這樣議論呢?
268.449	271.210	或對攤子說,你的罪赦了。
271.210	275.673	或說,起來,拿你的褥子行走,哪一樣容易呢?
276.288	287.479	但要叫你們知道人子在地上有涉罪的權柄,就對攤子說:「我吩咐你起來,拿你的褥子回家去吧。
287.479	300.172	」那人就起來,立刻拿著褥子當眾人面前出去了,以致眾人都驚奇歸榮耀於神,說:「我們從來沒有見過這樣的事。
300.172	312.575	」 其中這句話﹐一直深深地抓住﹐這幾個禮拜﹐我的生命﹐我的狀況﹐就對攤子說﹐小子﹐你的醉舍了。
312.575	314.637	小子﹐你的醉舍了。
315.503	338.923	整個故事來龍去脈,你大概可以知道,一定有幾個可以探討,比如說,沒有多說明這四個人跟攤子的關係,可是耶穌就好像看到那些文士心中的議論一樣,也同樣看到這四個人裡面的動機,不是為了利益,也不是為了任何事情,是為了愛這個攤子,因為看見他們的信心。
338.923	352.730	如果你是那四個人,我們得想像一下,我們投入那個情境, 你得對聽聞的這個耶穌的能力有極大的確信跟把握,以致你可以把攤子抬過來。
352.730	360.655	所以到了那個房子面前的時候,面對群眾的時候,你得想盡設法的,你要穿過人群,然後群眾的壓力。
360.655	367.659	然後最後他們想到了一個非常有創意的方法,就是上到屋頂,拆了屋頂,然後把那個攤子墜下來。
367.659	372.302	你知道如果我是那個攤子,我真的,如果我會說的話,我很想問,你們確定嗎?
372.910	373.791	你們確定嗎?
373.791	383.401	因為這四個攤子,就算真的穿破了人群,上了屋頂用了最有創意的方法,拆了屋頂把它墜下去,如果耶穌沒有醫治它的話,你知道那個攤子會怎麼樣嗎?
383.401	384.702	被圍毆,你知道嗎?
384.702	385.943	會被打,你知道嗎?
385.943	387.565	你為什麼打擾我們?
387.565	390.308	因為那四個朋友肯定已經劍撞,就跑掉了。
390.930	396.735	可是這是一個有極大的信心,經文沒有多什麼有極大的信心,放下去耶穌會成就。
