start	end	text
0.009	27.564	弟兄姊妹,丹香教會十歲生日快樂,我們一起來歡慶,來感恩。那非常感謝神,那在我介紹今天獎名之前,我要再一次代表教會所有的牧者團隊,再一次非常的感恩,這些年來弟兄姊妹一起的參與,這實實在在。這邊有怎麼樣?有五個圓圈,還有兩條小魚,有沒有看見?有看見嗎?
28.404	43.118	當然教會十年前是從七個人開始聚集。剛好就是怎麼樣?五個小餅跟怎麼樣?兩條小魚。然後經過這十年,神一路的帶領。其實這一路走下來,最實在的是誰?是上帝啊!
43.558	69.57	上帝祂是最信實的神。最實在的神。一直鼓勵我們這些怎麼樣。其實我跟松牧師都是屬於娃娃兵。我們都很年輕的時候出來服侍。一路跌跌撞撞。也不謀大家嫌棄。然後我們就一直。欸松牧師去哪裡了。弟兄我們還在。我們十年還在。感謝主。這是一個神蹟。感謝主。好不好我們再次把最大的掌聲。派什麼榮耀歸給神。感謝主。
71.408	96.228	今天我們並沒有什麼大型慶祝的活動。我想我們就在主的面前,待會一起撥餅,一起感謝神。黃牧師他今天因為在101的聚會,他沒有辦法過來。他有一個提案,我跟雙牧師都覺得蠻不錯的。他就是想說有沒有可能在十月份,在臺北市,一個叫豐盛大樓,一個很棒的場地,他想要讓這個,
96.869	120.34	這幾年我們淡江的這幾個教會，可以一起來歡慶。那我們說好啊，那我們就把本來這邊，要慶祝的十週年的，所有的慶祝。我們就挪到10月22號，我們有一個很好的場地，然後黃牧師找了一個一千人的場地，他覺得現在一千人不算什麼。他前幾天那個IM，那個場地我跟你講一千人的場地都爆滿了。
120.64	143.203	外面還排隊排兩圈,感謝主。那天黃牧師他的造型也非常厲害,很像那個超級賽亞人,頭髮很帥。所以邀請弟兄姊妹10月22號禮拜六下午3點到晚上8點半,我們在臺北豐盛大樓,他的詳細地址跟一些交通方法,再邀請大家過去。
143.643	167.996	那邊我們就一同臺中、基隆、101、淡江還有上海,我們這幾個網絡的團隊,我們就一起在那邊歡慶十週年。今天非常感謝中華福音神學院的吳縣長老師,在我們這個值得感恩的日子,他也從神那裡帶來給我們的信息。好不好,我們再次用最熱烈的掌聲來歡迎我們今天的講員。
175.947	192.482	這個位置在創造歷史。上帝在創造歷史。上帝專門創造歷史。七個人可以變成八百個人、一千個人的大教會,只有十年,告訴隔壁你有救了。
197.688	224.105	我希望你這七個人﹐不管你現在是在什麼位置﹐你幾個人來﹐你也成為十年之後﹐創造歷史﹐人家來看到你﹐成為掛在上面的一個紀念。我是這個角度來看羅馬書第四章﹐保羅如何看﹐亞伯拉罕﹐羅馬書第四章打開﹐你有聖經﹐一起來看整章﹐不長﹐但很重要﹐第四章﹐
225.23	237.509	PowerPoint可能會有全面的經文,如果有的話,一起來第四章第一節來看歷史是上帝的故事。第四章第一節一起來讀,請。如此說來,
