start	end	text
0.009	2.290	我們翻到一起來讀。
2.290	3.670	預備,來。
3.670	5.571	他在無可指望。
5.571	6.351	他是誰?
6.351	7.391	亞伯拉罕。
7.391	14.254	他在無可指望的時候,因信仍有指望,就得以做什麼?
14.254	15.494	奪國的父。
15.494	20.696	正如先前神就已經說過的,你的後裔將要如此。
20.696	50.431	他將近百歲的時候,雖然想到自己的身體如同已死, 撒拉的聲譽已經斷絕,他的信心還是不軟弱,並且仰望神的應許,總沒有因不信心裡起疑惑,反倒因信心裡得兼顧,將榮耀歸給神,且滿心相信神所應許的必能做成。
50.998	78.685	所以這就算為祂的義,算為祂義的這句話,不是單為祂寫的,也是為... 是為我們的過犯復活,是為教我們生意。
78.685	86.348	好,接下來有20分鐘的時間,牧師要帶領大家來查考這段經文。
86.348	91.970	所以,因為這段經文很重要,所以我想帶來弟兄姊妹從第一節就開始來看。
91.970	99.276	所以今天可能聽不到什麼 這個很有趣,或是讓你流淚的見證,或故事。
99.276	107.503	但是我今天希望能夠老老實實的,實實在在的把這個經文,很重要的經文來做一個,帶弟兄姊妹來了解。
107.503	110.826	第一節他說,如此說來,我們的祖宗,誰?
110.826	115.570	亞伯拉罕,他憑著他的肉體, 到底得了什麼呢?
115.570	122.440	第二節,祂說,倘若,就是如果,如果亞伯拉罕是因為他的行為一級棒,他怎麼樣?
122.440	139.545	他是一個聖人,他因為行為在上帝面前被稱為義,義你就把他當作是good, 因為亞伯拉罕是憑他的肉體,行為一百分,無可指責,以至於被上帝說,這個人有夠讚。
139.545	144.632	所以亞伯拉罕就自己可以在那邊誇口說,都是我自己做得很好。
145.333	151.735	但是不是的,只是在神的面前,其實亞伯拉罕沒有什麼可誇口的。
151.735	155.157	亞伯拉罕為什麼沒有什麼可誇口的?
155.157	158.238	我想男生跟女生看聖經可能不太一樣。
158.238	164.761	女生永遠記得一件事情,就是亞伯拉罕這個人兩次出賣他的老婆,貪生怕死的鼠輩。
165.981	175.663	他一開始75歲的時候,離開這個迦勒底的吳爾,然後呢,帶著他的這個妻子,一起到了應許之地。
175.663	177.624	結果到了應許之地發現怎麼樣?
177.624	187.406	這邊已經都被別人佔據了,根本沒有我容身的地方,就越往南走,就遇到饑荒,就乾脆就離開應許之地,就到怎麼樣?
187.406	189.527	就到那個埃及去了。
189.527	191.487	結果呢,在那個地方怎麼樣?
191.487	196.569	因為老婆長得非常的漂亮, 亞伯拉罕跟他的太太莎拉差幾歲?
196.569	197.769	差10歲。
197.769	201.050	所以他75歲的時候,他太太幾歲?
201.050	202.110	65歲,感謝主。
202.110	207.311	所以以後看到我們年長者的這些女士們,都要看她們是美女。
207.311	219.854	因為莎拉65歲的時候還長得非常的漂亮,以至於亞伯拉罕很沒有安全感,說太太拜託一下,如果待會這個地方有人寄予你的美色,想要把你搶走,就讓他們搶走吧。
220.794	225.638	就告訴他們說我是你阿兄,我是你哥哥。
225.638	229.221	要說我是你的大舅子也可以。
229.221	232.784	你就被他們搶走吧,讓我不要被殺了。
232.784	238.008	因為他們如果知道你是我太太,就會先把我殺掉,才會把你搶走。
238.008	239.069	這個男人怎麼樣?
239.069	240.570	還算是個男人嗎?
240.570	243.813	一點尬子都沒有,一點勇氣都沒有。
243.813	245.394	後來神又把他太太怎麼樣?
245.394	246.175	搶救回來了。
246.715	249.116	你說這個男人,原諒他好不好?
249.116	251.678	好啦,人難免犯錯。
251.678	258.421	75歲犯了這個錯誤,結果呢,99歲的時候呢,又犯了同樣一次的錯誤。
258.421	259.221	99歲的時候怎麼樣?
259.221	264.444	他已經跟神在這個地方已經在一起了24年了。
264.444	268.546	他已經經歷過了很多神使他信心成長的。
268.546	283.696	神甚至在他99歲的時候還應許說,明年, 不是一百年後,神說我跟你保證,明年你這個太太,而且不是那個卑女下甲,就是你這個正牌的怎麼樣?
283.696	285.818	大老婆,不是二奶。
285.818	289.342	大老婆沙拉所要生的孩子,明年就會生出來了。
290.401	294.688	而且名字都取好了,叫以撒,因為以撒意思就是笑。
294.688	299.074	因為當神跟他們夫婦講,他們倆都不笑,啊啊啊啊,怎麼有可能,怎麼有可能。
299.074	300.316	神說很好笑嗎?
300.316	302.680	好,你生出來兒子的名字就叫好笑。
302.680	303.181	就叫怎麼樣?
303.181	303.201	笑。
305.230	316.695	99歲的時候,神都已經跟他講說,你的太太,而且是這個沙拉,明年就會生個孩子,而且是兒子,而且這個兒子,我名字都幫他取好了。
