start	end	text
0.811	27.585	大家好感謝主今天回到弟兄姊妹當中第一次站在講臺這些日子裡面當然先謝謝大家我每次碰到弟兄姊妹都一直很關心我關心到我有點不好意思對不起我覺得我這手術並不是一個很 非常非常嚴重的手術。
27.585	33.127	但弟兄姊妹都非常的疼愛我,讓我享受到肢體的愛。
33.127	43.871	我記得昨天我在4樓,辦公室門口的時候,12樓前面,慧英看到我,談一談,她就很有感動為我禱告。
43.871	49.133	我發現,她從為我身體禱告,為我的靈性禱告。
49.133	51.773	哎呀,我覺得靈性比身體還重要。
53.643	61.600	此刻的我,說實在,身體並沒有太大的難處,只是看起來像鐵甲無事,是包裝的啦。
62.108	65.690	當然已經好了百分之七、八十。
65.690	68.572	有一些時間需要一點點恢復。
68.572	73.636	那個椎間板,那個兩邊凸出來壓迫到做骨神經的,把它切掉。
73.636	78.479	但整個的結構性稍微有點改,肌肉、骨骼需要一點修復。
78.479	81.241	其他基本上都非常地好。
81.241	86.545	我也感到,這牧師也很擔心我說,你不要站太久。
86.545	91.008	他一直為我禱告,怕我承擔太多。
91.715	96.158	在這些日子,我生病的日子裡面,我特別想到兩件事情。
96.158	103.224	第一件事情就是,我今天要分享的事情,就是關於神國的事情。
103.224	110.149	在這段時間,現在弟兄姊妹,我參加兩件事情。
110.149	114.392	第一個,當然因為自己在家修復。
114.392	120.556	在家修復裡面最常做的事情是什麼?
120.556	120.917	看書。
121.715	125.956	睡覺、看電影、看電視。
125.956	128.597	我這不能久做了。
128.597	134.059	我最常做的就是看書跟看Good TV。
134.059	142.382	Good TV有一些節目讓我覺得很好,因為在那邊稍微不能夠一直坐在那邊,稍微讓自己relax一下。
142.722	187.511	下午偶爾想看電視劇長篇偶爾看一下提醒自己看一下馬上要回到床上稍微再平躺一下平躺一下然後做一下復健運動一下抬腿來一下怎麼樣另外我很感謝主在我當中在生命當中一些Good TV的節目給我一些關於產業的思考我在這當中還參加了一次 靜怡特別邀請我去參加她在臺北的馬德里的分享。
187.511	197.075	時間會不會對我來講太久,但我覺得這是一個很難得在臺北的機會,她在最後一場,所以我就去了。
197.075	205.858	其實在這些日子裡面,這些種種的 看見經歷都對我生命有產生很大的影響。
205.858	227.467	我也在上堂跟弟兄姊妹分享,特別是我從新的一個角度看我人生的價值,看未來的日子,看國度和產業未來,我在上帝永恆的國度裡面,我應該如何。
228.439	248.615	過去的日子我服事,我曾經工作,我認真的工作,Hallelujah,我就發現,這只是我人生的很小的一個部分,很短暫的一部分,但是我卻把它看作我生命當中很完全的一部分,很全部。
248.615	254.559	當然,我們此生活在神的面前很重要,我們實實在在。
254.559	261.311	上帝給我們,就像牧師說的,我們現在好像是實習階段, 我覺得這個解釋太棒了。
261.311	264.192	我們是少東,時期的少東。
264.192	267.993	我發現原來我的未來在未來。
267.993	270.194	我不知道你有沒有看到未來。
270.194	273.195	我們的未來在未來的國度裡面。
273.195	278.057	現在只是短暫的七八十年。
278.057	285.239	我發現原來我最重要,上帝只是預備我這七八十年,為了將來的永永遠遠。
285.239	293.667	在這段時間我看一些莫特曼的書, 以前看過,但是都忘了,也看不太懂,現在稍微再看一下。
293.667	303.372	就和莫特曼他關於《終末論》的教導,特別為了國度的事情,給我很大很大的提醒。
303.372	309.535	原來在我的生命裡面,我的國度觀是那麼的狹隘,你知道嗎?
309.535	314.492	我剛才上海有分享, 我的國度觀就是個體的國度觀。
314.492	315.252	什麼叫個體?
315.252	321.493	就是王恩正在這邊信了耶穌很好,熱心工作服事。
321.493	328.415	有一天打完美好的仗,有美好的冠冕為我存留,我要準備去戴。
328.415	334.476	有美好的房子為我存留,我要準備去住豪宅。
334.476	346.011	我不知道弟兄姊妹有沒有聽過這個見證,就有一天他死了,他突然, 被帶到天上去,就看到某一個人住的是貧民窟,有一個人是住的豪宅。
346.011	352.133	就是這個住貧民窟的人,生前不夠努力,所以不夠愛主,最後住了貧民窟。
352.133	360.614	現在弟兄姊妹,這可能是我們的想法。
360.614	366.456	其實我們愛主,不是主,不是為了豪宅,不是嗎?
366.456	367.736	我一直覺得這是我的納悶。
369.036	372.317	難道我服侍主、愛主是為了豪宅?
372.317	376.398	後來我想,對,有道理,為什麼?
376.398	379.980	住豪宅,真的在天上住豪宅你就很快樂嗎?
379.980	385.962	我不知道這邊有沒有人住豪宅過,我是沒有住豪宅,我住小豪宅。
385.962	393.244	你真的住豪宅很快樂,我告訴你,在天上,連住草地都比豪宅快樂。
393.244	396.185	真的是這樣子,天上真的太棒了。
397.159	401.040	那個產業是好,你不需要住豪宅嘛。
401.040	405.341	你為什麼要住豪宅,關在房子裡面有什麼快樂呢?
