start	end	text
1.783	24.948	謝謝,歡迎我自己,Hallelujah,感謝主。我們再給師班最大的掌聲,唱得好好聽喔,真的很好聽,特別是最後面那個,哇,真的是,感謝神。Hallelujah,很開心又回到淡江我們的家,跟你朋友講說,恭喜你,
30.282	55.812	一起度過一個平安的選舉啊。這個值得讚美神的。我不知道你昨天幾點睡。我昨天很晚睡,你知道嗎?其實我是一個對政治很無感的人。但是我覺得,昨天我們一起經歷了,我昨天早上來這邊投票,然後一個多小時。然後投完,然後整個非常的平靜,非常的和諧,我覺得很感謝主。
56.032	77.052	我們在往前走。無論你喜歡的候選人,或者是你討厭的候選人有沒有上。我覺得這不是重點,重點是我們正在往前走。然後睡個覺,太陽又不是從東邊起來,對不對?無論誰當選,我們還是要努力盡好我們的本分。我們鼓勵大家,就是在
77.841	106.805	我們自己基督徒公民的角色上面自由的而且可以沒有恐懼的表達你的論述主張你所想要主張的我們不要在對立裡面我們不要霸凌別人我們也不要歧視別人我認為這是我們在這個社會很重要成為光的一個象徵我不知道你有沒有很難過有的人可能滿難過因為我的臉書上有很多各式各樣的人
107.227	126.819	我就看到我很多朋友在洩氣啊,在罵人啊,在飆出口啊,我覺得感謝神,Hallelujah,我們在一個很棒的地方,因為無論你怎麼表達,你都不會被消失,Hallelujah,感謝主,你在一個非常可愛的地方。所以再次跟你講說恭喜你,
128.387	156.191	我們在一個很可愛的寶島我們在這裡不會被消失我們一起禱告主耶穌謝謝禰讓我們一起度過了一個美好的一天昨天一定很多人也很晚睡昨天很多人心裡面起起伏伏也有很多人心裡面可能有圈圈叉叉也有人在大聲疾呼讚美神主啊無論我們在什麼樣的立場什麼樣的意識形態主願我們可以超越穿越這些意識形態讓我們因著基督的名聚集
156.681	181.882	因著基督的名滿足,因著基督的名讚美。謝謝主,與我們同在,奉耶穌的名。阿們。我今天要分享一個信息叫《暗夜微光》。《暗夜微光》我主要會用到《路德記》。《路德記》只有四章而已,非常簡單。大家都讀過《路德記》對不對?有讀過請舉手。沒有讀過的回去讀一下,四章很容易,你等一下花個十分鐘,一下就讀完了。
182.381	202.61	我認為《路德記》給我們很多很棒的無論是婆媳之間的教導也好無論是信心的教導或者是婆娃斯慈愛的拯救我覺得《路德記》是很美的一本書所以我今天會用到《路德記》我不會全部把它讀完但是我想在裡面我們一起來學習
203.78	220.476	《路德記》是薩摩爾,大部分的神學家認為是薩摩爾寫的,當然有人認為不是。目的是要講述耶和華如何眷顧自己的子民,幫助在困苦中有需要的人,恩待信靠他的人,無論是以色列人或者是外邦人。
220.776	242.92	耶和華的慈愛是本書的要字。所以這本書讓我們看到神非常非常的慈愛。這個圖我想我們都很熟悉,就是很有名的一幅名畫叫《十歲》,路德就是去十歲來遇見了波瓦斯的。它的分段可以分成四章,第一個是場景跟人物,當時他們在摩崖地,然後要前往伯利恆。
243.2	251.446	第二章呢是拾取賣稅在田裡路德在田裡面拾取賣稅第三章是倚靠親屬這章是我覺得最
252.415	275.32	最奇怪的一章就是他自己跑到波瓦斯的腳邊跟他睡就睡在他旁邊所以這張是在波瓦斯的腳邊第四章是買俗產業他們在城門跟長老們一起討論到底誰要買俗路德跟他的已經逝去的丈夫的這些產業所以這四章簡單的分段
277.056	289.248	場景分別是在摩押地,然後進到伯利恆的田邊,然後進到波瓦斯河場的旁邊,他的腳邊,然後最後到了城門口。這簡單的一個分段。
290.401	309.456	這個故事我很快地再講述一下,路德記一章一節到十七節,這是中間我們把它挑選出來的經文。當世事秉正的時候,國中遭遇饑荒,在猶大伯利恆有一個人,帶著妻子和兩個兒子往摩崖地區寄居。
