start	end	text
0.93	5.202	各位弟兄姊妹，我們現在進到十二月
5.998	35.421	已經是今年的最後一個月了,對不對?不曉得當您想到十二月了,您是感覺到興奮呢?還是想一年要過了,快要過完了,真的是。或許想到一些今年過去所發生的事情,有些是讓你覺得傷心難過,但有些是讓你非常的開心,非常的喜樂,感覺到非常的滿足。
35.981	61.75	我們今天呢不曉得說各位弟兄姊妹您現在有在跟著教會每日言經有在跟著教會的進度每天都有看每一天的進度然後有看莊牧師錄影的可不可以揮揮手一下讓我們知道多好人在跟進好 謝謝感謝主
63.251	85.753	在這段時間以來呢我們讀了以西結書那以前呢我就會覺得以西結書就很像《啟示錄》一樣充滿了很多可以啟發你想像力的那一些話語跟所描述出來的圖畫那我這次在讀《啟示錄》呢我就覺得
86.766	111.304	神很奇妙。你看我們現在在科技這麼發達的日子的時代裡面,我們仍然沒有辦法把啟示錄所講的意象,沒有辦法用任何的科技可以把它描述得清楚,對不對?那我就在想,哇,那兩千多年前這些以色列人,
112.312	141.225	他們後來就是在讀摩西寫的這些然後看到這些舊約的先知們寫的這一些啊他們是作何感想我們現在還可以稍微的初探一下雖然我們現在其實這麼發達還是沒有辦法有一個很清楚的picture當我想到這裡的時候我就覺得你真的很自然而然不得不敬畏我們這位很奇妙的神
143.643	173.079	我們的神祂用不同祂用一樣的話語但是從過去兩千多年來一直到如今不同的時代的人所領受的那個話語的真理的方式所看到的那個影像或你可以想像的影像是不一樣的但是神仍舊可以說話仍舊可以對我們來說話我想這真的是讓我想到
173.933	191.247	以前自己還沒有信主的時候,因為我們家,我原生家庭,我們是傳統宗教。小時候呢,就是跟著媽媽拜。媽媽呢,說拜這個,就拜這個。時間到了,拜那個,就拜那個。只要有廟進去,就拜。但是呢,
192.142	217.698	到底在拜什麼?不知道。只知道這個要求考試能夠考中,那個要求能夠平安,那個要求賺大錢。但是呢,其他你對這個神的認識,或到底祂怎麼回事,為什麼要拜祂,為什麼要把自己有的東西來獻給這個神,我們一點概念都沒有。
219.087	246.389	我也曾經問過我媽這件事,我說你知道你在拜,你為什麼要拜這個嗎?你知道你為什麼要拜公媽嗎?拜演了什麼這些祖先嗎?你為什麼要拜什麼關公啊這些,你知道嗎?我媽說,我知道。老一輩叫我們拜什麼,我們就是怎樣?承接接續地拜。到底在拜什麼?不知道。
247.671	269.597	所以當我們在讀神的話語的時候,我們就會越來越清楚為什麼我們要敬拜這位神。我就想到我們所認識的這位神,所敬拜的神,跟其他宗教過去我所拜的這些,非常非常不一樣。
271.169	299.165	所以各位兄姊妹，當我在讀以西結書的時候，特別我們今天要來看，三十六章，三十七章的部分經文。如果你需要聖經，你可以揮揮手，我們可以請招待給您聖經。那我們要看三十六章，我們還記不記得，在三十六章的時候，一開始的時候，神透過以西結，對以色列百姓說，
300.247	321.848	因為以色列百姓他們不尊主偉大,以至於讓神非常非常的憤怒。在以西結書36章第6節那裡,那裡神就對以西結說,說我發憤,
323.916	329.542	我發憤恨和憤怒說,因你們承受外邦人的羞辱。
341.323	362.305	所以我啟示說,你們四維的外邦人總要擔當自己的羞辱,這是耶和華說的。神為什麼要在這裡說這個呢?因為之前呢,以色列人不斷地不斷地要依靠他們周遭的靈邦,他們不斷地不斷地想要依靠自己的能力,甚至於呢,在聖殿裡面還記不記得,
362.961	380.611	我們有讀過的,他們在聖殿裡面有一個空間,一個房間裡面,然後在那裡畫了很多偶像的圖,然後還有一群人在那裡偷偷地敬拜其他的神,還記不記得?我們現在可能想說,
382.005	396.203	就很像在淡江教會裡面在這個大會堂裡面在這裡把很多的公罵把那些所有的人家人其他宗教偶像在拜的這些偶像全部擺在這裡拜你會不會覺得太誇張了吧會吧
397.5	425.218	而且他們還是在一個秘密的空間,所以可能是像我們現在徵戰禱告室,在那個秘密的空間,但是我們都覺得那是非常聖潔,非常有神同在的地方,然後就在那裡拜起別的神了。這是很誇張,可是誇張到他們以為沒有人知道。但是神就透過以西結來說,跟以西結說,我帶你去看他們做了什麼。
426.647	454.521	這一群百姓﹐無論我對他們的祖先﹐做了多少的神蹟﹐多恩待他們﹐把他們從困苦當中救拔出來﹐他們抱怨﹐又犯罪了﹐又把他們﹐然後他們哀求我﹐又憐憫他們﹐然後又把他﹐然後他們呢﹐好像嘗到一點苦頭﹐甜頭了﹐然後呢﹐又把我這個神給撇棄了。就這樣不斷不斷在惡性循環中。
455.947	472.476	在以西節這邊也是,那神呢,為了要管教這一群不受控的百姓,神呢,就派這些以色列人,原以為可以保護他們的鄰國、鄰邦,
474.241	502.928	來轟炸他們,來擄掠他們。希望透過這樣管教,他們能夠回轉歸向神,說,啊,原來還是這個神好,原來還是這個神愛我,所以他們願意回轉歸向這個神。但是呢,沒有想到這些靈邦呢,跟以色列人是不是也是一樣,就嘗到甜頭了,以為,喔,我很強,我很棒,我把以色列人,我把這些
503.541	511.878	其他的這些弱小國家全部打敗了。以色列我把它攻滅了。所以呢就怎樣?驕傲起來就以為自己可以
512.585	533.238	做全地的王,一手可以遮天啊。所以,神在這裡說,祂也要來報應這些曾經滅了以色列的這些領國,這些強大的國家,讓他們知道誰才是真正的那一位有能力的神,對不對?
534.599	561.47	接著,當神通過以西捷跟以色列百姓說祂要起來,要幫助以色列人脫離被辱、被攻滅、被辱的羞辱,神也要來攻打,也要來報應這些強國之外,神要再次的祝福以色列。
562.09	568.056	所以從36章的第8節開始,神就開始講祂要怎麼樣在這祝福以色列,
568.643	594.013	然後給他們很豐富的這一些土產,讓他們可以耕種,讓他們生活是可以非常豐富的。然後他們也不再被其他的國家,神就成為他們的保護者。然後接著在十六節這裡,神就開始又對祂的以色列百姓說,
596.254	610.916	因為以色列百姓他們玷汙了,他們犯罪,他們不聖潔,他們惹神憤怒,以至於神就對他們生氣,神就把他對以色列的心意,
611.357	630.508	為什麼讓他們被列國擄去是為了要因為他們犯了罪為了要懲罰他們為了要讓他們能夠因著這過程得到管教以至於他們願意回轉歸向神然後呢我們在二十二節那裡
631.288	640.916	我們在二十二節那裡,我們要一起來讀以西結書三十六章二十二節。我們先讀到二十五節。請。
644.087	661.363	所以,你要對以色列家說,主耶和華如此說,以色列家,我行這事不是為你們,乃是為我的聖名,就是在你們到了國中所褻瀆的。我要使你的大名顯為聖,
661.783	683.229	這名在列國中已被褻瀆,就是你們在他們中間所褻瀆的。我在他們眼前,在你們身上顯為聖的時候,他們就知道我是耶和華。這是耶和華說的。我必從各國收取你們,從列邦聚集你們,
683.609	697.129	引導你們歸回本地。我必用清水灑在你們身上,你們就靜了。我要潔淨你們,使你們脫離一切的汙穢,棄掉一切的偶像。
698.575	720.755	到這裡。各位弟兄姊妹,所以神呢,祂在這裡,祂對以色列人說,祂要開始對以色列人,祂要對他們施憐憫。神要怎麼憐憫他們?把他們從被擄的地方再召聚回來。神所賜給他們的應許之地。一個一個都要把他們都回來。
722.176	747.999	而且呢,神告訴他們說,我把你們,把你們再召聚回來,把你們都回來,我聯名你們,目的是為了什麼?是因為你們以色列人,比其他國家的人還要強,還要厲害,還要值得,血統還要更正統,以至於很值得被保存這個血統嗎?是因為這樣嗎?不是耶!
749.138	774.726	神跟他說,你們做得這麼糟,還記不記得上個禮拜莊牧師有講,以色列人這麼糟,但是神,祂為了自己的名緣故,祂把以色列人再次的召聚回來,要救把以色列人,為什麼?是因為以色列人他們在,他們被辱的地方,他們所在的地方在那裡,他們讓
775.555	801.213	他們的生活方式﹐他們整個人所呈現出來的﹐讓人家看到的是怎樣?他們當中有一個偉大的神嗎?還是他們看到的是﹐啊,你神的樣子差不多。我看到這裡的時候﹐神跟他說﹐因為你們在那裡﹐讓其他人以為你們信的我這個耶和華﹐跟其他的神是一樣的。
803.797	832.365	神真的看不下去了耶。神說我是獨一的真神耶,可是你們把我搞得像神一樣,跟其他的神一樣耶。這就讓我想到我爸爸,我爸爸以前他信主,他曾經信過主,在一個教會,對,他曾經信過主,他曾經去過教會,把他受洗,歸入主名,大概兩年。後來他在這個教會又看到兩個直世,
833.916	860.918	就因為家裡在分家產,吵到不可開交。我爸就覺得信什麼都修工,都一樣,只要是勸人善的都好啦。雖然我爸一直到目前現在,他也不會去拿香拜其他的偶像。可是呢,他覺得只要勸人善的宗教就好。
864.616	885.861	各位弟兄姊妹,以色列人,他們那時候在所到之處就是這樣的呈現方式,讓他覺得,啊,只要做好人就好啊,沒關係,能夠行出好事就可以了,也不需要期待太高,你期待太高會怎樣?會失望,對不對?
886.544	896.047	所以神真的看不下去了。神說,不可以這樣,你這樣把我的臉都丟盡了。所以神要把他們都回來,為了神的
896.971	918.951	而且呢,神不只要憐憫這些以色列的人民,祂也要因為恩待憐憫以色列人,以至於其他不信主,沒有尊主為大的這些靈邦,這些國家,百姓們,也能夠來經歷說,喔,以色列他們信的這個神不一樣喔。
923.2	947.382	所以,神在我們剛讀的三十六章二十四節說,我必從各國收取你們,從列邦聚集你們,引導你們歸回本地。我必用清水灑在你們身上,你們就潔淨了。我要潔淨你們,使你們脫離一切的汙穢,棄掉一切的偶像。
948.097	977.766	神說,我要把你們收回來,召聚回來,然後領你們到原本我賜給你們的地方。然後我還要用乾淨的水,來把你們洗乾淨。各位弟兄姊妹,我讀到這裡的時候,我讀到一個非常慈愛的一個爸爸。他看到他的孩子們,這樣子,整個髒兮兮的,又臭又髒,又髒的。
979.104	983.511	他說孩子來,來我這裡。我要把你洗乾淨。
990.384	1012.286	而且那洗乾淨,它是怎樣?神說我要幫助你們,我要讓你們不再拜其他的偶像了。讓你們真的知道我是一個,我是你們的神,是愛你們的,是在乎你們的。不要你們這樣子過在很像在豬圈打滾又臭又髒的小孩。
1014.582	1035.96	接著不只是這樣,神還說二十六節,神這裡二十六節一直到三十八節,我們一起來讀,二十六節到三十八節,這裡,我們一起來讀。我也要賜給你們一個星星,將心靈放在你們裡面,又從你們的肉體中除掉死心,
1036.22	1053.502	我必將我的靈放在你們裡面,使你們順從我的律例,謹守我、遵行我的典章。你們必住在我所賜給你們列祖之地。你們要做我的子民,我要做你們的神。
