start	end	text
1.732	29.985	表示說我跟你們是有關係的對不對。看一下隔壁告訴他。我跟你是也有關係的,看著他。可以的話呢,所不可貴的人都起立。跟七個人說。我跟你是沒完沒了的。離開你的位子。離開你的位子。所有人都起立。所有人都起立。都統統起立。跟七個人說。我跟你們沒完沒了的。跟七個人說。我跟你們沒完沒了的。
32.517	40.239	通通起立。我跟你沒完沒了。然後左邊右邊拉一隻手,可以的話我們要一起來禱告。
42.381	67.442	左邊右邊拉一隻手,如果你可以的話,左邊右邊拉一隻手,讓我們一起連著手,剛剛師母帶我們禱告,我們再把手連手,心連心,沒有一個孤單的手,跨過走廊來好不好,跨過走廊,走廊沒有一個孤單的手好不好,可以的話,把手舉高,把手舉高,拉著莊牧師的手,我們抬頭來禱告,主啊,我們向禰仰望,
68.063	93.793	國度全民榮耀都在你手中。我們蒙恩的人真正有福氣,可以被你得著,好讓我們被你得著之後,臺灣的百姓被你得著。你透過馬街得著臺灣的長老會,求你就透過淡江教會得著更多臺灣的百姓,把我們的生命交在你手中,把隔壁弟兄姊妹的生命交在你手中,讓他們也更多的被你得著,讓他們的家人、親人不只是蒙福,也成為更多人的祝福。
94.053	121.353	主啊,我們跟禰的愛是沒完沒了。幫助我們跟隔壁弟兄姊妹的家庭的愛,也是沒完沒了。讓這個延續下去,成為更多的人祝福。仰望感恩,謝謝主早上豐盛的同在。奉耶穌基督得勝的名,禱告。手放下來告訴隔壁,我跟你沒完沒了。沒完沒了就要談末世論。
123.114	139.056	最近教會靈修在讀耶穌十里埋葬復活之前的默示論。聖經的默示論就在談沒完沒了,最後進入永恆。我特別挑就是馬太福音24、25章,天國會收攤。
140.196	165.309	這世界會結束。那我們一起來看我挑的經文。如果你可以看得到有三個螢幕好不好,一起讀馬太,馬可、路加,很多平行的地方,一起同聲來讀,請。看啊,我預先告訴你們的,若有人對你們說,看啊,基督在曠野裡,你們不要出去。或說,看啊,基督在內屋中,你們不要信。閃電從中邊發出,
165.589	183.233	直照到西邊﹐人死將臨也要這樣﹐廝守在哪裡﹐嬰也必聚在那裡﹐那些日子的災難一過去﹐日頭就變黑了﹐月亮也不放光﹐眾星要從天上墜落﹐天勢都要震動﹐
183.473	200.971	那時人子的罩頭要顯在天上﹐地上的萬族都要哀哭﹐他們要看見人子﹐有能力﹐有大榮耀﹐駕著天上的雲降臨﹐他要差遣使者﹐用號同的大聲﹐將他的選民從四方﹐
201.271	218.46	從天這邊到天那邊都昭俱了來。你們可以從無花果樹學一個比方,當樹枝發嫩長葉的時候,你們就知道夏天盡了。這樣,你們看見這一切的事,也該知道人只盡了,正在門口的,
218.66	233.898	我實在告訴你們﹐這世代還沒有過去﹐這些事都要成就﹐天地都要廢去﹐我的話卻不能廢去﹐但那些日子﹐那時辰﹐沒有人能知道﹐連天上的使者也不知道﹐
234.258	253.941	子也不知道,唯獨父知道,挪亞的日子怎樣,人子將臨也要怎樣。當洪水以前的日子,人照常吃喝嫁娶,直到挪亞進方舟的那日,不知不覺洪水來的,把他們全都沖去,人子將臨也要這樣。
254.241	271.003	那時,兩個人在田裡,取去一個,撇下一個。兩個女人推磨,取去一個,撇下一個。所以,你們要警醒,因為不知道你們的主是哪一天來到。家主若知道幾更天有賊來,就必警醒。
271.323	299.843	不容人挖透房屋。這是你們所知道的。所以你們也要預備,因為你們想不到的時候,仁慈就來的。誰是忠心有見識的僕人,為主人所派,管理家裡的人,按時分糧給他們呢?主人來到,看見他這樣行,那僕人就有福了。我實在告訴你們,主人要派他管理一切所有的。倘若那惡僕心裡說,
300.043	305.466	是福音的最高潮。預備最後沒完沒了,天上相見。
330.316	357.295	先介紹什麼叫福音,再來進入這一段的末世論。福音是神的兒子變成人的兒子,道成肉身進入人間。那比起其他人間宗教都不一樣,人間宗教是隻要一偉大的人就想變成神。可是福音是神,本來是神,卻變成人,至高之處,榮耀歸給住在那做寶座的,為女人所生。
358.422	386.963	是兩個女人所生。右邊是瑪莉亞﹐左邊是以利沙伯﹐所生的施洗約翰。兩個女人所生﹐結束了舊約﹐進入新約﹐是兩個女人所生。兩個女人﹐所以女生舉起手來一下。這是我們今天最貴重的人。因為丘吉爾說﹐主宰國家命運的﹐不是臺面上的君王﹐是搖籃旁邊的那雙手。所以所有女生舉起手來一下。隔壁告訴他﹐你比蔡英文重要多了。
388.626	413.349	在舉高,隔壁告訴他,說,臺灣未來的命運就在你的肚子裡面。神的兒子,變成人的兒子,道成肉身,30歲的時候,給施洗耶翰受洗。前面30歲還是要預備,包括上一堂的八九個人,他還在預備。然後之後,三年半,下半場被上帝用。所以告訴隔壁,人生上半場是為下半場預備的。
416.578	444.486	再舉高,隔壁告訴他,你越來越重要了。再舉高,隔壁告訴他,差不多了。三年半差不多,耶穌受洗之後得勝四探。福音就是祂得勝所有你我的所會面臨的四探,之後就呼召學生。
445.589	465.281	他的學生都是加利利國小沒有念畢業的。他比孔子還精彩。孔子是集天下英才而交織。耶穌所招的學生通通是加利利國小淡江國小沒有念畢業的,可以變成使徒。所以告訴隔壁,你有救了。當然要離開世俗圈。
466.425	495.381	捕魚的行業放下來,然後聽他講道,他有全餅。不只是有全餅,講道的時候,一句話,水變酒。你學過化學就知道,水不會變酒的。職能不滅定力被顛覆了。是為了嘉拿,他們一定去過嘉拿婚宴,在嘉拿。是為了結過婚。一結婚馬上酒盡了,用光了。那結過婚的人舉起手來一下。請問結婚會不會痛苦?會不會困難?
496.425	523.949	你看舉不太高,你看,多重。但是,就在這個時候才幫你行神蹟。那叫福音。神的兒子變成了人,要解決你婚姻的問題。所以,結果後面繼續手來一下。隔壁告訴他,你也有救了。然後呢,他這個耶穌一句話,海裡的魚通通上網。海裡的魚都聽祂的話。天上的風浪,鳥都聽祂的話。我原來以為你是個木匠,管我捕魚的行業。
525.401	552.51	嚇壞了,開始萌招了感動。他有全餅,大自然聽他的,甚至風浪,一句話風平浪靜,天文學家傻眼,捕魚學家傻眼,甚至牛頓都傻眼,竟然不會點綠。你淡水海邊你走下去看看,他就是走,連彼得也走下去。牛頓我第一個博士就英文力學,
553.882	579.463	超自然透過這個耶穌，也透過我們可以做大事。所以彼得開始離開那舒適圈。開始預備被上帝用。發覺這個耶穌是右邊摩西所羨慕的。是左邊以利亞所仰望的。舊約的總綱是基督。只有透過耶穌可以醫病趕鬼。可以行神蹟。那這些人後來雖然當時還在打瞌睡。
580.674	608.1	將來離開世俗圈，進入使徒行傳接棒，就像臺灣要接棒，藉著淡江教會。這些人還在做門徒培訓。這些人就聽耶穌如何，不只是行成績，還有一個赦罪的恩，任何墮落的人，不管你哥哥右邊認為，你沒有做任何善事，沒有任何積功德，憑什麼可以聖潔的天賦，竟然可以遮蓋陰性，
610.026	637.902	他沒有做好事。什麼罪人,不管你多髒。福音到一個地步,就是神的兒子變成人的兒子,好讓我們人兒女變成上帝的兒女。不管你多髒。不管你多,無限髒。告訴隔壁,你也差不多一樣。告訴隔壁,你也有救了。
638.865	658.755	所以一起說,神的兒子,變成人的兒子。好叫人的兒女,變成上帝的兒女。一回來,陰性春意,這是他最後一個禮拜,付的代價。道成若生,是為了受死。放主名來的,一進去十字架,在聖殿的時候,捷徑聖殿。
659.838	688.661	好人不好做。祭司長文士就因為耶穌接近聖殿,因此趁最後晚餐找了一個臥底的人。在科西馬尼恩禱告的時候,那個臥底的人是誰?猶大。火辣辣的情景。竟然是學生出賣老師。跟過三年半竟然會出賣。真是很諷刺耶。是跟過他為了什麼緣故?為了三十塊。為了錢。
690.009	713.062	原來夫妻會離婚,可能為錢離婚。主僕為了錢,爸爸死了,兒子講財產。是為了錢。用什麼為暗號?親吻。所以離過婚的人,最瞭解你痛苦的人,是耶穌。所以告訴何必,不要輕易給人家親吻。他被出賣。
714.482	743.01	祂被放出來,為我們被鞭打,最後所有我們的罪都掛在上面,還為我們罪埋入深海,然後死裡復活,回到祂父那裡去之前的時候,又要學生說,準備接棒,離開世俗圈,進入使徒行傳。這是整個福音一起說,神的兒子變成人的兒子。好像人的兒女變成上帝的兒女。
745.879	753.094	其實這是初代教父的一句名言,就是福音。福音的最高潮就是末世論。
754.292	783.572	末世是最後一個禮拜,學生一進入聖殿,出來就在感南山的時候就發覺這聖殿現在已經變成清真寺,當時非常高,等一下看到這個圖,非常精彩。學生說你看這個聖殿多精彩,聖殿現在是西邊就是枯牆,枯牆所在的位置我們可以看得出來,就在西邊,猶太人現在在這邊枯,太陽從東邊感南山升上來,這個枯牆原來是所羅莫恩蓋的,
784.292	797.638	非常精彩。非常高大。所以學生就看到趕南山旁邊這個聖殿其實就是因為有人說你看看這個聖殿多榮華富貴啊。金銀財寶啊。
798.507	821.782	學生講完這些話以後,因為在橄欖山看得到很清楚,因為非常高,高到一個地步,你看後來犀利王給它重建,這個重建的犀利王蓋的聖殿是碧玉堂皇,而且真的非常高,你怎麼知道高?你看美門前面那幾個人走路,請問這個聖殿高不高?又是碧玉堂皇。
823.643	840.635	都在讚嘆聖殿的時候﹐耶穌就用這段來談末世論﹐說﹐將來會有一天﹐沒有一個石頭﹐會站在那個石頭上面﹐不會被拆毀的。通通瓦解掉。學生就好奇。
