start	end	text
2.108	2.548	我们一起来读第32节。
2.548	3.709	我们先来读第32节,一直读到第44节。
3.709	8.954	32节到44节,读这段耶稣从橄榄山准备要进耶路撒冷这段记载。
8.954	8.954	预备,来。
19.991	24.417	打發的人去了,所遇見的正如耶穌所說的。
24.417	29.604	他們解旅居的時候,主人問他們說,解旅居做什麼?
29.604	31.226	他們說,主要用它。
31.226	37.334	他們牽到耶穌那裡,把自己的衣服搭在上面,扶著耶穌騎上。
37.875	58.460	走的時候,眾人把衣服鋪在路上,將近耶路撒冷,正下感染山的時候,眾門徒因所見過的一切異能都歡樂起來,大聲讚美神,說:「奉主名來的王是應當稱頌的,在天上有和平,在至高之處有榮光。
58.460	63.561	」眾人中有幾個法利賽人對耶穌說:「夫子,責備你的門徒吧。
63.561	71.106	」 耶穌說:「我告訴你們,若是他們閉口不說,這些石頭必要呼叫起來。
71.106	84.615	」耶穌快到耶路撒冷,看見城,就為他哀哭,說:「巴不得你在這日子知道關係你平安的事,無奈這事現在是隱藏的,叫你的眼看不出來。
84.615	91.140	因為日子將到,你的仇敵必築起土壘,周圍環繞你,四面困住你。
91.340	99.810	並要掃滅你和你裡頭的兒女﹐連一塊石頭也不留在石頭上﹐因你不知道眷顧你的時候。
104.428	132.472	這段經文記載在耶穌從耶路撒冷城東邊的橄欖山祂從橄欖山這個地方行走要進耶路撒冷要先下橄欖山的山坡到山坡底的時候再跨過一條小溪叫吉倫溪 然後再一次的爬坡,因為耶路撒冷也是另外一座小山頭。
132.472	137.036	所以再一次爬坡,就是要進入到耶路撒冷城裡面。
137.036	149.567	我們剛剛的經文看見,耶穌的門徒還有許多耶路撒冷的百姓,就在這個橄欖山的這整個往下的山坡大道上來歡迎祂。
149.567	158.056	他們把自己的衣服脫下來,然後把祂 披在小驢鞠的上面,請耶穌坐上去。
158.056	166.958	甚至還有很多人把衣服也脫下來,鋪在這個路上,很像這個星光大道鋪這個紅地毯一樣。
166.958	176.920	有很多人砍下這個棕樹枝來鋪在地上,或是拿著棕樹枝來揮舞、吶喊。
176.920	190.436	他們期待耶穌進到耶路撒冷裡面去做王,為他們帶來和平, 而這個和平是透過以武力革命的方式推翻統治他們的羅馬政府。
190.436	196.479	我們也看見有一群很緊張的法利賽人,因為這個時候是逾越節。
196.479	203.864	耶路撒冷其實不大,現在耶路撒冷的城牆東西南北加起來不過四點多公里而已。
