start	end	text
0.009	20.122	第一次來主日崇拜還可以領到紅包。各位弟兄姊妹趕快收起來。來到淡江教會還可以領到紅包。剛才莊牧師說什麼,與他無關。我要再說,跟我也沒有關係。免得我們的學位被收回去。但是要記得,真的是常常來到主的面前。記得那個二小時課不賺錢。空白空空。
21.92	51.64	馬上來祈禱,馬上來禱告。這是24小時克服的專心。好,我們今天要來進到我們的聖經。我們一同來翻開以佛所書第二章。我們今天要把以佛所書的第二章做一個結束。我想在這新的一年,我們每一個人都帶著一個喜樂的心。如果您沒有聖經的話,請您在您的座位上舉一下手。我們的招待會拿給你。我們待會就會來念以佛所書第二章的第十一節,一直唸到第二十二節,我們全部唸完。
51.92	76.997	是不是都已經拿到聖經了?已經都翻到以弗所書第二章了對不對?翻到了我們就要一同來念。我們要把以弗所書第二章的十一節一直到二十二節分成三段來念。我要請我的右手邊一起來念第十一節一直到第十三節。我請我右手邊的弟兄姊妹,預備好了嗎?
77.637	97.811	預備,我們一起來念十一節。請。所以你們應當紀念,你們從前按肉體式外邦人,是稱為沒受割禮的,證明原是那些憑人手在肉身上,稱為受割禮之人所起的。那時,
100.486	113.313	我們唸到這裡,我請我左手邊的弟兄姊妹輪到你們了。我們從第14節一直唸到第18節。第14節預備,請。
128.422	149.839	因祂使我們和睦將兩下合而為一,中間隔斷了牆,而且就是那記在律法上的,為要將兩下如此,
152.005	157.689	跟你旁邊的弟兄姊妹說,你念得真清楚。
177.619	186.827	好,我們最後一起來把第19節到22節一起來念喔。19到22,預備,來。這樣,你們不在座。
188.899	190.659	我們唸到這裡。
216.8	238.446	前幾天晚上﹐我的小兒子﹐拿了一本故事書﹐他請我念給他聽。那本故事書的一個﹐這個故事是我們非常熟悉的。他講到有一隻鴨子的故事﹐就有一個鴨媽媽﹐然後他有一堆的蛋﹐然後他就開始孵那些蛋。
239.377	245.944	繁體中文，臺灣國語。繁體中文，臺灣國語。繁體中文，臺灣國語。
260.111	280.717	你們知道是什麼故事嗎?故事我就繼續說下去。這隻灰灰的小鴨子在這個家族裡面,他突然發現他好像跟他的兄弟姊妹有一點怎麼樣?不太一樣。他出去的時候,媽媽帶他出去的時候,他走在這個隊伍當中,他總覺得他好像有哪裡跟別人怎麼樣?
281.237	304.174	不一樣,可是當他出生的時候﹐他就認定了這個是他的媽媽﹐所以他就也不疑有他的根則﹐可是跟大家這些表兄弟、表兄妹﹐這些像家族聚會的時候﹐他就發現為什麼這些大人們﹐大鴨子們在那邊嘰嘰喳喳﹐好像在說他什麼﹐搞了半天原來怎麼樣﹐他突然有一天有一個自覺﹐
