start	end	text
0.009	35.037	好 翻到了我們就一起來唸我要請弟兄姊妹我們先唸第一節一直到第16節翻到了我們唸第一節一直到第16節翻到了我們一起來唸 預備請 我為主被求的勸你們﹐既然蒙昭行事為人﹐就當與蒙昭的恩相稱﹐凡是謙虛、溫柔、忍耐﹐用愛心互相寬容﹐用和平彼此聯絡﹐ 竭力保守聖靈所賜,和而為一的心。
35.037	42.479	身體只有一個,聖靈只有一個,正如你們蒙昭,同有一個指望。
42.479	48.982	一主一信,一洗一神,就是眾人的父,超乎眾人之上。
49.462	54.504	慣乎眾人之中,也住在眾人之內。
54.504	61.166	我們個人蒙恩,都是照基督所量給個人的恩賜。
61.166	70.189	所以經上說,他身上高天的時候,掳掠了仇敵,將這樣的恩賜賞給人。
70.189	73.931	既說身上,豈不是先降在地下嗎?
74.411	81.414	那降下的就是遠生諸天之上﹐要充滿萬有的十一節。
81.414	91.538	祂所賜的﹐有先知﹐有傳福音的﹐有牧師和教師為要﹐ 第14節,來。
110.384	128.169	眾了人的詭計和欺騙的法術,被一切異教之風搖動,飄來飄去,就隨從各樣的異端,唯用愛心說誠實話,凡事長進,連於元首基督。
128.729	143.893	全身都靠祂聯絡得和事,百結各按各職,照著各體的功用彼此相助,便叫身體漸漸增長,在愛中建立自己。
143.893	145.374	我們念到這裡,我們一起來禱告。
147.142	162.950	主謝謝祢,透過以佛所書第四章,整章這一段經文,求祢在今天,祢高抹孩子的口,也高抹我們每一個人的心,讓弟兄姊妹跟孩子一樣,在祢面前,領受祢所要對我們所說的話。
162.950	167.233	願每一個心,在祢的面前,就是一片好土。
167.233	201.097	當祢自己的道,灑在我們的心中的時候,主願祢讓它生根發芽茁壯,以至於讓我們每一個人的 生命好像最後一句話所說的在愛中建立自己每一個人的生命都是被你自己建立起來的謝謝主與我們同在我們將禱告奉耶穌基督的名阿們今天我們要來談特別以佛所書第四章的這一段經文最近大概有兩個蠻 熱門的一個新聞。
201.097	204.538	我大概要講,你們大概知道,會有哪兩件事情。
204.538	206.519	我今天會特別談這兩件事。
206.519	216.442	而其中呢,第一個我要談的是,我大約從,我記得,從我小學的時候,我就開始非常喜歡打籃球。
216.442	222.084	所以當我小學有機會,我就其實就加入籃球隊,然後我就在那邊打籃球。
222.084	228.426	所以我就,我就非常快樂, 這個宋牧師竟然說看不出來,氣死我了。
228.426	230.887	沒錯,現在是絕對看不出來。
230.887	247.192	感謝主,我覺得真的是在我小的時候,我覺得從打籃球這件事情,特別你看到林書豪在紐約有那麼好的一個表現,我覺得真的是我們都覺得非常的光榮,然後看他打球也真的是非常舒服。
247.192	255.695	我就從打球來開始,我們今天要談一個很重要的一個主題, 就是保羅在這邊第四章第一節所講的。
255.695	257.596	第四章第一節他講什麼呢?
257.596	264.299	他一開始講說,我為主被求的,勸你們,既然蒙昭行事為人,要怎麼樣?
264.299	266.539	與蒙昭的恩怎麼樣?
