start	end	text
2.398	3.862	各位弟兄姊妹平安。
3.862	8.894	我們一起來做一個禱告。
10.555	58.262	阿們 今天要跟大家分享的題目是與我們同在的上帝因為與我們同在的上帝因為聖誕節的月份到了那我們常常在詩歌裡面會我們常常會提到以馬內利那以馬內利其實就是 上帝與我們同在的意思。
58.262	72.572	所以我們今天特別要來思想以馬內利這個上帝與我們同在或者是說我們來思考這位上帝是竟然是一位要與我們同在的上帝。
72.572	85.965	我們來看我們讀經的進度也是這幾天的範圍我們來看歷代治下28章 第16節開始到27節。
85.965	88.147	我們先來看這一段經文。
88.147	90.810	我們一起來讀。
90.810	92.451	第16節開始。
92.451	106.083	那時,雅哈斯王差遣人去見 諸王求他們幫助,因為以東人又來攻擊猶大,擄掠子民。
106.083	124.361	非力士人也來欽讚高原和猶大南方的誠意,取了博士邁、雅倫、基底羅、梭哥和蜀梭哥的鄉村, 亭納何屬亭納的鄉村?
124.361	127.985	錦鎖何屬錦鎖的鄉村?
127.985	129.887	就住在那裡。
129.887	140.598	因為以色列王雅哈斯在猶大放肆,大大干犯耶和華,所以耶和華使猶大卑微。
141.988	145.590	好,我們先唸到十九節。
145.590	158.236	我們剛看了這幾節的經文裡面,這次要,這個《歷代誌》這二十八章裡面,目前要講的君王是亞哈斯王。
158.236	179.168	亞哈斯王他,我們可以看到,剛剛我們看到有哪些國家在攻擊他,要來攻擊猶大,是不是在以東、非力士, 然後目前我們看到的是以東非力士是要來攻擊他。
179.168	187.991	那麼當時我們看到這個是一個他們要面對的是一個要面對外敵的入侵。
187.991	190.072	那當時是一個什麼樣的狀況?
190.072	196.354	也就是說我們今天要來看亞哈斯王他現在遇到了什麼樣的困境?
196.354	198.375	因為當時是什麼樣的困境?
198.375	201.136	因為當時是有一個國家就叫做亞述。
201.476	227.851	雅數的王朝漸漸的要興起來了那因為雅數王朝他興起了所以呢他就成為在北國以色列南國猶大然後我們剛讀的以東或者是我們剛看的非利是靠海這邊 因為亞述的強大,包含亞述在南一邊的雅蘭,這些國家都在亞述的威脅之下。
227.851	230.572	所以這發生了什麼事情呢?
230.572	280.357	在亞哈斯王當時是南國猶大的君王,那時候北國以色列再加上跟北國鄰近的雅蘭, 他們就商量,商量要結盟起來,包含以東,包含菲律斯,這些要結盟起來,要來對抗亞述,因為他不想要讓亞述的強大繼續的發展下去,因為到時候威脅到自己的國家的命運,所以他們很希望猶大,就是說南國可以跟他們加入在一起,但是猶大, 猶大的這些政治的領袖,包含君王,就是我們剛剛看的亞哈斯,南國猶大是不願意的。
280.357	286.579	所以在他們商議,在利害分析之下,他們就拒絕同盟了。
286.579	291.340	因為他們拒絕了同盟,所以這些國家就怎麼樣?
292.534	349.419	就要來攻打猶大所以其實攻打猶大的就是亞蘭然後呢北國以色列然後剛剛看的以東還有菲律斯這些聯軍呢就要來攻打這個猶大猶大王亞哈斯 好那所以呢在這個困境裡面這個就是當時亞哈斯要面對的一個困難因為就是好像他都跟人家不一樣這樣子然後格格不入然後大家呢就要想辦法把他換掉想辦法把他取代就是用一個當時也想了一個方法就是用一個傀儡的王要把他換掉因為那個王可能就是願意採納反亞素的政策 好,所以我們繼續看下去,就是在這個困難裡面,亞哈斯最後他的決定還有他的行動。
349.419	356.342	我們從20節開始,我們看到這時候亞哈斯往他後續的發展是怎麼樣。
356.342	361.544	我們看20節到27節好了。
361.544	362.465	好,20節我們開始。
363.831	371.713	亚述王提戈拉必列色上来﹐却没有帮助他﹐反倒欺凌他。
371.713	382.455	亚哈斯从耶和华殿里和王宫中﹐并首领迦内所取的财宝﹐给了亚述王﹐这也无济于事。
382.455	399.465	这亚哈斯王在己难的时候﹐越发得罪耶和华﹐他既是攻击他的大马舍克﹐ 因为亚兰王的神帮助他们,我也献祭于他们,他好帮助我。
399.465	404.727	但那些神使他和以色列众人败亡了。
