start	end	text
1.715	28.054	弟兄姊妹平安。真的很久沒有來這裡了。今天早上開車一路往北走,就覺得這溫度一直往下掉。我十年不在這裡,忘記淡水的溫度了。感謝主我再一次來到這一個算是很熟悉的一個講臺。我看看這個講桌,好像也沒變。
30.077	57.631	這個一樣是會滑的,鎬子一樣放不住的。感謝主我們很久沒來這裡,也很久沒有看到弟兄姊妹。今天早晨一剛進來的時候,很多弟兄姊妹跟我握手,那我就覺得好像回家一樣。所以真的在農曆過年快到了,先祝福各位新年快樂。真的,好像我提早回孃家一樣。回到這邊,謝謝。
59.309	83.34	為什麼說回到淡江教會呢我記得我離開這裡的時候我剛來的時候剛來是30歲離開這裡往臺中去的時候是36歲然後如今45歲但是我一樣年輕健壯阿們感謝主
85.435	114.876	那時候我記得有一些的回憶,剛剛進來的時候,我真是在這裡看著每一個會堂,包括時榮帶我進去,然後每一個地方,我看著看著,原本的辦公室變接待室,各個地方,我還記得我坐的位置在哪裡,牧牆牧師坐的位置在哪裡,黃牧師坐的位置在哪裡,藝名牧師坐的位置在哪裡。很多的回憶在這個地方發生,很多的第一次在淡水發生,
115.964	144.036	我在這裡第一次當傳道人,真的,第一次當傳道人就在這裡,在淡水。第一次買房子也在淡水,雖然都賣光了,但是在這裡我被教導,我被建造,剛來的時候什麼都不懂,在這裡有很多的學習,被琢磨,
147.671	177.263	我真的發現這一個地方是一個充滿聖靈恩膏的地方這一個地方是充滿神奇妙作為的地方在這裡領受了很多感謝主有機會真的再次回到這裡跟各位見面其實心裡面是很激動的真的心裡面是很激動包括看到好多的老朋友心裡面真的是很激動的
178.507	206.632	今天我們一起分享一段經文這經文裡面有一個主要的人物這個人物我想大家都不陌生他叫做迦勒提到迦勒這一個人有很多的教會你不知道我們教會的常青傳器叫什麼名字年長者事工一開始我年長者事工我們一起在帶我們教會的常青傳器叫迦勒傳器
207.261	231.366	為什麼常取這個名字呢?我看很多的教會的年長者的事工、長輩的事工、團企都取名叫家樂。因為家樂在聖經當中記載,最後的一段時間,在聖經中有記載的年紀是85歲。
233.285	256.899	大概在85歲左右的故事今天其實我們所讀的故事就是所謂大約加勒在85歲左右所記載的一段的故事約書亞同樣有一樣的經文約書亞跟民宿記同樣都在14章記載的相同的經文那約書亞有一個不一樣
257.432	282.476	耶穌亞是迦勒來到耶穌亞的面前。迦勒告訴耶穌亞說當時我們做了這麼多風光偉業的事情。做了這麼多轟轟烈烈的事情。但是民宿祭不一樣。民宿祭是神對迦勒的評斷。或者是講說神對迦勒的評價。
284.701	307.226	各位,神對迦勒有什麼樣的評價呢?今天的經文,明書記十四章二十四節在上面都有。我讀一次,唯獨我的僕人迦勒,因他另有一個心志,專心跟從我,我就把他領進他所去過的那地,他的後裔也必得著那地為業。
308.712	333.076	各位,神給迦勒什麼樣的評價?神對迦勒這個老人家有什麼樣的評價呢?祂講說,唯獨我的僕人迦勒,因為他另有一個心志專心跟從我,我就把他領到過去他所去過的那地,他的後裔也必得著那地為業。那麼我們要問,
