start	end	text
0.009	4.494	六章十到二十節。
4.494	6.136	弟兄來,請。
6.136	12.924	我還有末了的話,你們要靠著主,依賴祂的大能大力,做剛強的人。
20.350	31.577	因我們並不是與屬血氣的徵戰,乃是與那些執政的、掌權的、管轄這幽暗世界的以及天空屬靈氣的惡魔徵戰。
44.121	58.567	所以,要站穩了,用真理當作袋子出腰,用公義當作護心鏡遮胸。
58.567	64.809	此外,用拿著信德當作藤牌,可以滅盡那惡者一切的火箭。
72.312	89.304	靠著聖靈隨時多方禱告祈求,並要在此警醒不倦,為眾聖徒祈求。
89.304	98.090	我為這福音的奧秘做了戴所戀的使者,並使我照著當今的本分放膽講論。
98.090	98.611	我們一起禱告。
100.350	123.802	主耶穌謝謝祢,主要讓我們能讀祢的話語,主要願祢今天的聖靈充滿在這裡,主要帶我們進入到祢的真理當中,主要讓我們聽見祢要對我們所說的話,主要今天願祢賜給僕人當說的話,今天也願祢親自來對祢的兒女們說話,主要讓說的聽的都同得益處,讚美祢,禱告奉耶穌得勝的名,阿們。
126.237	131.361	剛才第一堂的時候受洗,我就看到了有一個小朋友。
131.361	134.623	小朋友,然後他受洗,這個很小,真的很小。
134.623	136.985	就想到了我自己的孩子。
136.985	138.466	養兒當之父母恩。
138.466	150.275	養兒就是知道說有許多的,養兒育女裡面,有為他們擔心,就是為他們禱告,也有一些,就是挑戰的地方。
150.275	158.524	特別是,我的孩子, 六歲,大兒子是光磊,六歲。
158.524	187.668	有一次呢,就是發燒了,就是那時候,他多災多病,就是,所以有一次發燒了,就,就是,很緊張啊,就不知道怎麼辦,然後就看醫生嘛,看完醫生以後呢,就吃了藥以後,又再燒起來,就吃了藥,退了,過了一段時間,又燒起來,就這樣, 醫生說這個發燒是暫時的,應該過不了多久就會整個降下來。
187.668	196.515	然後我就聽一聽,然後繼續吃藥,然後吃完了藥就退,退了藥效比過,就又燒,就這樣燒了快一個禮拜。
196.515	198.176	然後後來我們就覺得不對了。
199.172	203.575	就帶去醫院,然後醫院就說,就要住院,原因是肺炎。
203.575	211.920	後來就住了院,然後打了抗生素,然後慢慢的,慢慢的,才整個疾病好起來,然後就出院回家。
211.920	229.717	我要說的就是,當我在看這個過程,就是孩子們生病,發燒,到醫治完以後,我就覺得,上帝在告訴我一件事情,那件事情就是,發燒只是一個症狀, 就是這個孩子的病,發燒是一個症狀。
229.717	231.118	但真正的病在哪裡?
231.118	233.959	真正的原因是那個肺發炎。
233.959	241.522	如果我把這個發燒這件事情當作是我的敵人,我要打敗他,我就告錯了。
241.522	245.184	因為我打完了他會再來,而且根本不是他。
245.184	250.506	實際上是那背後發燒只是一個症狀,那背後的原因是因為發炎了。
250.506	254.788	我真正的敵人是那個肺部的發炎。
254.788	260.049	所以如果我只是 要對付發燒,我吃的是退燒藥。
260.049	267.113	但是,如果我對付的是肺炎,醫生建議我們使用的是抗生素。
267.113	274.156	所以,當我們面對我們信仰的時候,我們要認對敵人。
274.156	281.000	我們的敵人,上帝說,不是從人來的,不是從我們旁邊的人來的,不是那些屬血氣的。
282.773	286.215	神告訴我們,那是天空屬靈氣的惡魔。
286.215	292.899	我們正要認清我們的敵人,於是我們才能夠用正確的方式來面對他。
292.899	302.566	這段經文在告訴我們,第十節我還有末了的話,你們要靠著主,依賴他的大能大力,做剛強的人。
302.566	306.828	在這一段經文之前,保羅正在說什麼呢?
306.828	314.062	四章第一節, 我為主被求的勸你們,既然蒙昭,行事為人就當與蒙昭的恩相稱。
314.062	319.829	在第十七節,你們行事不要再像外邦人一樣,存虛妄的心行事。
319.829	325.635	第五章第二節,也說你們要憑愛心行事,正如基督愛我們。
325.635	329.600	五章第八節裡面也提到,行事為人就當像光明的子女。
330.691	337.833	五章十五節,你們要謹慎行事,不要像愚昧人,要當像智慧人。
337.833	341.334	這幾段經文裡面,不斷地在重複的是什麼呢?
341.334	345.175	行事為人,就是指的是基督徒的生活。
345.175	352.617	基督徒的生活,當你信了主以後,你的生命會改變,你生命的影響會改變。
352.617	355.758	當你成為一個基督徒的時候,你的生活會改變。
357.329	362.233	而在這個改變裡面,神告訴我們,這是會有掙扎的。
362.233	365.796	這是會有攔阻,這是有困難的。
365.796	371.141	攔阻的勢力,不是那屬血氣的,不是從你旁邊的人來的。
371.141	379.748	攔阻人的勢力,攔阻你形勢改變,生命改變,生活更新。
379.748	383.271	你的攔阻的勢力是惡魔,是魔鬼、撒旦。
