start	end	text
1.544	28.745	好,弟兄姊妹平安。我們打開約伯記第一章,就約聖經約伯記第一章。我們先一起來讀經文,我們從第一節讀到第五節,約伯記第一章第一節到第五節,預備,來。
29.48	50.291	福斯地有一個人名叫約伯,那人完全正直,敬畏神,遠離惡事。他生了七個兒子,三個女兒。他的家產有七千羊,三千駱駝,五百對牛,五百母驢,並有許多伏筆。
50.691	67.292	這人在東方人中就為志大,他的兒子按著日子各在自己家裡設擺宴席,就打發人去,請了他們的三個姊妹來,與他們一同吃喝。
67.773	80.439	好 今天想跟各位來分享一個題目叫做患難見人心我想這個題目在現在是很貼切的
96.032	120.855	我們現在讀的是約伯記,它是屬於這個舊約聖經裡面的詩歌智慧書。那詩歌智慧書有五卷,就是約伯記、博、詩、真、傳、歌。人生很豐富,同樣的人生也很複雜。所以很多時候我們在享受生命的豐富的時候,
121.408	150.139	有時候我們也會追問生命的複雜生命的意義有時候我們會覺得自己非常的渺小我們不知道答案我們不知道生活的智慧生命的價值跟意義因此在聖經裡面上帝為我們預備了《詩歌智慧書》這五卷要透過五個面向來向上帝追問到底人生是怎麼一回事神啊我沒有智慧
150.64	179.354	求禰給我智慧,知道該怎麼樣來過日光之下的人生,並且來期盼那永遠的生命。博詩真傳歌《約伯記》是從苦難來出發,來追問面對人生的苦難跟艱難,到底人活著的價值跟盼望在哪裡。博詩是詩篇,詩篇是透過人生可能在高山低谷,酸甜苦辣,
180.06	191.382	透過讚美神來面對生命中智慧的解答。博士真呢?真言。真言透過信靠神的話語。
191.834	211.264	能夠有一個好的品格,透過這個好的品格來榮神益人,並且在裡面來尋求生命的智慧跟答案。伯斯珍傳呢?傳道書。傳道書講的是,看盡人世間的虛空,榮華富貴如浮雲。
211.664	226.822	因此透過這個變化無常的人生,這個虛空的人生,來追問上帝,到底生命的智慧是什麼。博士真傳,歌就是雅歌。雅歌透過人間的愛情,
227.363	257.073	男女主角他們的愛情當中經過了許多的這個百轉千折透過人之間的愛情最後連死亡都不能分開他們兩個人用人之間的愛情來追問來類比那上帝跟我們之間的愛情又是怎麼一回事因此我們今天要來看的是約伯記這邊第一節講到烏斯帝有一個人名字叫做約伯烏斯帝在哪裡在今天的阿拉伯
257.619	270.042	所以代表約伯不是以色列人,而約伯的年代可能比亞伯拉罕還要再古老。所以代表什麼呢?代表有關於生命中的苦難的問題,
270.674	299.39	是超越種族、文化。古往今來﹐各種民族﹐各種宗教﹐都在追問﹐為什麼有苦難﹐如何面對苦難﹐苦難的盼望在哪裡。特別是後來有三個朋友﹐他們要來幫助約伯﹐輔導約伯﹐他們也是從遙遠的﹐一個從約旦來﹐一個從伊拉克來﹐一個從葉門來﹐包含約伯﹐這四個人都不是猶太人。
299.821	322.028	代表苦難的問題古往今來在世界各地都是任何的人想要回答和追問的問題約伯這個人他很特別聖經說他完全正直其實完全和正直中間應該加個連接詞第一個他在神面前他是一個完全人找不到什麼可以責備他的
322.483	345.008	在上帝面前,祂是一個完全人。第二個,祂在人面前,是一個正直的人。人也找不到什麼事情可以責備祂的。祂是一位敬畏神的人,祂遠離惡事。弟兄姊妹,約伯的人生的志向,跟你我不太一樣。你的人生的目標,人生的理想,人生的志向是什麼?
345.896	374.752	約伯人生的志向就是完全正直,敬畏神,遠離惡事。怎麼會有人一生生命的目標是這個呢?所以約伯是一個跟我們不太一樣的人。所以我們在讀約伯記的時候要小心,不要很快把我們生命中對上帝的疑問,對人的疑問,對自己的疑問,一股腦的投射在約伯記裡面。
375.401	398.753	很多時候我們都很喜歡讀約伯記,因為覺得約伯好苦啊,跟我一樣苦。約伯是阿拉伯的阿信,我是臺灣的阿信,我們一樣苦。但是弟兄姊妹,約伯的苦常常跟你和我的苦有點不太一樣。約伯的苦我們待會兒來分析,而我們常常我們的苦,說真的啦,
399.684	429.231	蠻多比例是因我們不聽神的話我們偏行己路我們在做一些抉擇的時候我們沒有去求問神我們就直接就做了憑著我們的好惡我們的慾望也好我們人生的目標也好我們不太管神的因著我們自己的問題或是別人的問題所以後來有一大堆難以收拾的殘局這是我們大部分所遇到的苦難當然
429.599	458.382	苦難的範圍很廣。在《梅日言經事義》裡面,牧師有分析有八種苦難的原因。但是約伯的問題比較不是這個。約伯是被上帝試煉他的信心。約伯他為什麼要成為一個完全正直、敬畏神、遠離惡事的人呢?他並不是想要成為一個道德上的聖人。他也不是想要透過這個來賺取上帝的祝福。第二、第三節告訴我們說,
459.377	487.807	上帝滿祝福約伯的,讓他過一個十全十美的人生。怎麼說呢?七個兒子,三個女兒,七加三,十。七千隻羊,三千隻駱駝,十。五百對牛,五百對母驢,十。約伯好像過一個十全十美的人生。但是我們經文往後看都知道,其實約伯他立志要完全,要正直,要敬畏神,遠離惡事。
488.302	516.709	並不是他想在道德上成為聖人,也不是想要透過這來賺取上帝的祝福,其實他真的是非常珍惜他跟上帝的關係。《約伯記》裡面有一章告訴我們約伯他的心聲,因為他把上帝當作他親密的朋友,他把上帝當作他生命中的密友,親密的朋友。怎麼說呢?我們可以來看第一章的後半段,
