start	end	text
0.009	46.714	好 如果你沒有聖經的可不可以舉手一下我們後面的同工可以協助你我們要照著我們的讀經進度繼續的看下去那我本來想要跳到後面去直接講結論牧師說不行所以我今年的所有的經文都是在這幾天的進度12章到14章裡面我給了一個很奇怪的題目大家跟我一起念一次好不好預備 來 恩慈的天賦如果你讀到12章到14章你會想這個題目有沒有太誇張了一點我猶豫了很久還是給他這個題目 那我想說我們在開始講《約伯記》以前,我覺得苦難是大家共同的語言,大家同意嗎?
46.714	54.077	這個有一些人臉上帶著笑容比較甜,比方說小甜甜,你知道我們教會有一個小甜甜嗎?
54.077	60.940	就坐在那裡笑很大聲那個,因為她是幸福都寫在臉上,那個苦難對她比較少一點。
61.340	64.402	沒有啦,我相信他也經過不少事情。
64.402	72.706	我們每一個人在每天的生活當中其實都只是你不一定有講出來你經歷了什麼,你經過了什麼。
72.706	78.489	但是呢,可能每一個人已經學了比較多一點常常喜樂不住的禱告已經是你的DNA了。
78.489	86.633	可能有些人還在過程裡面,有一些人可能就像約伯一樣在各種苦難當中是有苦也難言。
88.251	89.432	繁體中文，臺灣國語。
89.432	90.892	繁體中文，臺灣國語。
109.582	110.342	繁體中文，臺灣國語。
110.342	112.143	繁體中文，臺灣國語。
112.143	113.303	繁體中文，臺灣國語。
113.303	114.604	繁體中文，臺灣國語。
114.604	115.904	繁體中文，臺灣國語。
126.408	129.089	所以等一下我會從這個角度來切。
129.089	137.311	但是呢,還沒有講《樂博記》以前,我想來說,恩慈的天賦,其實這世界上充滿著很多弔詭的事情,很怪。
137.311	140.652	那比方說呢,請大家看一下這一幅畫。
140.652	142.452	請大家看過嗎?
142.452	147.454	我不是那麼藝術人,我也不是學藝術,但是我有以前我常常去看畫展。
147.454	150.094	這是我看過的其中一個畫展,我喜歡的一幅畫。
150.094	152.075	大家看過嗎?
152.075	154.596	來舉手一下,我看有多少人看過。
154.596	154.616	OK,好,OK。
156.135	161.197	好,去法國看過原著的,有嗎?
161.197	162.718	不要舉手,我太羨慕你。
162.718	167.660	好,大家知道他是誰嗎?
167.660	168.641	聯絡我啊。
168.641	172.142	你知道他有另外一個名稱叫做什麼?
172.142	173.983	幸福的畫家,聽過嗎?
173.983	173.983	OK。
176.544	205.512	因為我不是很懂可是呢當我以前有禮拜一我常常去那個故宮啊去一些那個歷史博物院我會去看畫展然後那個就會覺得哇雖然我沒有去到歐洲的直接看到這一些東西我是我就看不管是賦品或者是真實的看到一些東西覺得很有感覺那我的家後來就放了幾幅這個書房買的這一些雷諾瓦的這一幅畫 為什麼我喜歡他呢?
205.512	242.654	當你研究他的故事的時候你會發現他的印象派的畫家這個人他的畫作在1841年到1919年他是印象派的代表人物然後他的畫呢這是在1872年《鋼琴上的少女》這幅畫的名字那1872年之前呢他很喜歡畫的風格也是這樣子沒有錯可是在1872年有一個很劇烈的改變 讓他的畫更加的溫暖,他也把握住最後的幾幅畫,就是他人生最後的幾幅畫。
242.654	244.074	發生了什麼事情?
244.074	248.555	一個畫家他的手不再能夠畫的時候怎麼辦?
248.555	252.416	他得了類風濕性關節炎。
