start	end	text
1.442	27.177	其實這一次的疫情衝擊是很大。我很感謝主,神帶我們每日研經讀到約伯記。我覺得神把約伯記放在聖經裡面,對我們人類是一個多大的祝福,沒辦法想像。在我人生最低谷的時候,我那個時候在北美華神拼那個碩士課,
28.046	56.148	最後一年,我就發現我兒子碰毒品。其實那個時候我是非常非常的痛苦。我幾乎開車,從我們家開車到神學院,然後開車回來,差不多來回兩三個鐘頭。我就在車上一直禱告,一直禱告,有的時候禱告到說不出話來。但是你知道嗎,神很特別,祂在我神學院碩士科最後一門課叫教案寫作。
57.21	72.006	有一門課叫教案寫作,那那個教案寫作的範例就是約伯記。所以我從約伯記當中獲得極大的安慰,然後也獲得我才知道恍然大悟,這次聽莊牧師講,又不同的感受。
73.012	96.435	今天我們不講苦難,而是講成為安慰者。《約伯記》有一個很好的示範,很不好的示範。不好的示範就是《約伯三遊》。我們今天要從這個角度看《約伯三遊》,如何成為安慰者,同時保羅新約又怎麼回應。我記得在前幾個月的時候,教會有
97.466	119.956	有壽喜典禮。那個時候第二堂牧師在壽喜,二三十個人。我一直想說牧師什麼時候上臺講道。一直在壽喜一直在壽喜。一邊又很高興,說什麼時候開始講道。結果牧師講了十分鐘而已就下臺了,因為壽喜的人太多了。有的時候我覺得壽喜真的好棒,教會增長,從五百人到一千人。
120.981	148.994	可是如果你教會每一年有一百人受洗兩百人受洗你是一千人的教會到了年底的時候還是一千人這個表示什麼意思呢有一百人兩百人離開教會所以現在教會的問題不是說沒有人受洗因為每個教會都非常的興旺受洗幾百個人可是相對的也是有幾百個人離開教會人們為什麼會離開教會我覺得這是一個值得我們去探究的問題
150.213	175.905	離開教會原因很多,有些是因為搬家、工作等等。可是我覺得住在淡水,你很難離開淡水,因為實在是太漂亮了。你住過淡水以後,你就很難離開淡水。我一直想說在臺北市找一個比較近一點的房子,可是實在找不到。那為什麼會離開教會?我想其中有一個原因,不是全部,就是受傷。他們受傷,
176.63	203.662	你知道嗎?我覺得很奇怪。好像上帝都把一些有玻璃心的人,讓他們成為基督徒。很容易受傷。別人講一句話,他在傷害我。牧師在臺上講什麼,是不是針對我?很容易受傷。小組長講一句話,是不是針對我?我在覺得,是不是有玻璃心的人特別需要救恩?所以把有玻璃心的人都放在教會裡面。人們為什麼離開教會?可能其中一個原因是受傷。
204.65	231.583	因此我們不要去探究到底誰是約伯三友,而是我們自己會不會成為教會的約伯三友。我們從約伯記有二十幾篇都在講這個漏漏等,這個三個朋友跟約伯的對話。這二十幾篇我們看到很辛苦,但事實上如果你在苦難中,你看到中間的對話,你真的會嚇一跳,因為是這麼地耳熟。
232.398	245.023	約伯講的話又是這麼的阿悶。我來舉個例子。約伯的朋友怎麼對他說?你們不要念,我來念就好,因為實在是不堪入耳。
246.015	263.23	你倚靠的不是敬畏神嗎?你的盼望不是在你行事純正嗎?你有嗎?神所懲罰的人是有福的。神越懲罰你越有福氣。所以你不可以看清上帝的管教。這都是約伯朋友講的話。約伯朋友有沒有信上帝?
264.104	286.071	有嘛,有怎麼會講這種話呢?我們已經考察了,本應該是如此。你要聽喔,你要知道這個是對自己有幫助的。這個是約伯朋友講的。是不是你小孩有問題,得罪了神,然後他們才會使他受傷。然後你的罪孽只叫你的口,你選用詭詐人的舌頭,哇,天啊,好狠啊。
286.988	298.186	我要指示你,你要聽喔!你看,我是教會的區長,你要聽。我是小組長,我在教會待那麼久。我是傳道人,我是王倩倩,你要聽喔!哇!天啊!有夠狠喔!
298.848	328.315	不義智人的住處總是這樣,此乃不認識人的地步。他說約伯不認識神。還有更恐怖的。天要顯明他的罪,地要興起攻擊他。你這種約伯的朋友,他的家產必然要過去,神發怒的日子,他的貨物都要消滅。這是惡人從神所得到的份,是神為他所定的產業。天啊,這是他的朋友嗎?更無情的,我有的時候聽莊牧師,我都有在follow,
329.411	358.892	莊牧師講到他朋友對約伯講的話,我不是說莊牧師講得不好,而是有時候真的聽不下去,那阿捏,怎麼會這樣子?你的罪惡豈不是大的嗎?你的罪孽沒有窮盡,你因你無故搶取你弟兄的財物當頭。聽得下去嗎?聽不下去。到底怎麼回事?為什麼認識神的人,而且是他的好朋友,講白了就是弟兄姊妹,
359.923	388.526	怎麼會對約伯這樣的人講這樣的話呢?有夠狠喔!為什麼有這麼多的篇述來告訴我們這些對話?我想聖經一定有它的特別之處,就是一個提醒。但是約伯記怎麼去講約伯?他說巫師弟有一個人名叫約伯,那人完全正直,敬畏神,遠離二世。
388.899	407.689	一開始的時候就告訴你,他是一個完全正直的人。我們寫完一篇書,一些書卷,一定是事情過了才會有這個書卷嘛,對不對?所以應該一開始的就是一個conclusion,就是一個結論。所有聖經的起初神創造天地是
