start	end	text
0.060	2.682	你很興奮嗎?
2.682	6.705	你會覺得說,今天這個主日很特別嗎?
6.705	9.767	我希望祂是很特別的,我也希望祂是不特別的。
9.767	11.948	因為每一天我們都有復活的生命。
11.948	13.950	感謝主,我們一起來低頭禱告。
13.950	17.252	主耶穌,我們感謝祢,讓我們今天可以一起來敬拜祢。
17.252	23.757	看見今天這麼多的弟兄姊妹,從早上第一堂服事到現在,哇,心裡實在非常的感恩。
23.757	26.739	謝謝祢在淡江大教會做了非常奇妙的事。
27.039	32.803	主謝謝祢透過這麼多美好的牧者來牧養教會,讓教會成長而且茁壯。
32.803	36.806	我們看見祢要給他更榮耀,更擴張,更多的影響力。
36.806	46.332	謝謝耶穌,與我們同在在今天這個特別的主日,主我們也說不是特別的主日,因為每一天都是特別的,願祢復活的生命在我們當中永留出來。
46.332	48.453	謝謝主,我們禱告奉靠耶穌的聖名。
48.453	49.234	阿們。
49.234	53.037	感謝主今天要分享一個信息叫做活出復活的生命。
53.677	54.738	活出復活的生命。
54.738	56.358	我們翻一些的經文。
56.358	58.500	約翰福音11章25節。
58.500	64.102	上一堂,韋南牧師說,我們把時間交給他說,敬拜加上獻屍,再加上報告。
64.102	65.843	然後呢,他剩下十分鐘。
65.843	67.924	感謝主,我們要以身作則。
67.924	70.006	所以我跟他講說,我今天也剩下十分鐘。
70.006	70.546	Hallelujah!
70.546	75.628	所以我們要以時速大概250公里,五檔的速度來進行今天的講道。
75.628	77.389	約翰福音11章第25節。
77.389	79.250	翻開之後呢,跟我一起來讀。
79.250	80.851	約翰福音的第11章第25節。
82.688	89.550	有沒有人沒有聖經,把手舉起來,沒關係的,沒有帶聖經不是羞恥的事,把手舉起來,感謝神,感謝主。
89.550	100.994	舉高一點點,我們把我們的,我們同工要把聖經給你,我們很樂意你來,如果你沒有帶聖經也沒有關係,感謝神,我們更希望你遇見,寫聖經的神,感謝神。
100.994	110.856	好,翻開約翰福音第25章,約翰福音的第25章,阿對,11章25節, 我故意考你們有沒有認真聽的啦。
110.856	113.280	這都是我設計好的梗,朋友們。
113.280	113.520	真的。
114.582	117.423	牧師永遠不會錯的。
117.423	120.263	這是沒有寫在聖經裡面的教導之一。
120.263	121.824	牧師永遠不會錯。
121.824	123.644	地快要裂開了。
123.644	126.545	福音11章25節。
126.545	128.125	牧師會不會錯?
128.125	130.526	大錯特錯。
130.526	133.007	跟各位說道歉不好意思。
133.007	134.327	一起讀神的話。
134.327	138.948	耶穌對他說,復活在我生命也在我生命。
138.968	142.591	信我的人,雖然死了,也必復活。
142.591	145.774	凡活著信我的人,必永遠不死。
145.774	146.874	你信這話嗎?
146.874	147.815	再讀一次。
147.815	152.179	耶穌對他說,復活在我,生命也在我。
152.179	154.821	信我的人,雖然死了,也必復活。
154.821	159.024	凡活著信我的人,必永遠不死。
159.024	160.105	你信這話嗎?
160.105	162.227	我們再讀彼得前書。
162.227	163.688	我們先翻到以弗所書好了。
163.688	164.529	以弗所書一章。
165.776	167.797	以佛所書,往後面翻一點點。
167.797	171.339	以佛所書的一章第17節開始到23節。
171.339	176.722	以佛所書的第一章17節到23節。
176.722	216.783	翻到的話, 請求我們主耶穌基督的神,榮耀的父,將那賜人智慧和啟示的靈賞給你們,使你們真知道祂, 並且照明你們心中的眼睛,使你們知道祂的恩兆有何等指望,祂在聖徒中得的基業有何等豐盛的榮耀,並知道祂向我們這信的人所顯的能力是何等浩大。
217.824	241.683	就是照祂在基督身上所運行的大能大力,使祂從死裡復活,叫祂在天上坐在自己的右邊,遠超過一切執政的、掌權的、有能的、主治的和一切有名的,不但是今世的, 連來世的也都超過了。
241.683	247.846	又將萬有伏在祂的腳下,使祂做教會做萬有之首。
247.846	252.009	教會是祂的身體,是那充滿萬有者所充滿的。
252.009	260.074	很寶貴的一段話,我特別邀請各位在highlight第一章的二十節,我們大聲用信心來宣告,神的話都是有能力的,我們來宣告。
260.674	293.170	就是照祂在基督身上所運行的﹐大能﹐大力﹐使祂從死裡復活﹐叫祂坐在天上﹐坐在自己的右邊﹐遠超過一切執政的﹐掌權的﹐有能的﹐主治的﹐和一切有名的﹐不但是今世的﹐連來世的也都超過了﹐又將萬有服在祂的腳下﹐使祂為教會做萬有之首﹐教會是什麼﹐祂的身體﹐ 是那充滿萬有者所充滿的。
293.170	298.992	太寶貴的話,你要領受這段話,神要給我們的大能大力復活能力要運行在你裡面。
298.992	313.340	我們再翻到彼得前書,往後面再翻彼得前書,通常彼得後面這些書,如果你的聖經很少看,通常它都是黏在一起的,因為很少翻到那邊,沒有關係,你的聖經如果沒有讀過,黏在一起,也不是羞愧的事,就把它打開就好了。
313.780	316.101	你可以沾點口水,把它碾開,OK?
316.101	321.983	彼得前書,因為很久沒有讀了,也有的可能已經,可能被撕破了,已經不見了,你就看你旁邊的人。
321.983	326.565	彼得前書,第一章,第三節,Hallelujah,我們來讀聖的話。
327.619	343.605	愿颂赞归于我们主耶穌基督的父神,祂成造自己的大怜悯,借耶穌基督从死裡復活,重生了我們,叫我們有活潑的盼望。
343.865	375.575	可以得著﹐不能朽壞﹐不能玷污﹐不能篩傳﹐為你們存留在天上的基業﹐再讀一次﹐願聖戰歸於我們主耶穌基督的父神﹐祂成造自己的大憐憫﹐藉耶穌基督從死裡復活﹐重生了我們﹐叫我們有活潑的盼望﹐可以得著﹐不能朽壞﹐不能玷污﹐ 不能衰殘,為你們存留在天上的基業。
375.575	382.236	感謝神,今天這聖誕經節,特別是我,我覺得這個彼得前書第一章,你去好好的讀一讀。
382.236	423.007	一個跟隨耶穌三年半,一個跟隨耶穌東征北討,一個跟隨耶穌最靠近他,耶穌稱他是他們這個教會的磐石,可以說是出在教會的大哥啊,這個彼得他寫了 彼得前書這第一章有很多他對神的復活﹐對信心﹐對喜樂﹐對苦難﹐對盼望﹐對愛的一些的見解﹐你一定要去讀它﹐好好地讀﹐今天沒有時間讀﹐我把這三段經節放在一起﹐我求主今天打開我們的眼睛﹐保羅在以弗所書也告訴我們﹐他求 我們的父神打開我們心中的眼睛﹐讓我們可以看見﹐讓我們明白﹐得著那個復活的大能。
423.007	435.515	我今天要分享的是﹐每一個基督徒﹐我期待你今天﹐你在這邊聚會﹐不是因為聽到什麼道而已﹐而是你遇見那個神﹐那個活潑的道進到你裡面﹐復活大能的生命就要湧流出來。
435.515	441.279	弟兄姊妹今天是復活節﹐很多的教會從上個主日開始﹐我剛剛是被Mute掉是不是?
441.279	444.020	是你們覺得﹐對我的講道有意見是不是?
444.821	456.564	我今天會很用力講道,因為今天我有得到一個啟示,我非常的嗨,感謝主。
456.564	462.825	弟兄姊妹,你今天一定要得到那個啟示,我願神把這樣的一個復活能力放在你的裡面。
462.825	468.626	很多的教會在上個主日開始,特別是天主教,就開始在過所謂的受難週。
468.626	472.387	在我以前的背景,我的背景是長老教會,在受難週是不可以笑的。
473.336	475.377	是不可以太歡喜的。
475.377	477.717	你不能穿太多顏色的衣服,最好是黑色的。
477.717	479.598	因為耶穌受難,苦慮。
479.598	481.798	苦慮,苦慮,苦慮。
481.798	495.282	耶穌很苦的在那一週呢,他有什麼中旅宿日,什麼節敬日,什麼聖餐日,洗腳日,然後受難一大堆日。
495.282	499.703	然後那一週呢,大家都很緊張,然後就唯恐呢,會得罪神。
499.703	501.724	弟兄姊妹,這樣子好不好?
503.336	504.817	誰說的?
504.817	506.298	很好!
506.298	508.279	傳統沒有不好,很好!
508.279	510.480	但是有另外一群人,我也認識。
510.480	526.569	然後呢,我也學習像他們一樣,他們在受難之後,嗨得很,看電視照看,康熙照笑,哈哈哈哈,進食,進一口頭,照吃,照什麼都吃,吃喝拉撒,睡,什麼都可以,不是吃喝嫖賭,吃喝拉撒睡,你要記得。
527.108	528.989	他們什麼都做,他們很快樂。
528.989	532.791	他們不覺得這個是需要這麼樣的悲情。
532.791	535.333	你說是對還是不對?
535.333	536.714	都對!
536.714	539.335	每一種方法有適合的人。
539.335	541.817	也許你是我剛剛講的第一種,又是第二種。
541.817	546.700	願神親自的帶領你,用你習慣的方法去紀念耶穌。
546.700	550.162	但是我要講的是,我們不要只停留在復活節這個主日。
550.862	595.672	很多時候 很多教會 只有在復活節的時候 特別有權力特別有 我講的權力是 特別有權柄 特別有力量他們有很多偉大的師班 有的教會 像我們認識一些教會有那個管風琴然後整個族人就覺得 哇 非常的慷慨濟昂然後牧師正道 一定是從那窟窿開始 耶穌怎麼被打啊然後他怎麼樣 怎麼樣 怎麼樣 最後他被釘死在這 這樣大喊一聲 然後,弟兄姊妹的心糾結在一起,然後,哇,主啊,這一年,我去年這樣子的,然後,就在主任牧師伸手一舉手說,願神的能力釋放在你們上,啪啪。
595.672	610.562	我不知道你是不是這樣,我以前是這樣,復活節主日很重要,我不知道你們是不是這樣,傳統的我們,我是傳統背景,非常重要,但是,弟兄姊妹,不要只有復活節主日, 十字架復活是基督教的根基。
610.562	615.465	請你跟你旁邊講,十字架復活。
615.465	618.908	是基督教的根基,是我們信仰的根基。
618.908	622.990	不是節日,請你跟旁邊講,不是節日。
622.990	627.373	現在的基督徒變成一個節日型的基督徒。
627.373	629.715	敬拜團變成比賽型的基督徒。
629.715	636.179	應該去參加讚美祭,去年我去參加,然後輸了,感謝主辦單位在這裡,Hallelujah,我要求祂一下,Hallelujah。
637.654	640.015	敬拜團存在是為了要比賽。
640.015	641.635	為了要出唱片。
641.635	644.135	基督徒存在是為了要過節日。
644.135	644.676	哇!
644.676	645.616	復活節。
645.616	646.456	接下來什麼節?
646.456	647.736	我不知道。
647.736	648.396	聖誕節。
648.396	649.797	哇!
649.797	654.158	然後呢,只有那幾個節期,我們表現得特別像基督徒。
654.158	656.638	在那個節期的上下三天,哇!
656.638	659.199	你最不容易犯罪。
659.199	661.559	愛人啊!
661.559	662.420	憐憫心啊!
662.420	662.720	對不對?
662.720	663.240	去做很多事。
664.889	667.691	十字架跟復活是我們的根基。
667.691	672.694	再說一次,十字架跟復活是我們的根基。
672.694	676.396	有的人會問我們說,到底什麼是基督教?
676.396	681.699	什麼是基督信仰?
681.699	684.300	神告訴我一個事情,很好笑。
684.300	686.802	很多人有手機,你知道嗎?
686.802	687.582	你有沒有手機?
687.582	688.223	拿出來看一下。
689.377	692.379	有手機拿出來揮揮,什麼牌子?
692.379	698.323	我告訴你,宋牧師手上這是真正有啟示的。
698.323	701.385	真正有啟示的。
701.385	703.686	對啊,iPhone很厲害。
703.686	711.692	我以前是Android陣營的,我抵死我不要用iPhone,但是你一用到它就屌住了,像毒品一樣。
713.729	715.290	神告訴我什麼?
715.290	716.390	什麼是信仰?
716.390	719.532	什麼是我們十字架跟復活的根基?
719.532	735.620	我要跟你們分享,一般的信仰,一般的人所謂的信仰,包括不認識真正福音大能的信仰的基督徒,也許是你,就是以前的我,我是傳統教會,我爸爸是牧師,我一直以為我懂基督教,其實我不懂。
735.620	740.042	我們一直在一個狀態裡面,叫做什麼?
741.647	743.528	就是你今天這個系統,你知道嗎?
743.528	751.194	一般的信仰,你知道以前,你跟我想想以前的手機多大,這麼大一支有沒有?
751.194	756.218	我都,還沒有出生喔?
756.218	759.161	我都不像以前,那手機這麼大一支,你知道嗎?
759.161	762.543	還可以掛在這裡走路,這就很厲害。
762.543	767.107	手機呢,從什麼2G,什麼3G,現在4G,一直在升級有沒有?
767.107	773.660	然後你有沒有發現,你只想想你換了幾支手機, 你一直想要找到一個最完美的系統。
773.660	779.369	然後搞到以前,我看過有些人,哇,加上一支BB扣,手機還兩支。
779.369	784.016	然後他身上全部都是以前,現在已經很少這種人出現了。
784.855	788.597	唯恐他會漏掉最重要的信息。
788.597	794.039	他所有的這些的電話也好,都是一個加一個,一個加一個。
794.039	796.200	一般的信仰就是如此。
796.200	800.542	一般的信仰,包括不認識復活大能的基督徒也是如此。
800.542	808.266	有人說要聖結你就去,現在有個叫聖結系統,我這隻手機沒辦法,我給你買一隻就放上去。
808.746	824.878	然後呢,隔了一陣子,我現在好像在這個世界的潮流裡面,好像聖徒的公書這些的奉獻很重要,可是我這支手機沒有,我這支手機只能處理聖節啊,那怎麼辦?
824.878	826.079	我就再換一個手機。
826.079	834.966	所以很多的基督徒帶著各式各樣的手機在你的手上,然後每次遇見一個問題,就用一個手機或者用一個電子的產品想要去解決那個問題。
835.913	838.955	弄得手忙腳亂,你懂我的意思嗎?
838.955	849.901	其實神創造手機,祂只是要為了讓你跟祂連結,但是我們常常被這些所謂的系統方法弄得手忙腳亂,那到底現在是要用哪一套?
849.901	851.041	是這個還是這個?
851.041	852.942	中華電信還是遠傳?
852.942	854.303	夭壽啊,這是怎麼做?
854.303	859.226	然後有時候電話一響,找了半天,我不知道你以前有沒有,一拿出來三支手機在想,到底是哪一支?
859.226	860.867	還用拆的,是這支?
860.867	862.187	不是,是這支?
862.187	864.549	對,對,終於接起來的時候,人家掛掉了。
865.606	869.629	我們的生活就是如此,我們想要過一個復活,有能力的基督徒。
869.629	871.950	但是,你不要笑,你說那是外邦人的事。
871.950	874.192	我告訴你,基督徒也是啦。
874.192	878.935	今天教會在教什麼,你趕快學。
878.935	885.440	他有什麼不一樣是,今天神告訴我一件事情,神根本告訴你,你的手機是個爛的手機。
885.440	888.362	你裝什麼,你再裝什麼樣的系統下去,都沒有用。
889.616	902.825	我們試著想要用一個方法,把我的手機升級也好,再裝一些東西也好,讓它可以運作進到神的領域裡面,到神聖的領域裡面去,聖結的領域裡面去,失敗了!
902.825	908.168	神要告訴我們每一個人,你只能有一支手機,對不起!
908.168	911.190	今天,神突然給我講一句話,叫做什麼?
911.190	913.492	那個什麼,西馬轉換。
913.492	919.396	就是現在,你的電話號碼可以換電信業者,但是不用改號碼。
920.725	923.947	這個叫做福音。
923.947	927.909	有一家電信公司,我不知道叫什麼,邪惡電信公司。
927.909	934.733	你進去他裡面的時候,他叫你一直升級一直升級,然後他不斷地控告你說,因為你的手機太爛,你再買一個東西。
934.733	936.755	不行不行,你太爛,你再買一個東西。
936.755	938.516	朋友,今天不用。
938.516	943.719	今天所有洗碼換碼的人,兩百塊手續費都不用收,這個叫福音。
944.258	957.125	然後當你進到這個屬天電信公司之後,朋友們,機子免費,系統免費,而且終身保固,每天更新,這個叫做福音。
957.125	964.550	你不用再去試說我要這個,我要這個,不用了,這個叫做實質加根復活的大能。
964.550	971.774	今天我期待你聽到這個東西,我期待你看到這個東西,時間越來越緊迫,感謝主。
974.189	975.310	你知道我在講什麼嗎?
975.310	977.873	我聽到這個我非常的興奮耶!
977.873	978.273	Hallelujah!
978.273	978.934	感謝主!
978.934	981.417	我已經有iPhone了!
981.417	985.221	一個真正屬天的iPhone在你裡面!
985.221	986.923	你每一天可以更新!
986.923	991.067	而神這個系統,不是iPhone的iOS!
991.067	993.210	男生大概才聽得懂,女生已經不知道跑去哪裡了。
994.224	999.467	或者是,Sony以前的一個系統已經失敗了,連名字我都忘記了。
999.467	1001.749	每一家各個系統都在發明它的系統。
1001.749	1007.913	然後呢,Android HTC這一掛的他們呢,叫做Android系統。
1009.053	1011.894	現在你不用再用這些系統了。
1011.894	1017.255	因為這些系統,地上所造的系統都有問題。
1017.255	1025.477	無論它的廣告打得再如何厲害,再推出幾個見證人說,我就是用這個手機,你看,成功人士。
1025.477	1030.438	這些都是有期限,而且沒有辦法真正解決你的問題。
1030.438	1034.839	今天你要抓一個新的系統,叫做十字架復活的系統。
1034.839	1037.560	跟你朋友們講,十字架復活的系統。
1038.831	1045.924	安裝在你這個人的裡面,十字架復活的系統要在你的裡面。
1045.924	1050.773	有人說icross,我覺得不錯,很好的一個系統,幫我登記起來,感謝主。
1052.483	1069.598	十字架復活的系統要在你裡面,你會開始每天可以更新以外,任何的問題,我不是說你不會有問題,當你遇見問題的時候,你可以去面對它,突破它,你可以去跟神連結,突破它,這個叫做十字架跟復活。
