start	end	text
0.009	21.267	已婚的弟兄姊妹,想起你結婚的時候的青澀模樣,有沒有。如果你還是澀青,剛才看到的這一些,大部分在我們那個合唱臺上的弟兄姊妹,大部分也都是澀青的弟兄姊妹,他們也都未婚。我們今年呢,總共,貫群傳道在宣告,我們今年要有十對結婚。
22.108	45.925	目前應該已經佔了六個quota,所以只剩下四個名額,所以要就要趕快。感謝主讓大家教會一直是一個傳福音的教會,記得我們是臺灣基督徒見證協會,基督徒就是一個見證。我相信志祥在他的家中,是一個第一個基督徒,第一個受洗的基督徒,第一個歸入主名下的一個基督徒,但是我相信這也是一顆種子。
46.869	74.17	在祂的家族裡面,我相信這一家也都要來認識主。好,我們一起來翻開一段經文。這段經文我們都很熟悉。我們一起來翻開哥林多後書五章十七節。哥林多後書五章十七節。如果您手上沒有聖經,好不好請您在您的座位上舉一下手。然後我們的招待就會把聖經拿給您。請我們一起來翻開哥林多後書。新約的哥林多後書。
78.729	102.696	五章十七節。如果旁邊的弟兄姊妹沒有翻到,請你幫她翻一下。翻不到,你沒有翻到,不要客氣,就拿給旁邊的弟兄姊妹,請她幫你翻。來,我等你們一下,不要著急,我們慢慢地翻。五章十七節。翻到了嗎?
103.524	112.393	翻到了,看我一下,我們一起來念,哥林多後書,來,5章17節,翻到了,我們一起來念,預備,請。
113.37	138.928	若有人在基督裡,他就是新造的人,舊事已過,都變成新的了。我們再念一次,預備,來。若有人在基督裡,他就是新造的人,舊事已過,都變成新的了。各位弟兄姊妹,把它記起來。若有人在基督裡,他就是什麼?新造的人。新造的人是一個什麼樣子的人呢?
139.428	159.204	舊事已過,都變成新的。是這樣子的一個新造的人。我們來念第二段的經文。請各位弟兄姊妹翻開詩篇103篇18到13節。詩篇舊約,我們先翻到舊約。舊約的詩篇。中間的部分。博詩真傳歌詩篇103篇。
163.166	179.006	如果你翻到了,你看一下旁邊的弟兄姊妹是不是有翻到,你可以協助他一下。103篇第8節一直到13節。好,翻到了嗎?
180.265	204.669	好,翻到囉,我們一起來念,從第8節一直唸到第13節,預備,來。耶和華有憐憫,有恩典,不輕易發怒,且有豐盛的慈愛。祂不長久責備,也不永遠懷怒。祂沒有按我們的罪過待我們,也沒有照我們的罪孽報應我們。
204.889	214.533	最後一節,我們再念一次,預備,來。我們不要把聖經合上,我們一起來禱告。
235.316	249.735	主我們一起來到禰面前向禰獻上敬拜跟讚美。我們剛剛所讀的這兩段的一個經文,主禰透過這兩段的經文,禰今天對我們每一個人說話。讓我們在基督裡,我們都是新造的人。
250.316	270.152	讓我們揮別那些舊有的過去﹐而今天完完全全成為一個新的人﹐是按照主的形象﹐主的樣式造的﹐活出主所要給的使命﹐活出主所要給的生命﹐讓我們知道禰連續我們﹐地上的父親怎樣連續我們﹐那位天上的父親更連續我們﹐
271.391	292.825	我們今天要來思想一個蠻重要也是蠻基本蠻簡單的一個主題。我們從4月1號開始,我們就一直在思想有關於天國門徒的信息。我們前面已經談過三個主要的一個主題。
