start	end	text
0.009	12.158	馬可福音第一章第十四節開始馬可福音第一章第十四節開始早早我來念
17.312	44.794	來,既然有了,我們就一起念。來。約翰下監以後,耶穌來到加利利,宣傳神的福音,說,日期滿了,神的國盡了,你們當悔改信福音。耶穌順著加利利的海邊走,看見西門和西門的兄弟安德烈在海裡撒網,他們本是打魚的。耶穌對他們說,來跟從我,我要叫你們得人如得魚一樣。
45.555	62.941	他們就立刻捨了網,跟從了祂。耶穌稍往前走,又見西比泰的兒子雅各和雅各的兄弟約翰在船上捕網。耶穌隨即招呼他們,他們就把父親、西比泰和故宮人留在船上,跟從耶穌去了。
63.541	90.562	到了加柏隆,耶穌就在安息日進了會堂教訓人。眾人很稀奇祂的教訓,因為祂教訓他們正像有權柄的人,不像文士。在會堂裡,有一個人被巫鬼附著,他喊著說:「那殺的人耶穌,我們與你有什麼相干?你來滅我們嗎?我知道你是誰,乃是神的聖者。」耶穌責備他說:「不要作聲,從這身上出來吧。」
90.862	113.489	烏龜叫那人抽了一陣風,大聲含叫就出來了。眾人都驚奇一致彼此對問說,這是什麼事?是個新道理啊!他用拳柄吩咐烏龜,連烏龜也聽從了他。耶穌的名聲就傳遍了加利利的四方。他們一出廢堂,就捅著雅各、約翰進了西門和安德烈的家。
114.189	114.829	我們在這裡
143.456	165.233	願主祝福祂自己的話語,我們一起禱告。主耶穌,禰的百姓在這裡敬拜。在這裡,禰的寶座就在我們當中。在這裡,禰的同在就要運行在我們當中。我就懇求禰的聖靈,當我們可以這樣開心的敬拜,當我們慘開心的時候,禰的聖靈可以運行在我們裡面。
167.108	167.188	阿們!
195.094	220.714	感謝主的恩典,今天在這裡我要傳講的主題,就是願你的國降臨,願你的國降臨。是上帝的國,上帝的國,就是耶穌在世上傳福音的主題。我們看到,耶穌一開始傳道的時候,就說日期滿了,上帝的國盡了,你們要悔改信福音。接著,耶穌三年半的福音侍奉當中,
221.254	238.419	你常常看到天國是怎麼樣,神的國是怎麼樣,傳許多用比喻來解釋。我們又繼續的看到,在耶穌復活之後,有40天之久和門徒在一起。在蜀律學院第一章第三節說,他們這40天一門徒講什麼?
239.394	263.829	他榮然講論上帝國的事。所以在這裡,我們就發現, 耶穌的門徒也繼續的傳講上帝的國。斐利,他第八章, 屬於第八章,傳講上帝國的福音。我們看到保羅帶著鎖鏈在各處, 最後到羅馬的地方,到義大利的地方,他那邊你看到最後的一節, 甚至都講在那邊,
265.043	265.123	阿們。
289.718	318.05	你剛才不是一直希望說,那個靈來澆灌嗎?會澆灌在什麼地方?會澆灌那個敞開你的心靈,那個完全讓主的地方。所以在這裡,我們就上帝的國是什麼?上帝的旨意可以運行的地方,就是上帝的國。上帝的國,上帝的旨意,能不能運行在你的心裡?請你回答我。你聽了剛才多少%嗎?
