start	end	text
0.009	2.130	是很俗的一件事。
2.130	4.692	來談一下錢。
4.692	6.153	談一下錢。
6.153	8.195	我們打開路加福音16章。
8.195	10.216	你一邊再打開16章。
10.216	11.297	1到13節。
11.297	13.618	談錢。
13.618	15.159	不要小看錢。
15.159	16.680	路加福音16章。
16.680	20.123	耶穌談錢比談地獄還多。
21.220	50.772	是16章路加福音沒有聖經的舉起手來我們同工再幫你打開16章1到13節一起同聲來讀請耶穌又對門徒說有一個財主的管家別人向他主人告訴他浪費主人的財物 主人叫他來﹐對他說﹐我聽見你這事怎麼樣呢﹐把你所經營的交代明白﹐因你不能再做我的管家。
50.772	60.102	那管家心裡說﹐主人辭我﹐不用我再做管家﹐我將來做什麼﹐除地呢﹐無力﹐ 逃犯呢?
60.102	61.022	怕羞。
61.022	67.826	我知道怎樣行，好叫人在我不做管家之後，接我到他們家裡去。
67.826	75.510	於是把欠他主人的債，一個一個的叫了來，問頭一個說你欠我主人多少?
75.510	77.532	他說一百樓有。
77.532	81.714	管家說哪裏的帳塊寫下五十。
81.714	84.075	又問一個說你欠多少?
84.075	86.157	他說一百十大麥子。
87.022	89.904	管家說哪裏的帳寫八十。
89.904	93.767	主人就誇獎這不義的管家做事聰明。
93.767	100.152	因為今世之恥在世上之事較比光明之恥更加聰明。
100.152	101.753	第九節一起來行。
101.753	113.000	我又告訴你們要藉著那不義的錢財 結交朋友,到了錢財無用的時候,他們可以接你們到永存的帳幕裡去。
113.000	117.664	人在最小的事上忠心,在大事上也忠心。
117.664	122.167	在最小的事上不義,在大事上也不義。
122.167	128.612	倘若你們在不義的錢財上不忠心,誰還把那真實的錢財託付你們呢?
129.192	136.218	倘若你們在別人的東西上不忠心﹐誰還把你們自己的東西給你們呢?
136.218	149.450	一個僕人不能侍奉兩個主﹐不是惡這個愛那個﹐就是重這個輕那個﹐你們不能又侍奉神﹐又侍奉馬門低頭。
149.450	149.731	再來禱告。
151.800	154.642	謝謝主,我們可以敬拜祢。
154.642	160.047	謝謝祢是把愛賞賜給我們的主,讓我們被吸引到祢的寶座面前。
161.152	163.953	在祢的寶座面前,我們敬拜。
163.953	166.754	萬有的主宰,成為我們一生命的光照。
166.754	170.755	當我們聖經打開,求主幫助我們心被聖靈打開。
170.755	175.836	每一個人聽到祢的聲音,每一個人明白如何做永恆的投資。
175.836	182.178	讓我們在錢財的世界當中,歡歡喜喜,明白祢在我們身上的命定跟心意。
182.178	185.399	交託讓今天聽的講的,同感一個靈。
185.399	188.720	祢的寶座設立,讓每一位心都被向祢敞開。
188.720	190.681	奉耶穌基督得勝的名禱告。
192.585	197.386	這一段經文,耶穌並不是稱讚這管家開主人的油。
197.386	198.787	他是不義的管家。
198.787	205.689	其實第九節判決他是不義的錢財上不忠心。
205.689	209.150	那耶穌為什麼用這個例子呢?
209.150	211.330	這個人是開主人的油。
211.330	216.332	其實並不是在說他投機。
216.332	220.133	至少說他投資。
220.133	220.533	投資。
221.903	223.404	我要老闆把我fire掉。
223.404	227.067	我將來要做什麼?
227.067	229.249	他有未來觀。
229.249	230.290	他有末世觀。
230.290	232.052	我將來要做什麼?
232.052	234.394	第九節也是在談未來。
234.394	239.558	等錢財無用的時候,他們可以接你們到永存的帳目。
239.558	243.121	未來是來看金錢。
243.121	244.623	用未來來看金錢。
