start	end	text
0.009	18.798	我們一起低頭禱告。耶穌我們感謝禰,主讓我們今天可以一起敬拜禰,謝謝禰把很多美好的同工給我們,謝謝禰把很多祝福給丹江教會,我們要說我們是何等的蒙福,主我們擁有很多,我們得到很多,我們非常的豐富,我們在各方面都是富足的,謝謝禰,主我們看到
19.138	34.444	祖啊,這個中元平安祭,祖,禰這樣豐富的將祖我們所需用的,透過弟兄姊妹的奉獻,還有祖,禰親自的幫補,祖,讓祂不只從minus成為正的,我們就讚美禰,我們知道在禰沒有難成的事,我們知道在禰沒有難成的事,
34.684	58.591	謝謝禰,願禰今天開我們的眼睛,願禰對我們說話,願禰喜樂的靈充滿在我們當中,願禰在主禰自己的教會裡面得到最大的尊榮。謝謝耶穌,耶穌我們再次邀請禰,聖靈我們再次將我們自己交託在禰手中,天父懇求禰坐在我們當中,我們愛禰,禱告奉靠耶穌的聖名,阿們。我們來讀一下聖經,馬太福音的第五章,馬太福音的第五章,
61.323	79.546	我們感謝神,很久沒有回到淡江教會,每次回來的時候都非常開心,知道神在我們當中做很多奇妙的事。有沒有人沒有聖經可以把手舉起來?好,沒關係,我們請童工把聖經給你。然後呢,我們來讀一段經文,在馬太福音的第五章,我們從第一節讀到第十二節。
80.759	96.276	你翻到的話,我們一起來讀。也幫助你旁邊的人,你看看他,可能你旁邊那個是新來的朋友,他可能不大會翻聖經,可能一直翻翻不到,你就幫助他。看看你旁邊的人,也許他的聖經是黏在一起的,
96.476	110.011	不要取笑他,因為他很少翻,你就是幫他翻到就好了。新買的聖經有幾頁會黏在一起,我們不要取笑人家,他可能是換聖經,他不是沒有讀聖經,好不好?感謝神,第五章的第一節到第十二節。
111.493	113.615	翻到的話,跟我一起讀神的話,請。
136.954	155.507	積可牧矣的人有福了,因為他們必得飽足。連續人的人有福了,因為他們必蒙連續。親信的人有福了,因為他們必得見神。使人和睦的人有福了,因為他們必稱為神的兒子。
156.067	175.39	為義受逼迫的人有福了,因為天國是他們的。人若因我辱罵你們,逼迫你們,捏造各樣壞話毀謗你們,你們就有福了。應當歡喜快樂,因為你們在天上的賞賜是大的,
175.811	191.428	在你們以前的先知人也是這樣逼迫他們。我們讀到這邊。這段經文我想是很多基督徒都很熟悉的。我們基督徒常常講說這是什麼?八福,或者是登山寶訓。
