start	end	text
0.009	1.609	四十五到四十七節。
1.609	7.111	我要講的題目叫做戰勝自己危機與轉機。
7.111	10.952	薩默爾記上第十七章第四十五到四十七節。
10.952	14.193	其實是十六章十七章我大概一起看的。
14.193	19.534	請聽我來讀薩默爾記上十七章四十五到四十七節。
19.534	24.336	我要分享的題目是戰勝自己危機與轉機。
24.336	25.016	請聽我來讀。
26.084	29.765	大衛對非利斯人說:「你來攻擊我,是靠著刀槍和銅棘。
29.765	37.829	我來攻擊你,是靠著萬軍之耶和華的名,就是你所怒罵帶領以色列軍隊的神。
37.829	61.485	今日耶和華必將你交在我手裡, 我必殺你、斬你的頭﹔又將菲律斯軍兵的屍首﹔給空中的飛鳥﹔地上的野獸吃﹔使普天下的人都知道﹔以色列中有神﹔又使這眾人知道﹔耶和華使人得勝﹔不是用刀、用槍﹔因為征戰的勝敗﹔全在乎耶和華﹔祂必將你們交在我們手裡。
62.125	66.307	哥利亞是一個危機,它也是一個轉機。
66.307	73.752	所以當這個巨人哥利亞走上戰場,向以色列來罵陣的時候,對撒羅來講是一個危機,所以他躲起來。
73.752	78.935	對以色列士兵也是個危機,所以他們驚慌,他們恐懼,他們躲起來。
78.935	82.177	但是同時間,對大衛卻是一個生命中的轉機。
82.517	90.902	因為大衛就是因為有這樣一個機會,他的人生可以從此有一個翻轉,開始站上整個以色列歷史的舞台。
90.902	97.586	那麼在我們人生中心裡面,其實也隨時都有可能有哥利亞這個巨人,站上我們人生的舞台。
98.046	102.288	我們的人生其實是一場征戰,一場又一場的征戰。
102.288	109.131	那麼當危機來臨的時候,其實我們可能像掃羅一樣,被懼怕所控制,被恐懼所控制。
109.131	112.853	我們不想面對,我們不想去回應,我們只想要躲起來。
112.853	120.756	但是我們也可以像大衛一樣,把這一個危機當作我們生命中的轉機,那是我們人生中的轉捩點。
120.756	125.599	那麼我們怎麼樣可以 讓危機可以成為我們生命中的轉機呢?
125.599	155.097	我覺得好像大衛一樣在大衛要戰勝哥利亞之前我覺得他必須要先戰勝自己在五方面的挑戰所以我覺得如果你要面對危機你首先你要戰勝的是你自己如果你能夠戰勝你自己你就有一個能力你可以讓生命中的危機變成你人生中的轉機大衛要戰勝自己五方面 我想第一個方面﹐大衛必須要先勝過﹐勝過人們對你的看法。
155.097	183.232	有看到大衛其實從小﹐他是一個被忽略的人﹐所以當薩默領受一個使命﹐他來到耶穌的家裡﹐他要高以色列新的王﹐神已經離棄了掃羅﹐要拣選一個新的王﹐他來到耶穌的家裡﹐一二三四五六七﹐耶穌有七個孩子通通都出來了﹐他第一個看到的是以利亞﹐他覺得這個人﹐ 是這樣的英俊,是這樣的高大,所以撒末爾認為必定是他了。
183.232	186.274	撒末爾也喜歡他,但神怎麼對他說呢?
186.274	194.782	不要看他的外貌和他身材高大,我不拣選他,因為耶和華不像人看人,人是看外貌,耶和華是看內心的。
195.333	198.838	問了半天,一、二、三、四、五、六、七都沒有。
198.838	201.421	撒末爾開始覺得說,那到底是誰呢?
201.421	204.746	所以他問耶穌說,耶穌,你們家還沒有孩子。
204.746	220.100	耶穌這時候才講說,還有一個老爸,剛好在外面放羊,但是 但是薩默爾就覺得很氣,就問他說,如果這個人不出現在我的面前,那麼今天這個事就沒辦法了結了,所以趕快匆忙把大衛叫過來。
220.100	235.551	可是你想,如果你是大衛,你今天在外面放羊,你沒有回家,家裡有這麼重大的一個事情,這麼重大的一個會議,薩默爾來到他們中間,今天如果行政院院長來到你們家, 很不舒服。
250.282	261.185	你可能覺得說,這麼重要一個聚會,不是大家聚在一起吃火鍋,是薩默爾來到我們的家庭裡面,他是完全被忽略的。
261.185	267.126	也就是說,他的父親是不看好他的,他的兄長們是不看好他的。
267.126	274.948	所以讓我們人生中裡面,其實別人對我們的看法,其實往往會影響到我們的一生。
274.948	278.849	那麼我覺得薩默爾,大衛第一個要戰勝的是什麼?
279.189	281.251	就是別人對自己的看法。
281.251	286.915	弟兄姊妹們,我們不要因為人的看法,失去了我們對上帝的信心。
286.915	288.296	阿們!
288.296	300.305	特別是我們的父母,我們的家人,有的時候他們有對我們的看法,可能是因為你的排行,可能是因為你的外貌,可能是因為你從小的表現,人們對你有很多很多不同的看法。
300.845	307.046	在我信主以前﹐我的父母一樣﹐對我的看法就是﹐能夠生存就不錯了。
307.046	325.509	在我從小到大的裏面﹐不管是因為外貌﹐或者很多的原因﹐其實整個我們家鄉裏面﹐其實就認為說﹐從小不看好我的﹐就是說考試能夠考上就好了﹐緊緊的就就好了﹐偶爾能夠活得下去﹐能夠娶到老婆已經很不錯了。
325.509	327.410	但是我信主了﹐感謝在美主﹐阿們!
328.370	330.711	但是我這28歲的時候我信主了。
330.711	332.773	他們認為說那你信主又如何。
332.773	334.494	但是我覺得我信主了。
334.494	335.955	我擁抱神的夢想。
335.955	339.177	我覺得不再是人們對我的看法是重要的。
339.177	341.278	重要的是神是看內心的神。
341.278	342.479	阿們。
342.479	344.380	神對我們有一個新的看法。
344.380	348.103	神對每一個基督徒在你的人生有一個新的看法跟新的夢想。
348.103	349.423	如果你是基督徒的話。
349.423	350.764	哈利路亞。
350.764	353.126	所以我們要戰勝別人對我們一些的看法。
353.626	356.907	我們也需要戰勝一些權柄對我們的看法。
356.907	365.131	你看到大衛他很興奮,他說,怎麼沒有人敢去跟這個哥利亞對決呢?
365.131	366.892	大家都怕得要命。
366.892	372.735	大衛覺得很納悶,他就一直問說,誰如果殺了這個哥利亞,會有什麼獎賞呢?
372.735	379.018	大家就跟他講說,王的女兒要嫁給你,你當年可以免稅,諸如此類的。
379.018	381.759	他到處問,到處問,到處問,少羅聽見了。
382.159	391.787	就把這個年輕人找來,一看這個年輕人,他說,哎呀,大衛,你太年輕,你是沒有受過訓練的,哥利亞是從小作戰士的。
391.787	394.329	其實,撒羅辛也是輕視他的。
394.329	402.876	那麼,很多時候我們的權柄也是一樣,我們成長的過程裡中間,有時候我們的權柄對我們的看法,也會限制我們對神的夢想。
403.456	411.362	我剛剛開始服事的時候,其實我對這個不被看好的感覺,我的印象是非常深刻,從小到大。
411.362	414.024	包括我開始幕會的時候也是一樣。
414.024	419.227	他們說,哎呀,你看,振華什麼都好,就是太瘦了一點。
419.227	425.432	君子不重則不威,所以呢,不夠重,所以講臺信服力可能也不太夠。
425.432	429.575	你看,如果你剛剛純選一畢業,大家對你的評語就是這個樣子。
429.855	442.562	那麼,其實這些都是有一些學者專家對你的看法,但是在我裡面,我相信一件事情,不管你是高矮胖瘦,是黑是白,神的話語是有分量的,阿們!
442.562	456.530	我們的信心不要建立在別人對我們的看法上面,我們的信心要建立在神話語本身的大能的上面,所以我覺得說那是你們的看法,我相信我只要忠實的傳講神的話,神的話語,福音本是神的大能,阿們!
457.841	461.003	那麼撒旦對我們有很多的看法。
461.003	466.967	你看到戈利亞,戈利亞看到那個大會的時候,就覺得很好笑,你知道嗎?
466.967	479.815	戴著一根棍子,攤著牧人的一個裝扮,既沒有打綁腿,也沒有S腰帶,也沒有全副武裝,也沒有戴鋼盔,就這樣來到戰場咚咚咚,當時是郊遊嗎?
479.815	480.515	是這邊?
480.515	481.156	是打狗嗎?
481.476	487.940	所以他對他嘲笑,說我要把你的肉給天上的鳥吃,給地上的野獸吃。
487.940	499.548	你知道,對很多的嘲笑,哎呀,你是不可能的啦,哎呀,你沒有受過訓練啦,哎呀,你看你什麼學校畢業的,哎呀,你看你長的這個樣子,哎呀,你看你根本都沒有肌肉。
499.548	507.654	總而言之,撒旦很多的嘲笑,你不會成功的,你會死得很慘的,你會完蛋的,你會被吞噬的。
507.654	514.338	但是我們都可以拒絕這些看法, 我們每一個人都有一個偉大的使命。
514.338	516.498	我們要使萬民做主的門徒。
538.848	540.829	神使用每一個基督徒。
540.829	542.591	所以你要擁抱神的夢想。
542.591	546.233	你要相信神可以藉著你祝福萬國跟萬民。
546.233	548.515	你要相信福音本是神的大能。
