start	end	text
0.009	18.364	翻開聖經,我要請各位翻開啟示錄。啟示錄的第二章,我們今天要從啟示錄第二章的第十二節到第十七節,我們要一起來思想一個很重要的一個信息。啟示錄第二章十二到十七節,
19.582	47.413	第二章12到17節,如果您沒有帶聖經的,不要客氣在您的座位上舉一下你的手,我們的招待同工會拿給您。好,我們前面這邊需要,前面這邊需要。好,第二章12到17節,如果旁邊有弟兄姊妹還沒有翻到,請你不要客氣,你可以幫她翻一下,在聖經的最後的一卷書,啟示入二章12到17節。我們要一起從第12節唸到第17節。
48.968	67.83	好,都翻到的話,你就可以看我一下。好,我們就一起來念,第十二節,預備,請。你要寫信給別加摩教會的使者說,那由兩任利劍的說,我知道你的居所就是有撒旦坐位之處,
68.251	83.283	當我忠心的見證人安提帕在你們中間,撒旦所住的地方被殺之時,你還堅守我的名,沒有棄絕我的道。然而,有幾件事我要責備你,
83.763	98.514	因為在你那裡有人服從了巴蘭的教訓。這巴蘭曾教導巴勒將絆腳石放在以色列人面前,叫他們吃祭偶像之物,行姦淫的事。
99.275	102.057	聖靈向眾教會所說的話,
115.845	119.627	我們再把第17節念一次第17節聖靈預備 請
153.763	171.75	我們唸到這裡,我們一起來禱告。主,我們一起在禰的面前,我們今天要來思想,啟示錄第二章,十二到十七節,這一段你給別加摩教會的信息。主,你帶領我們丹江教會的弟兄姊妹,每一個人回到那個場景當中,領受
172.466	201.404	禰給別加摩教會的信息﹐而我們在今天﹐聽聞禰自己的話語﹐而在我們的實際生活當中加以應用。讓我們每一個人﹐我們的生命﹐我們每一個人的心裡﹐好像一片好土。主禰灑了道在我們的生命當中﹐就要結實30倍﹐60倍﹐100倍。願每一個人都聽聞主的聲音﹐每一個人都成為﹐這啟示錄當中所說的﹐得勝的人。謝謝主與我們同在﹐我們這樣感謝禱告奉﹐
201.664	223.44	耶穌基督的名 阿們今天就要從啟示錄的第二章的第12節到第17節我們來思想一個很重要的一個題目叫做堅守主的道或者說仍然堅守主的道剛才我們從12節到第17節當中讀了這一段經文這段經文其實並不長可是在這當中提到一段很重要很重要的信息
223.78	248.726	在一個好像困難的一個環境當中,我們都需要在主的面前,因著主的話,主的道理在我們的身上,而我們領受主的話語,以至於我們在所面對的這個世上,會有很多的挑戰,會有很多的試探,甚至會有很多的難處。但是面對這些挑戰,面對這些試探,面對這些難處的時候,仍然在主的面前,堅守主的道。
249.872	274.23	有一次我的太太在跟我開玩笑一件事情,就是有一次我們去被一個牧師服侍,然後他就為我禱告,然後其實我們過去其實並不認識,然後他就特別為我禱告,在那個禱告當中,我太太就一直透過他的禱告來提醒我的一件事情,那個牧師為我禱告,就說你很強壯,
274.991	304.264	我說 我知道你很強壯你眼睛看到了我本來就滿強壯的而且我也覺得我很強壯祂說 我說的不是那個強壯就是什麼眼睛所看的那個強壯祂要談的是什麼祂說 我覺得你的靈裡面很強壯我覺得透過這件事情我覺得好像上帝在激勵我在鼓勵我特別在我靈裡面我需要在主的面前剛強還要再剛強我太太一直在談我這件事情她就覺得很有趣 因為
305.196	323.829	當她嫁給我之後,我就有機會就帶她回我的老家去。回我的老家去,我家住在金門的一個算是比較高的一個地方,除了金門的那個你們最有名的那個勿忘再舉的那個山。然後我住的地方其實是一個蠻高的一個地方。
324.309	343.791	因為那個地方有多高呢?因為那個最高的地方要來設立,不是雷達,設立什麼?水塔。因為它沒有辦法加壓,所以一定要在全鎮最高的地方設立一個水塔。我們家就在水塔的旁邊。所以以前我站在我們家的樓頂,我是可以看到什麼?
344.565	352.533	繁體中文，臺灣國語。繁體中文，臺灣國語。繁體中文，臺灣國語。繁體中文，臺灣國語。
365.247	392.272	標語,那個標語都用水泥怎麼樣做的,那個標語呢,我後來才去好好的去回想那個水塔上面寫什麼,你們可能也看過,那個水塔上面寫的是,處變不驚,然後呢,莊敬自強,然後呢,慎謀能斷,然後呢,另外四個字我忘記了,OK,那是我每天上下課一定要經過的地方,他說,我的生命好像被那個,
392.892	416.08	上面的那個標語所影響,所以我在跟他相處的時候,總是什麼樣?處變不驚,莊敬自強,慎謀能斷。OK,所以他覺得跟我怎麼樣?滿合適的。我今天就要跟各位談一件很重要的事,從我這樣子的一個,好像他對我的觀察裡面,我在談其實我們每一個人基督徒,我們的生命裡面,
416.34	441.907	我們在面對這個多變的時代,在面對這個充滿挑戰的世界裡面,我們好像在主的面前,我們也需要有一個好像那種穩妥,有的那樣子的一個安全。其實為什麼要寫那些標語,你知道嗎?因為那是一個很危險的地方,簡單來講。懂我的意思嗎?如果你要再有一次的823砲戰要打,打哪裡?
443.217	456.93	就是打那個水塔嘛 對不對我的意思指的是什麼為什麼我們常常要寫這些東西來激勵自己原因是因為我們知道那個地方我們其實是有一些的危機的
457.688	478.147	而今天在這當中,上帝透過約翰寫啟示錄給別加摩教會,要提醒別加摩教會,正視別加摩教會的軟弱。當我們剛才唸到第12節,你們再看一下聖經,第12節祂說,你要寫信給別加摩教會的使者,說那由兩任立見的說,那由兩任立見的是誰?
