start	end	text
0.029	18.182	再次的鼓勵弟兄姊妹若是你們家有年輕的人年輕人若是可以的話若是可以的話也去參與在這一次的一個服事裡面那如果你不放心你就交給松木師讓他帶下去那這一次的歌仔戲呢8月29號我們除了有DM之外後面呢
18.422	22.845	繁體中文，臺灣國語。繁體中文，臺灣國語。繁體中文，臺灣國語。
37.056	63.805	這次的大型的歌仔戲,我們也會在現場有募款。現場也會有募款。所有募到的錢,一半到1919,另外一半是到原住民的部落。好,我們先來,我們還有有限的時間,我們來看幾段的經文。若是你沒有聖經的話,請你趕快舉個手。我們請後面服侍的同工,把聖經發給你。若是你有聖經的話,請你跟我一起翻開,到以賽亞書的第54章。以賽亞書的第54章。
75.862	93.264	這邊前面還需要有聖經。女王姊妹我時間不多。我盡量在二十分鐘。那因為今天有很多的事情要報告。那但是我還是一定要把這個信息講一下。今天所要講的主題是突破的門徒。是突破的門徒。我想要分享一系列的信息跟突破有關係。
93.524	122.583	我們一起來看以賽亞書第54章我們繼續來看這段的經節是我們非常熟悉的經節第54章的第二節到第三節找到的呢54章第二節到第三節找到的呢我們要一起開口來念而且等一下我們要一起來宣告親愛的弟兄姊妹再一次這是神的話語所以當你在唸神的話語的時候請你大聲來念以賽亞書第54章第二節到第三節一起來要擴張你的目之地長大
123.063	127.209	繁體中文，臺灣國語。繁體中文，
141.323	164.464	好,請你把手放在你的心上,按在你身上。所有這邊的你字,請你宣告成為我,好不好。宣告成為我,每一個你都把它變成我。我們一起來宣告,第二節一起來。要擴張我帳幕之地,要張大我居所的幔子,不要限制,要放長我的繩子,
164.804	175.528	好,把手伸出來,我們要祝福這個教會,所有的你呢,就改成淡江教會,一起來。
183.831	206.651	要擴張淡江教會帳目之地。張大淡江教會居所的脈子。不要限制。要放長淡江教會的繩子。兼顧淡江教會的崛起。因為淡江教會要向左向右開展淡江教會的後裔。
207.312	234.828	必得多國為業,又使荒涼的城邑有人居住。阿們。好,我們再看一段的經文,是在馬可福音。馬可福音的第十四章,我們來看一段的故事。馬可福音的第十四章,我們來看第三節到第九節。
235.794	256.494	這是很熟悉的經文,但是我再念一遍,馬可福音第四章第三節到第九節,我來念給各位聽,請你仔細的跟著,跟著那些經文。耶穌在伯大尼長大麻瘋的西門家裡,坐席的時候,有一個女人拿著一玉瓶至貴的珍拿達香膏來,
257.483	281.6	打破玉瓶,把膏交在耶穌的頭上。有幾個人心中很不喜悅,說,何用這樣枉費香膏呢?這香膏可以賣三十多兩銀子,洲際窮人,他們就向那女人生氣。耶穌說,由她吧,為什麼難為她呢?她在我身上做的是一件
281.92	309.504	美式。因為常有窮人和你們同在,要向他們行善,隨時都可以。只是你們不常有我,我所做的是盡他所做的是盡他所能的。他是要為我安葬的事,把香膏御仙交在我身上。我實在告訴你們,普天之下,無論在什麼地方傳這福音,也要訴說這女人所做的。
310.128	322.075	以為紀念。好,再看一段的經文在哥林多後書第四章哥林多後書的第四章
322.961	349.751	第七節到第十五節。哥林多後書第四章第七節到第十五節。這也是請各位來聽就好。我來念給各位聽。哥林多後書第四章第七節這邊說,我們有這寶貝放在瓦器裡,要顯明這莫大的能力是出於神,不是出於我們。我們四面受敵,卻不被困住。心裡作難,卻不致失望。
350.111	378.862	遭逼迫,卻不被丟棄。打倒了,卻不致死亡。身上常帶著耶穌的死,使耶穌的身也顯明在我們身上。因為我們這活著的人,是常為耶穌被澆於死地,使耶穌的身在我們這必死的身上顯明出來。這樣看來,死在我們身上發動,身卻在你們身上發動。但我們既有信心,
379.002	407.643	正如經上記著說﹖我們因信﹖所以如此說話﹖我們也信﹖所以也說話﹖自己知道﹖那叫主耶穌復活的﹖也必叫我們與耶穌一同復活﹖並且叫我們與你們一同﹖站在祂面前﹖凡事都是為你們好﹖好叫恩惠因人多﹖越發加增﹖感謝格外顯多﹖以致榮耀歸與神﹖
408.063	426.888	弟兄姊妹這邊告訴我們說,保羅說什麼呢?他說有寶貝是放在哪裡呢?瓦器的裡面。弟兄姊妹,不知道你是否明白,耶穌基督就是那個寶貝。耶穌基督祂就住在我們的裡面。我們這個人的身上就如是一個瓦器一般,但是神的寶貝
427.108	450.787	就是祂的兒子耶穌基督,祂不在別的地方,祂不是坐在高高的天上,祂乃是在我們的裡面,這個寶貝在我們裡面,你知道你無論走到哪裡,神祂都與你同在,因為耶穌基督是那以馬內地的神。弟兄姊妹我再講一遍,我們的主,我們的神,當祂將聖靈的才派來到我們當中,住在我們裡面的時候,祂就應許我們,
450.947	478.296	祂永遠不會撇下我們如同孤兒一般。無論我們到哪裡,祂都是與我們同在的主。阿們。弟兄姊妹,你絕對不要小看你自己。如果你是受盡歸入基督的名下的,你就要明白說,在你的身上,你攜帶的耶穌基督在我們的裡面,所以有復活的大能呢,也是同樣的在我裡面。阿們。所以我們雖然遇到各式各樣的困難,甚至遇到各式各樣的難處,保羅說呢,
478.916	487.52	我們都是把自己交在死地的。或者是說我們把自己都交在神的手中。我們是不顧念自己的。
498.404	516.108	當我們越多把自己交在神的手中的時候,那個生命的能力就越多的發動在別人的身上。保羅說因為他深信那個叫耶穌從死裡復活的,也可以叫我們這個說不定我們要死亡,我們也可以從死裡面復活。這是我們裡面有的盼望。
