start	end	text
2.602	13.398	好,如果你有聖經的話,請你跟我一起翻開到以賽亞書的第54章。如果你沒聖經,請你舉個手,請後面的同工盡快的把它傳到眾弟兄姊妹的手中。
22.483	42.166	以賽亞書第54章,我們今天人就要來看的主題,延續上個禮拜所分享的,就是突破的信徒,一個突破的門徒所應該有的幾件事情。我們來看看以賽亞書第54章。這邊前面還有舉手的,麻煩你們傳一下。以賽亞書第54章。
42.756	59.237	我們要來看第54章的第二節到第三節。以賽亞書第54章的第二節到第三節。同樣的找到的我們要一起大聲來念。弟兄姊妹我們找到要一起大聲來念。然後我們要念幾次。
59.718	81.56	第二節到第三節一起來,五十四章二到三一起來。要擴張你帳幕之地,張大女居所的幔子,不要限制,要放長你的繩子,兼顧你的爵子,因為你要向左向右開展,你的後裔必得多國為業,
81.92	90.249	又使荒涼的誠意有人居住。弟兄姊妹請你注意,當我們在讀神的話語的時候,你不是隻是用眼睛看,
90.879	120.192	非常重要的是,我們需要把神的話宣告出來。因為神的話呢,句句都帶著極大的能力。阿門。所以當你把它宣告出來的時候,你的靈呢,也跟上去。而且你還會聽見你自己的話語。你不只眼睛看,你嘴巴說,你耳朵也聽見。你整個人都要參與在其中。這是非常重要的。我認為這是神給我們極大的一個應許。有許多的神的僕人來到我們當中,都給我們這一句話。所以呢,這一次第二次,同樣的。
120.452	143.488	我們再一次來宣告好不好。你在讀的時候不是隻是早上每一次黃牧師都叫我們念聖經。不是。你要來宣告好不好。這次把所有的你改成什麼呢?我。好不好。你要為你自己來宣告。而且你要滿心的歡喜相信神要做這樣的工作在我的身上。阿們。好。第二節一起來。一起來我。你變成我。一起來。
143.968	155.035	繁體中文，臺灣國語。繁體中文，臺灣國語。繁體中文，臺灣國語。
161.92	188.921	多國為業。又使荒涼的誠意有人居住。感謝主再一次。這一次為淡江教會來宣告好不好。把所有的你變成淡江教會。請你大聲一起來好不好。第二節一起來。要擴張淡江教會。葬墓之地。張大淡江教會居所的脈子。不要限制。要放長淡江教會的繩子。
189.241	218.557	兼顧淡江教會的抉擇。因為淡江教會要向左向右開展。淡江教會的後裔必得多國為業。又使荒涼的誠意有人居住。阿們。我們再看。約翰一書第一章第九節。約翰一書第一章第九節。
229.957	256.56	約翰一書第一章第九節找到的,我們一起同聲來念。第一章第九節,第九節一起來。我們若認自己的罪,神是信實的,是公義的,必要赦免我們的罪,洗淨我們一切的不義。再一次,我們若認自己的罪,神是信實的,是公義的,必要赦免我們的罪,洗淨我們的不義。
257.688	278.369	我們一起禱告。愛我們的父神ﷺ主當我們今天早上ﷺ來到主禰的面前打開禰的話語ﷺ懇求主禰親自打開我們的心ﷺ主啊預備我們的心成為好土ﷺ主來領受禰的話語ﷺ可以結果值一百倍ﷺ六十倍ﷺ三十倍ﷺ主啊我們懇求主禰那真理的聖靈ﷺ今天早上運行在我們當中ﷺ
278.609	305.514	主我們需要禰。我們每一個人都渴慕聽見主禰的聲音。懇求主禰透過真理的聖靈今天對我們的靈的深處說一句兩句的話。讓我們的靈魂得以甦醒。主啊禰的話就是我們的生命就是靈。喔主啊我們在禰面前禱告要同心合一的奉主耶穌基督的聖名來抵擋魔鬼撒旦。那一切攬主人聽見主禰話語的都要奉耶穌的名離開這個地方。
305.794	330.693	噢,主啊,禰釋放禰的百姓,讓我們都是靈裡面活潑的願意聽見禰的話語,懇求聖靈恩高那說的跟聽的。謝謝主與我們同在,我們這樣禱告是奉主耶穌基督的聖名。阿們。弟兄姊妹,你剛剛在以賽亞書第54章那邊就講到說,神祂是樂意要擴張我們的。上一次呢,我就花時間在跟各位來分享,神不是不願意賜福給我們,
330.913	347.226	神不是不願意幫助我們,但是親愛的弟兄姊妹,你一定要明白,我接續上個禮拜繼續來講,神祂在我們身上有一個非常重要的一個工作,祂就是要磨塑我們,祂要來雕塑我們,讓我們這個人越來越像祂的兒子,
347.346	375.496	耶穌基督。親愛的弟兄姊妹,我們每一個人,都是按照神的形象和樣式所創造的。但是呢,當我們犯了罪的時候,我們真的這個人就受了虧損。弟兄姊妹,當我們一個人重生得救的時候,弟兄姊妹,一個人得救成為一個基督徒,不是說他現在可以領受很多的一個恩典,可以領受許多的一個祝福。弟兄姊妹,我們常常認為就說相信耶穌,就不會有一切,就不會有問題。
375.776	404.123	其實這不是事實,這是一個迷信。親愛的弟兄姊妹,主耶穌清楚告訴我們說,在地上我們是有苦難的。你不能講說因為我浸在水裡起來之後,我受洗成為耶穌基督的門徒之後,我就沒有任何的一個苦難。不是這個樣子的,親愛的弟兄姊妹。神祂樂意幫助我們,神祂是我們的磐石,祂是我們的高債,祂是我們可以依靠的,祂也是我們的避難所,這一些都是正確的。
404.343	421.174	所以很多人講說,神啊,為什麼你不賜福我?神啊,你為什麼不幫助我?容許我來跟你解釋一下。弟兄姊妹,神祂要先工作在我們的裡面。現在弟兄姊妹,神祂有一個旨意,這個旨意是永恆的一個旨意,是不會改變的。
421.374	444.646	弟兄姊妹,神祂不是要把我們寵壞。神祂不是隻是要讓我們很蒙福而已。神祂認為說最蒙福的一件事情,就是我們這一個人,聽好,弟兄姊妹,我們這一個人呢,越來越像祂的兒子,耶穌基督。但是弟兄姊妹,我們這個人呢,尤其年紀越來越大的時候,我們已經有一個固定生活的模式。
445.316	458.428	我們有一定的固定的思想。雖然黃牧師每一個主日,不是每一個主日,常常在主日裡面,大聲疾呼的告訴你神的話語。但是許多的時候,我們僅僅抓住的是我們自己的思想。
458.968	480.17	我們習以為常，或者是祂幫助我們在人生的境界裡面，幫助我們許多的這些的困難，我們已經有一個固定的想法，跟行為模式。但是弟兄姊妹，神一直要告訴我們說，不要效法這個世界，不要效法這個世界，乃要心意跟心而變化。弟兄姊妹，一個人要突破。
480.691	504.174	一個人要有改變。你不希望繼續停留在你目前這樣子的一個狀況的時候。弟兄姊妹你一定要心意而更新。你怎麼樣心意更新呢?你一定要有神的話語。神的話語句句都帶著能力。弟兄姊妹你千萬不要小看你每個禮拜天來到這個地方聽牧者在這邊跟你講道。弟兄姊妹牧者講道不是要教訓你。
504.582	533.569	牧者的講道是要宣告神的話語。把那個神的那個能力釋放在每一個人弟兄姊妹你的生命裡面。很多人講說你禮拜天來的時候我每個禮拜天來好像再一次的充電。這是沒有錯的。這個是沒有錯的。因為當你來的時候你一個敞開的心你可以得著那個恩膏。你可以得著那個話語。只是不要只有禮拜天而已。你每一天都可以來領受的阿門。弟兄姊妹因為呢信道或者是說每一個人的信心呢是從聽道來的。
534.258	548.717	每一根信心是從聽道來的。什麼意思呢?當神的話語被傳講的時候,那個信心會在你裡面發展,那個信心會在你裡面發動著,這關係到你跟我的。所以弟兄姊妹,你一定要明白神的心意,
549.258	564.987	不是隻是要賜福給我們,神是希望改變我們,魔朔我們。你會發現說有一些人為什麼同樣是基督徒,同樣都在這個教會,同樣一個牧師,同樣的一個訓練,為什麼有人他生命中好像一直在突破?
565.247	594.459	有些人好像在原地踏步,就是不明白,為什麼我的環境這樣一個艱難,為什麼我總是不能往前。弟兄姊妹,這是為什麼我要分享,一個突破門徒的生活。弟兄姊妹,神祂期待你跟我要有突破,但是突破一定要付上代價的。我再講一遍,很多人認為說,我生命要改變。神啊,你要我改的話,你就幫助我吧,你就讓我自己改吧。
595.282	610.589	神啊,如果你要給我的話,你自己把它丟在我的腳上吧。弟兄姊妹,不是這個樣子的。神不是要你做一個被動的,像一個娃娃或是一個木偶,讓他來調度你,不是的。神要你定義起來配合他。
611.51	633.318	神要你定義起來,簡選它。神要你相信說祂的話語,我願意要改變,而且我積極的參與在其中。弟兄姊妹,你是否聽得懂我在講什麼呢?神祂要得著一個是一個成熟的一個孩子。神祂要得著是一個孩子,越來越像祂的兒子,耶穌基督。但是我們這個人實在是不像。
634.206	661.832	所以神要雕塑我們,神要磨塑我們的時候,弟兄姊妹,那個過程呢,非常不令人喜悅的。那個過程呢,讓人家常常是覺得非常不舒服的。弟兄姊妹,你覺得黃牧師牙齒還好嗎?還可以啦,沒有歪來歪去的。你知道為什麼是這個樣子嗎?因為我在大概十四歲的時候,還是十五歲的時候,去做過牙齒的矯正。
662.841	692.259	因為那時候我在美國。那牙齒矯正,非常非常的流行。幾乎呢,那時候在學校上課的時候,每個人打開都是大鋼牙。嘿嘿,你好。每個都大鋼牙。哎呀,弟兄姊妹,第一次呢,那時候我不明白,我父母親非常愛我說,他說,兒子啊,你長得這麼好,就是你那個牙齒,實在是有點抱歉。是不是去把它,稍微去把它矯正一下。弟兄姊妹,我不明白,其實我也不喜歡人家碰我的牙齒。我最害怕的就是,
692.619	719.534	這個牙醫所以以寬弟兄所以我看到他的時候真的是成了一個敬畏的心他等一下哪一天不高興把我牙齒拔掉那不得了的一件事情弟兄姊妹我那時候為了要矯正牙齒要把牙齒弄得整齊要先拔掉四顆好的牙齒為什麼呢因為他那個位置空間不夠所以你要牙齒排列不整齊的話你要先拔掉四顆弟兄姊妹好好的牙齒啊
720.367	742.026	真的是,我為那些牙齒感到難過。真的好好信念那些四顆牙齒。真的是,真的是,老虎拳拿著,直接拉,這四顆牙齒拔掉,拔掉還不算,就給你上那個鋼絲,每一天都上,你一上起來的時候,就非常非常的,就是酸啊,怎麼講,它整天緊繃著,然後每一天睡覺呢,
742.534	771.25	那時候我晚上睡覺千萬不要來找我。因為你看到我你會嚇一跳以為是那個外星人來的。因為他綁了整個頭箍啊。把牙齒都拉橡皮筋這樣子拉了這樣子什麼左邊拉過來右邊拉過來整個往後拉。為什麼呢?就是要把牙齒拉平。真的是不舒服啊。而且嘴唇啊舌頭跟那些牙齒都會打架。一下這個牙齒去流血去勾到。那時候我又在練空手道。
772.039	797.176	常常都要比賽練空手道,然後就有朋友來嚇我,就跟我講說,他說,郭倫你知道一件事情嗎?戴這個牙齒矯正最不好的一件事情就是在打空手道,如果人家打到你,通常一個人牙齒被打到可能掉一顆,你的情況一打的話,整排會掉下來。害我帶了這個極大的一個恐懼,每次在比賽的時候,你打我肚子都沒關係,怎麼樣之後不給你打到我的臉,哈哈哈哈。
798.933	806.863	跟娃娃講了一件事情就是說,你要調整一個東西的時候,很多的事物,只有牙齒而已,要調整呢?
807.381	834.43	都要付上極大的代價。我好像用了兩年多的一個時間,才把牙齒呢,把它整好。整好之後,不是後面還要繼續做那個矯正的那個工作,直到最後呢,可以不用再繼續矯正了。弟兄姊妹,你一定要明白,神祂第一件事情,要工作在你在我生命上,就是要矯正我們這個人。祂要磨練我們這個人,要磨碩我們這個人。所以弟兄姊妹,你不要認為說那個過程是快樂的。
835.23	850.045	所以在那不快樂的時候,你常常問說,神啊,為什麼你不喜歡我?神啊,你為什麼不聽我的禱告?但是我們不知道,神希望我們要怎麼樣子呢?成長。我再講,上個禮拜沒有多少時間,我這個禮拜再多講一點點。弟兄姊妹,
851.015	865.096	上次我們講到說有一個女人她拿了一個珍拿達香膏一個玉瓶裡面充滿了香膏她把它打碎在耶穌的面前把香膏拿出來然後膏在耶穌的身上
865.623	882.917	弟兄姊妹,那講到說一個香膏,它是放在一個玉瓶裡面。保羅也講說呢,我們有寶貝放在什麼呢?瓦器裡面。但是呢,裡面的寶貝,或者是那個香膏要能流出來,這個瓦器,或者這個承接的這個容器,一定要打破它。
883.677	913.017	弟兄姊妹,我們非常保護我們自己的。我們非常小心我們自己的。我們不喜歡神工作在我們的裡面,怕我們被破碎。但是弟兄姊妹,你一定要明白,神最想做的一件事情,就是破碎你這個人。一個人不被神破碎,這個人的生命沒有多大的香氣。一個人不被神破碎,這個人沒有多大的一個功用。而神的制度有點像小學的制度。
913.985	940.073	神常常給我們功課的。你上完一年級,才能上二年級。二年級上完之後才能上三年級。但是很多人在第一年的時候,在上初階的時候,神開始做調整的時候,他就在那邊跟神拉扯,神我跟妳拼命,我怎麼樣子都不願意妳碰到我裡面,妳不要搞我夢,妳不要再來啊。所以他不斷的停留,都是在一年級的。
