start	end	text
0.009	6.698	謝謝讚美主,我們在這一系列裡面都要來探討一個主題,就是一個突破的門徒。
6.698	12.637	親愛的弟兄姊妹,神呼召我們是成為門徒的, 門徒就是來跟隨主的。
12.637	13.577	你說是的嗎?
13.577	15.018	每一個人都要成為門徒。
15.018	16.099	我們說是的。
16.099	24.025	在丹江教會裡面,我們深深的相信,神告訴我們說要去使萬民都來做我的門徒。
24.025	29.589	親愛的弟兄姊妹,神告訴我們說要奉聖父、聖子、聖靈的名為他們施洗。
29.589	33.352	所有施洗的人,都是要成為門徒。
33.352	37.814	門徒最基本的一個定義, 就是來跟隨祂的一個意思。
37.814	47.420	親愛的弟兄姊妹,我們整個一個信仰,它不是教條,它不是只是一些的教訓跟原則,好讓我們去跟隨,好讓我們去遵守。
47.420	65.918	親愛的弟兄姊妹,我們的信仰是來跟隨一個又真又活,是一個活著的主,所以成為一個門徒是天天需要來跟隨祂的,因為我們的主是活著的,因為我們的主是不斷往前的, 所以當我們來跟隨祂的時候,我們的生命就不斷的經歷、突破。
65.918	70.247	是的,很多人他可能覺得說他的生命都是一成不變的。
70.247	78.861	有些人不是不努力, 他非常的努力,他非常努力的工作,但是他好像都在原地的打盡,好像說沒有什麼樣的一個改變。
78.861	91.589	如果你的婚姻呢,現在有這個問題,你發現說到明年,你人就在爭吵同樣的一個問題的時候,你真的要講一件事情說,我的生命,我的婚姻需要有突破。
91.589	99.934	你的事業,你的教會,你知道有些教會,你今年看他是這個樣子, 十年之後你發現這個教會人就是這個樣子的時候。
99.934	103.215	你就知道這個教會實在是需要一個突破。
103.215	104.476	感謝讚美主。
104.476	108.918	你知道神在丹江教會有一個非常奇特的恩膏。
108.918	110.859	就是一個突破的恩膏。
110.859	112.920	親愛的弟兄姊妹今天就是一個突破。
113.080	118.262	教會滿了八週年,第九週年的時候,弟兄姊妹,我們要再次的往前去。
118.262	125.165	我們把教會分成兩堂,連昨天的青少年的那一堂合起來的話,總共是有三堂的一個聚會。
125.165	131.668	親愛的弟兄姊妹,而且我們到校園裡面去步道,我們到一些是人們沒有去的地方,我們就往前去。
131.668	135.010	你會發現來到這個教會,這個教會一直在往前。
135.230	137.011	這個教會是不一樣的。
137.011	139.933	並不是我們已經知道以後要做什麼的。
139.933	142.814	我們不是已經做好五年或十年的一個規劃。
142.814	143.655	不是的。
143.655	145.316	我們只是緊緊的來跟隨祂。
145.316	147.697	緊緊的來跟隨這位神。
147.697	151.519	因為你跟隨這位神,這個教會跟隨祂就會有突破。
151.519	152.900	但是弟兄姊妹,不夠的。
