start	end	text
0.009	24.262	第四章好一樣我們這弟兄來念單數節姊妹來念雙數節弟兄們我們時刻來了弟兄們還可以啦還可以好弟兄們預備好了弟兄單數節姊妹雙數節預備來祂是耶穌的聖靈祂光臨 所謂的聖壇祂安定成世十六年
36.715	58.222	經常記著說,人活著不是單靠食物,乃是靠神佛力所出的一切化。我們為教派祂進行聖誕,教祂站在盡頭上。為祂說,你若是神的兒子,可以靠上去。
67.483	89.008	耶穌對他說,經上又記著說,不可試探主,你的神。對他說,你若俯伏拜我,我就把這一切都賜給你。
98.951	125.701	於是,魔鬼離開了耶穌，有天使來伺候祂。好,我們經文讀到這裡。非常感謝弟兄姊妹的帶導。這個牧師上個禮拜因為受聖結石之苦。但是很感謝神,現在就慢慢的恢復了。但是因為吃那個藥,半夜都一直起來上廁所。所以這個禮拜晚上都沒什麼睡。比較辛苦是偉南牧師,因為上禮拜兩堂應該我講,我請他講。
125.981	139.398	這禮拜兩堂應該是我講,我第一堂請他講,然後他還帶敬拜,所以你們開始要為偉南牧師的身體禱告了。感謝主,今天想跟各位來分享一個主題叫做當人很好。
140.776	164.281	做人真好。就是當人類到底好不好。我們剛剛看到這個耶穌的三個試探。我想這段經文大家都非常的熟悉。但是我有一些最近的一些領受想跟各位來分享。就是到底當人好還是不好。有一句話叫做怎麼樣?人為財死,鳥為什麼?食亡。耶穌的第一個試探是什麼?
164.821	187.111	肚子餓嘛,在曠野怎麼樣,肚子餓。這是很真實的,很真實的一個試探。前一陣子呢,我在網站上看到有一個寫生比賽。我就看到我兒子有參加寫生比賽,我看他有沒有得獎。我就說恭喜你,爸爸看到你得到第二名。
187.671	211.164	然後他就說,第二名,那第一名是誰?我說第一名你也認識啊,是你的國小同學。然後我就把名字跟他講。他說,爸,其實我本來可以得第一名。我說,為什麼呢?我說,對啊,你去年不是得第一名。他說,因為那天我為了等我們另外兩個同學,國中的同學,要一起去,所以他們兩個人遲到了,所以我們去的時候怎麼樣,人家已經話很久了。
211.664	229.62	然後呢,我去了之後,因為我又沒吃早餐,所以我邊畫的時候怎麼樣,肚子就很餓,然後又沒帶錢。然後呢,就眼看著大家都畫得差不多,我就只好繼續畫,肚子很餓又沒帶錢。後來就有一個我國小同學,看到我就說,莊以樂,不要畫了,我請你去吃早餐。
233.558	250.247	人為財子,鳥為食王。所以我兒子怎麼樣?他就沒有畫完,就敲捲了。所以他得到第二名。那你知道誰得到第一名嗎?請他吃早餐那個人得到第一名。他不是故意的。
251.647	272.216	人為財死鳥為死亡就是你這種,又沒帶錢又肚子餓的。差那個幾分鐘把它花完你就生事。但是這個有時候真的,人肚子餓的時候怎麼樣?就沒辦法。一文錢怎麼樣?急死一名英雄。有時候人生也是這樣,很多實際上的一些困難。
273.234	290.049	我們看看這個經文,在那個時候第一節,當時耶穌被聖靈引導到曠野,受魔鬼的試探。耶穌在那個時候就進食四十個晝夜,後來肚子就餓了。
290.469	318.778	那試探人的是誰?魔鬼。就進前來試探耶穌ﷺ對他說ﷺ你若是神的兒子ﷺ可以吩咐這些石頭ﷺ變成食物。第三節ﷺ他那個若是的原文ﷺ耶穌ﷺ希臘文他是ﷺ最好不要翻若是ﷺ應該翻你既是ﷺ你既然是ﷺ就是不是假設是你確定。你既然是神的兒子ﷺ你就可以吩咐這些石頭怎麼樣ﷺ變成食物。
