start	end	text
0.265	11.475	在紐澤西零下七度的弟兄姊妹,他們在組裡的問候和關懷,帶到你們中間。
11.475	18.241	願你們平安。
18.241	22.545	請我們打開聖經羅馬書第八章。
22.545	25.027	我們今天從26節讀到29節。
30.333	39.200	沒有聖經的,就請舉舉手,招待幫幫忙,發給他。
39.200	48.086	有聖經的弟兄姊妹,你把聖經找到以後,如果發現你旁邊的人沒有,就跟他分享。
48.086	52.349	希望每一個人都把聖經打開,羅馬書第8章26節到29節。
58.507	66.850	找到了以後,我要邀請所有的弟兄姊妹幫忙,跟我同聲一起來讀。
66.850	72.511	況且,我們的軟弱,有聖靈幫助。
72.511	88.196	我們本不曉得當怎樣禱告,只是聖靈親自用說不出來的嘆息替我們禱告,檢查人心的,曉得聖靈的意思。
88.865	95.350	因為聖靈照著神的旨意,替聖徒祈求。
95.350	107.298	我們曉得萬事都互相效力,叫愛神的人得益處,就是按祂旨意被召的人。
107.298	121.942	因為祂預先所知道的人,就預先定下效法祂兒子的模樣,使祂兒子 在許多弟兄中做長子。
121.942	151.434	請弟兄姊妹的聖經不可以合起來因為我們今天等一下聚會要很仔細的看這段聖經我們先有一點點禱告天父我們實在感謝你因為我們相信在你兒子耶穌基督的保血裡你悅納了我們我們相信我們在你面前藉著詩歌 藉著讚美藉著禱告在你面前的敬拜也蒙你的悅納。
151.434	162.944	我們就求你在我們一起來讀你話語的時候聖靈保惠師把你的話向我們打開。
162.944	168.129	讓我們在你話語的光中可以見光。
168.129	172.613	但願你幫助講的人講得清楚聽的人聽得明白。
173.592	177.275	好讓你的兒女們一起得造就。
177.275	180.177	好讓你能夠得著榮耀。
180.177	184.861	我們如此禱告,是奉主耶穌基督寶貝的名。
184.861	189.625	阿們。
189.625	197.771	二十六節一開始說,況且我們的軟弱有聖靈幫助。
197.771	204.776	這一節的聖經,如果我們按照原文來直接翻譯的話, 它應該是這樣翻譯。
204.776	207.839	它是說同樣的。
207.839	211.842	聖靈幫助我們的軟弱。
211.842	217.926	因為我們不知道我們應該如何。
217.926	226.633	我們不知道我們應該祈求什麼。
226.633	228.374	同樣的。
228.374	238.283	這一個同樣的就告訴我們這一段的聖經 跟前面的那一段聖經是息息相關的。
238.283	239.703	什麼地方同樣呢?
239.703	241.784	有什麼地方一樣呢?
241.784	246.586	你回到從18節讀下來,你就發現一件事情。
246.586	253.628	原來這一段聖經它講到一個很重要的東西叫做嘆息。
253.628	257.790	而從18節開始,它也講到另外兩個嘆息。
258.422	293.994	所以他是講到聖靈在這裡同樣的跟前面的兩個嘆息有相同之處那如果你回到前面看你就知道在二十二節那裡講到一切的受造之物都在做一件事情就是嘆息老苦 嘆息受造之物為什麼會嘆息呢因為受造之物 乃是在一個敗壞的匣子下面。
293.994	295.654	弟兄姊妹。
295.654	299.975	你如果放眼看一看神所創造的宇宙。
299.975	302.176	你就明白一件事。
302.176	308.337	一切的受造之物都在一個敗壞的匣子裡面。
308.337	310.758	什麼叫做敗壞的匣子呢?
310.758	320.523	敗壞的匣子就是一切的東西都朝一個 敗壞的方向在發展。
320.523	327.488	物理學叫做 Second Law of Thermodynamic。
327.488	329.650	熱力學第二定律。
329.650	335.914	他講到一切有秩序的東西越來越沒有秩序。
335.914	338.656	一切好的東西越來越壞。
338.656	341.918	一切新的東西越來越舊。
341.918	344.300	你放眼看看我們的世界是不是這樣子。
345.623	353.004	我們居住的地球是不是在敗壞的瑕疵下面?
353.004	357.045	你家裡的東西是不是在敗壞的瑕疵裡面?
357.045	359.725	新房子住幾年怎麼樣?
359.725	360.806	點舊房子。
360.806	363.466	新娘呢?
363.466	368.187	過幾年變老娘喔。
368.187	371.308	新車呢?
371.308	373.248	新衣服呢?
373.248	373.788	舊衣服。
374.258	380.182	所有的受造之物都在敗壞的瑕疵下面。
380.182	383.564	只有越來越壞,沒有越來越好的。
383.564	389.988	所有的宇宙,所有神創造的東西,都在敗壞的瑕疵裡面。
389.988	396.032	他們在敗壞的瑕疵裡面,他們裡面有一個不滿足。
396.032	401.636	所以他們在那裡叛息,牢固。
401.636	402.937	他們盼望得著什麼?
405.060	409.063	盼望得享神兒女。
409.063	411.445	看聖經。
411.445	414.547	神兒女什麼?
414.547	417.210	自由的榮耀。
417.210	418.551	不再受瑕疵。
418.551	421.173	不再敗壞。
421.173	424.135	所有的受造之物都有這個盼望。
424.135	426.117	盼望有一天不要受瑕疵。
426.117	432.321	不要一直敗壞下去。
432.321	434.223	所有的受造之物都是這樣敗壞。
435.282	449.426	請問我們這些有聖靈出接國子的,我們這些蒙恩得救神的兒女,我們要不要嘆息?
449.426	451.527	我們有沒有嘆息?
451.527	454.588	你活在地上有沒有嘆息?
454.588	458.849	為什麼嘆息?
458.849	463.031	哈哈,那張股票沒有買到啊。
463.031	463.731	為什麼嘆息?
465.316	468.238	啊,房子買貴了。
468.238	470.919	為什麼嘆息?
470.919	474.641	怎麼我愛的女人嫁給別人?
474.641	475.902	為什麼嘆息?
475.902	478.383	沒有考上我想考的學校。
478.383	479.184	為什麼嘆息?
479.184	480.545	生病。
480.545	482.746	為什麼嘆息?
482.746	483.987	犯罪。
483.987	485.167	為什麼嘆息?
485.167	486.628	愛世界。
486.628	490.510	親愛的弟兄姊妹,我們有一千個理由嘆息,是不是?
490.510	491.831	我們常常嘆息。
491.831	494.993	我們活在地上,你可以來敬拜的時候唱啊跳啊開心啊。
495.725	497.766	心裡面有沒有嘆息?
497.766	500.608	有一個深深的不滿足。
500.608	502.689	親愛的弟兄姊妹,讓我告訴你一件事。
502.689	508.693	聖靈救了我們以後,在我們的裡面放下一個很深的盼望。
508.693	514.496	我們要等候得著兒子的名分。
514.496	518.259	你知道什麼叫兒子的名分嗎?
518.259	521.981	你信了主,你是不是神的孩子?
521.981	523.822	你有沒有兒子的這個身份?
525.350	528.933	但是你有沒有兒子的實際?
528.933	531.155	還沒有,還沒有。
531.155	533.357	弟兄姊妹,讓我告訴你。
533.357	537.200	中國人生一個小孩,是男的就說兒子了。
537.200	538.621	是不是?
538.621	540.883	猶太人沒有這回事。
540.883	545.067	猶太人家裡生一個小孩是男的,不會說是兒子。
545.067	549.091	猶太人的兒子什麼時候成為兒子你知道嗎?
549.091	552.974	是有一天爸爸,把所有的親朋好友找來。
553.899	562.102	正式向大家宣告這是我的兒子我所喜悅的。
562.102	564.342	你知道什麼意思嗎?
564.342	569.824	從那天開始兒子說話就等於爸爸說話。
569.824	572.965	兒子簽字就等於爸爸簽字。
572.965	578.367	從那天開始兒子可以全權的代表爸爸。
578.367	580.067	聽懂了沒有?
580.067	581.848	主耶穌受洗的時候發生了什麼事?
583.916	622.527	天開了天上有聲音說什麼這是我的愛子我所喜悅的意思是什麼從那天開始耶穌基督全全代表上帝行在地上明白了今天我們何等的盼望有一天這一個榮耀也在我們的身上成為真實的阿們 但是很可惜,如果你裡面盼望的不是這個,你活在地上真的不知道盼望什麼。
622.527	623.807	是不是?
623.807	630.068	我們需要求聖靈把這個盼望擺在我們的裡面,讓我們有一個說不出的嘆息。
630.068	635.850	這裡講,二十六節講說,in the same way,同樣的。
635.850	639.491	聖靈感受到萬物的那一個盼望。
639.491	643.112	聖靈也知道我們裡面的這個盼望。
643.112	644.792	所以聖靈有同樣的一個嘆息。
645.640	650.524	弟兄姊妹,你在地上大部分的嘆息,都是無可奈何。
650.524	652.585	對不對?
652.585	654.447	親愛的人生病,你有什麼辦法?
654.447	659.130	禱告禱告禱告了半天,你無可奈何。
659.130	660.331	是不是?
660.331	665.475	碰到很多生命中的難處,你無可奈何的嘆息。
665.475	672.360	但是弟兄姊妹我告訴你,聖靈帶我們進入的這個嘆息,是滿了盼望。
674.244	677.785	盼望得著兒子的名分。
677.785	680.126	盼望得著自由的榮耀。
680.126	682.167	盼望得著身體得贖。
682.167	687.028	弟兄姊妹,如果你沒有這個盼望,你很難得救。
687.028	690.450	我講的得救不是你不下地獄。
690.450	703.014	我講的得救是聖靈能夠讓你經歷到脫離罪惡,脫離世界,脫離肉體在你生命中的瑕疵的這個得救。
704.855	709.917	沒有這個榮耀的盼望在你的裡面,你常常失敗。
709.917	712.679	有了這個榮耀的盼望,你得救。
712.679	720.482	這就是二十四節那裡說,我們得救是在乎盼望。
720.482	737.564	好一點的翻譯乃是說,We are saved by that hope.我們因著這樣的一個盼望, 所以我們得蒙拯救。
737.564	745.026	我們得蒙拯救脫離罪惡脫離世界脫離肉體。
745.026	751.228	聖靈跟我們的嘆息從這一方面來講是一樣的。
751.228	754.389	神聖的不滿足卻有盼望。
754.389	758.250	with hope有盼望的嘆息。
758.250	808.822	但是你注意聖靈的嘆息 跟我們的嘆息有一個不一樣是聖靈不只是有hope不只是有盼望聖靈的嘆息是給我們帶來幫助是bring help進入我們的生命這一個嘆息這裡講到說同樣的聖靈要來幫助我們的軟弱 Our infirmity, our weakness,我們的軟弱,我們的有限,我們的缺乏。
808.822	816.784	你如果想一想,羅馬書是聖靈感動誰寫的?
816.784	826.817	保羅寫這一段聖經的時候,我在想保羅應該說, 況且,你們的軟弱。
826.817	828.378	對不對啊?
828.378	831.640	如果保羅這樣寫,你服氣不服氣?
831.640	838.123	很服氣啊,保羅嘛,他是大使徒嘛,他去過三層天嘛,對不對?
838.123	846.268	但是弟兄姊妹要記住,保羅在這裡被感動說,我們的軟弱,包不包括保羅?
846.268	847.369	包括。
847.369	851.411	弟兄姊妹,這是一個很重要的思想。
851.411	862.253	這一個思想, 就說到我們受造之物都是有限的。
862.253	864.896	我們受造之物知道的有限。
864.896	866.437	能力有限。
866.437	868.578	我們各方面都有限。
868.578	871.321	我們是一個有限的人。
871.321	874.643	一個受造之物因為在有限裡面。
874.643	876.745	所以我們不是無所不知。
876.745	878.186	不是無所不能。
878.186	879.247	不是無所不在。
879.247	882.109	我們很多很多的限制。
882.109	882.770	所以我們軟弱。
883.456	909.005	所以我們weakness, infirmity,但是我們這些人更可憐的,不只是因為我們是受造之物,不只是我們有局限性,我們是finite,我們是limited,不但如此,我們是fallen,我們是墮落的受造之物,我們是生在最終,長在最終的一批人。
909.005	918.186	弟兄姊妹,我們如果不認識這一點,我們 非常的危險。
918.186	923.327	人若自己以為站立得住,就要小心。
923.327	933.730	多少時候我們的跌倒,多少時候我們的失敗,都是因為我們不知道我們是軟弱的。
933.730	946.475	其實你看看我們的生活中,不要很大的難處,一點小小的難處,領導,請問你, 會不會懷疑神的大能?
946.475	949.676	你們不要跟我假冒為善好不好?
949.676	951.557	會不會?
951.557	962.181	請問你,在你生命中碰到一點點你心中的渴望,或者是心中有一點的激情的時候,會不會忘記了神的愛?
962.181	963.721	會不會?
963.721	969.723	再請問你,一點點的試探,我們會不會跌倒?
969.723	980.479	弟兄姊妹實實在在的告訴你, 今天你跟我如果沒有跌倒,不是我們剛強,是神的恩典在保護我們。
980.479	984.861	阿們。
984.861	991.485	聖靈要來幫助我們的軟弱。
991.485	994.587	聖靈怎麼幫助我們的軟弱?
994.587	1001.871	在聖經中如果你發現,你好好的讀聖經你就知道,聖靈在我們的生命中有好多方面的工作。
1003.353	1015.242	聖靈會禁止我們,聖靈會感動我們,聖靈可以安慰我們,聖靈可以光照我們,可以提醒我們,可以給我們力量。
1015.242	1019.786	聖靈可以用許多不同的方法來幫助我們。
1019.786	1027.212	但是保羅在這裡特別要強調的是我們有一個很特別的軟弱。
1027.944	1030.865	我們不只是一個受造之物的軟弱。
1030.865	1034.005	我們不只是一個墮落的受造之物的軟弱。
1034.005	1036.606	我們有一個極大的軟弱。
1036.606	1044.528	那就是我們不知道應該禱告什麼。
1044.528	1052.169	你知道中文聖經這裡翻譯說我們本不曉得當怎樣禱告。
1052.169	1055.050	這個翻譯有一點點失真。
1055.794	1092.478	因為這個翻譯一不小心就被誤會到說我們不知道how to pray我們不知道禱告的方法有沒有看過很多書教你怎麼禱告都是教你方法對不對親愛的弟兄姊妹聖經裡面從來沒有一個地方教我們禱告的方法聖經裡面教我們的是禱告的關係真實性禱告 我們的問題不是不知道好,不是不知道如何。
1092.478	1098.823	我們的問題是我們連要什麼我們都不知道。
1098.823	1104.428	保羅在這裡說,你們不知道你們禱告要什麼嗎?
1104.428	1105.569	不是。
1105.569	1112.354	保羅說,我們本來都不曉得我們禱告中間應該跟上帝要什麼。
1113.780	1118.744	請問各位,保羅是不是很謙卑說這樣子的話?
1118.744	1123.468	不是,保羅是很實在的說這樣子的話。
1123.468	1130.373	保羅有經歷,保羅的生命中他曾經有過一根刺在他的身上。
1130.373	1132.555	他禱告不禱告?
1132.555	1133.695	當然禱告嘛。
1133.695	1138.439	也許還有弟兄姊妹很愛他說,保羅啊,你禱告了沒有啊?
1138.439	1140.100	保羅說,禱告了啊。
1140.100	1141.842	那你禱告怎麼上帝沒有醫治你呢?
1143.677	1181.593	保羅弟兄我看你信心不夠保羅弟兄你是不是有什麼罪沒有認所以上帝不聽你禱告不是保羅知道他為著他這根刺禱告了三次神有沒有聽他的禱告回答我回答我有還是沒有有 神聽到了祂的禱告。
1181.593	1186.454	神有沒有回答祂的禱告?
1186.454	1188.775	回答我。
1188.775	1190.655	有。
1190.655	1191.955	弟兄姊妹記住。
1191.955	1193.196	神聽了我們的禱告。
1193.196	1194.556	神回答我們的禱告。
1194.556	1197.336	神的禱告有神回答的時候有三種可能性。
1197.336	1198.057	第一種可能,Yes!
1198.057	1200.537	有沒有過?
1200.537	1203.058	第二種,No!
1203.058	1204.578	有沒有過?
1206.032	1207.693	很多。
1207.693	1208.953	最後還有一種。
1208.953	1211.194	wait。
1211.194	1213.815	等一下。
1213.815	1215.136	知道嗎?
1215.136	1217.037	上帝永遠聽我們的禱告。
1217.037	1218.898	上帝永遠答應我們的禱告。
1218.898	1220.678	只是有時候你不喜歡祂的禱告。
1220.678	1223.880	祂的答應而已。
1223.880	1226.721	保羅聽到了神給他的回答。
1226.721	1229.942	神回答說什麼你知道嗎?
1229.942	1231.903	神不只是說no。
