start	end	text
0.196	1.917	平安!
1.917	3.357	阿蕾路亞!
3.357	54.865	感謝主今天早上要跟大家分享一段信息在哥羅西書第二章今天有一些弟兄姊妹受洗其實在我們當中有很多人也信主了一段時間對不對我們一直在享受我們信主以後接下來應該是怎麼樣過一個怎麼樣的基督徒的生活我自己 在歲末年終的時候我自己思想一個問題我是不是很滿意我這一年的生活我好像似乎覺得我在耶穌基督的裡面但是又感覺到有一些些些許的好像不是那麼這麼這麼的好 我一直在想說這原因出在哪裡。
54.865	57.886	我確信我在耶穌基督的裡面。
57.886	65.169	當我們信主的時候,我就確信我們在基督耶穌裡面蒙了恩典,跟祂有合一的關係,蒙的關係。
65.169	76.213	但是,是不是有什麼東西讓我攔阻了我,以至於讓我跟上帝之間好像有一點點的隔閡。
77.517	85.943	那個隔閡當然不是一個牆,但是好像一個雲,一個霧,我覺得灑在我跟上帝之間的中間。
85.943	100.312	我想今天從這段經文裡面,我想跟大家一起來看,我們一起來思想,我們怎麼樣跟神是一個和好、美好、連結的生活。
100.312	106.217	好,我們今天要看哥羅西書從第一章看到,不是,第二章,從第一節看到第十五節。
106.937	109.394	我們翻到以後我們一起同聲來唸,預備。
110.282	138.371	來,我願意你們曉得我為你們和老底家人並一切沒有與我親自見面的人是何等的盡心竭力,要叫他們心得安慰,因愛心互相聯絡,以致豐豐足足在悟心中有充足的信心,使他們真知神的奧秘就是基督。
138.831	145.533	所積蓄的一切智慧和知識都在它裡面藏著。
145.533	151.555	我說這話,免得有人用花言巧語迷惑你們。
151.555	157.277	我身子雖與你們相離,心卻與你們同在。
157.277	163.860	借你們循規蹈矩,信基督的心也兼顧,我就歡喜了。
164.480	181.746	你們既然接受了主基督耶穌,就當遵祂而行,在祂裡面生根建造,信心兼顧,正如你們所領的教訓,感謝的心也更增長了。
182.517	198.972	你們要謹慎,恐怕有人用他的理學和虛空的妄言,不照著基督,乃照人間的遺傳和世上的小學,就把你們辱去。
198.972	216.003	因為神本性一切的豐盛,都有形有體的居住在基督裡面, 你們在他裡面也得了豐盛,他是各樣執政掌權者的元首。
216.003	226.926	你們在他裡面也受了不是人手所行的割禮,乃是基督使你們脫去肉體情慾的割禮。
227.466	241.078	你們據受洗與祂一同埋葬,也就在此與祂一同復活,都因信那叫祂從死裡復活神的功用。
241.078	247.664	你們從前在過犯和未受割禮的肉體中死了, 感謝主。
276.903	291.274	保羅代領哥羅西教會,他說他會為一切老底家的弟兄姊妹何等的盡心竭力,希望他們知道神的奧秘就是基督。
291.274	292.815	他是用什麼方法呢?
292.815	302.742	他說叫他們心得安慰,因愛心互相聯絡,以致豐豐足足的有充足的信心。
302.742	312.828	親愛的弟兄姊妹,真的, 教會,我們不是只是靠嘴巴傳,不是只是講一個道理。
312.828	314.929	保羅在那地方是用什麼?
314.929	321.310	愛心,互相聯絡,整齊合適。
321.310	330.572	我們今天莊伯在這邊帶養生權,他不是帶養生權為之,他也在每週養生權之後,有跟他們有一些信息的分享。
333.780	339.926	我知道一個人真的他的分享,真正能夠不斷地轉化別人嗎?
339.926	342.848	可能不是那麼容易,對不對?
342.848	349.915	艾姐在這邊,昨天我們還去看影域的媽媽, 為什麼?
349.915	355.999	因為用愛心互相聯絡,要將他的心怎麼樣得到安慰。
355.999	366.066	我覺得神幾何是一個人改變,是他的心得到神的愛,被神的愛再一次得到安慰。
366.066	389.286	所以保羅是這樣努力,這讓我想到, 以前我看一段一個人的見證,現在很有名的,在民運時間一位受洗、被驅逐離開中國的一位民運人士,袁志明,他現在是牧師。
389.286	392.167	我不知道在座有沒有看過他的見證。
392.167	404.887	他拍了一部石架在中國, 裡面的內容講到中國大陸這些年受的逼迫,這讓我們很感動。
404.887	408.550	但是我要跟他講,他說他怎麼信了主。
408.550	417.716	他是北大念哲學系的,假如說要讓一個信哲學的來信耶穌,那怎麼容易啊。
