start	end	text
0.009	22.378	感謝主。我們一起來看創世紀第十七章。十七章我們來看第一節到第八節。我們翻倒了一起來讀創世紀第十七章的第一節到第八節。拿出我們過完年,拿出我們過年吃吃喝喝變胖之後的體力。我們要來有精神的讀神的話。我們從第一節開始,預備,來。
22.978	48.385	雅伯蘭年99歲的時候,葉克華向她顯現,對她說:「我是全能的神,你當在我面前做完全人,我就與你立約,使你的後裔極其的繁多。」雅伯蘭俯伏在地,神又對她說:「我與你立約,你要做
48.865	60.569	繁體中文，臺灣國語。繁體中文，臺灣國語。繁體中文，臺灣國語。繁體中文，臺灣國語。
75.555	78.217	這個約好不好?
96.988	105.943	哇,真的是撬到了,怎麼這麼好。怎麼神三番兩次的不斷的要來跟這位亞伯拉罕來堅定。
106.664	134.45	他們所立的約,這個約是神起的頭,這個約是神所邀約的,要亞伯蘭一起來立這個約,然後神三番兩次的出現,叫亞伯蘭相信說,我真的要堅定這個約,這個約非常的好,這個約從亞伯蘭她75歲的時候,她離開了她的地方,然後來到了迦南地,她到迦南地說是75歲,這個時候她已經幾歲了?
135.691	137.505	99歲,他有孩子了沒有?
138.78	166.675	其實有啦,他也沒有偷生。他有一個兒子叫什麼?以什瑪利。可是呢,這個是他的原配沙拉生的嗎?不是。好,那現在神在他99歲的時候跟他說,我真的是跟你立約。然後我們看一下神怎麼說。第15節我們繼續來讀。預備,15節預備,來。神又對亞伯拉喊說,你的妻子撒萊,不可再叫撒萊。
167.295	184.969	祂的名要叫撒拉,我必賜福給他,也要使你從他得一個兒子。我要賜福給他,他也要做多國之母,必有百姓的君王從他而出。
185.947	193.131	19節我們繼續神說不然你妻子撒拉要給你生一個兒子你要給他起名叫做
215.606	220.083	我要與祂堅定所立的約,做祂後裔,
222.534	251.602	至於以實瑪利﹐我也應允你﹐我必賜福給他﹐使他昌盛﹐及其繁多﹐他必升十二個組長﹐我也要使他成為大國﹐到明年這十節﹐撒拉必給你升以撒﹐我要與他堅定所立的約﹐神和亞伯拉罕說完的話﹐就離開他上升去了。
252.619	270.917	你覺得這個神這樣合不合理?我們來回想一下亞伯拉罕的故事。亞伯拉罕他年輕的時候,他的父親他拉就帶著他離開迦勒底的吾爾,就是在今天的伊拉克,然後走過肥沃越灣到最頂端的地方,到了哈蘭那個地方就住下來了。
271.237	297.028	一直住到祂的父親塔拉 死的時候是205歲。祂的父親205歲死的時候,我們從新約使徒行傳第7章第4節看見的,在祂父親死了之後,神就再次的對亞伯拉罕說話說,離開你的本地、本族、富家,就如同我們在創世紀第12章所看見的,神要祂繼續的往前走,要直到祂到迦南地,去得著這塊應許之地。
297.568	318.403	然後他到了應許之地之後,他就一直面臨一個困擾,就是他沒有孩子。沙拉一直沒有替他生孩子,他沒有孩子可以來繼承神給他的這個這麼大的應許,這麼大的國,以至於他三番兩次跟神抱怨說,你不要再賞賜給我了,你也不要再約我出去看星星喝咖啡了,
318.643	345.269	你都沒有給我兒子,你不斷的給我應許做什麼呢?你不斷的祝福我,給我很多產業,又有什麼用呢?你應許我要成為一個大國,極其大的國。你應許要給我後裔,而且我的後裔的後裔的後裔都要世世代代的承受這塊地土為業。你應許我君王要從我的後代而出,但如今我連一個西瓜子都沒有。不要再應許我了,不要再約我出去喝咖啡了。
350.879	379.772	後來呢,過了十年之後呢,他們夫妻再也受不了了。他們太太莎拉就出了一個手主意說,啊,我既然不會生,那我這個使女叫什麼,夏甲,看起來也是蠻能生的,那就給你好了。然後她生了一個孩子呢,也可以算我的,我就可以建立這個家,你也可以完成怎麼樣,這個你的心願。結果夏甲幫她生了一個孩子叫什麼名字,以時瑪利。
380.452	408.944	所以呢 亞伯拉罕怎麼樣 有沒有兒子了有兒子啦 亞伯拉罕終於在86歲的時候有了兒子叫以實瑪利 過了13年之後就是亞伯蘭99歲的時候 神又跟他顯現又跟他 要跟他堅定所立的約可是神這次說怎麼樣 他說可是這個以實瑪利不是 以實瑪利不算你的真正的老婆莎拉不要叫她莎萊的 莎萊原本是什麼
410.196	438.88	是什麼?尊貴之母。亞伯拉罕的名字本來叫亞伯蘭,叫尊貴的父。神說你不要叫尊貴的父,你要叫多國的父。你的太太呢,要做什麼?要做多國之母。親愛的弟兄姊妹,亞伯拉罕跟著神出來了,經過了24年,他好不容易覺得自己有一個兒子叫以時瑪利了。以時瑪利這時候也13歲了,神卻跟他說不算,
