start	end	text
2.551	7.752	弟兄姊妹平安，感謝主我們一起來翻開今天的聖經。
7.752	11.673	我們請有需要聖經的弟兄姊妹可以揮揮手,招待可以拿給他。
11.673	13.994	我們今天來讀《馬太福音》第一章。
13.994	20.555	新約聖經《馬太福音》第一章。
20.555	22.496	我們來讀第18節一直到第25節。
22.496	27.257	新約的第一卷書《馬太福音》第一章。
41.834	44.756	好,我們一起來讀第十八節。
44.756	47.859	馬太福音第一章十八節,預備,來。
47.859	52.403	耶穌基督降生的事記在下面。
52.403	58.288	祂母親瑪利亞已經許配了約瑟,還沒有迎娶。
58.288	90.623	瑪利亞就從聖靈懷了孕, 正思念這事的時候,有主的使者向他夢中顯現說,大衛的子孫約瑟,不要害怕,只管娶過你的妻子瑪利亞來,因她所懷的孕是從聖靈來的,她將要生一個兒子。
90.623	92.585	你要給他起名叫什麼?
92.585	94.987	耶穌,因為他將要。
97.073	133.218	從罪惡裡救出來這一切的事成就是要應驗主界先知所說的話說以馬內力翻出來就是 起名叫做耶穌。
133.218	140.606	感謝主,我們今天就要來分享有關耶穌祂帶來什麼樣的意義。
140.606	149.819	然後透過耶穌所帶來的救恩, 我們是何等的蒙恩,以及何等的蒙福。
149.819	162.114	在我們的信息之前,我們要先請蔡美玉姊妹來做一個簡單的見證,來見證主耶穌的恩典與拯救,如何臨到祂的家人。
162.114	163.676	我們給她一個掌聲鼓勵。
170.265	190.583	感謝主今天沒有想到這麼快因為上一堂比較後面那我請同工放一下我提供的幾張照片謝謝這一張是媽媽以前的照片下一張 這是她抱著兩位孫女。
190.583	191.985	下一張。
191.985	196.288	這是我跟媽媽去馬來西亞的旅行。
196.288	196.809	謝謝。
196.809	197.329	下一張。
197.329	200.172	這一張也是在馬來西亞。
200.172	200.632	謝謝。
200.632	202.113	下一張。
202.113	204.576	這是在新加坡。
204.576	207.658	我們一起坐空中纜車。
207.658	208.159	下一張。
208.159	213.003	這是我跟媽媽在紐西蘭的旅行的照片。
214.104	216.505	感謝主,再下一張。
216.505	219.647	這也是在紐西蘭的旅行的照片。
219.647	222.629	這一張我很喜歡。
222.629	224.210	好,下一張。
224.210	227.712	這是媽媽跟我,我很喜歡,因為媽媽很喜歡大自然。
227.712	231.954	所以這一張我也特別覺得有紀念的意義。
231.954	233.255	下一張,謝謝。
233.255	236.117	這也是媽媽在紐西蘭旅行的照片。
237.142	238.483	下一張。
238.483	239.204	謝謝。
239.204	241.146	這是媽媽最近的照片。
241.146	246.792	我們一家人為叫媽媽阿祖的豪恩做三歲的生日。
246.792	247.252	謝謝。
247.252	250.976	那我就開始來以下的分享。
250.976	254.780	感謝主、牧師、弟兄姊妹們。
254.780	255.661	大家好,平安。
256.613	287.779	我媽媽我覺得神很恩待感謝神讓媽媽在她77歲的時候媽媽受洗信了耶穌基督那在媽媽信主的這六年的過程當中媽媽她自己非常清楚明白信了耶穌基督就是與她往後的日子息息相關所以她很清楚自己 以後,耶穌就是祂要敬拜信靠的神。
287.779	294.922	所以媽媽也因著這樣子,就進入到教會,參加連長者的一個祭會。
294.922	310.950	那我很感謝主,當媽媽到教會來參加小組的時候,就透過我們的牧師,還有我們的傳道,以及弟兄姊妹們一起的陪伴, 在靈命上受到了很大的慰養。
310.950	317.437	所以母親就過了一段非常愉快、喜樂的教會的生活。
317.437	320.320	感謝主,我覺得神就是愛。
320.320	326.346	神的愛臨到媽媽的生命裡頭的時候,媽媽的生命非常非常的安靜。
327.227	336.073	也讓我感受到那個安靜帶來的力量,帶來他跟神的一個親近的良好關係。
336.073	346.540	媽媽自己有一次她坐了起來,我覺得這是我一生當中看到媽媽那麼興奮,那麼確切地講出一句話。
346.540	353.404	她說她感受到耶穌的愛,她也感受到耶穌的同在。
353.404	362.350	就在我和我的弟弟,我那個弟弟還沒有信主, 他說他希望我們一家人都是信耶穌基督。
362.350	378.161	所以在媽媽的一個整個的一個生病的過程當中,我很感謝我們教會,我們的牧師,我們的傳道,以及弟兄姊妹的一個探訪,帶給媽媽知道, 教會就是他的家。
378.161	390.580	然後媽媽讓我一個很明顯的看到,媽媽自己很清楚在這個生命的一個過程當中,她在面對死亡的時候,她最要倚靠的就是神。
390.981	396.145	他抓住的也是跟神的關係,而不是跟人的關係。
396.145	403.031	即便是我們這一些他的兒女們,陪伴在他身邊,我覺得他已經勝過那個人的陪伴。
403.031	408.456	因為有時候我們獨自要到教會來聚會的時候,他自己一個人在家。
408.456	413.160	我都跟媽媽講,我說媽媽,我們要去教會,你自己一個人可以嗎?
413.160	417.344	他很成全我們,因為我們真的喜歡來教會聽信息。
417.824	430.149	然後他就自己一個人在家,我就領受到他那個勇敢,那個堅強,其實他生命裡因為有耶穌基督,所以他非常坦然的面對死亡。
430.149	443.834	我也感謝主,我覺得主在我媽媽的生命的一個歷程當中,其實他是一個很孤單的人,因為我們這些兒女們,我們真的不了解,然後他安靜,所以也不知道要講什麼給他聽。
444.394	455.219	但是感謝主給我這麼好的機會﹐把福音傳給媽媽的時候﹐她很順服﹐然後她就進入到﹐跟神的一個親密的關係。
455.219	482.978	所以她很勇敢﹐不但從來沒有問過說﹐她的病到底什麼時候好﹐也沒有去抱怨過﹐為什麼她的生命是這樣﹐ 反而讓我感受到祂的安靜,去享受到那種跟神的關係的時候,媽媽就給我一個很好很好的榜樣,讓我知道我要好好的安靜我自己,知道這就是我的主,我的神,我要依靠的神,就是我媽媽依靠的神。
482.978	497.707	然後媽媽自己,我覺得她一直跟我講,她有提過說她不害怕死亡,我就知道在她裡面有平安, 所以他在睡著的時候,就被主接走,安息在主懷。
497.707	504.090	然後反而讓我去想到,媽媽如果過世了,會不會交代我們什麼遺言,可是都沒有。
504.090	510.153	我就知道他已經卸下對兒女們的一個操心,也卸下他一切的重擔。
510.333	538.118	祂自己知道這要仰望祂永生盼望的就是主耶穌基督那我也很感謝主我的媽媽是我們蔡家家族裡頭第一位用基督教的儀式舉辦告別式 那更要感謝主就是在籌備的整個的一個告別式的一個過程裡頭,神讓我們非常的清神,也讓我們非常的平安,然後讓我們的家人很和睦。
538.118	576.582	那感謝主就是透過這樣子的一個告別式,讓媽媽把我們沒有信主的親戚還有朋友,當他們來參與媽媽的告別式的時候,他們還願給我,他說, 信息傳達得非常好，還有師哥的敬拜，他們一覺得說，進入到裡面，很有平安，很祥和，很莊嚴，很寧靜，那我就很感謝主，媽媽把這樣子的信息，傳給沒有信主的人，讓他們自己知道，愛要在神國裡頭，尋求那永遠的平安喜樂，和天國的盼望。
576.582	576.962	謝謝。
576.962	578.663	我就分享到這裡。
578.663	578.963	謝謝。
586.186	589.448	感謝主,人人都需要耶穌。
589.448	603.958	不論他是年長的人,他是年幼的人,不論是男人,不論是女人,不論是什麼樣生活背景,教育背景,現在從事什麼樣工作職業的人,他們都需要耶穌。
603.958	614.446	剛剛我們所讀的《馬太福音》第一章裡面,告訴我們說,從瑪利亞她受聖靈的感孕而生的這個嬰孩,要取名字叫做什麼?
615.435	618.881	耶穌是什麼意思呢?
618.881	629.558	這邊告訴我們說,你要把祂取名叫耶穌,因為祂要將自己的百姓從罪惡裡怎麼樣救出來。
630.384	635.125	耶穌的意思就是上帝拯救。
635.125	637.825	上帝拯救。
637.825	641.426	我們知道有一個很有名的牧師叫周神助。
641.426	652.088	以後如果我們這邊有要繼續生的,或是可能孫悅再生一個,以後你可以跟他取名叫孫神救。
652.088	653.528	耶穌的意思怎麼樣?
653.528	655.949	就是神拯救,上帝拯救。
656.749	665.151	耶穌這個名字是很多人在耶穌的時代,在新約的時代,很多人喜歡取的名字。
665.151	667.752	耶穌有一個弟弟,叫做雅各。
667.752	677.274	他在後來成為耶路撒冷教會的長老,是教會非常非常重要的一個領袖。
677.274	680.175	他跟彼得一起來服侍神的教會。
681.647	686.749	雅各後來也殉道了,被處死。
686.749	692.072	你知道殺死雅各的那一個大祭司,他叫什麼名字嗎?
693.285	693.905	就叫耶穌。
693.905	697.468	所以耶穌殺死了耶穌的弟弟。
697.468	698.948	因為那時候很多人叫耶穌。
698.948	704.332	那個大祭司叫做耶穌,他殺死了耶穌的弟弟雅各。
704.332	714.958	而殺死雅各的這個大祭司呢,他三個月之後,被他的這個反對黨的另外一個祭司推翻了。
714.958	722.423	把他推翻了,然後上臺的那個反對黨的領袖,這位大祭司,他的名字也叫做耶穌。
723.763	732.452	所以耶穌把殺死耶穌的弟弟的耶穌趕下臺,自己當了大祭司。
732.452	752.215	從主耶穌誕生一直到耶路撒冷城,在主後七十年被羅馬人毀壞, 因為猶太人不斷的起義,不斷的叛變,不斷的想要復國,不斷的想要把羅馬人趕走。
752.215	759.079	所以在這個70年裡面,就很多很多的戰爭。
759.079	767.003	也在這個過程裡面,這70年裡面,有一位猶太人的歷史學家叫約瑟夫,他就寫了一個猶太的歷史。
767.003	781.611	你知道在這個70年裡面, 有很多猶太人裡面有名的領袖,叫做耶穌的就有21個,其中有一位就是我們的耶穌基督。
781.611	793.094	這些被叫做耶穌的人,都是一時的精英,大江東去, 浪濤進千古風流人物。
793.094	797.397	就是他們不是等閒之輩的,叫做耶穌的只有21位。
797.397	803.661	有的人他是祭司家族,甚至是大祭司家族的兒子。
803.661	807.163	有的人他是法利賽人的兒子。
807.163	811.686	有的人他是憤慮黨人的兒子。
811.686	814.788	有的人是黑道老大的兒子。
814.788	817.590	有的人是木匠的兒子。
818.729	821.772	這些人通通叫做耶穌。
821.772	827.336	法利塞人就好像是現在的大學教授。
827.336	835.083	有權有勢的祭司們在還沒有成為大祭司之前可能都是工會的成員,就是立法委員。
836.152	839.855	還有很多當官的,他們也把他們兒子取名叫耶穌。
839.855	844.639	有做生意做很成功的,把他的兒子取名叫耶穌。
844.639	848.983	有做黑社會老大的,也把他的兒子取名叫耶穌。
